Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,146.100,77.346,27.801,61.012,71.981,85.199,98.828,110.272,245.124,364.446,0.013
10,88.800,88.715,29.169,58.133,71.008,90.301,178.586,208.379,242.044,258.524,0.011
20,101.200,82.811,29.418,56.951,68.077,88.277,152.813,168.201,234.321,246.568,0.012
30,88.800,90.525,33.580,57.930,69.123,102.973,173.823,209.656,259.198,309.012,0.011
40,92.700,80.774,30.501,58.252,68.777,85.051,143.938,174.560,224.369,250.334,0.012
50,94.000,85.314,36.459,58.492,67.544,89.915,165.921,185.238,213.680,256.960,0.012
60,98.000,86.652,33.888,58.732,70.123,95.184,163.250,181.064,205.896,238.494,0.012
70,93.400,81.841,28.500,57.332,66.974,83.145,153.725,174.730,208.598,240.641,0.012
80,94.000,82.535,30.193,56.273,66.824,90.567,150.136,174.520,218.929,229.274,0.012
90,92.500,84.222,36.855,57.561,68.108,86.166,155.516,186.567,225.975,251.294,0.012
100,97.200,84.051,36.087,57.880,65.948,87.735,161.370,187.378,215.355,247.140,0.012
110,91.700,86.773,30.955,60.744,72.981,95.043,154.391,177.898,208.247,246.097,0.012
120,91.800,87.740,31.969,59.347,71.083,98.106,160.931,183.275,213.340,223.542,0.011
130,89.300,86.544,29.586,58.530,68.556,94.111,165.105,188.843,218.905,234.543,0.012
140,98.500,86.181,31.194,58.374,69.143,92.948,159.429,181.286,215.123,235.976,0.012
150,93.900,84.977,34.166,58.188,67.896,85.960,162.423,194.709,222.260,245.027,0.012
160,94.400,81.523,23.647,57.436,69.524,88.857,142.260,162.989,194.210,208.829,0.012
170,91.600,83.372,30.506,57.236,66.781,83.995,160.242,186.178,209.208,226.054,0.012
180,97.200,86.040,29.712,56.480,67.723,102.529,162.452,184.695,215.103,232.420,0.012
190,95.700,85.889,29.233,58.180,69.736,96.579,159.039,177.433,211.409,267.520,0.012
200,94.200,82.884,30.775,56.277,67.255,86.348,150.448,186.491,233.518,247.396,0.012
210,95.700,85.981,34.299,57.135,68.317,87.135,166.837,189.781,210.076,227.297,0.012
220,92.500,88.970,34.391,56.801,67.143,100.912,171.386,203.196,237.168,264.711,0.011
230,90.700,89.918,35.497,59.714,72.557,93.346,170.454,190.951,231.610,288.399,0.011
240,100.800,81.956,32.087,58.876,69.486,86.966,146.912,160.369,190.388,234.565,0.012
250,95.000,88.363,32.283,59.267,70.374,102.192,164.407,191.193,214.866,259.406,0.011
260,97.300,83.857,31.241,58.504,69.225,90.065,152.051,173.178,213.708,240.098,0.012
270,93.600,87.533,30.084,58.149,67.692,92.311,170.949,197.506,220.641,230.643,0.011
280,96.300,85.022,31.133,56.132,67.028,90.973,164.072,180.003,203.220,213.906,0.012
290,89.900,90.305,30.141,59.634,69.311,101.119,172.815,204.263,224.710,237.554,0.011
300,92.800,87.905,32.182,56.905,67.693,100.285,167.899,189.747,236.702,269.992,0.011
310,93.100,91.315,27.070,59.548,71.260,106.345,172.109,191.270,232.248,258.136,0.011
320,98.200,85.353,29.347,58.147,67.907,85.023,161.736,190.947,218.844,232.415,0.012
330,91.300,89.391,32.575,59.047,68.976,113.762,169.714,187.367,230.775,255.370,0.011
340,93.600,84.761,33.566,58.546,68.185,87.317,161.333,183.407,222.235,234.674,0.012
350,95.400,91.849,33.046,60.693,74.459,100.271,171.171,194.301,220.280,237.784,0.011
360,90.300,92.482,31.551,61.869,76.010,112.593,161.947,182.150,222.454,249.009,0.011
370,95.400,87.681,30.972,58.025,68.685,106.093,163.325,187.370,206.400,213.252,0.011
380,91.800,84.613,31.445,57.364,66.419,91.872,160.435,175.995,212.082,225.895,0.012
390,92.700,87.772,33.841,59.355,68.633,99.221,163.740,184.391,199.467,222.319,0.011
400,91.500,87.144,31.093,58.739,69.950,95.977,164.034,185.985,206.263,242.099,0.011
410,95.600,88.579,36.699,57.865,69.058,101.559,164.670,187.033,235.808,260.664,0.011
420,96.500,85.920,31.925,57.227,68.449,91.807,162.422,178.496,218.923,261.291,0.012
430,95.700,82.814,33.922,58.882,68.094,87.970,152.515,170.864,198.602,265.595,0.012
440,94.900,86.727,32.341,58.249,70.046,94.699,162.514,192.834,229.297,279.598,0.012
450,92.900,90.671,33.262,58.694,68.603,101.542,180.948,196.840,213.310,239.617,0.011
460,99.700,82.151,30.340,57.853,66.679,82.817,156.061,176.820,209.184,234.913,0.012
470,93.200,89.989,34.469,60.561,74.385,105.577,157.421,179.794,210.449,225.960,0.011
480,86.400,88.964,39.731,58.112,71.738,109.565,159.318,179.818,224.051,257.188,0.011
490,94.700,87.362,32.751,57.926,69.249,97.594,161.765,189.652,237.086,276.855,0.011
500,91.000,88.616,32.976,58.023,69.315,110.180,166.460,190.492,215.617,236.469,0.011
510,92.300,84.987,30.200,58.029,69.750,91.196,157.957,171.381,194.732,239.073,0.012
520,95.500,80.723,35.524,56.739,66.768,84.191,148.488,169.689,202.542,266.739,0.012
530,92.100,87.228,28.308,57.091,68.087,88.060,175.914,199.900,210.313,248.998,0.011
540,95.000,81.850,31.892,58.066,68.081,85.478,145.888,172.134,239.786,258.827,0.012
550,95.700,86.644,36.160,58.667,69.630,92.020,164.431,185.440,217.371,235.998,0.012
560,93.900,85.418,34.332,57.814,69.706,90.406,164.327,180.197,200.923,221.906,0.012
570,94.700,84.082,36.035,57.132,67.071,84.402,163.211,189.661,205.003,235.597,0.012
580,90.000,87.415,29.901,57.965,68.098,86.136,176.978,192.751,228.481,283.012,0.011
590,94.900,91.081,30.792,60.654,73.442,107.778,170.270,190.777,215.837,224.826,0.011
600,94.700,92.942,34.888,60.154,73.297,115.187,175.308,201.169,218.717,232.855,0.011
610,99.300,85.443,32.503,58.422,67.928,92.787,159.878,181.556,209.293,232.147,0.012
620,92.800,84.949,32.392,58.640,67.490,80.992,159.261,199.322,234.752,254.394,0.012
630,94.200,87.282,30.507,57.212,70.227,97.531,161.353,185.995,217.601,267.075,0.011
640,93.800,87.860,32.916,57.922,68.078,98.849,165.805,182.358,213.289,254.480,0.011
650,96.600,87.288,29.015,57.504,68.525,102.958,166.255,187.212,218.112,236.314,0.011
660,97.800,84.605,31.601,57.164,67.937,91.067,154.799,183.811,223.220,248.532,0.012
670,95.000,87.450,28.330,59.973,70.268,90.056,169.120,189.157,215.432,231.950,0.011
680,99.100,86.912,29.082,57.248,69.035,94.455,162.245,187.520,209.255,238.163,0.012
690,94.300,83.885,34.701,58.345,68.788,90.075,153.836,182.170,213.223,227.848,0.012
700,93.000,84.531,31.661,57.001,66.728,89.145,156.800,184.798,226.429,248.010,0.012
710,93.800,87.930,38.688,60.507,71.552,102.648,155.091,173.501,212.630,259.616,0.011
720,96.000,92.028,33.820,63.770,75.981,105.936,162.561,183.993,222.687,273.675,0.011
730,97.300,88.944,34.699,57.670,69.149,97.727,169.853,192.707,216.167,250.524,0.011
740,94.600,88.019,33.368,56.656,66.999,93.407,170.613,201.950,233.797,248.000,0.011
750,96.000,88.503,30.164,58.508,68.135,105.583,164.739,187.636,227.315,255.407,0.011
760,95.700,84.010,31.039,56.997,66.297,86.507,156.670,183.867,235.684,266.011,0.012
770,94.700,88.092,30.870,58.483,69.370,93.598,168.147,189.241,209.855,269.665,0.011
780,94.200,85.543,35.403,57.117,69.103,92.069,157.008,178.871,218.208,263.838,0.012
790,95.000,92.579,30.975,57.676,69.808,126.437,180.069,199.142,234.689,266.732,0.011
800,92.800,87.197,31.698,57.524,69.677,105.442,162.675,183.514,210.795,229.852,0.011
810,92.400,84.169,34.577,58.355,68.938,87.075,155.064,175.935,217.010,257.491,0.012
820,88.700,87.911,29.912,55.511,66.952,94.983,171.299,192.950,219.689,254.228,0.011
830,94.300,86.055,32.097,59.720,71.133,93.596,151.983,182.340,207.039,231.687,0.012
840,92.600,89.892,32.353,59.506,72.319,107.818,168.812,192.318,217.653,232.892,0.011
850,98.800,89.910,35.349,58.207,69.015,100.237,173.105,195.805,236.410,262.522,0.011
860,97.000,87.040,35.564,59.097,68.701,90.424,161.327,185.368,222.342,243.704,0.011
870,94.200,86.343,27.780,57.668,69.104,93.777,166.110,185.961,210.333,232.334,0.012
880,95.600,90.113,35.176,58.627,69.019,103.704,173.595,193.731,222.464,260.537,0.011
890,95.700,89.103,32.011,58.213,69.684,109.159,168.476,197.226,223.826,231.683,0.011
900,95.300,91.562,33.661,57.128,69.362,109.628,182.963,210.110,234.823,256.317,0.011
910,95.100,85.102,28.538,57.587,68.792,91.294,159.270,187.599,210.507,225.481,0.012
920,87.500,84.266,30.400,56.611,66.980,90.769,158.077,175.877,220.171,274.115,0.012
930,92.800,88.122,32.391,58.627,68.885,93.636,178.002,201.758,218.472,230.952,0.011
940,91.600,90.432,28.974,57.023,68.250,103.902,179.349,200.987,227.203,249.896,0.011
950,95.600,91.016,33.701,60.119,72.058,101.776,168.598,193.839,234.144,310.015,0.011
960,94.800,92.895,36.581,61.431,74.204,109.318,171.117,192.818,224.035,243.120,0.011
970,89.700,85.553,32.507,57.546,68.367,91.729,155.435,185.963,229.843,241.355,0.012
980,91.400,83.989,33.646,56.852,67.717,90.081,158.380,178.737,224.369,263.246,0.012
990,90.600,84.912,30.561,56.358,67.998,81.775,170.960,193.387,232.502,250.445,0.012
