Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1592.200,43.412,6.756,31.881,38.772,47.907,57.793,66.273,182.684,480.971,0.023
10,968.300,67.681,10.962,41.460,49.846,68.242,148.901,185.664,217.834,327.722,0.015
20,1113.200,58.439,6.560,40.552,49.296,60.581,106.862,134.182,178.760,274.145,0.017
30,1010.600,65.523,6.611,41.936,50.811,65.253,132.130,169.672,205.330,298.699,0.015
40,1070.100,60.819,12.354,41.320,50.512,63.662,115.619,141.316,186.135,258.101,0.016
50,1028.900,62.931,5.700,41.325,50.234,63.282,130.553,154.597,195.411,261.250,0.016
60,1061.200,61.313,11.075,40.864,50.322,64.942,120.095,140.152,176.970,256.587,0.016
70,1037.400,62.843,8.964,42.593,51.036,64.120,121.848,150.519,191.621,240.413,0.016
80,1070.300,60.478,7.451,41.570,49.631,62.205,112.466,143.128,182.918,246.509,0.017
90,1037.300,62.588,5.365,40.869,48.725,62.392,133.090,159.131,191.581,279.703,0.016
100,1055.000,62.265,6.845,41.225,49.647,60.804,130.003,156.770,189.826,257.057,0.016
110,1055.600,61.661,10.721,42.029,50.390,65.688,116.413,142.692,183.455,274.927,0.016
120,1053.600,62.774,9.062,41.555,51.122,64.753,125.598,146.830,179.049,281.689,0.016
130,1067.000,61.944,7.595,41.076,49.047,62.194,124.935,152.357,191.010,221.559,0.016
140,1067.900,60.233,11.665,40.287,49.444,62.040,113.386,139.770,178.992,270.135,0.017
150,1066.900,60.963,10.010,40.557,48.821,59.795,122.687,151.335,200.046,315.601,0.016
160,1063.500,60.712,6.345,41.381,50.132,64.024,113.936,139.481,169.516,229.015,0.016
170,1065.500,62.089,8.545,40.299,48.018,60.543,133.534,157.950,194.516,226.266,0.016
180,1061.300,61.080,8.350,41.072,49.866,63.318,118.280,145.769,189.888,265.858,0.016
190,1059.900,62.755,8.763,41.090,50.026,65.259,129.771,144.836,179.890,250.595,0.016
200,1090.900,59.464,8.170,41.297,49.194,59.292,110.775,139.483,190.834,287.049,0.017
210,1081.000,61.564,7.264,41.090,48.409,60.944,131.468,154.719,181.458,241.524,0.016
220,1028.500,62.331,9.717,41.162,48.949,60.447,126.719,163.159,203.466,268.427,0.016
230,990.700,65.917,8.414,42.778,51.134,66.575,134.833,159.501,200.228,325.737,0.015
240,1092.800,59.424,7.777,41.561,49.796,62.755,107.245,132.105,162.836,242.932,0.017
250,1066.100,61.252,10.377,40.860,48.477,61.572,123.939,145.614,190.297,266.382,0.016
260,1066.800,61.315,9.140,41.525,49.983,62.432,113.320,146.911,188.146,249.150,0.016
270,1033.700,63.241,9.542,41.137,49.739,62.747,133.982,154.006,202.304,272.731,0.016
280,1077.200,59.888,9.186,40.107,48.949,60.318,124.152,141.743,186.060,208.845,0.017
290,1029.600,63.670,10.334,41.254,50.448,62.542,129.403,157.256,194.399,251.574,0.016
300,1072.600,60.961,8.285,40.088,48.600,60.017,123.210,148.169,189.878,377.950,0.016
310,1031.600,64.038,6.902,41.094,50.225,66.378,127.169,151.449,192.229,258.611,0.016
320,1069.700,60.824,8.695,41.199,48.547,61.516,120.915,149.639,188.568,261.379,0.016
330,1058.000,61.381,5.975,40.813,48.620,63.009,121.502,156.139,182.919,247.780,0.016
340,1044.400,61.725,7.465,42.285,50.247,62.329,120.011,148.424,181.186,250.029,0.016
350,1056.200,62.425,12.170,40.964,50.696,63.540,124.797,153.987,188.465,230.706,0.016
360,1060.700,62.438,6.932,41.457,51.278,65.865,119.193,142.858,182.343,239.635,0.016
370,1030.900,62.457,7.558,41.455,49.522,62.925,125.325,149.893,177.071,237.483,0.016
380,1081.700,60.638,9.123,41.112,49.395,62.389,119.898,141.558,177.927,225.746,0.016
390,1051.600,61.198,9.271,39.747,47.696,60.315,133.738,153.995,179.992,242.647,0.016
400,1033.400,62.842,11.440,41.381,49.936,65.049,126.486,150.851,189.623,257.272,0.016
410,1068.200,61.750,8.816,41.183,49.713,62.094,126.737,149.131,187.785,304.834,0.016
420,1063.100,61.811,11.241,40.944,49.761,61.166,127.411,153.765,188.822,243.394,0.016
430,1083.500,60.169,8.622,40.676,49.296,62.007,118.530,142.307,172.706,251.455,0.017
440,1048.300,62.714,8.107,41.230,50.111,63.251,120.590,161.336,188.034,266.194,0.016
450,1016.700,64.183,9.481,40.285,48.872,63.280,141.560,169.074,193.367,263.408,0.016
460,1061.200,60.960,8.794,41.147,49.945,62.331,123.651,143.732,181.114,229.665,0.016
470,1074.700,61.918,8.449,41.373,49.493,63.209,123.632,148.718,188.839,275.776,0.016
480,1052.900,61.753,9.225,41.804,49.100,62.330,122.417,142.708,192.983,267.368,0.016
490,1044.000,62.458,8.001,40.804,49.714,63.910,129.160,149.369,191.070,288.175,0.016
500,1047.400,62.148,8.492,41.405,50.068,62.858,124.939,147.892,186.126,246.002,0.016
510,1083.000,61.213,9.879,40.519,49.925,62.855,127.534,143.472,172.517,233.317,0.016
520,1072.600,60.836,10.799,41.103,48.945,61.084,112.698,148.378,183.759,255.106,0.016
