Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,140.600,6.300,1.383,2.742,4.272,8.840,13.572,15.965,21.841,39.555,0.159
10,82.100,5.080,1.295,2.436,3.332,5.850,11.223,14.182,20.632,45.106,0.197
20,101.500,4.854,1.454,2.452,3.308,5.899,10.357,13.270,17.737,23.493,0.206
30,96.900,5.113,1.421,2.505,3.505,6.244,10.996,13.493,18.466,30.606,0.196
40,100.400,4.843,1.403,2.460,3.315,5.762,9.595,13.003,16.964,53.772,0.206
50,94.100,4.978,1.329,2.453,3.342,6.135,10.393,13.515,17.950,27.082,0.201
60,93.700,4.798,1.289,2.442,3.208,5.755,9.901,13.127,18.313,32.805,0.208
70,94.700,5.197,1.289,2.557,3.435,6.365,10.712,14.065,20.223,29.181,0.192
80,99.300,4.864,1.381,2.498,3.230,6.063,10.219,12.695,16.422,24.222,0.206
90,92.900,5.124,1.365,2.461,3.579,6.452,10.649,13.206,18.105,24.820,0.195
100,92.500,4.744,1.416,2.520,3.322,5.663,9.989,12.591,17.276,20.831,0.211
110,98.300,5.477,1.324,2.547,3.515,6.901,11.524,15.403,24.154,34.399,0.183
120,91.200,5.718,1.322,2.416,3.194,6.186,14.025,18.424,29.772,42.703,0.175
130,90.600,4.863,1.299,2.458,3.204,6.103,10.473,12.700,16.404,24.402,0.206
140,95.200,4.947,1.283,2.482,3.490,5.886,9.628,13.097,18.564,33.452,0.202
150,98.100,4.964,1.264,2.517,3.444,6.202,10.235,13.102,16.821,23.395,0.201
160,96.700,5.107,1.274,2.495,3.498,6.338,10.836,13.595,18.288,25.551,0.196
170,91.800,4.704,1.255,2.461,3.298,6.031,9.337,11.892,16.032,30.059,0.213
180,93.900,5.034,1.361,2.517,3.461,6.201,10.387,13.128,18.132,22.609,0.199
190,96.400,5.082,1.401,2.505,3.327,6.426,10.590,14.062,18.545,29.468,0.197
200,94.600,5.174,1.381,2.490,3.404,6.308,11.757,14.786,19.701,24.228,0.193
210,90.200,5.254,1.278,2.496,3.436,6.548,11.486,14.415,19.920,27.989,0.190
220,95.100,4.912,1.323,2.477,3.332,5.851,10.155,13.420,18.376,24.130,0.204
230,88.500,5.063,1.466,2.510,3.212,5.899,10.967,14.453,20.896,32.729,0.198
240,98.500,5.069,1.244,2.476,3.353,6.040,10.596,13.773,20.590,29.342,0.197
250,92.900,4.679,1.281,2.465,3.195,5.455,9.614,12.550,17.650,26.945,0.214
260,93.200,5.170,1.320,2.478,3.532,6.268,10.764,13.874,18.983,46.044,0.193
270,92.200,4.667,1.161,2.400,3.156,5.641,9.416,11.914,19.151,54.302,0.214
280,94.500,4.742,1.315,2.499,3.312,5.685,9.721,12.778,17.288,25.342,0.211
290,90.400,4.898,1.354,2.519,3.401,6.152,10.066,12.762,17.055,33.795,0.204
300,91.800,4.654,1.345,2.436,3.128,5.667,9.659,12.155,17.169,22.228,0.215
310,96.000,5.556,1.295,2.488,3.321,6.270,11.866,16.047,29.892,71.359,0.180
320,87.600,4.950,1.256,2.475,3.324,6.113,10.340,12.836,17.624,25.275,0.202
330,88.500,4.847,1.449,2.466,3.294,6.173,10.178,12.882,16.526,23.444,0.206
340,91.000,4.935,1.316,2.525,3.476,6.186,10.205,12.770,16.265,21.826,0.203
350,93.600,5.394,1.310,2.513,3.502,6.709,11.549,14.668,21.998,36.817,0.185
