Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2273,2273.000,1049,18448,30498,37541,43814,57936,74613,289710,480971
1,3544,3544.000,1244,18127,28415,33766,41309,56312,78704,137734,206251
2,4060,4060.000,1155,17425,26705,29881,39538,51897,63126,87921,121721
3,3985,3985.000,1115,17143,26746,29949,39311,51981,62824,88184,111409
4,4122,4122.000,1209,16564,26009,28924,37706,51661,59626,84311,125694
5,4211,4211.000,1055,15954,23995,28586,37996,51355,62352,89471,132318
6,4101,4101.000,1116,16007,24368,29497,38764,54247,65479,96289,164041
7,3722,3722.000,1128,19073,28351,32299,41300,56898,70586,96522,155979
8,3068,3068.000,1016,23189,32354,38868,44487,57037,80020,201886,245124
9,2357,2357.000,1129,29895,40576,51332,52783,68783,223806,318104,364446
10,2365,2365.000,921,30275,43945,54561,57713,162058,186731,215810,258524
11,1941,1941.000,1014,36740,46050,57400,61468,125917,155671,180512,224292
12,1769,1769.000,1051,33047,44511,67595,60424,187011,206509,221402,327722
13,2217,2217.000,931,32025,41593,53605,53533,115721,183318,206312,207143
14,2318,2318.000,850,33634,43083,52099,63531,96682,120989,166391,200739
15,2362,2362.000,971,34633,44669,55913,58175,119214,169283,203152,293500
16,2299,2299.000,958,30869,41566,47250,55744,90301,112973,120132,201240
17,1812,1812.000,1084,30508,44826,68824,74804,197376,206438,228751,259346
18,2126,2126.000,1015,33791,42548,53230,57564,122820,167515,179771,228256
19,2213,2213.000,1042,33360,41898,55006,60250,120192,156994,203374,248327
20,2587,2587.000,872,32749,41348,46482,49934,74255,119306,135381,179374
21,2349,2349.000,993,33528,41406,50089,54476,110167,122130,142599,172308
22,2783,2783.000,1027,31190,40932,44161,48670,79794,95594,133797,196509
23,2719,2719.000,1053,30845,42222,43301,54232,70244,77952,135574,169405
24,2529,2529.000,1117,32433,43763,48072,59862,78809,106772,145758,190278
25,2685,2685.000,1003,32870,42419,44344,53711,66833,87736,123112,138232
26,2654,2654.000,1044,29793,38932,45529,51485,83724,119342,146710,189076
27,2233,2233.000,1164,30433,41421,53051,54926,138278,157472,227827,246568
28,2082,2082.000,1063,32566,45005,58076,64762,126963,154936,186910,200212
29,2251,2251.000,950,32078,43484,53060,57323,138768,159023,176051,274145
30,2253,2253.000,926,30701,40807,52903,53665,121451,164836,197386,270690
31,2437,2437.000,965,33115,43627,51997,59106,113478,125491,148393,195526
32,1860,1860.000,1098,33040,42695,60382,62173,173846,197998,233545,309012
33,2035,2035.000,1074,32185,45209,60530,56320,140739,202407,247117,298699
34,2447,2447.000,1077,31624,41175,48431,55522,100289,125857,151182,201648
35,2082,2082.000,1043,33084,44944,56922,64227,134990,167549,179255,205208
36,2584,2584.000,908,29275,42582,50896,62946,100296,127507,163341,183841
37,2262,2262.000,1036,32424,41097,48314,54497,79510,114158,176923,185065
38,2147,2147.000,901,32858,45217,59066,57831,127888,191492,205362,289579
39,2253,2253.000,855,32602,42718,50388,53727,111312,144647,174030,201837
40,2290,2290.000,1002,34414,44254,52064,58269,101002,138251,170480,193166
41,2430,2430.000,1154,33177,49048,49370,63715,76025,105537,119476,174098
42,2405,2405.000,1005,34661,44732,49972,58481,83922,128639,139038,188830
43,2503,2503.000,1013,33434,41256,48362,54069,79432,121083,166026,195003
44,2353,2353.000,990,29942,40027,50388,54281,118766,161431,218045,250334
45,2590,2590.000,1030,31802,41688,48425,57187,86007,123759,152364,190779
46,2347,2347.000,1158,31758,41698,49342,56247,78739,158807,187830,258101
47,2267,2267.000,956,32901,43336,53369,57395,128358,134136,168145,213376
48,2639,2639.000,1040,33074,41503,44647,52076,64617,104020,145306,193231
49,2031,2031.000,984,33353,43806,59054,58160,154250,168870,178103,222607
50,2382,2382.000,901,34040,44037,52318,59592,118476,132819,186990,214788
51,2211,2211.000,1143,31456,44960,53412,61288,87974,176016,199851,257939
52,2213,2213.000,881,34422,41901,53537,56719,129640,147834,163645,198035
53,2351,2351.000,1055,35229,45486,50455,56982,79125,116528,158808,211205
54,2080,2080.000,977,32701,42538,58152,61997,139307,165345,195935,216351
55,2241,2241.000,1053,32076,41129,53081,52307,130111,184245,195791,245891
56,2267,2267.000,895,31208,42318,52654,55745,130532,144720,171742,189301
57,2506,2506.000,1073,31113,44113,48046,58095,73043,116761,175663,203376
58,2373,2373.000,903,34541,44387,52082,60090,102395,131367,160475,237060
59,2331,2331.000,896,33125,42630,50652,58057,90974,132219,170071,261250
60,2484,2484.000,1069,32569,40167,48147,56322,85796,128446,176915,209425
61,2647,2647.000,1103,31315,41319,44585,55594,70780,92631,122599,154985
62,2331,2331.000,1059,35646,48358,56503,64639,120726,144076,174540,198154
63,2106,2106.000,878,31230,42470,52162,56229,124317,145049,163294,256587
64,2494,2494.000,938,33231,43611,50774,55452,115485,123780,139867,163779
65,2301,2301.000,1097,33376,40534,49145,54382,95307,142409,155327,200533
66,2186,2186.000,1036,32506,44007,54510,62892,102173,165130,179975,217566
67,2564,2564.000,1152,32501,42606,46800,53910,71737,107223,163327,197262
68,2172,2172.000,1054,32200,42616,56346,62873,131478,156381,191202,225906
69,2493,2493.000,959,31569,41550,50891,60113,107815,129047,154531,185074
70,2180,2180.000,861,33404,42909,51099,53860,92623,143818,182769,211671
71,2290,2290.000,907,32894,46317,55630,59395,119544,142746,181647,210605
72,2272,2272.000,936,31977,44696,50104,55130,86381,155150,194042,209187
73,2225,2225.000,793,33881,45040,54188,60118,116150,145385,162107,182182
74,2499,2499.000,1132,32088,42208,47390,53985,82234,118094,146178,196701
75,2122,2122.000,1019,34403,47181,57472,65287,138954,150744,178707,223845
76,2400,2400.000,989,31852,43817,52055,52843,89770,157523,216023,240641
77,2349,2349.000,860,31068,41658,48376,55170,78688,126081,173183,182893
78,2459,2459.000,1101,32383,42730,48472,55389,87099,121728,153725,215007
79,2265,2265.000,1056,33600,47035,53105,58394,97496,141166,186694,240413
80,2279,2279.000,1166,32723,44144,52856,58681,110755,138860,166031,186199
81,2425,2425.000,914,33393,43562,52494,57992,112065,136879,191285,229102
82,2156,2156.000,1064,31155,43057,51620,54587,123355,149838,159700,217733
83,2592,2592.000,1054,33689,41715,46635,50667,68347,101722,182770,218929
84,2345,2345.000,1043,35134,44072,50417,56350,91345,130139,155950,183971
85,2470,2470.000,1030,31161,40913,49608,53418,108092,138811,159737,228480
86,2373,2373.000,799,33663,43410,49801,55906,86419,130354,168777,195663
87,2153,2153.000,1038,32109,41770,55632,59176,118396,175790,209864,246509
88,2914,2914.000,979,30313,41545,42500,49864,71048,88461,124463,187543
89,2274,2274.000,1173,31031,42800,51234,60747,98130,121790,174815,184835
90,2356,2356.000,999,34483,41504,54617,52158,141145,154887,188405,209457
91,2152,2152.000,1067,30324,44276,51845,53788,129179,149129,170296,226717
92,2245,2245.000,987,32213,42890,54353,59431,111378,166166,205611,251294
93,2371,2371.000,988,32791,41896,50339,55592,82989,170765,190738,207823
94,2272,2272.000,970,32792,42643,52163,57029,101367,146686,175717,225975
95,2427,2427.000,921,33153,42459,51830,53931,102255,159058,192229,279703
96,2294,2294.000,929,32558,42326,49254,55427,86106,128261,145894,196037
97,2314,2314.000,1109,30369,41578,54809,57985,137644,159558,196272,237152
98,2355,2355.000,1127,34506,42633,48810,53447,94765,133645,163228,186205
99,2400,2400.000,1020,31886,40805,49883,62573,97475,120985,140946,217462
100,2269,2269.000,1056,34309,45586,55654,57613,132567,150735,173389,244695
101,2327,2327.000,974,31072,44459,47869,53921,84462,129275,144701,181336
102,2476,2476.000,1007,31286,40522,52888,52902,126349,166924,189361,202228
103,2285,2285.000,1109,32950,42208,48247,54804,88320,121349,148771,177776
104,2392,2392.000,836,31461,46070,52091,55707,99614,146783,190334,220415
105,2364,2364.000,1038,32738,40042,48974,48726,92833,163272,193806,257057
106,2276,2276.000,1040,28369,44447,52513,57116,113420,149953,186460,220094
107,2604,2604.000,1015,35100,43917,46113,55305,69697,80952,121904,164786
108,2210,2210.000,991,30867,41877,55271,58991,131261,158593,175205,202089
109,2316,2316.000,988,32208,40458,55345,54747,145183,158568,195460,233570
110,2299,2299.000,1002,28912,41036,47994,55066,95227,126778,163075,203407
111,2492,2492.000,1135,32511,40745,49580,50670,105383,148075,164586,208247
112,2371,2371.000,887,31968,45533,48682,59982,88377,109855,134206,164622
113,2275,2275.000,939,31033,41741,53421,60428,120034,137756,178196,199042
114,2319,2319.000,1267,34432,42339,51264,52842,118940,156552,196213,207767
115,2194,2194.000,907,35588,45272,55291,58690,119849,166136,183203,227607
116,2643,2643.000,842,32206,42029,47976,57972,80120,97175,186337,246097
117,2046,2046.000,1115,31562,44346,53974,62460,120888,133071,166048,274927
118,2594,2594.000,880,31737,39993,47040,54647,77883,118958,173682,200095
119,2323,2323.000,1010,34926,47368,50823,62025,86638,115233,133662,204621
120,2353,2353.000,1063,33804,46790,53776,60649,104930,137588,162850,246549
