Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1477.900,19.704,11.183,16.128,17.785,20.008,23.444,26.797,44.254,204.710,0.051
10,844.200,47.134,12.341,29.244,36.375,43.803,52.098,75.737,348.176,397.945,0.021
20,1037.900,37.599,12.051,26.162,35.359,41.567,49.374,55.644,170.075,378.067,0.027
30,931.900,41.875,13.877,29.649,36.575,42.790,50.936,59.495,296.111,362.686,0.024
40,995.400,42.002,12.931,30.600,37.257,43.549,52.974,65.199,211.681,249.650,0.024
50,936.700,43.804,13.707,30.963,37.468,44.773,53.496,62.749,248.681,342.140,0.023
60,956.700,42.696,13.122,30.536,36.706,43.859,51.599,60.716,229.078,293.475,0.023
70,953.800,42.249,13.289,30.143,36.391,43.908,51.488,59.501,265.945,335.199,0.024
80,987.600,41.944,12.960,29.751,36.190,43.073,51.736,61.773,251.459,309.693,0.024
90,963.000,41.934,13.588,28.734,35.409,42.813,51.049,59.104,287.862,354.576,0.024
100,969.800,40.941,10.657,30.537,36.644,43.295,51.541,62.632,242.650,302.911,0.024
110,973.600,40.527,13.043,30.005,36.242,43.273,53.024,62.343,169.319,346.151,0.025
120,990.200,40.627,11.929,29.630,36.715,43.650,52.731,59.447,200.458,314.017,0.025
130,961.300,42.999,13.445,30.614,37.252,44.067,51.748,64.292,236.116,343.415,0.023
140,936.600,42.619,11.233,29.873,35.180,42.993,52.797,65.595,258.834,354.675,0.023
150,1000.800,40.305,12.845,30.314,37.316,43.723,51.354,61.647,175.492,232.177,0.025
160,949.500,42.566,13.206,29.816,36.364,43.002,49.558,55.274,290.815,417.718,0.023
170,948.000,42.273,11.485,30.743,37.161,43.871,54.213,64.514,249.330,349.541,0.024
180,1002.400,40.170,12.145,30.364,36.215,43.012,50.464,56.340,187.598,298.636,0.025
190,983.500,40.912,12.063,30.312,35.920,42.678,50.542,58.714,242.620,295.763,0.024
200,948.400,42.619,13.099,29.576,35.911,43.203,53.262,67.949,255.828,356.172,0.023
210,981.600,40.104,13.641,29.463,36.166,41.979,48.469,55.993,187.777,387.340,0.025
220,985.000,39.718,12.306,29.718,36.503,43.741,51.673,58.506,171.080,227.332,0.025
