Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,136.800,4.984,3.378,4.059,4.371,5.241,6.605,8.100,12.199,45.942,0.201
10,79.200,4.571,3.237,3.929,4.230,4.782,5.575,6.717,9.903,17.150,0.219
20,99.000,4.711,3.308,4.056,4.335,4.875,5.964,6.732,10.679,16.134,0.212
30,89.500,4.665,3.200,3.961,4.229,4.704,5.774,6.955,11.462,42.487,0.214
40,96.900,4.656,3.148,3.960,4.248,4.754,5.803,6.754,12.545,23.556,0.215
50,90.800,4.670,3.328,3.974,4.287,4.789,5.798,7.133,9.464,40.271,0.214
60,92.300,4.784,3.289,3.961,4.283,4.881,6.268,7.898,11.092,21.332,0.209
70,92.600,4.695,3.350,3.982,4.290,4.775,5.844,6.748,11.994,31.820,0.213
80,93.200,4.574,3.318,3.985,4.258,4.713,5.493,6.500,9.290,18.548,0.219
90,89.300,4.579,3.298,3.956,4.263,4.729,5.622,6.701,9.466,22.639,0.218
100,88.900,4.824,3.271,3.971,4.285,4.957,6.314,8.120,13.343,17.816,0.207
110,93.000,4.721,3.357,3.982,4.298,4.804,5.841,6.974,11.931,21.790,0.212
120,91.000,4.669,3.252,3.996,4.304,4.854,5.835,6.851,9.909,22.851,0.214
130,88.000,4.516,3.216,3.953,4.218,4.682,5.474,6.099,8.250,50.854,0.221
140,88.700,4.815,3.318,3.945,4.251,4.747,5.957,7.035,10.342,53.686,0.208
150,91.900,4.706,3.237,3.969,4.255,4.779,5.909,7.143,9.523,44.558,0.213
160,91.400,4.600,3.231,3.972,4.274,4.755,5.863,6.805,8.469,26.424,0.217
170,89.300,4.710,3.203,3.974,4.292,4.844,5.916,7.157,9.762,40.330,0.212
180,97.200,4.638,3.411,3.975,4.277,4.811,5.870,6.682,9.244,23.309,0.216
190,87.500,4.662,3.315,3.982,4.281,4.901,5.858,6.736,10.165,20.140,0.215
200,91.500,4.684,3.155,3.965,4.276,4.819,6.062,6.900,10.170,31.779,0.213
210,95.500,4.641,3.183,3.956,4.247,4.779,5.879,7.119,10.094,13.402,0.215
220,92.100,5.146,3.308,4.061,4.437,5.289,7.228,9.117,14.770,40.894,0.194
230,87.600,5.233,3.129,4.052,4.398,5.208,6.988,9.853,15.781,60.243,0.191
240,86.100,4.828,3.325,4.085,4.426,5.104,6.250,7.528,9.852,14.294,0.207
250,87.000,4.797,3.472,4.094,4.423,4.933,6.287,7.348,10.913,15.041,0.208
260,89.600,4.849,3.419,4.093,4.409,5.054,6.345,7.438,10.622,21.320,0.206
270,94.700,4.736,3.371,4.060,4.364,4.960,5.985,7.140,10.175,12.070,0.211
280,85.200,4.914,3.306,4.078,4.382,5.038,6.029,7.226,10.379,125.380,0.203
290,92.600,4.868,3.451,4.106,4.429,5.154,6.380,7.447,10.305,14.093,0.205
300,87.800,4.801,3.286,4.078,4.372,4.939,5.952,6.927,9.921,75.756,0.208
310,95.300,4.571,3.320,3.985,4.262,4.713,5.686,6.713,9.707,12.118,0.219
320,93.500,4.726,3.233,4.028,4.332,4.959,5.885,6.988,9.752,32.335,0.212
330,93.500,4.661,3.235,3.995,4.306,4.833,5.710,6.944,9.630,15.359,0.215
340,87.600,5.381,3.387,4.113,4.514,5.312,7.337,9.464,18.052,64.421,0.186
350,88.500,5.345,3.258,4.121,4.546,5.343,7.545,9.598,18.249,43.862,0.187
360,97.400,4.643,3.306,4.022,4.343,4.820,5.672,6.530,9.055,46.299,0.215
370,93.400,4.614,3.355,3.990,4.258,4.776,5.924,7.023,8.818,19.252,0.217
380,94.700,4.703,3.220,3.984,4.293,4.830,6.014,7.038,9.948,47.792,0.213
390,89.300,4.797,3.336,4.074,4.414,4.991,6.003,7.006,10.074,21.116,0.208
400,92.200,4.933,3.328,4.099,4.422,4.971,6.304,7.384,9.913,119.226,0.203
410,94.000,4.796,3.344,4.083,4.377,4.962,6.165,7.335,9.683,30.296,0.209
420,93.200,4.912,3.277,4.075,4.433,5.142,6.531,7.703,12.560,21.401,0.204
430,95.800,4.804,3.114,4.076,4.391,5.024,6.316,7.328,9.430,28.520,0.208
440,88.300,4.699,3.486,4.051,4.394,4.898,5.760,6.755,9.551,30.550,0.213
450,92.800,4.789,3.146,4.064,4.373,5.001,6.143,7.133,9.858,29.783,0.209
460,86.800,5.134,3.388,4.129,4.510,5.295,7.075,9.246,13.839,18.689,0.195
470,91.100,5.165,3.268,4.034,4.363,5.266,7.608,9.557,14.818,30.003,0.194
480,87.000,4.597,3.406,3.979,4.262,4.744,5.814,6.790,9.416,17.217,0.218
490,90.600,4.765,3.396,4.080,4.406,5.033,5.876,6.652,10.202,53.529,0.210
500,90.100,4.817,3.330,4.074,4.376,4.944,6.031,6.907,10.386,62.404,0.208
510,87.700,4.803,3.266,4.062,4.393,5.041,6.246,7.085,10.549,15.830,0.208
520,88.400,4.673,3.425,4.056,4.369,4.847,5.586,6.403,10.837,26.467,0.214
530,87.600,4.667,3.358,4.018,4.315,4.870,5.910,6.685,8.923,26.421,0.214
540,86.600,4.982,3.393,4.095,4.443,5.114,6.518,7.751,11.320,42.098,0.201
550,97.500,4.935,3.391,4.117,4.468,5.208,6.498,7.756,10.900,17.844,0.203
560,88.100,4.719,3.329,4.059,4.364,4.898,5.940,7.112,10.607,12.999,0.212
570,85.900,4.782,3.300,4.066,4.425,4.927,6.121,7.316,10.141,16.007,0.209
580,91.700,5.258,3.347,4.098,4.515,5.350,7.080,9.364,14.968,37.507,0.190
590,95.100,5.149,3.361,4.142,4.496,5.258,6.733,8.773,15.585,23.175,0.194
600,95.000,4.950,3.332,4.091,4.477,5.181,6.510,7.910,11.036,24.481,0.202
610,91.500,4.791,3.363,4.071,4.429,5.008,5.896,7.551,10.423,13.573,0.209
620,94.400,4.869,3.338,4.109,4.451,5.040,6.069,7.505,11.441,28.969,0.205
630,91.600,4.816,3.232,4.087,4.418,5.024,5.948,7.540,10.957,13.419,0.208
640,90.800,4.765,3.373,4.089,4.385,4.967,5.865,7.022,9.079,55.002,0.210
650,100.000,4.905,3.357,4.129,4.466,5.118,6.308,7.482,10.632,37.670,0.204
660,92.600,4.883,3.196,4.100,4.457,5.115,6.292,7.632,10.527,14.030,0.205
670,97.200,4.867,3.417,4.117,4.426,5.010,6.346,7.605,10.970,23.091,0.205
680,94.500,4.762,3.478,4.110,4.443,4.928,5.960,7.001,9.550,12.542,0.210
690,97.700,4.850,3.187,4.112,4.419,5.019,6.229,7.311,10.158,43.042,0.206
700,95.200,4.983,3.312,4.042,4.379,5.050,6.712,8.344,12.376,42.539,0.201
710,94.800,5.168,3.200,4.025,4.381,5.200,7.014,9.059,16.355,51.776,0.193
720,94.000,4.748,3.274,4.028,4.334,4.932,5.846,6.885,11.426,23.477,0.211
730,93.700,4.761,3.373,4.080,4.388,5.012,5.949,7.011,10.016,13.865,0.210
740,96.600,4.779,3.385,4.111,4.408,4.920,5.924,6.934,11.136,15.474,0.209
750,93.900,4.748,3.346,4.079,4.395,4.866,5.954,7.010,9.864,27.686,0.211
760,92.900,4.738,3.299,4.037,4.383,4.924,6.140,7.363,9.135,12.483,0.211
770,87.600,4.610,3.226,3.989,4.345,4.878,5.672,6.433,8.647,12.918,0.217
780,91.500,4.810,3.184,4.060,4.400,5.085,6.111,7.063,10.290,21.649,0.208
790,93.700,4.708,3.308,4.045,4.351,4.862,5.947,6.753,10.311,18.220,0.212
800,93.900,4.805,3.274,4.069,4.407,5.016,6.214,7.463,10.329,11.954,0.208
810,91.800,4.590,3.329,3.953,4.291,4.785,5.687,6.663,9.530,17.505,0.218
820,87.700,5.110,3.160,4.039,4.406,5.171,6.920,8.413,14.726,44.249,0.196
830,96.800,5.083,3.317,4.047,4.427,5.219,6.900,8.717,13.575,46.577,0.197
840,92.200,4.697,3.210,4.026,4.353,4.996,5.786,6.607,10.048,16.971,0.213
850,93.500,4.634,3.308,4.013,4.311,4.821,5.752,6.658,8.258,27.929,0.216
860,87.000,4.703,3.191,4.049,4.382,4.897,5.961,6.800,9.577,13.335,0.213
870,95.600,4.837,3.378,4.052,4.369,4.936,6.010,6.995,10.341,41.320,0.207
880,99.500,4.647,3.258,3.994,4.272,4.808,5.959,7.154,9.493,13.848,0.215
890,96.400,4.631,3.223,3.956,4.255,4.815,6.007,6.827,9.917,11.849,0.216
900,96.800,4.808,3.333,4.033,4.316,4.894,6.051,6.836,11.993,43.094,0.208
910,92.000,4.759,3.333,4.089,4.380,4.986,6.047,7.085,9.803,15.846,0.210
920,92.800,4.810,3.296,4.047,4.408,5.038,6.274,7.393,9.789,37.143,0.208
930,93.800,4.652,3.237,4.011,4.326,4.827,6.051,7.057,9.092,11.228,0.215
940,96.100,5.163,3.259,4.122,4.465,5.193,6.614,8.726,16.139,24.746,0.194
950,91.700,5.052,3.257,4.080,4.418,5.097,6.651,9.068,14.204,24.284,0.198
960,94.300,4.702,3.366,4.009,4.333,4.884,5.888,6.703,9.886,28.695,0.213
970,93.400,4.762,3.298,4.018,4.371,5.101,6.019,7.186,10.334,11.785,0.210
980,96.700,4.749,3.221,4.039,4.335,4.983,6.196,7.422,10.350,13.466,0.211
990,91.700,4.675,3.276,3.990,4.324,4.822,5.733,6.492,9.378,53.879,0.214
1000,88.700,4.635,3.361,3.947,4.264,4.769,5.811,7.112,10.109,26.154,0.216
1010,89.900,4.700,3.261,3.984,4.285,4.874,6.080,7.181,10.264,35.082,0.213
1020,92.100,4.699,3.365,3.983,4.286,4.848,5.954,6.992,10.621,17.191,0.213
1030,91.200,4.740,3.237,4.019,4.303,4.854,5.775,6.703,10.246,65.588,0.211
1040,91.600,4.696,3.192,4.016,4.334,4.877,5.989,6.994,9.482,22.275,0.213
1050,90.000,4.726,3.281,4.006,4.317,4.932,5.942,6.931,9.653,33.415,0.212
1060,96.700,5.121,3.315,4.095,4.443,5.247,6.982,8.729,14.970,23.735,0.195
1070,96.400,5.337,3.223,4.134,4.556,5.497,7.339,9.726,15.815,41.665,0.187
1080,86.900,4.885,3.228,4.093,4.439,5.112,6.398,7.808,10.691,13.325,0.205
1090,92.900,4.728,3.379,4.069,4.397,4.985,6.080,6.993,9.159,11.879,0.212
1100,89.900,4.775,3.317,4.013,4.356,4.949,6.031,7.343,10.435,30.854,0.209
1110,93.300,4.812,3.333,4.052,4.364,4.980,6.000,7.409,9.792,54.848,0.208
1120,93.600,4.674,3.182,4.008,4.344,4.910,5.741,6.657,9.454,25.429,0.214
1130,91.000,4.685,3.212,3.997,4.354,4.958,6.090,6.898,8.465,21.097,0.213
1140,96.500,4.859,3.270,4.049,4.379,4.939,6.226,7.603,12.275,31.900,0.206
1150,90.900,4.700,3.428,4.052,4.340,4.904,5.728,6.571,10.180,30.465,0.213
1160,88.400,4.596,3.285,3.974,4.263,4.838,5.855,6.707,9.259,10.947,0.218
1170,93.600,4.616,3.189,3.996,4.290,4.780,5.846,6.702,9.252,13.387,0.217
1180,95.400,5.065,3.247,4.034,4.408,5.326,6.658,8.252,13.265,41.562,0.197
1190,89.000,5.076,3.210,4.072,4.438,5.194,7.047,8.860,14.437,19.958,0.197
1200,92.700,4.720,3.256,4.023,4.341,4.929,5.866,7.144,9.949,20.509,0.212
1210,88.700,4.722,3.199,3.980,4.314,4.890,6.040,7.349,9.409,20.361,0.212
1220,93.700,4.673,3.308,3.969,4.304,4.871,6.066,7.283,9.946,13.187,0.214
1230,91.400,4.675,3.333,4.015,4.318,4.917,5.928,6.983,9.217,15.050,0.214
1240,93.300,4.599,3.357,3.970,4.263,4.769,5.850,6.658,9.458,13.571,0.217
1250,87.800,4.572,3.309,3.973,4.246,4.701,5.612,6.634,9.283,23.129,0.219
1260,94.800,4.897,3.229,4.011,4.344,5.064,6.287,7.392,10.207,54.864,0.204
1270,96.700,4.701,3.347,4.015,4.367,4.911,5.845,6.832,10.074,16.833,0.213
1280,94.900,4.589,3.232,3.987,4.297,4.813,5.744,6.569,8.736,12.496,0.218
1290,93.700,4.669,3.299,3.995,4.288,4.843,5.889,6.865,10.105,13.259,0.214
1300,95.900,5.174,3.153,4.048,4.422,5.217,7.145,9.617,15.912,36.532,0.193
1310,97.800,5.141,3.233,4.020,4.399,5.172,6.953,9.010,15.752,51.951,0.195
1320,91.500,4.775,3.151,4.001,4.338,4.980,6.326,7.276,10.173,22.112,0.209
1330,89.100,4.590,3.251,3.965,4.254,4.711,5.743,6.979,10.080,12.930,0.218
1340,93.100,4.577,3.187,3.966,4.263,4.803,5.708,6.409,9.087,11.969,0.218
1350,92.800,4.548,3.248,3.963,4.273,4.711,5.501,6.092,9.220,41.732,0.220
1360,92.400,4.603,3.149,3.970,4.317,4.786,5.751,6.864,9.262,12.565,0.217
1370,95.800,4.735,3.246,3.991,4.305,4.949,5.921,6.865,10.431,40.213,0.211
1380,90.500,4.631,3.261,3.962,4.266,4.838,5.669,7.012,10.693,15.897,0.216
1390,96.200,4.600,3.405,3.996,4.273,4.751,5.746,6.647,9.518,12.527,0.217
1400,97.000,4.628,3.292,3.973,4.255,4.760,5.821,6.820,10.246,17.718,0.216
1410,91.500,4.521,3.376,3.957,4.270,4.748,5.592,6.311,8.418,11.005,0.221
1420,99.100,5.028,3.319,4.039,4.377,5.162,6.664,8.989,13.656,24.426,0.199
1430,91.700,5.020,3.334,4.029,4.378,5.076,6.865,8.952,14.034,35.886,0.199
1440,97.800,4.648,3.282,3.983,4.294,4.904,5.966,6.819,9.002,15.744,0.215
1450,92.000,4.607,3.324,3.983,4.302,4.824,5.778,6.635,8.918,13.747,0.217
1460,97.700,4.669,3.316,3.964,4.295,4.857,5.977,6.870,9.566,31.239,0.214
1470,93.500,4.603,3.315,3.968,4.295,4.802,5.693,6.632,9.389,12.251,0.217
1480,93.000,4.634,3.268,3.987,4.293,4.743,5.975,6.887,9.845,15.646,0.216
1490,98.900,4.726,3.228,4.014,4.306,4.927,6.178,7.258,10.499,13.646,0.212
1500,87.900,4.679,3.357,4.002,4.361,4.866,5.856,6.441,8.982,23.722,0.214
1510,90.900,4.681,3.405,4.046,4.377,4.922,5.957,6.625,8.465,15.538,0.214
1520,97.200,4.740,3.377,4.086,4.372,5.026,6.004,6.942,9.095,13.699,0.211
1530,93.500,4.718,3.376,4.062,4.389,4.953,5.967,7.133,8.900,12.905,0.212
1540,93.400,5.170,3.215,4.126,4.482,5.271,7.029,9.159,15.122,24.952,0.193
