Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1342.300,22.585,10.762,17.324,19.652,23.671,30.780,39.531,60.429,234.107,0.044
10,952.700,41.264,12.812,26.100,34.564,41.758,50.908,65.011,294.868,404.089,0.024
20,1106.300,33.895,11.492,19.705,27.197,36.207,45.432,52.631,279.051,461.256,0.030
30,973.800,43.749,13.461,29.999,36.313,42.905,50.982,60.834,352.544,449.611,0.023
40,1017.200,39.808,13.984,30.241,36.270,43.805,50.633,57.918,162.163,271.145,0.025
50,998.400,41.569,14.838,30.517,36.600,42.754,51.944,64.563,202.270,350.898,0.024
60,1036.900,37.964,12.412,25.567,33.827,41.548,49.728,56.330,190.325,326.533,0.026
70,992.900,40.850,12.299,29.358,36.208,43.783,51.060,62.006,195.986,250.603,0.024
80,998.000,40.250,12.448,28.710,35.584,42.200,52.294,65.661,203.136,288.497,0.025
90,1009.800,40.841,14.897,30.621,37.153,44.696,51.697,59.009,180.482,349.057,0.024
100,1046.000,39.103,14.227,30.159,36.117,42.948,51.620,59.481,119.744,287.842,0.026
110,1007.800,39.381,12.687,29.331,35.773,43.124,50.566,57.367,163.330,257.206,0.025
120,983.800,41.723,13.064,30.086,36.442,43.854,51.694,65.704,220.897,294.733,0.024
130,1009.300,41.138,14.100,30.168,37.101,44.043,54.745,66.441,169.869,305.081,0.024
140,1019.900,38.103,12.146,25.117,32.702,40.424,50.536,60.500,240.069,393.060,0.026
150,1041.900,39.600,14.979,29.469,35.301,42.354,51.413,62.693,170.996,308.501,0.025
160,1032.000,39.339,13.483,28.985,35.871,42.526,49.231,56.666,192.707,251.329,0.025
170,985.200,41.350,13.073,29.697,36.455,43.476,50.838,59.348,248.597,319.429,0.024
180,1005.900,40.545,12.136,30.486,35.533,42.798,50.553,58.506,213.113,303.156,0.025
190,1022.200,39.961,14.051,30.461,36.356,43.296,51.745,58.463,151.394,255.087,0.025
200,1048.200,39.861,11.114,29.545,36.402,42.699,51.777,58.711,164.025,292.817,0.025
210,1020.900,39.852,13.374,30.356,35.678,42.300,50.884,60.094,171.720,337.558,0.025
220,1008.300,39.962,13.983,29.404,36.148,43.028,51.877,60.568,211.680,294.436,0.025
230,1049.400,39.458,13.414,28.988,35.296,42.417,52.465,60.894,148.000,381.649,0.025
240,1011.200,36.975,11.778,24.452,32.773,40.306,47.628,56.735,226.674,365.762,0.027
250,1034.100,37.135,11.990,23.332,32.508,40.876,49.944,58.756,237.001,399.563,0.027
260,1011.300,39.624,11.210,29.563,35.733,42.461,49.685,58.227,181.728,459.524,0.025
270,1006.700,40.678,12.600,30.078,36.606,43.573,51.355,58.056,191.704,304.243,0.025
280,1026.400,39.073,13.208,27.793,34.194,41.805,50.444,61.387,210.528,328.443,0.026
290,1054.900,39.446,10.658,30.298,36.651,43.775,50.929,58.160,131.502,232.223,0.025
300,1002.300,40.745,11.689,30.471,36.012,42.415,50.054,57.522,243.586,334.194,0.025
310,1040.800,39.265,12.613,29.645,35.729,42.085,51.419,59.788,152.312,335.043,0.025
320,1019.200,40.370,13.371,30.711,37.180,43.417,51.548,62.739,161.302,259.197,0.025
330,1055.800,39.589,10.619,30.030,36.946,43.895,52.927,60.049,127.959,199.642,0.025
340,1024.600,38.036,11.622,24.437,32.540,40.655,50.078,61.624,205.772,403.310,0.026
350,1004.400,39.378,12.411,29.263,36.109,43.034,50.145,56.114,147.221,337.199,0.025
360,1008.800,39.967,13.966,30.342,36.020,42.739,50.827,58.410,166.891,275.159,0.025
370,1010.700,40.591,10.992,29.493,35.939,42.776,50.846,58.690,223.676,303.079,0.025
380,1018.900,36.702,12.756,22.295,30.560,39.541,47.441,55.855,340.447,467.140,0.027
390,1016.200,40.089,14.688,30.126,35.519,42.583,49.673,59.199,183.614,248.283,0.025
400,1006.100,39.045,12.785,24.548,32.359,41.218,50.110,62.296,289.992,378.775,0.026
410,1035.800,38.534,13.159,28.838,35.319,41.629,52.691,63.149,132.266,283.101,0.026
