Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,990,990.000,3180,19663,37547,82597,67381,170560,430694,815481,903974
1,3253,3253.000,3222,19149,33886,36290,49863,61602,80684,104756,150227
2,3476,3476.000,3294,18202,31410,35580,48716,64191,83298,106463,146234
3,3373,3373.000,3108,18428,32565,34508,47218,58220,74831,93502,123044
4,3645,3645.000,3189,17571,30782,32887,46064,55350,69428,89071,155513
5,3373,3373.000,3231,19164,33689,35597,47934,60423,80751,95944,135778
6,3674,3674.000,3217,18148,29814,32775,45667,54036,60827,90531,136403
7,3398,3398.000,3238,19265,34746,35141,47984,57528,73401,90357,125243
8,3532,3532.000,3215,17905,32687,34601,47453,58302,76519,97061,369100
9,2517,2517.000,3218,23044,36236,46843,52607,68235,105084,259438,317815
10,2706,2706.000,3181,22436,35150,44101,50305,62866,91587,236262,290151
11,2554,2554.000,3074,19565,33802,47282,49974,66625,101075,315144,377332
12,1699,1699.000,3146,33196,45697,70809,62634,86027,403756,429406,516554
13,2473,2473.000,3130,34933,46758,62295,62711,84364,130444,379683,431632
14,1829,1829.000,3170,34845,46247,46635,59574,72613,83370,96959,118499
15,2521,2521.000,3125,33642,45351,48055,61019,77313,89622,111073,148054
16,1904,1904.000,3204,35300,49592,63180,64357,89304,253712,323818,372814
17,2299,2299.000,3138,36747,48539,52360,61036,82637,115675,166694,217162
18,1936,1936.000,3155,35465,47116,61260,64134,84398,241268,314253,358037
19,2424,2424.000,3190,34828,46959,49192,58131,77834,110551,146248,206357
20,2502,2502.000,3179,35047,47841,48426,60999,74755,85659,105294,159474
21,2610,2610.000,3164,33157,45409,46108,57986,71733,79722,102597,176313
22,2343,2343.000,3203,33490,47152,51691,63610,80261,107234,163043,234030
23,2037,2037.000,3179,24093,40793,57834,56117,78277,326608,397860,491225
24,3358,3358.000,3144,20117,33179,35763,49191,58892,71380,95927,135363
