Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,91.600,110.690,40.633,88.521,106.684,126.178,150.327,169.002,197.298,293.905,0.009
10,101.100,115.339,49.674,88.225,109.664,133.912,163.097,182.221,228.745,351.894,0.009
20,98.700,136.680,42.013,93.726,117.748,150.785,210.169,298.640,458.257,538.389,0.007
30,65.900,176.781,38.151,90.347,122.333,173.442,335.626,553.030,869.947,1119.106,0.006
40,20.700,491.069,38.523,315.229,512.816,571.824,781.542,810.257,1038.223,1097.867,0.002
50,25.600,446.154,41.932,288.084,492.719,538.528,729.622,793.440,1033.926,1065.380,0.002
60,26.700,459.439,37.944,297.208,485.131,564.494,765.019,803.468,840.573,898.197,0.002
70,30.200,471.564,36.153,296.065,514.322,554.274,767.143,831.299,1017.282,1078.910,0.002
80,32.500,384.866,54.537,279.765,307.700,502.396,550.197,729.443,885.358,1084.271,0.003
90,37.100,400.769,39.976,281.751,315.194,517.589,592.750,826.044,858.586,871.424,0.002
100,38.800,279.155,35.895,196.386,272.158,325.938,501.071,530.590,623.295,772.138,0.004
110,42.300,309.441,37.336,239.963,289.440,365.326,491.631,534.792,730.741,1038.447,0.003
120,47.200,290.986,49.084,244.331,273.274,307.743,483.819,530.010,752.969,812.212,0.003
130,46.500,279.191,52.279,237.795,276.077,318.684,452.033,493.803,532.919,587.550,0.004
140,36.600,313.401,38.345,230.063,283.523,403.377,550.182,616.037,741.852,803.652,0.003
150,36.000,339.947,39.274,254.236,291.919,483.825,540.060,564.214,805.930,1028.486,0.003
160,32.400,332.825,39.044,252.506,309.534,410.129,530.595,558.598,636.446,787.564,0.003
170,35.400,371.381,57.687,275.954,324.181,488.119,561.575,638.476,775.581,807.671,0.003
180,35.400,370.465,44.414,277.409,314.405,502.892,548.920,584.026,771.837,851.529,0.003
190,36.600,364.784,45.639,259.894,320.871,491.750,549.276,636.283,900.380,948.650,0.003
