Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2170.100,51.101,1.572,29.071,41.458,58.376,82.114,101.644,167.176,1915.709,0.020
10,2426.500,49.477,1.571,28.108,41.796,62.427,90.419,111.817,167.635,351.894,0.020
20,2383.900,50.984,1.569,26.172,38.720,59.596,95.784,130.751,247.026,538.389,0.020
30,1617.700,74.335,1.484,26.725,42.651,80.581,198.941,257.444,456.192,1119.106,0.013
40,583.700,205.106,1.567,35.627,230.009,283.707,341.342,519.190,746.333,1097.867,0.005
50,664.200,179.079,1.630,31.726,208.287,264.518,313.607,468.761,559.667,1065.380,0.006
60,679.100,178.210,1.556,28.890,208.121,259.001,324.663,450.596,610.117,1045.581,0.006
70,690.200,173.282,1.478,30.321,202.242,253.122,308.284,487.238,578.736,1078.910,0.006
80,837.200,143.208,1.644,29.182,178.227,237.902,267.442,287.578,524.083,1084.271,0.007
90,859.900,141.055,1.591,28.911,72.157,236.995,270.061,300.638,542.262,1060.773,0.007
100,964.100,122.502,1.301,31.353,93.338,208.118,257.326,289.339,455.140,772.138,0.008
110,1054.500,114.028,1.490,27.941,53.306,202.382,258.554,297.575,486.327,1038.447,0.009
120,1116.500,109.466,1.526,27.692,48.379,204.741,243.256,269.496,493.990,1096.450,0.009
130,1170.500,101.638,1.506,27.681,48.738,186.071,241.200,269.105,356.048,587.550,0.010
140,985.300,122.444,1.478,29.455,73.750,204.920,265.089,301.980,487.147,803.652,0.008
150,831.000,142.533,1.550,31.238,129.235,231.512,277.502,307.749,516.370,1028.486,0.007
160,854.400,140.509,1.524,31.335,124.409,231.739,288.673,322.678,496.169,787.564,0.007
170,896.700,133.572,1.555,29.931,93.869,225.466,281.359,315.430,519.910,812.758,0.007
180,860.600,139.347,1.590,28.405,71.049,236.135,277.841,324.668,528.362,1292.940,0.007
190,942.600,126.887,1.507,27.862,65.622,215.164,281.585,319.102,526.883,948.650,0.008
200,934.300,130.092,1.536,29.782,88.325,224.643,275.327,313.906,493.488,799.274,0.008
210,961.500,125.174,1.599,29.330,60.595,223.147,259.428,290.260,479.359,881.062,0.008
220,834.500,148.432,1.541,28.668,55.893,210.907,268.448,348.471,1452.271,2476.201,0.007
230,966.600,119.553,1.499,28.499,58.624,207.847,257.257,296.191,500.495,1134.018,0.008
240,988.700,119.973,1.551,28.224,54.582,211.974,278.839,316.205,501.575,919.782,0.008
250,941.500,128.267,1.506,31.046,80.420,221.348,269.381,325.838,435.282,769.702,0.008
260,909.000,132.169,1.533,31.649,106.703,224.621,263.950,304.419,476.790,765.251,0.008
270,874.400,138.429,1.421,31.794,113.009,232.673,276.228,305.993,515.431,1017.518,0.007
280,894.800,133.753,1.552,30.662,71.331,225.967,275.219,311.621,532.739,1045.413,0.007
290,944.100,127.190,1.609,29.464,56.070,226.815,266.829,297.062,480.473,853.628,0.008
300,936.800,128.098,1.594,30.623,82.496,223.759,264.540,297.288,495.723,733.969,0.008
310,950.700,127.001,1.537,30.248,58.912,222.669,257.859,284.317,507.107,1044.229,0.008
320,935.100,126.847,1.582,27.863,51.283,227.230,266.363,297.408,526.057,883.226,0.008
330,993.600,120.899,1.398,28.051,53.009,215.876,254.147,289.812,495.129,785.204,0.008
340,958.200,124.504,1.441,30.766,67.510,219.762,270.826,298.613,461.504,678.482,0.008
350,1007.200,119.836,1.508,29.785,76.774,209.181,257.059,293.786,455.130,1035.360,0.008
360,911.300,132.518,1.479,30.048,93.023,219.472,272.908,317.739,499.209,822.709,0.008
370,898.300,131.439,1.570,28.627,73.036,227.339,265.549,313.038,496.336,774.121,0.008
380,913.600,133.585,1.469,30.119,82.899,227.966,260.080,298.861,508.041,1056.149,0.007
390,935.000,127.297,1.563,30.118,85.471,217.085,261.702,310.189,503.448,1081.296,0.008
400,932.200,127.848,1.572,29.925,91.471,221.822,261.812,293.595,500.593,810.835,0.008
410,945.900,126.243,1.617,28.427,56.252,224.527,260.641,292.936,508.356,816.863,0.008
420,999.700,121.335,1.469,28.954,50.693,219.932,256.057,278.748,487.400,1051.069,0.008
430,997.800,121.026,1.560,29.042,55.393,215.805,253.627,274.950,492.105,804.797,0.008
440,968.100,121.825,1.519,30.649,65.021,210.679,274.321,311.335,454.791,770.004,0.008
450,942.800,127.443,1.505,30.558,93.001,206.173,275.892,339.347,525.504,1102.555,0.008
460,921.600,130.045,1.505,31.494,94.155,223.096,261.801,293.617,471.535,806.303,0.008
470,966.400,125.240,1.422,30.745,58.334,220.481,255.776,278.500,478.886,1126.628,0.008
480,944.400,127.339,1.605,29.866,69.234,221.253,266.403,296.454,495.137,856.561,0.008
490,932.900,127.471,1.549,29.533,78.747,222.692,273.428,306.382,483.569,853.868,0.008
500,947.500,127.885,1.398,29.920,65.297,223.845,256.472,285.861,499.106,819.618,0.008
510,899.300,132.276,1.437,28.864,59.331,231.369,270.060,313.857,511.018,990.379,0.008
520,958.700,124.828,1.504,29.880,59.871,223.889,260.265,283.476,471.199,775.837,0.008
530,971.000,123.773,1.605,30.914,69.190,216.571,261.286,292.532,470.160,860.789,0.008
540,968.100,125.446,1.587,33.853,89.317,208.378,258.897,301.220,461.347,803.183,0.008
550,968.100,122.626,1.604,31.147,71.082,211.014,263.521,322.321,467.494,896.778,0.008
560,962.300,127.881,1.487,32.103,75.005,216.350,266.111,295.430,504.304,1073.270,0.008
570,922.500,125.926,1.545,29.944,59.286,220.684,265.720,295.957,479.818,826.124,0.008
580,946.900,128.503,1.548,31.216,67.787,224.423,257.926,283.104,499.296,816.928,0.008
590,896.600,132.134,1.466,36.884,100.167,212.604,279.316,322.761,509.832,1185.998,0.008
600,950.300,126.607,1.451,32.066,76.480,219.614,257.300,280.062,459.449,762.426,0.008
610,816.600,152.530,1.524,31.159,61.711,219.598,278.319,345.439,1455.917,1711.917,0.007
620,929.800,127.765,1.501,30.548,61.639,227.268,258.381,288.482,483.545,816.286,0.008
630,928.400,126.782,1.553,33.946,78.185,219.637,263.046,287.152,445.062,814.250,0.008
640,919.300,129.749,1.631,35.516,96.200,218.834,258.501,287.916,448.776,738.887,0.008
650,958.700,124.772,1.556,30.489,100.647,203.944,263.061,312.106,460.311,797.419,0.008
660,982.200,121.866,1.536,33.782,90.799,199.589,250.017,289.913,443.367,942.161,0.008
670,982.800,122.996,1.601,31.387,61.782,217.058,250.629,270.903,474.322,756.559,0.008
680,995.800,120.771,1.574,30.635,57.880,213.429,253.265,288.800,486.043,1052.135,0.008
690,903.100,131.962,1.614,30.366,73.559,227.434,271.846,296.037,479.322,759.658,0.008
700,937.900,127.818,1.441,29.926,92.697,223.686,261.641,290.452,447.683,582.307,0.008
710,980.700,123.154,1.628,27.956,57.249,217.005,259.940,295.421,493.695,775.454,0.008
720,926.200,130.023,1.633,28.981,59.156,227.065,261.749,285.692,509.021,828.490,0.008
730,980.100,122.768,1.557,29.414,59.413,218.961,253.978,277.130,480.739,752.187,0.008
740,981.400,121.939,1.644,30.943,82.402,212.182,253.555,278.419,426.606,834.255,0.008
750,927.800,128.182,1.569,31.372,89.719,215.969,258.390,290.421,504.771,915.914,0.008
760,944.900,126.914,1.436,30.749,97.760,217.197,259.318,318.415,466.868,821.791,0.008
770,963.500,125.092,1.495,27.989,57.911,224.862,263.876,291.425,513.595,818.965,0.008
780,977.400,122.774,1.411,29.946,54.885,217.091,256.360,293.830,495.929,778.980,0.008
790,969.000,123.518,1.576,30.884,62.120,213.448,256.313,293.294,497.808,838.851,0.008
800,956.900,125.629,1.567,30.329,65.821,221.624,268.316,297.143,412.614,1123.390,0.008
810,944.400,128.334,1.525,29.683,59.514,226.154,262.347,288.214,503.577,1278.396,0.008
820,898.500,132.951,1.574,28.835,59.243,232.300,267.271,294.358,518.249,1038.197,0.008
830,916.400,131.208,1.517,29.951,88.668,221.805,266.067,306.134,490.869,1050.875,0.008
840,946.200,126.730,1.375,30.098,66.730,216.450,263.826,303.765,415.431,1047.120,0.008
850,935.900,128.589,1.523,31.562,95.727,212.736,263.105,320.608,480.993,894.929,0.008
860,836.700,142.564,1.440,32.074,101.000,227.130,277.465,313.560,785.652,1080.777,0.007
870,986.700,121.499,1.417,27.949,55.106,215.608,271.500,317.955,501.376,830.551,0.008
880,930.900,128.697,1.480,28.505,57.288,226.979,261.387,288.237,507.381,1138.327,0.008
890,917.500,130.144,1.521,30.772,77.178,220.806,263.144,298.375,507.009,848.443,0.008
900,958.000,126.653,1.519,29.422,64.086,221.113,265.797,302.751,508.144,1071.203,0.008
910,872.600,135.714,1.531,29.845,62.098,230.633,279.159,302.644,528.768,1071.257,0.007
920,1027.500,118.571,1.489,27.806,53.776,216.431,258.115,281.477,490.656,831.260,0.008
930,955.500,124.627,1.405,28.393,62.550,218.055,256.750,289.734,506.609,1298.645,0.008
940,960.500,125.611,1.473,30.532,78.158,219.806,265.791,299.546,461.592,856.662,0.008
