Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1036.500,65.661,9.868,41.180,51.330,65.119,82.554,97.819,430.402,1850.934,0.015
10,1138.900,63.082,10.896,41.213,53.981,75.607,105.901,129.996,172.783,441.895,0.016
20,1062.900,67.026,11.539,39.563,52.851,75.760,107.489,135.531,341.941,515.549,0.015
30,620.000,113.328,12.342,39.454,60.746,119.102,288.678,386.915,612.712,1334.776,0.009
40,259.500,250.732,16.442,201.270,250.410,303.420,418.966,517.169,595.361,1157.049,0.004
50,271.800,239.029,13.452,187.568,243.710,295.935,372.824,528.121,776.543,1562.343,0.004
60,297.700,228.960,13.487,171.660,241.529,291.800,333.679,468.750,559.482,1075.924,0.004
70,333.100,203.580,13.489,65.285,237.543,262.235,289.860,430.677,522.970,1360.222,0.005
80,377.800,186.590,8.883,51.987,220.865,253.334,299.765,388.893,553.319,1072.379,0.005
90,416.600,163.209,14.273,45.426,200.162,241.289,278.542,317.947,507.838,850.462,0.006
100,417.900,178.338,13.093,57.767,201.825,255.179,313.335,348.475,503.867,922.845,0.006
110,498.800,145.201,10.658,44.504,147.955,230.508,260.134,284.746,525.386,883.628,0.007
120,479.700,144.784,14.721,45.272,157.022,226.696,257.278,285.173,505.590,774.226,0.007
130,519.500,133.953,13.636,44.830,90.137,218.268,247.661,281.204,386.330,662.726,0.007
140,438.000,157.551,11.457,50.557,167.862,235.674,275.876,307.843,515.519,806.599,0.006
150,377.500,180.951,9.957,63.708,190.342,250.920,312.001,354.031,521.554,874.690,0.006
160,378.600,183.934,13.305,53.940,209.324,252.761,309.330,352.293,551.375,826.770,0.005
170,388.700,179.728,15.157,50.969,218.243,249.870,279.388,306.842,500.175,839.080,0.006
180,393.100,177.531,12.660,47.626,220.174,250.593,280.038,316.389,509.494,1051.144,0.006
190,412.200,166.564,13.597,51.436,187.956,244.283,273.899,302.906,512.757,777.677,0.006
200,422.200,162.200,13.456,46.387,213.934,244.505,267.647,280.520,490.068,776.461,0.006
210,442.200,162.226,13.216,45.267,195.406,240.674,280.071,312.813,503.845,1333.098,0.006
220,469.100,149.393,11.809,45.438,164.593,229.939,266.140,298.265,525.026,1100.340,0.007
230,465.300,151.013,10.353,47.953,176.012,232.056,266.780,290.303,335.876,554.892,0.007
240,454.900,158.406,11.455,48.803,164.347,239.309,276.646,318.799,444.547,564.603,0.006
250,403.300,170.139,13.869,50.367,191.685,243.972,289.080,330.769,477.322,796.159,0.006
260,412.100,167.254,10.213,50.599,198.968,245.901,278.997,309.692,486.152,731.477,0.006
270,393.900,169.888,14.534,46.344,216.852,249.938,279.198,302.975,494.711,784.855,0.006
280,419.700,166.884,14.074,45.610,206.713,245.831,270.237,308.976,532.209,911.407,0.006
290,415.600,165.059,14.466,48.857,185.016,241.697,278.544,322.483,480.853,612.268,0.006
300,410.400,166.868,12.740,47.610,214.847,247.027,270.153,287.818,490.738,824.821,0.006
310,443.300,157.251,15.656,45.536,199.643,237.548,265.326,293.403,347.281,769.516,0.006
320,444.800,158.381,11.394,46.742,185.139,237.927,267.508,311.243,497.104,752.932,0.006
330,448.200,157.303,12.907,48.227,174.466,236.052,274.285,312.599,492.285,822.912,0.006
340,444.000,162.749,13.491,49.101,183.872,243.721,281.162,302.712,476.487,1075.559,0.006
350,415.600,163.962,13.347,49.402,175.330,244.537,299.242,327.326,496.378,1040.920,0.006
360,424.500,165.406,13.377,44.693,200.281,242.594,272.370,306.272,562.126,1053.439,0.006
370,410.100,166.570,11.948,47.203,202.619,243.812,275.859,305.288,495.294,801.484,0.006
380,420.000,168.215,11.625,54.869,192.159,245.475,276.939,316.856,457.667,742.292,0.006
390,406.400,171.163,12.779,47.424,208.959,248.402,274.088,298.480,523.230,773.838,0.006
400,419.800,173.613,12.154,47.570,215.245,248.193,270.350,288.376,564.424,1062.076,0.006
410,417.400,169.383,13.590,46.580,218.557,244.637,266.414,283.248,480.590,782.284,0.006
420,445.000,162.313,11.351,47.821,197.609,240.332,268.527,294.327,466.266,890.563,0.006
430,421.300,161.335,10.207,54.057,167.415,233.675,282.598,362.062,505.787,801.736,0.006
440,426.000,167.465,11.041,55.319,191.169,246.261,278.442,310.494,472.463,745.847,0.006
450,435.800,159.577,13.444,52.194,169.266,229.502,295.546,337.221,469.969,843.597,0.006
460,432.000,165.424,12.504,45.911,199.214,243.328,277.376,302.601,462.388,636.732,0.006
470,424.500,162.611,11.275,46.681,192.032,242.151,283.736,308.690,465.198,834.302,0.006
480,409.700,172.961,13.060,51.079,205.912,250.811,281.364,309.463,470.454,758.572,0.006
490,440.500,145.805,10.991,43.566,164.523,233.474,260.839,286.260,410.245,749.585,0.007
500,430.400,164.035,10.444,46.059,210.270,238.922,262.438,284.034,535.618,770.873,0.006
510,422.500,157.463,12.745,44.314,210.170,241.279,264.857,281.433,458.922,801.420,0.006
520,445.200,157.383,13.742,46.269,197.048,240.195,264.965,280.538,478.989,780.428,0.006
530,430.800,161.319,12.903,49.911,185.276,239.768,277.273,301.678,447.327,597.017,0.006
540,417.600,156.425,12.970,45.433,174.502,242.153,278.593,316.071,396.944,822.552,0.006
550,417.600,171.644,15.344,53.524,196.658,243.858,280.824,309.177,522.381,1034.454,0.006
560,449.100,159.540,12.655,48.709,190.305,239.147,268.084,288.515,452.672,1028.240,0.006
570,415.400,161.233,14.147,46.123,198.759,239.171,272.256,298.980,478.655,794.557,0.006
580,434.000,169.276,11.167,51.561,192.830,247.980,284.433,333.163,469.961,808.237,0.006
590,411.300,167.054,11.941,45.685,214.856,245.389,269.189,288.979,493.916,789.165,0.006
600,404.800,167.472,11.958,46.466,211.945,244.498,283.565,311.797,447.573,761.829,0.006
610,408.100,164.455,12.272,45.637,204.709,243.686,276.497,302.369,499.267,782.271,0.006
620,444.600,161.333,13.203,46.979,196.749,239.165,269.189,291.384,517.176,703.012,0.006
630,429.500,162.166,12.659,50.333,162.639,235.195,308.372,362.175,558.348,805.767,0.006
640,433.500,158.469,13.542,46.320,187.733,238.238,273.301,302.145,413.876,1087.755,0.006
