Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1003.500,33.251,8.883,23.096,29.665,39.278,51.378,61.233,86.666,216.373,0.030
10,1060.200,33.257,9.750,21.353,26.671,35.945,55.139,77.204,126.536,234.838,0.030
20,1013.000,32.338,8.436,20.180,25.261,33.174,44.890,56.490,276.149,474.082,0.031
30,599.000,57.712,8.663,19.507,25.294,42.233,201.403,272.525,305.341,515.195,0.017
40,254.300,163.234,8.466,24.384,193.320,245.411,307.770,334.892,543.400,839.999,0.006
50,267.200,154.880,8.656,23.603,173.115,238.055,287.946,362.316,566.533,743.627,0.006
60,279.200,129.833,9.624,22.909,104.801,224.780,277.397,289.105,482.191,519.080,0.008
70,332.500,112.394,10.529,23.012,38.413,217.009,237.980,263.354,328.225,513.795,0.009
80,368.400,92.693,9.978,21.234,28.821,199.184,232.619,255.889,305.922,404.813,0.011
90,388.200,91.144,9.060,21.865,29.694,185.099,232.240,256.974,291.838,525.325,0.011
100,380.900,83.487,8.326,21.216,29.460,173.434,219.841,246.766,296.916,461.112,0.012
110,463.400,73.070,10.603,21.534,27.276,152.799,207.101,230.293,256.052,315.742,0.014
120,465.700,68.186,9.444,20.431,25.378,106.164,205.645,228.358,284.848,435.856,0.015
130,498.800,73.152,8.826,21.516,27.578,133.521,204.795,219.136,311.650,359.097,0.014
140,406.200,94.862,10.500,22.303,37.711,175.289,215.586,238.934,287.224,488.992,0.011
150,358.000,109.416,9.044,23.860,71.582,200.241,235.756,295.839,369.825,517.523,0.009
160,358.100,101.073,11.057,22.443,32.382,201.985,235.622,275.970,321.774,470.448,0.010
170,383.700,93.704,11.406,22.185,29.531,203.330,229.748,242.131,288.469,498.265,0.011
180,368.200,96.488,11.336,22.570,29.547,204.599,233.485,245.208,288.418,521.559,0.010
190,412.000,91.599,8.907,23.371,36.108,170.029,227.699,251.805,314.336,547.685,0.011
200,407.700,89.197,12.129,23.261,29.715,201.167,225.768,235.820,247.551,296.125,0.011
210,423.400,79.554,9.195,22.106,27.768,172.801,221.219,232.904,284.569,348.840,0.013
220,449.900,76.802,10.975,23.374,28.736,154.988,207.672,229.811,277.906,381.717,0.013
230,458.500,78.067,11.443,23.400,29.427,153.355,205.815,231.253,284.044,474.406,0.013
240,426.300,86.684,10.093,23.366,33.247,154.595,216.384,239.321,296.982,481.938,0.012
250,373.000,105.247,9.802,23.316,41.597,184.654,236.086,284.198,339.062,591.056,0.010
260,385.800,100.960,11.948,23.301,33.267,199.916,236.548,265.406,357.705,610.196,0.010
270,371.500,110.161,11.645,22.568,33.515,212.319,241.169,264.367,293.481,513.364,0.009
280,396.900,84.917,9.461,20.879,26.400,187.396,229.234,236.947,327.999,434.855,0.012
290,404.100,97.211,10.986,22.005,33.711,184.422,235.714,278.664,344.855,536.725,0.010
300,384.700,92.777,11.019,21.748,29.346,201.918,231.556,238.818,272.463,337.715,0.011
310,416.400,85.612,11.137,22.351,28.502,182.539,218.758,232.876,285.111,479.496,0.012
320,417.500,80.137,9.049,21.604,26.378,170.531,210.643,229.831,289.618,464.279,0.012
330,428.300,85.347,10.257,21.589,29.066,163.394,217.374,250.896,313.785,464.104,0.012
340,411.600,86.470,10.879,21.093,29.257,173.720,227.237,252.564,286.465,436.038,0.012
350,401.400,88.888,9.549,21.020,31.822,163.030,228.431,248.249,301.028,506.118,0.011
360,412.800,92.107,10.496,21.223,28.484,195.813,226.641,252.479,494.914,551.318,0.011
370,386.800,90.915,11.066,22.182,30.831,188.918,231.180,251.079,297.728,478.614,0.011
380,414.300,90.738,9.190,22.201,30.513,174.035,229.368,264.221,329.498,491.855,0.011
390,396.200,91.188,11.064,21.485,28.254,198.020,235.576,253.498,322.466,528.070,0.011
400,396.100,79.115,10.164,20.302,26.308,179.534,223.467,233.157,276.964,329.063,0.013
410,414.100,80.485,11.297,21.240,26.685,197.479,221.235,230.914,244.865,305.214,0.012
420,423.500,81.793,11.447,21.714,28.905,175.529,217.716,233.491,259.695,333.814,0.012
430,399.800,95.099,10.232,22.080,42.016,171.261,226.329,249.441,389.778,444.779,0.011
440,398.400,94.811,9.953,22.399,36.771,183.137,230.624,245.896,295.319,493.834,0.011
450,411.100,90.248,10.293,22.014,34.793,171.744,214.986,233.328,320.333,441.949,0.011
460,424.000,86.146,10.694,21.945,28.251,178.800,221.347,239.163,287.379,465.494,0.012
470,432.000,82.670,11.363,21.125,27.327,172.160,214.161,240.840,287.705,456.218,0.012
480,379.700,94.956,11.043,22.493,30.902,193.516,233.420,239.848,292.267,499.211,0.011
490,432.600,99.834,12.115,22.417,30.829,199.702,242.047,266.475,439.411,489.568,0.010
500,408.200,85.649,9.449,21.723,28.453,183.462,219.220,233.680,293.078,553.052,0.012
510,414.800,93.093,12.284,22.320,29.522,201.560,230.373,241.937,271.796,481.336,0.011
520,434.800,79.356,8.893,21.405,26.775,175.789,225.017,234.122,258.604,487.024,0.013
530,420.200,88.352,9.941,22.238,31.679,172.100,223.383,238.479,273.494,500.472,0.011
540,404.100,104.434,10.600,23.973,36.137,203.651,242.396,272.164,461.951,508.526,0.010
550,407.500,83.201,10.351,21.318,29.724,165.728,211.638,230.440,282.120,474.556,0.012
560,421.300,86.228,11.273,22.509,30.475,175.109,217.448,234.365,279.761,327.330,0.012
570,401.900,99.459,12.001,22.226,31.063,199.871,231.676,265.649,322.680,498.274,0.010
580,404.900,87.092,10.073,21.069,28.620,175.131,227.434,247.565,312.194,461.992,0.011
590,375.800,96.944,10.528,21.920,29.451,204.527,231.547,241.780,299.357,477.394,0.010
600,388.800,90.871,10.981,22.142,28.346,199.662,228.132,242.909,300.964,327.386,0.011
610,385.700,96.462,11.308,22.144,29.722,199.827,228.580,252.170,307.422,514.919,0.010
620,429.200,86.239,12.869,23.096,29.780,182.690,214.023,232.729,258.321,474.677,0.012
630,424.000,82.470,9.329,21.920,32.321,164.151,206.566,232.362,325.092,369.145,0.012
640,421.100,90.888,11.864,21.513,30.730,180.636,219.773,246.816,318.613,395.410,0.011
650,402.200,100.202,9.114,23.309,38.288,179.138,231.281,276.282,339.898,489.237,0.010
660,398.800,100.396,10.984,22.358,29.911,204.370,233.175,256.263,292.853,478.404,0.010
670,424.100,87.534,10.267,22.209,29.216,178.027,227.431,245.288,296.834,522.885,0.011
680,400.000,89.512,11.536,23.931,36.429,179.539,215.594,235.542,289.184,514.411,0.011
690,403.800,91.024,11.249,23.481,31.219,180.069,218.503,235.282,294.437,329.337,0.011
700,407.300,87.481,9.373,21.980,28.835,188.065,227.505,243.497,289.854,471.872,0.011
710,378.700,89.748,12.214,22.513,29.718,181.208,231.604,247.425,308.923,472.557,0.011
720,444.200,87.457,9.638,22.813,30.460,183.372,224.095,238.272,298.491,477.148,0.011
730,380.400,90.539,9.906,23.336,34.246,176.093,212.925,243.098,311.110,466.055,0.011
740,415.000,89.494,11.725,22.788,32.593,179.880,222.311,249.228,283.124,322.686,0.011
750,389.000,94.916,11.637,23.612,38.402,178.672,219.545,236.278,291.276,320.669,0.011
760,403.000,87.266,11.066,21.694,29.767,176.462,224.526,240.377,316.747,343.420,0.011
770,396.700,94.876,10.319,23.958,33.081,185.971,231.054,247.841,294.258,490.493,0.011
780,404.300,90.113,12.079,21.791,29.546,176.478,224.692,248.248,414.792,450.594,0.011
790,398.700,82.359,8.824,20.780,27.644,174.084,215.996,232.629,373.628,545.776,0.012
800,420.000,87.007,10.199,21.845,29.482,179.024,223.598,236.971,296.548,533.332,0.011
810,382.200,91.974,10.640,22.353,31.618,194.756,232.963,243.772,290.578,501.313,0.011
820,385.500,85.634,10.859,21.568,28.977,194.410,228.551,238.615,296.650,477.859,0.012
830,418.200,85.561,8.862,22.448,32.540,159.446,206.132,228.707,296.477,482.632,0.012
840,409.000,93.209,8.859,22.878,35.853,175.482,230.120,248.419,283.922,458.271,0.011
850,402.800,85.370,10.696,21.227,31.019,165.987,217.046,230.882,287.084,352.943,0.012
860,411.500,88.489,11.305,22.558,30.299,181.343,222.145,235.760,290.940,470.506,0.011
870,428.700,92.187,10.111,21.918,30.986,197.985,226.061,238.741,303.701,496.759,0.011
880,406.100,101.364,9.744,22.932,32.436,198.901,231.880,264.150,470.935,508.770,0.010
890,397.100,98.449,11.066,22.823,34.967,182.457,236.788,260.738,443.361,545.084,0.010
900,420.100,88.782,10.991,22.831,29.595,184.113,225.180,242.885,325.586,419.267,0.011
910,420.400,80.338,11.248,21.852,28.168,169.232,220.744,233.426,285.950,322.265,0.012
920,382.400,91.746,12.714,23.968,30.803,197.325,229.771,246.203,286.987,500.273,0.011
930,423.700,84.942,11.163,23.042,32.046,157.813,214.993,239.180,342.035,463.615,0.012
940,378.200,97.235,10.487,22.587,31.478,197.506,236.313,272.043,354.572,476.279,0.010
950,417.400,93.348,11.364,23.487,38.675,161.360,233.053,252.237,318.846,492.634,0.011
960,428.300,83.398,9.792,21.611,29.170,168.281,224.484,239.821,276.854,553.752,0.012
970,415.100,83.868,9.408,20.934,27.434,178.874,227.699,244.681,324.205,534.825,0.012
980,394.600,89.669,11.801,22.992,32.539,181.885,227.518,237.851,294.517,501.024,0.011
990,402.900,98.190,11.515,23.169,34.635,198.320,231.923,248.274,341.569,549.168,0.010
1000,398.400,87.512,11.114,23.380,30.921,179.138,217.174,237.270,297.670,402.021,0.011
1010,422.800,86.193,10.892,23.047,30.009,177.936,224.383,237.409,293.354,484.061,0.012
1020,427.700,79.629,9.183,21.515,27.780,176.047,213.765,231.942,264.029,302.096,0.013
1030,423.300,84.939,9.372,21.504,28.522,186.700,221.670,242.449,301.442,484.906,0.012
1040,410.600,91.416,11.400,22.471,31.886,175.106,221.797,237.937,390.403,521.121,0.011
1050,420.700,95.823,11.024,22.729,45.025,178.278,225.372,257.495,318.938,542.210,0.010
1060,390.700,100.727,9.645,22.437,35.862,198.897,233.054,262.455,330.369,479.261,0.010
1070,399.400,93.811,9.685,24.152,33.556,184.607,225.179,242.884,289.406,491.342,0.011
1080,404.200,89.217,14.210,23.872,30.840,185.972,226.407,239.075,287.526,479.948,0.011
1090,428.300,87.893,9.028,23.823,33.300,152.917,220.947,266.677,303.314,461.476,0.011
1100,427.400,92.057,12.162,23.928,31.863,176.684,227.055,260.898,366.534,466.977,0.011
1110,399.700,100.421,11.448,24.670,35.164,202.971,233.079,243.098,304.565,552.305,0.010
1120,406.400,93.700,13.684,23.474,32.493,193.281,227.964,237.774,275.333,497.074,0.011
1130,430.000,84.005,9.224,22.398,29.574,174.973,219.483,235.066,281.349,477.044,0.012
1140,401.300,90.593,10.094,20.922,31.132,186.445,227.954,251.435,301.931,537.524,0.011
1150,425.600,92.852,9.861,22.328,33.243,181.058,219.881,242.320,281.126,355.355,0.011
1160,395.300,92.423,8.959,22.084,46.342,165.299,217.117,239.591,306.551,469.084,0.011
1170,425.100,81.634,10.105,21.926,29.171,159.565,211.923,240.498,297.886,513.093,0.012
1180,408.900,93.938,10.092,23.288,32.329,196.937,227.240,235.694,267.098,440.138,0.011
1190,397.400,94.864,10.266,21.703,29.535,197.159,233.789,248.869,291.325,534.763,0.011
1200,427.500,88.268,11.542,21.641,32.240,164.772,227.790,262.217,308.049,564.569,0.011
1210,411.800,85.728,11.176,21.665,29.437,174.208,229.544,248.792,292.484,314.543,0.012
1220,414.800,82.520,10.136,21.855,28.381,198.576,213.085,228.692,249.374,273.169,0.012
1230,417.000,86.047,11.337,21.395,27.983,196.553,227.990,235.054,302.319,358.802,0.012
1240,397.200,93.044,9.606,22.964,31.749,197.685,229.120,241.163,295.639,324.411,0.011
1250,419.400,90.232,11.211,22.773,40.559,156.535,217.586,240.664,287.471,437.848,0.011
1260,400.400,92.905,8.999,23.150,33.469,180.736,232.635,252.638,312.222,371.956,0.011
1270,441.500,91.103,9.726,22.085,32.720,175.248,223.879,238.357,311.064,359.167,0.011
1280,427.600,84.555,8.456,21.536,28.442,178.260,224.619,234.445,272.669,331.774,0.012
1290,406.500,88.276,9.100,24.694,35.643,180.240,221.341,236.040,251.407,427.103,0.011
1300,410.700,91.437,9.953,22.709,31.876,196.662,219.997,233.117,250.654,474.834,0.011
1310,406.500,96.714,11.161,23.491,32.130,189.168,234.622,268.246,347.130,365.672,0.010
1320,445.300,81.329,9.649,22.364,30.100,175.249,209.622,230.720,277.966,312.581,0.012
1330,431.300,84.300,8.378,22.065,29.532,174.481,221.726,235.542,308.929,343.057,0.012
1340,410.000,92.666,10.238,21.851,30.654,199.610,223.389,236.881,293.809,495.693,0.011
1350,404.700,93.837,10.604,22.025,37.704,186.294,229.418,246.302,311.237,483.204,0.011
1360,404.200,88.348,11.312,22.630,33.600,171.312,230.301,252.560,289.612,487.750,0.011
1370,421.200,99.522,10.416,23.197,44.325,183.581,235.614,276.517,364.898,524.431,0.010
