Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2315.900,48.558,1.641,26.080,39.489,55.857,77.488,96.585,165.661,1850.934,0.021
10,2500.500,48.070,1.612,24.298,38.409,61.061,96.369,121.633,170.508,441.895,0.021
20,2358.800,50.675,1.476,22.854,36.196,58.245,95.817,127.901,341.944,670.928,0.020
30,1386.400,87.890,1.489,22.315,38.924,90.668,249.816,308.787,603.782,1668.643,0.011
40,585.800,203.463,1.575,32.789,221.973,286.184,342.637,523.705,753.487,1157.049,0.005
50,612.300,194.935,1.662,30.557,210.349,276.710,353.364,525.581,779.451,1602.383,0.005
60,657.900,183.400,1.651,27.686,203.458,263.610,322.771,495.075,774.242,1095.767,0.005
70,759.200,160.061,1.548,28.192,188.473,247.584,286.102,467.933,563.636,1360.222,0.006
80,845.600,141.745,1.649,24.495,65.017,237.232,284.099,374.797,565.670,1086.936,0.007
90,918.500,129.066,1.664,25.194,53.608,226.369,271.418,314.006,533.086,859.852,0.008
100,907.800,131.543,1.484,24.758,79.026,227.754,284.110,333.560,509.625,922.845,0.008
110,1091.200,111.862,1.648,24.414,45.803,208.260,250.747,287.010,520.144,1034.225,0.009
120,1076.000,109.181,1.495,23.325,43.914,205.775,250.058,286.774,523.690,858.410,0.009
130,1159.700,104.303,1.465,24.155,47.134,196.807,242.301,282.753,425.005,787.956,0.010
140,964.200,125.102,1.467,27.107,91.606,210.272,259.900,296.724,517.312,854.918,0.008
150,834.100,144.468,1.560,28.743,130.835,228.547,300.454,345.434,538.371,899.452,0.007
160,837.300,143.020,1.590,25.977,109.065,235.245,287.310,344.106,574.490,829.687,0.007
170,880.500,134.953,1.587,24.837,67.524,231.576,268.849,300.399,524.700,850.185,0.007
180,865.400,139.274,1.616,26.247,66.107,234.489,274.340,311.595,538.922,1051.144,0.007
190,933.800,127.420,1.643,26.967,87.203,221.689,268.713,305.162,512.159,831.931,0.008
200,948.700,126.740,1.650,25.822,51.993,227.385,258.800,283.349,521.703,793.497,0.008
210,980.200,124.167,1.571,24.740,50.275,220.365,266.225,309.331,532.193,1333.098,0.008
220,1047.600,114.435,1.476,25.916,47.281,207.571,255.287,293.971,528.319,1100.340,0.009
