Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,534,534.000,1758,12725,24773,206945,86808,876088,1385550,1792956,1850934
1,714,714.000,1844,16771,45302,74150,65784,110222,347080,743131,846913
2,2472,2472.000,1816,38033,47483,49163,61153,77167,89116,121573,165298
3,2755,2755.000,1771,27903,38361,42659,53227,71590,87119,130074,186402
4,2816,2816.000,1653,26004,37544,42840,53686,72211,91252,146348,227160
5,2730,2730.000,1773,27205,38601,44026,54590,77090,93252,140325,201920
6,2800,2800.000,1805,22998,36140,42831,54543,78350,99907,155710,241151
7,2830,2830.000,1641,25753,37683,42222,52719,73725,91644,131991,229758
8,2719,2719.000,1789,25900,39494,44086,56141,79676,95848,129995,226140
9,2789,2789.000,1696,25593,38561,43718,56494,79336,96983,129856,238851
10,2567,2567.000,1639,23069,36211,45599,59469,88803,112631,180294,264953
11,2797,2797.000,1718,24500,38580,43291,57247,78160,94813,129441,187816
12,2433,2433.000,1692,24174,40374,51200,65581,99225,136018,177834,223774
13,2388,2388.000,1612,24481,40608,48638,64736,93867,118112,161155,231672
14,2389,2389.000,1769,26187,39463,49742,63109,101781,117899,157287,237671
15,2725,2725.000,1754,26844,38303,44126,53967,80270,100426,136665,211349
16,2601,2601.000,1694,23986,37735,46216,59889,87991,108677,167408,254271
17,2517,2517.000,1728,23239,37184,50839,68216,113275,133409,176965,268753
18,2085,2085.000,1802,24693,39041,54361,69400,126848,158848,190155,292198
19,2503,2503.000,1666,21658,36046,48950,59854,108715,136059,181694,441895
20,2424,2424.000,1679,22027,33420,47995,53252,91665,128210,301932,442115
21,2591,2591.000,1492,23194,38171,46424,58787,95667,117405,158970,321803
22,2034,2034.000,1476,24168,39571,62736,64583,114419,304230,379711,521206
23,1658,1658.000,1693,24706,37602,76903,66978,204202,375380,462559,670928
24,2252,2252.000,1567,20186,33586,46699,51744,91201,131938,314155,493652
25,2662,2662.000,1735,24099,36995,45141,57956,86921,106146,157100,268275
26,2533,2533.000,1725,22345,36991,46766,54274,84509,110100,275254,463785
27,2446,2446.000,1668,23343,36408,48840,61628,106679,126570,187654,307279
28,2376,2376.000,1654,19426,31011,50532,54787,97522,151235,368424,444307
29,2612,2612.000,1685,25106,39694,46041,60088,87553,101420,143025,238960
30,2433,2433.000,1610,22677,35154,49686,62589,110537,142720,201725,679940
31,2185,2185.000,1489,19289,31543,54633,55654,106665,157046,410509,554960
32,2295,2295.000,1553,23531,37691,54200,73869,119620,141865,198210,351032
33,1996,1996.000,1684,20677,33681,59311,60072,131963,283218,343175,479071
34,2007,2007.000,1525,20105,32221,77797,62404,108370,435200,920937,1015287
35,876,876.000,1897,40714,79888,122958,120641,291617,391333,805696,1668643
36,427,427.000,1584,37020,246738,281283,491181,533002,774365,1075220,1334776
37,468,468.000,1685,33830,243466,198596,277582,302414,486268,539255,798891
38,701,701.000,1780,31971,155481,195546,278570,387307,590223,716147,1042166
39,476,476.000,1582,206496,255570,255225,304666,483225,500216,788478,1000173
40,584,584.000,1779,35316,236323,239146,289857,533607,748680,870534,1157049
41,433,433.000,2115,89876,238285,206952,302075,335913,368377,606819,804937
42,608,608.000,1756,50205,231394,197428,254480,281204,477659,725834,812593
43,671,671.000,1725,34501,210097,209740,311610,494233,521492,540522,853714
44,651,651.000,1673,31591,210333,177193,253419,316590,472122,537856,810474
45,351,351.000,1773,216919,287623,279656,324119,528314,554619,841733,872850
46,659,659.000,1755,45778,215726,200627,272032,478121,519821,590285,787807
47,676,676.000,1747,28813,202999,189251,266248,358855,451001,605752,863525
48,661,661.000,1608,21985,157716,158123,266861,296696,426771,560790,894213
49,564,564.000,1575,33970,213059,219259,296937,494065,544577,742967,824614
50,683,683.000,1755,28209,234507,192967,271441,363952,383929,623310,887319
51,656,656.000,1766,96784,191902,200836,260565,284554,552983,826195,1098265
52,473,473.000,1713,29274,212514,196949,295107,323177,514903,576151,748674
53,648,648.000,1662,26859,207884,188579,263524,336350,551881,567615,576237
54,643,643.000,1780,35113,229736,202780,274611,317133,502454,739958,753349
55,519,519.000,1723,41194,235502,204761,284027,314230,529899,774329,1039084
56,609,609.000,1828,22397,196088,225083,284214,575837,775833,1326514,1602383
57,455,455.000,1708,35064,222406,231403,302142,532549,599837,881432,1122467
58,773,773.000,1720,27209,187955,164036,249622,304927,453459,535474,762147
59,664,664.000,1914,24443,172943,163942,278981,345698,378754,621022,869173
60,743,743.000,1651,24121,160727,170825,294862,356720,383514,574419,768910
61,757,757.000,1753,27772,184704,161542,239754,266916,475611,544613,837333
62,594,594.000,1939,31325,253519,217977,289272,339262,536170,811928,854638
63,634,634.000,1676,32827,203808,183226,240749,322891,523772,789952,1095767
64,617,617.000,1815,33433,183917,173725,241196,297680,391143,567910,785914
65,636,636.000,1765,23509,231746,198438,263646,486880,537508,805466,1075924
66,759,759.000,1738,26831,207644,176695,247384,302070,515778,811790,1044090
67,589,589.000,1673,28738,213480,169278,288770,316966,344285,625647,817104
68,541,541.000,1807,122986,234825,225010,277921,375103,525871,813516,817224
69,709,709.000,1915,25969,170679,173189,256705,309974,456520,525825,775414
70,614,614.000,1657,22184,233460,204855,280179,498298,522970,775826,1038738
71,739,739.000,1548,35667,153286,159831,239875,313921,436002,574442,815413
72,595,595.000,1964,40613,213158,185561,261037,296693,491711,585044,764971
73,929,929.000,1769,31927,64986,137071,223864,274084,309357,527620,843746
74,818,818.000,1634,32876,153355,153220,235700,281622,349330,539604,830573
75,851,851.000,1876,25938,45492,132547,238822,263722,286571,534185,570866
76,636,636.000,1823,33667,221506,175260,251123,283426,487342,535388,555983
77,902,902.000,1912,24540,70089,142181,242991,266266,289174,526980,762229
78,810,810.000,1557,23623,209568,162685,245528,277910,506203,755376,1001463
79,698,698.000,1718,25735,228107,177535,255282,277279,502032,558977,1360222
80,689,689.000,2060,22787,71551,142465,238271,272848,313900,560202,824475
81,746,746.000,1649,28366,210674,168805,247275,275500,488524,582396,1072379
82,876,876.000,1694,22136,194895,156741,239728,278732,479185,804572,1086936
83,859,859.000,1777,18517,32209,119951,230216,284497,347135,554114,832963
84,868,868.000,1744,32395,76107,133480,229439,252856,262551,509771,553095
85,842,842.000,1711,29148,197503,147940,242254,276386,303752,523098,780467
86,829,829.000,1737,27924,193785,153774,241411,293544,312738,540003,770694
87,830,830.000,1736,25299,62679,139384,232587,305694,411168,628457,689450
88,927,927.000,1712,24503,56930,122036,221817,296357,387124,416618,545829
89,990,990.000,1871,21541,45824,138831,232966,283967,477593,594883,921167
90,995,995.000,1740,23758,38941,100767,166704,287677,333500,426585,531300
91,776,776.000,1770,27380,195421,153379,240381,263100,297411,532870,760385
92,989,989.000,1854,24366,57350,134034,215200,298461,332318,535992,745884
93,790,790.000,1797,24431,198508,161509,249793,290336,452620,552722,777385
94,937,937.000,1768,25014,45358,111445,198429,252176,299860,493863,855407
95,755,755.000,1742,28990,199142,152926,239655,280642,299767,530772,557754
96,1109,1109.000,1664,27625,48553,120800,217158,256832,286184,484743,525325
97,891,891.000,1738,21382,34645,127383,206804,307168,539449,809362,859852
98,860,860.000,1690,28422,67379,126586,222052,249851,266970,485138,537400
99,1083,1083.000,1687,25716,51428,119865,222319,247775,267847,497596,542164
100,752,752.000,2191,22569,100727,146802,245527,326152,358778,641464,901008
101,783,783.000,1723,73296,189874,171002,254215,284455,353696,377965,461112
102,1056,1056.000,1492,25144,100003,116334,174124,300409,327374,360046,453664
103,792,792.000,1834,24609,189187,162028,257952,302694,329346,519739,624598
104,1096,1096.000,1709,18537,34492,93267,123468,260166,300505,459653,922845
105,856,856.000,1708,26952,181216,152039,246949,302111,323079,561477,831918
106,1019,1019.000,1484,27452,46983,107122,200399,245835,269508,461762,728724
107,898,898.000,1609,30325,75886,128413,212697,250739,277923,513914,575122
108,1137,1137.000,1539,24602,49015,111505,208335,254535,274795,483621,545446
109,689,689.000,1621,25815,199055,167001,255645,400447,424254,672767,696764
110,1141,1141.000,1808,25964,43341,106892,224221,259479,278449,490576,539089
111,978,978.000,1870,24976,49663,120155,217079,244200,273804,495209,522593
112,1201,1201.000,1697,24058,45095,106495,199420,245152,268459,517575,732382
113,1077,1077.000,1724,24098,43991,105601,205242,246787,276111,498673,571846
114,967,967.000,1648,26272,56907,120170,211171,242166,267622,494021,561767
115,1124,1124.000,1812,28066,49256,121518,208081,296276,324482,743768,1034225
116,1081,1081.000,1653,17875,30021,97861,159746,248527,386849,814635,956482
117,1009,1009.000,1700,27652,52501,118373,215104,247081,262800,406010,524663
118,1029,1029.000,1711,25045,50234,124071,225034,251819,279526,481529,544064
119,1305,1305.000,1712,25384,45448,102554,184584,246673,267855,494872,560171
120,835,835.000,1876,23144,49024,119364,219730,254357,277620,474449,540883
121,1052,1052.000,1794,20559,34865,120018,210377,266690,492351,607777,792528
122,1138,1138.000,1771,26718,56637,112313,217137,254367,277001,320664,558881
123,1008,1008.000,1851,25490,47893,104171,203162,232260,252164,455262,535564
124,1218,1218.000,1775,23798,52817,101666,188406,233987,272129,446356,661173
125,1187,1187.000,1757,24362,45141,107544,205085,240602,267444,503363,584975
126,1179,1179.000,1665,22788,38306,106240,187050,251951,338611,597960,794117
127,1095,1095.000,1495,19918,34672,97961,188747,244464,261930,505475,858410
128,1123,1123.000,1825,19995,40745,114886,207881,296362,322391,469679,604770
129,925,925.000,1713,24958,44462,111370,220829,253991,277837,506886,725037
130,1143,1143.000,1465,26748,69454,109311,201404,233094,247650,339554,482007
131,1282,1282.000,1706,26231,48454,104404,194956,257501,299906,334722,479501
132,987,987.000,1710,23679,45714,103846,198701,263323,285050,333228,536860
133,1300,1300.000,1742,22225,40062,98675,143813,298220,374483,453228,622539
134,1206,1206.000,1805,23919,48475,106525,201347,232510,257170,475280,616851
135,996,996.000,1786,24394,44538,102758,176453,245288,320916,362560,509454
136,1260,1260.000,1677,23832,43327,100001,191526,233231,258695,457397,566655
137,1115,1115.000,1508,26765,46801,115456,216668,250230,275008,479876,559753
138,1079,1079.000,1580,22417,46247,110893,205445,244270,284361,625703,787956
139,1229,1229.000,1637,20645,60764,93435,167511,215065,225739,301605,443343
140,1406,1406.000,1730,23103,42277,82334,150437,208999,236390,291790,601347
141,895,895.000,1726,36074,128666,128082,204800,250619,262316,280595,466368
142,1003,1003.000,1687,33230,111524,127870,214187,246478,312093,486445,587643
143,978,978.000,1820,29860,69697,111530,187123,258131,294234,338530,557708
144,1052,1052.000,1467,24627,109052,136466,196177,277467,505592,650215,854918
145,836,836.000,1742,24797,113358,132079,206091,273196,303690,501842,624980
146,970,970.000,1784,24076,74578,133921,228451,256852,290567,517312,840107
147,850,850.000,1732,21911,101950,142810,229409,320973,369818,546663,806599
148,632,632.000,1615,33101,215615,160273,247711,274883,314690,528783,763186
149,1020,1020.000,1731,30359,116762,129355,212768,277593,296767,340118,576281
150,684,684.000,1686,42013,171579,173350,260203,369784,370083,525365,686534
151,875,875.000,1760,25635,119661,132956,182644,282967,379462,663184,797454
152,896,896.000,1679,27719,81084,137992,234194,274958,297739,516244,566828
153,892,892.000,1662,39648,113802,136023,201242,313007,330865,388445,432057
154,910,910.000,1727,27621,105705,128406,189105,309701,338743,502775,560024
155,798,798.000,1661,23588,159214,156038,257020,311495,341730,584007,873578
156,981,981.000,1821,26094,119809,129651,225612,256211,331038,454518,765061
157,657,657.000,1799,25651,194138,146392,234634,260708,293044,560143,820858
158,926,926.000,1560,30186,121651,142401,230752,289067,349861,529615,595848
159,722,722.000,1723,76480,201420,178010,237428,293793,350996,536045,899452
160,780,780.000,1695,19208,36353,132880,230194,330856,492117,648563,791471
161,855,855.000,1798,24017,120975,139739,232993,285493,322385,539431,713966
162,934,934.000,1681,26236,88521,141581,233428,320822,336810,589558,704706
163,819,819.000,1706,26368,88876,137918,225478,278534,337071,517378,761661
164,694,694.000,1734,26157,207504,162511,238520,289009,461907,537227,766455
165,934,934.000,1821,27979,79218,138837,211817,335581,361488,626067,829687
166,880,880.000,1644,31099,142145,152719,231826,283800,461503,562338,826770
167,699,699.000,1787,32582,116926,140523,240796,254623,280588,475690,528411
168,937,937.000,1788,27294,67379,129861,226303,257327,274190,474480,538559
169,841,841.000,1590,25285,173178,157473,264619,296376,451004,541742,778072
170,986,986.000,1679,22593,38980,113939,219875,254226,282943,532056,811830
171,719,719.000,1666,28735,200040,152757,236699,276206,297924,466345,567785
172,954,954.000,1760,21991,45182,133406,234654,263016,298778,540692,769028
173,1000,1000.000,1819,26734,51632,129850,227224,250789,271118,528228,765373
174,754,754.000,1662,21091,63505,141007,244598,295054,480136,596697,850185
175,910,910.000,1654,25873,66648,132046,226599,262046,288121,501690,549443
176,958,958.000,1594,25848,69235,136604,240256,272499,288297,490426,563972
177,879,879.000,1759,24926,186696,145803,239646,281687,304389,511811,842789
178,737,737.000,1745,29114,100870,139534,235478,285260,308817,367152,665974
179,908,908.000,1587,24527,75031,132835,225609,260880,283449,496756,753801
180,866,866.000,1676,24919,201193,148851,244058,284251,305803,540323,757450
181,884,884.000,1696,22468,49599,137015,241232,265919,286639,535464,772391
182,566,566.000,1616,36512,233090,183775,259431,289403,311267,518813,553335
183,934,934.000,1836,24284,48925,140007,226898,293157,496257,714495,849721
184,942,942.000,1718,25374,53083,137624,235744,265414,294537,540303,847544
185,729,729.000,1637,28497,218459,160817,248961,271655,287648,542509,1051144
186,807,807.000,1770,26607,55684,128414,229411,254499,279379,516643,597430
187,1060,1060.000,1688,28119,53965,122859,218196,254003,287881,491291,585267
188,1039,1039.000,1792,29083,97650,127694,216772,265999,336162,549871,617895
189,827,827.000,1726,22313,41818,129443,221344,304070,392947,552114,786365
190,946,946.000,1797,28374,85816,122582,209856,260268,288328,464977,602799
191,1106,1106.000,1822,25641,47782,118140,214515,249391,269718,502646,570349
192,922,922.000,1660,25297,45177,117682,225248,256743,278687,504832,570426
193,820,820.000,1738,35042,159808,143414,233547,293573,314893,508916,547685
194,1040,1040.000,1746,31088,110753,128035,191436,283220,292762,322908,437143
195,1025,1025.000,1689,39792,94053,108943,170553,218252,295483,358984,525501
196,826,826.000,1743,26588,149666,148575,249596,271521,280876,328414,532575
197,916,916.000,1643,23012,142034,133575,231481,259266,275646,457484,777677
198,994,994.000,1717,22870,38260,134732,225837,335631,522616,589418,831931
199,743,743.000,1830,28910,93297,125560,216282,263612,306169,505433,675959
200,949,949.000,1659,24837,47927,134750,237698,265617,282562,525350,540598
201,1030,1030.000,1829,29697,57555,124522,221569,249621,276918,501355,595646
202,894,894.000,1737,24645,49445,133057,237641,279166,359858,567739,776461
203,748,748.000,1654,23407,196165,140386,234650,254754,277010,525033,552061
204,998,998.000,1805,27241,52686,129660,223393,264994,286264,516849,562605
205,971,971.000,1670,26659,53671,133683,229502,268458,301114,536961,788956
206,895,895.000,1721,24881,48958,112346,215493,242465,270405,484235,740701
207,1036,1036.000,1723,28388,62630,122222,220446,249003,275308,506494,772700
208,1076,1076.000,1650,24172,45377,118260,225189,257041,276377,510735,758177
209,890,890.000,1658,26746,46414,122083,233224,263619,284499,520746,793497
210,1041,1041.000,1838,29374,118091,119409,200453,225573,252249,471695,751484
211,1012,1012.000,1633,18341,31730,128470,223729,331248,495801,781518,1333098
212,1086,1086.000,1770,24594,51935,112805,195431,240914,301733,531137,781392
213,766,766.000,1889,30920,62135,130006,219803,257944,276633,500113,540474
214,1045,1045.000,1699,23099,50059,123201,227330,258440,275854,501231,544290
215,1007,1007.000,1878,28482,55163,128396,225847,260664,287385,508427,731168
216,909,909.000,1667,24999,42114,121766,231577,260662,283310,542147,817164
217,958,958.000,1859,24277,45049,118500,219906,237807,260539,470374,550966
218,928,928.000,1656,23116,50335,145974,241957,335928,419086,596105,842056
219,1050,1050.000,1571,23152,44619,117104,235622,282546,309299,407278,662548
220,731,731.000,1476,24706,56744,137147,230278,265260,301747,527132,759893
221,1099,1099.000,1759,24871,44537,117585,208332,253094,305499,550367,767217
222,1110,1110.000,1908,26830,46828,116334,219503,253115,269766,367167,575907
223,861,861.000,1613,28515,49109,133784,206847,272168,504336,739698,1100340
224,1001,1001.000,1589,21674,36580,113130,228670,264042,289516,482975,645856
225,1241,1241.000,1722,27191,47017,107277,192545,290246,300867,330010,591859
226,1076,1076.000,1773,32653,92099,113615,184941,248657,271866,370704,554499
227,986,986.000,1587,25869,45390,99366,189913,234424,246481,423890,761200
228,1232,1232.000,1682,26169,49569,110237,213510,265019,282533,341027,565728
229,1139,1139.000,1586,23270,45217,107642,182348,244576,334131,586965,624170
230,930,930.000,1767,26524,48745,108479,194003,230639,257577,480245,530222
231,1048,1048.000,1743,22604,42381,120756,230532,264631,279647,457882,511728
232,1363,1363.000,1745,25860,46366,95976,180599,228497,252408,319104,509353
233,996,996.000,1601,24775,41478,105550,183277,255746,312682,537021,725663
234,891,891.000,1662,26559,154778,136786,234462,284609,307451,507465,546039
235,1129,1129.000,1559,27187,44498,114529,220538,263879,277818,316128,562378
236,969,969.000,1751,30314,67221,109102,196866,243210,261519,297719,426024
237,1111,1111.000,1770,27635,52652,112669,202501,239159,258422,475974,739703
238,912,912.000,1836,26111,54335,141190,241982,296250,320679,535264,572999
239,1100,1100.000,1627,28107,86017,102288,163953,221613,268062,303619,554660
240,1006,1006.000,1520,26339,54875,130743,222824,275168,431719,488106,540291
241,1006,1006.000,1734,31663,101219,117893,172416,272971,345995,404804,418130
242,1096,1096.000,1770,30418,103787,104372,158002,217011,246660,282813,373707
243,899,899.000,1786,30432,58162,124022,216292,247559,262428,464775,570882
244,944,944.000,1717,26277,77224,135865,239592,263992,280725,484957,558251
245,989,989.000,1607,31143,91409,109771,155415,282588,327002,342410,475803
246,1086,1086.000,1681,25635,50969,117622,203523,296892,318030,444122,687552
247,1111,1111.000,1566,26128,49006,112873,210492,249463,273108,539200,577184
248,927,927.000,1721,25208,56651,121198,225543,273272,284037,331404,453222
249,891,891.000,1775,32312,82849,130208,236863,261113,275174,480187,559673
250,954,954.000,1602,28916,118430,134478,232265,250920,316349,345944,489939
251,973,973.000,1668,39692,104750,133130,205974,260791,291147,338686,582223
252,912,912.000,1555,26603,65828,138169,244392,273692,303402,787278,978403
253,854,854.000,1643,21436,36484,118927,208695,287868,345586,571112,822936
254,919,919.000,1457,32162,197348,140396,234377,261838,277011,478589,591056
255,844,844.000,1660,29374,110143,129840,181809,311443,330567,414312,489262
256,881,881.000,1698,30150,132443,132906,207862,252143,263092,502905,545815
257,893,893.000,1671,25777,169861,149067,241378,322072,334001,575501,595223
258,929,929.000,1871,25680,168352,140853,220448,299577,333479,468855,835315
259,704,704.000,1798,33872,109956,137634,244832,298523,339396,562564,570227
260,1063,1063.000,1601,29377,90824,118316,200472,234795,327208,591399,763203
261,891,891.000,1678,31750,197339,155458,266231,297094,316007,543561,731477
262,801,801.000,1857,26135,104374,121894,207957,262288,321867,405695,498161
263,870,870.000,1819,25665,149115,137416,229496,266950,290596,510096,685589
264,946,946.000,1818,27001,60617,137163,230461,263977,298107,528276,794330
265,941,941.000,1669,32488,67513,138361,235872,259492,284461,566789,610196
266,798,798.000,1589,25792,79625,116760,196118,247009,341184,374665,460271
267,1011,1011.000,1607,23455,49362,132561,232881,263713,300201,555461,806895
268,905,905.000,1796,23837,46749,125843,225207,296958,321499,367836,585943
269,858,858.000,1549,36006,121989,135649,237068,270319,290076,455308,566966
270,772,772.000,1806,26240,208103,160827,244073,273537,481301,525178,760095
271,990,990.000,1856,31850,52364,129209,234927,260072,269099,467303,560462
272,873,873.000,1711,23875,203144,143488,236796,264833,292362,529425,735232
273,740,740.000,1692,30308,163796,141664,234502,294201,311342,457334,521620
274,881,881.000,1708,26720,92180,136001,226815,254001,277470,501218,585027
275,990,990.000,1617,20628,55074,138347,244402,282518,315366,559146,812290
276,757,757.000,1389,23120,72561,144478,244003,272413,303728,548802,784315
277,905,905.000,1657,24622,57577,128277,232193,293481,314889,495840,599162
278,930,930.000,1758,24610,103435,133740,231737,290326,320052,562184,594130
279,919,919.000,1754,31836,198531,140766,236682,269537,292675,479917,525012
280,898,898.000,1618,24157,59102,117320,201926,267404,306718,458588,576203
281,880,880.000,1762,20968,39168,142720,232500,320056,529472,642586,907875
282,947,947.000,1704,23195,53404,130194,225939,256749,419790,505415,740924
283,853,853.000,1902,24509,205637,147690,243657,269466,284127,540120,592103
284,913,913.000,1520,22504,43269,115377,220853,255493,276204,500699,911407
285,942,942.000,1687,25310,54059,128098,223712,325414,334531,589952,620904
286,945,945.000,1617,24654,57131,136202,243028,263178,277520,521954,786382
287,1002,1002.000,1617,23746,44843,106968,206909,248849,276357,498141,551417
288,853,853.000,1766,24971,191897,139993,233626,255057,280201,518952,570151
289,1082,1082.000,1571,21718,40900,118423,213364,261655,314073,558014,848720
290,616,616.000,1493,33337,194826,177490,287032,350917,373639,570132,584152
291,1012,1012.000,1639,26038,50106,121270,214967,320652,340999,477945,558760
292,1166,1166.000,1626,29326,113436,113213,172223,236862,254118,314447,413831
293,927,927.000,1815,35228,121271,140796,242403,277637,331653,495342,612268
294,684,684.000,1662,35701,146197,140875,202033,311189,323742,493671,551069
295,979,979.000,1692,24281,46888,139187,245338,299668,333397,577067,834447
296,938,938.000,1606,26882,116890,130601,209060,254120,285355,497815,561436
297,875,875.000,1841,24553,49897,116725,217329,249578,273000,480853,560802
298,977,977.000,1675,20565,45905,126022,232209,256868,276209,509607,553926
299,1150,1150.000,1788,22555,40579,112948,216287,249970,278322,505601,590906
300,987,987.000,1741,23987,44210,123641,227060,257822,278653,512041,557064
301,777,777.000,1553,24438,59713,135793,230468,276934,319050,504238,583519
302,970,970.000,1612,27378,57986,131769,232098,275605,293399,480956,741032
303,982,982.000,1746,21179,47963,137903,237385,272314,460808,729952,835346
304,688,688.000,1661,24352,58947,136509,245188,272116,286115,514140,555082
305,922,922.000,1754,29344,170717,138905,236733,258068,272736,496140,530676
306,1123,1123.000,1644,23680,53502,112092,211361,249931,271956,490133,536567
307,890,890.000,1641,30590,196018,146563,239810,267208,285464,547205,824821
308,770,770.000,1863,20149,51894,124940,212979,274852,313909,531601,745076
309,947,947.000,1712,24166,115691,135877,231139,251617,269277,527243,736318
310,1144,1144.000,1780,23903,43288,112150,213243,253256,280302,459897,542694
311,889,889.000,1836,28075,51575,127397,225210,250141,275554,511203,564204
312,831,831.000,1637,25564,63571,132913,227556,252454,277833,506639,755770
313,1008,1008.000,1556,24632,49136,131182,227035,296173,311980,527945,569017
314,883,883.000,1758,28843,94674,124468,194059,282114,301998,505598,713446
315,953,953.000,1778,23384,73731,123836,216422,253329,284608,525143,769516
316,1049,1049.000,1621,24733,46673,119614,223639,252467,275006,501341,587213
317,1139,1139.000,1714,26815,49145,113037,213013,248728,268706,337407,546850
318,917,917.000,1819,28439,51883,113479,215210,250966,276063,480466,544553
319,895,895.000,1792,27021,176432,139536,231849,280532,315931,506056,558005
320,973,973.000,1617,25441,71667,131974,230398,262484,297717,518806,775460
321,1043,1043.000,1625,25102,48159,121747,223018,251884,287356,498405,707925
322,925,925.000,1643,21511,48348,114215,209346,243950,275750,505075,625739
323,1010,1010.000,1671,25576,86624,115519,172134,257947,376297,456985,627224
