Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,97.900,123.862,41.063,95.592,119.027,148.770,175.635,194.791,231.889,294.649,0.008
10,97.900,130.542,36.273,91.966,120.006,152.557,197.238,240.613,344.491,390.270,0.008
20,93.400,160.534,39.290,101.314,134.213,179.827,271.522,422.485,508.547,571.345,0.006
30,61.700,250.037,40.483,111.913,170.856,296.005,516.405,762.805,1081.844,1353.279,0.004
40,24.500,597.305,59.951,382.200,569.614,775.903,882.783,1044.968,1079.666,1226.540,0.002
50,26.600,595.506,49.140,333.374,548.927,795.487,1024.588,1077.071,1334.862,1374.442,0.002
60,28.000,475.159,40.613,316.932,485.703,580.012,779.940,909.581,1009.039,1028.386,0.002
70,30.100,500.928,45.113,312.870,512.836,621.821,785.483,829.058,1030.999,1111.873,0.002
80,28.100,418.977,38.687,281.893,354.645,536.641,657.248,805.768,1066.062,1113.453,0.002
90,38.400,425.621,38.091,281.463,342.781,533.688,749.465,830.486,1077.468,1123.811,0.002
100,37.200,385.009,41.910,289.119,338.974,506.641,551.920,570.150,757.445,803.243,0.003
110,38.700,353.132,44.827,264.906,314.290,496.418,551.242,568.987,828.134,966.121,0.003
120,45.300,360.957,48.249,272.959,310.901,487.892,541.782,581.561,762.598,842.835,0.003
130,45.600,347.735,47.641,250.912,309.003,473.199,549.682,613.314,776.456,885.456,0.003
140,38.300,330.070,39.500,250.418,304.598,452.719,534.474,560.083,612.498,896.101,0.003
150,33.600,393.625,38.323,247.561,355.579,532.821,646.450,804.832,918.595,1023.527,0.003
160,31.300,447.473,49.337,294.826,470.972,547.056,644.897,801.305,886.577,1045.512,0.002
170,32.100,432.735,39.642,291.961,433.487,546.554,717.916,787.506,825.339,1013.717,0.002
180,33.300,305.860,35.565,220.670,279.028,438.852,524.882,566.895,772.305,872.971,0.003
190,34.600,405.698,67.201,290.225,351.178,511.881,554.224,592.136,812.001,848.630,0.002
200,39.100,415.562,51.359,295.352,470.786,525.139,560.950,619.250,839.624,1115.383,0.002
210,38.100,387.554,43.905,286.120,340.318,507.009,550.826,599.905,838.036,856.003,0.003
220,38.900,365.353,46.762,275.478,307.894,500.022,543.504,572.026,806.766,830.567,0.003
230,40.900,354.429,40.309,269.258,304.350,474.845,537.580,572.939,795.613,880.375,0.003
240,40.000,357.203,37.656,257.284,309.551,487.811,556.221,724.763,859.601,1013.731,0.003
250,37.100,343.202,43.765,261.320,309.633,448.822,545.525,588.034,796.464,812.965,0.003
260,33.000,391.861,47.835,277.040,361.680,522.118,575.841,631.912,812.806,1046.937,0.003
270,35.800,345.531,39.101,236.349,305.103,508.533,551.512,570.087,775.790,799.811,0.003
280,33.600,339.452,38.603,242.383,307.190,478.408,535.850,644.710,880.695,1072.618,0.003
290,37.700,396.246,45.844,280.416,336.166,522.739,570.432,768.721,841.524,968.020,0.003
300,37.100,395.375,61.043,287.051,336.971,519.408,545.752,567.160,776.581,822.736,0.003
310,37.400,417.453,52.185,282.485,392.669,537.209,613.791,694.387,837.630,881.509,0.002
320,36.700,355.859,37.655,267.864,308.889,494.174,541.597,574.046,819.359,855.725,0.003
330,39.400,384.057,49.881,270.118,319.081,516.886,578.365,775.256,845.291,1017.509,0.003
340,40.100,306.350,38.668,222.850,283.181,427.301,539.031,586.361,694.420,769.498,0.003
350,36.300,363.896,36.427,268.547,326.549,490.846,557.445,683.984,822.141,1056.753,0.003
360,35.900,416.572,58.038,296.914,367.082,517.164,607.656,747.376,831.284,858.344,0.002
370,35.500,329.748,39.425,244.940,292.956,468.899,531.216,568.385,776.365,837.099,0.003
380,35.700,349.031,38.590,260.530,306.809,500.012,547.533,606.178,807.883,858.336,0.003
390,38.000,390.053,69.889,281.764,323.635,511.037,552.539,590.179,787.603,823.573,0.003
400,37.000,419.469,44.797,289.527,449.630,533.350,569.442,623.636,816.538,869.504,0.002
410,36.300,378.301,49.116,281.215,324.854,499.236,556.394,604.327,764.142,826.402,0.003
420,37.100,439.431,35.759,297.979,480.197,545.606,595.174,769.753,836.457,1051.175,0.002
430,38.200,342.961,41.016,249.743,297.820,476.405,556.202,612.783,814.944,834.208,0.003
440,39.200,380.963,46.438,272.984,335.315,504.979,585.194,633.964,930.643,1112.146,0.003
450,40.000,340.158,47.286,258.570,332.296,443.150,542.407,563.795,625.550,833.320,0.003
460,37.700,433.411,48.709,291.993,460.759,536.174,624.614,772.086,1022.752,1043.202,0.002
470,36.800,252.831,38.462,91.194,256.377,306.597,501.314,554.586,805.388,880.522,0.004
480,38.200,387.716,53.029,285.157,318.862,513.791,551.748,583.113,791.457,816.658,0.003
490,35.600,392.200,38.694,283.483,355.687,510.051,599.855,641.771,855.191,909.548,0.003
500,37.700,431.203,48.245,299.718,471.798,541.005,609.267,731.063,825.060,853.563,0.002
510,38.500,426.735,48.284,293.550,464.800,523.517,581.737,736.198,833.861,861.907,0.002
520,35.900,393.064,51.298,280.215,334.999,510.534,566.093,622.857,811.620,842.235,0.003
530,39.100,369.060,41.066,271.878,321.081,484.309,550.416,592.477,711.511,804.435,0.003
540,38.800,296.204,37.704,223.391,279.415,364.632,506.398,530.863,629.452,799.971,0.003
550,39.700,370.004,40.522,262.429,328.027,506.708,564.571,695.769,833.220,1074.744,0.003
560,41.000,367.369,38.972,270.370,314.734,504.637,550.564,588.303,789.699,849.800,0.003
570,35.100,342.229,33.728,232.161,324.525,486.262,544.707,607.646,844.024,1030.163,0.003
580,38.100,374.467,44.385,278.586,327.414,506.339,541.762,562.666,747.336,773.565,0.003
590,37.500,391.586,40.606,275.867,326.859,509.070,591.889,816.019,876.193,1037.408,0.003
600,39.100,408.689,49.469,291.504,356.669,522.103,588.418,630.223,839.545,874.394,0.002
610,37.700,367.715,48.423,270.877,313.418,503.766,576.348,639.813,816.782,1022.539,0.003
620,36.500,408.232,53.988,289.469,344.457,516.225,560.937,729.972,853.914,1059.919,0.002
