Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1019.600,67.281,12.244,41.652,53.426,71.133,93.249,111.717,372.772,1800.652,0.015
10,1124.800,64.005,10.557,40.469,53.396,76.586,107.227,132.502,216.947,435.418,0.016
20,1007.400,71.365,8.660,40.174,55.714,83.835,118.312,149.024,344.601,566.924,0.014
30,702.000,103.191,8.962,40.841,60.276,118.599,246.662,303.802,519.714,1126.929,0.010
40,254.400,259.307,12.264,214.905,247.160,309.823,488.600,518.432,588.793,1034.740,0.004
50,277.900,241.737,12.567,211.280,247.311,292.683,443.546,515.299,592.155,1098.732,0.004
60,301.900,215.526,14.610,121.318,240.088,271.482,343.295,413.431,598.650,937.393,0.005
70,346.700,197.336,12.973,52.127,223.602,262.055,328.545,450.261,526.865,1105.967,0.005
80,360.200,188.072,13.337,54.712,216.805,263.576,304.670,338.819,560.738,801.763,0.005
90,437.300,168.487,11.057,44.371,194.106,246.272,280.729,324.900,521.185,1103.685,0.006
100,437.300,157.889,11.435,44.451,183.939,239.954,272.650,318.778,494.019,737.225,0.006
110,451.600,166.342,14.495,47.945,204.272,241.774,272.984,303.219,482.920,797.646,0.006
120,497.100,144.945,15.025,43.343,177.467,229.209,257.669,280.246,345.811,775.795,0.007
130,527.200,135.234,10.732,47.052,104.931,211.088,259.035,292.231,441.480,824.219,0.007
140,438.500,167.971,13.071,51.147,182.175,244.014,305.032,344.799,521.084,771.299,0.006
150,370.400,187.963,9.666,64.799,188.548,263.491,332.536,404.461,548.877,786.639,0.005
160,373.600,188.622,14.189,52.679,224.193,256.947,294.741,338.560,526.063,1058.500,0.005
170,381.500,184.292,11.363,48.405,222.593,255.575,300.120,344.471,511.767,1271.769,0.005
180,383.900,176.374,12.578,52.919,210.744,252.781,286.234,321.802,462.180,834.790,0.006
190,402.000,174.372,16.702,45.442,219.316,249.764,272.148,295.954,514.258,1047.342,0.006
200,406.900,173.459,10.602,45.691,221.953,251.234,273.475,290.417,494.646,1411.786,0.006
210,424.100,166.591,11.920,48.277,191.361,244.037,290.459,322.064,501.870,729.992,0.006
220,448.500,158.137,11.547,44.598,203.306,240.564,264.028,284.183,485.734,764.055,0.006
230,459.400,154.221,12.380,44.919,181.471,233.897,269.073,305.602,505.356,875.432,0.006
240,417.500,168.737,10.852,54.113,188.105,245.147,286.513,313.694,480.717,791.039,0.006
250,429.200,162.137,9.910,51.085,162.832,245.877,291.842,328.691,472.900,783.469,0.006
260,397.500,185.028,11.750,52.972,222.311,257.592,291.280,333.236,520.948,819.435,0.005
270,394.500,175.570,12.130,56.681,206.464,249.938,278.870,302.747,481.686,790.860,0.006
280,407.800,171.330,10.269,47.921,195.614,248.873,283.843,327.025,487.245,1110.446,0.006
290,415.600,164.933,10.510,47.288,193.084,245.060,275.988,306.286,489.734,821.517,0.006
