Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,91.300,4.946,1.575,2.273,2.828,4.836,9.162,17.054,30.679,53.910,0.202
10,100.100,5.691,1.629,2.154,2.618,4.236,8.452,15.076,58.507,205.521,0.176
20,88.100,9.226,1.509,2.207,2.807,4.781,11.225,27.297,194.492,302.308,0.108
30,60.300,11.216,1.591,2.160,2.698,4.638,11.032,47.966,308.228,364.324,0.089
40,23.800,4.490,1.749,2.104,2.470,3.743,5.938,12.401,53.890,58.451,0.223
50,26.800,5.497,1.460,2.040,2.389,3.457,5.594,11.819,74.220,313.705,0.182
60,25.200,4.221,1.621,2.095,2.410,3.555,6.055,15.411,27.138,47.216,0.237
70,32.600,16.997,1.556,2.082,2.565,4.464,7.158,34.914,323.862,385.305,0.059
80,33.000,7.169,1.574,2.094,2.582,4.219,7.182,11.804,86.720,343.866,0.139
90,37.200,7.885,1.598,2.104,2.499,4.468,8.690,14.313,303.504,372.086,0.127
100,39.900,7.657,1.623,2.173,2.608,3.872,7.381,11.902,206.432,308.746,0.131
110,39.000,5.075,1.586,2.116,2.579,4.111,7.988,13.725,58.000,147.104,0.197
120,43.500,4.855,1.561,2.131,2.521,3.938,6.846,12.186,46.924,243.747,0.206
130,44.600,6.789,1.623,2.156,2.707,4.546,10.318,21.139,73.110,274.435,0.147
140,37.300,6.426,1.560,2.123,2.512,3.933,7.029,13.093,57.812,302.762,0.156
150,35.900,8.741,1.653,2.114,2.568,4.060,6.989,14.645,275.265,385.313,0.114
160,32.800,4.182,1.454,2.103,2.469,3.585,5.425,7.082,20.482,274.610,0.239
170,31.500,5.616,1.455,2.075,2.372,3.382,6.340,11.062,26.907,298.680,0.178
180,37.500,5.034,1.550,2.043,2.390,3.644,6.796,10.566,62.856,254.925,0.199
190,34.600,6.048,1.517,2.076,2.437,4.081,6.736,8.779,15.897,431.004,0.165
200,36.200,3.388,1.567,2.058,2.473,3.752,5.494,7.151,17.819,22.222,0.295
210,38.800,5.123,1.390,2.116,2.486,3.619,6.668,8.506,30.358,284.451,0.195
220,40.800,3.653,1.601,2.090,2.421,3.811,5.873,8.013,21.941,40.040,0.274
230,40.500,5.533,1.546,2.089,2.507,3.671,5.864,8.395,19.181,383.888,0.181
240,42.000,4.054,1.435,2.168,2.573,3.974,6.063,9.577,15.460,103.415,0.247
250,40.900,4.855,1.575,2.121,2.651,4.008,7.894,13.894,60.544,86.662,0.206
260,31.800,5.690,1.648,2.053,2.413,3.574,6.470,14.734,97.833,102.115,0.176
270,35.800,4.757,1.608,2.037,2.399,3.731,6.218,7.557,33.472,244.736,0.210
280,40.300,4.444,1.557,2.034,2.467,3.608,6.132,8.579,21.269,331.228,0.225
290,35.800,4.214,1.652,2.115,2.478,3.383,5.557,9.634,52.677,65.918,0.237
300,40.100,7.461,1.384,2.040,2.431,3.478,6.118,8.441,144.733,371.582,0.134
310,35.800,8.840,1.562,2.076,2.467,3.733,7.870,12.639,252.957,456.617,0.113
320,40.000,4.521,1.542,2.090,2.524,4.250,7.061,10.079,23.765,283.478,0.221
330,36.100,3.419,1.591,2.065,2.516,3.615,5.728,7.829,13.571,36.724,0.292
340,42.100,5.204,1.417,2.087,2.551,4.310,9.147,17.117,46.136,87.383,0.192
350,38.400,6.074,1.411,2.049,2.426,3.308,6.361,9.124,20.664,432.333,0.165
360,35.700,5.315,1.534,2.043,2.460,3.985,5.784,8.655,17.244,324.306,0.188
370,36.100,3.165,1.529,2.015,2.322,3.063,5.150,6.795,19.708,31.119,0.316
380,37.400,3.431,1.419,2.084,2.431,3.680,6.061,8.183,16.366,23.655,0.291
390,39.200,4.645,1.569,2.093,2.516,3.502,5.830,7.067,19.629,310.029,0.215
400,38.900,4.177,1.576,2.123,2.516,3.850,6.937,9.784,25.002,77.670,0.239
410,37.800,5.836,1.578,2.059,2.449,3.746,6.646,9.788,35.920,319.473,0.171
420,36.300,8.033,1.543,2.081,2.519,3.853,6.414,12.893,150.235,357.120,0.124
430,38.400,3.800,1.534,2.114,2.569,4.021,6.417,8.575,24.394,43.897,0.263
440,40.300,5.808,1.610,2.086,2.526,4.239,8.004,13.538,73.691,225.721,0.172
450,38.200,3.624,1.460,2.067,2.489,3.530,6.568,8.722,24.071,35.601,0.276
