Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,89.600,6.805,2.149,3.262,4.042,6.959,14.988,21.009,36.874,47.586,0.147
10,103.000,8.732,2.014,3.251,4.075,7.148,14.203,23.825,68.523,229.899,0.115
20,90.900,8.416,2.077,3.182,3.769,6.208,14.305,20.495,77.726,347.824,0.119
30,66.100,9.724,1.897,3.168,3.967,6.390,12.619,19.622,137.718,368.558,0.103
40,20.000,4.198,2.208,2.896,3.324,4.116,6.858,9.446,18.070,19.986,0.238
50,21.700,5.741,2.094,2.941,3.304,4.095,6.135,10.879,15.631,315.258,0.174
60,27.100,4.925,2.177,3.030,3.630,4.721,7.501,10.051,33.381,62.735,0.203
70,33.800,8.576,2.148,3.039,3.559,5.192,8.126,11.702,276.659,375.069,0.117
80,30.700,7.702,1.953,2.948,3.545,4.570,8.429,12.339,87.715,335.378,0.130
90,39.100,6.854,1.996,3.068,3.708,6.669,10.700,15.969,41.354,332.795,0.146
100,38.600,6.886,2.126,3.101,3.762,5.388,10.042,15.133,80.964,228.697,0.145
110,40.800,7.185,2.065,3.039,3.667,5.518,9.144,14.680,87.690,168.007,0.139
120,46.000,7.908,2.093,3.106,3.725,5.367,9.591,16.538,82.463,319.741,0.126
130,43.500,8.839,2.165,3.179,3.868,6.555,15.003,22.853,64.314,351.628,0.113
140,42.200,6.534,2.172,3.158,3.890,6.005,9.919,15.909,37.275,308.267,0.153
150,35.300,6.606,2.156,3.183,3.730,5.410,9.044,12.738,24.319,275.397,0.151
160,34.100,5.864,2.036,3.080,3.511,5.038,7.825,13.019,24.012,275.864,0.171
170,30.800,6.050,2.093,3.012,3.418,4.605,8.101,12.273,32.088,295.324,0.165
180,34.000,9.357,2.119,3.044,3.775,5.444,10.009,21.445,130.651,298.625,0.107
190,35.600,7.375,2.053,3.008,3.556,5.614,9.187,12.641,27.847,421.562,0.136
200,36.200,4.928,2.228,3.082,3.594,5.283,7.748,10.502,29.582,39.809,0.203
210,39.400,10.030,2.001,3.049,3.598,5.472,11.089,17.430,276.788,300.948,0.100
220,38.300,4.733,2.060,3.070,3.467,4.951,7.704,10.277,18.155,47.036,0.211
230,40.600,6.152,2.021,3.141,3.678,5.849,9.328,13.806,24.301,362.002,0.163
240,35.700,5.930,1.996,3.119,3.760,5.543,10.660,15.301,45.372,96.237,0.169
250,36.500,6.935,2.173,3.128,3.630,6.118,11.599,17.337,66.147,224.968,0.144
260,35.600,6.228,2.196,3.041,3.557,5.319,8.363,13.939,67.428,248.101,0.161
270,36.800,6.334,2.106,2.985,3.450,5.027,9.104,12.006,38.064,246.982,0.158
280,35.000,8.961,2.042,2.953,3.441,5.413,9.171,15.969,199.194,228.930,0.112
290,42.200,5.771,2.222,3.057,3.557,5.334,9.224,12.434,50.015,111.379,0.173
300,36.700,5.537,2.164,3.022,3.557,5.060,8.232,14.736,45.510,78.770,0.181
310,38.500,8.094,1.982,2.987,3.422,4.749,8.786,13.832,76.585,452.973,0.124
320,38.300,7.756,2.244,3.074,3.502,5.292,9.676,17.474,70.635,313.563,0.129
330,41.500,5.313,2.084,3.098,3.723,5.566,9.122,13.383,25.863,54.655,0.188
340,37.200,5.764,2.224,3.081,3.737,5.749,11.385,16.209,29.433,69.275,0.173
350,38.700,6.558,2.184,3.105,3.649,5.288,9.785,14.401,62.611,210.184,0.152
360,36.300,7.195,2.319,3.079,3.700,5.418,10.323,17.531,71.610,316.827,0.139
370,37.000,5.608,2.203,2.994,3.398,4.915,7.542,11.857,34.404,241.538,0.178
380,38.400,5.365,2.216,3.022,3.482,4.742,8.108,13.824,37.941,95.258,0.186
390,38.700,8.563,2.194,3.097,3.672,5.504,10.627,17.291,305.500,309.277,0.117
400,32.900,5.231,2.309,3.026,3.563,5.166,9.667,11.528,23.342,77.909,0.191
410,38.800,9.348,2.176,3.087,3.546,5.102,9.772,16.356,328.030,335.974,0.107
420,37.300,12.062,2.159,3.094,3.704,5.487,9.612,15.862,363.994,369.129,0.083
430,41.900,5.338,2.188,3.138,3.700,5.523,10.042,14.616,24.057,32.053,0.187
440,37.500,8.631,2.382,3.202,4.049,6.823,17.536,28.268,48.230,221.940,0.116
450,37.600,6.137,2.051,3.119,3.772,5.810,11.128,17.071,41.636,86.858,0.163
