Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2267.300,48.739,1.575,23.763,37.199,58.009,85.226,110.616,181.648,1800.652,0.021
10,2498.600,48.108,1.629,22.866,37.038,61.081,96.757,124.375,199.166,435.418,0.021
20,2243.000,53.474,1.509,21.895,35.848,65.351,108.723,145.185,329.216,571.345,0.019
30,1569.100,78.328,1.591,21.541,37.435,85.581,225.080,287.106,512.660,1353.279,0.013
40,580.600,203.235,1.749,29.535,224.269,283.980,412.470,519.760,793.544,1226.540,0.005
50,628.900,193.138,1.460,26.805,223.595,262.227,324.338,521.040,800.742,1374.442,0.005
60,674.200,174.980,1.621,28.142,184.499,256.609,337.912,435.450,623.478,1028.386,0.006
70,780.300,155.807,1.556,24.008,142.675,243.448,310.892,449.348,632.468,1111.873,0.006
80,792.500,148.522,1.574,24.712,128.377,244.174,296.003,341.641,564.373,1113.453,0.007
90,955.700,128.759,1.598,22.690,49.213,224.846,276.712,328.252,556.131,1123.811,0.008
100,965.400,121.492,1.623,22.612,50.970,221.159,263.947,312.989,519.394,803.243,0.008
110,998.900,120.188,1.586,22.118,49.423,218.299,261.353,300.630,513.661,966.121,0.008
120,1093.100,110.479,1.561,22.395,43.734,208.657,250.335,282.157,498.179,842.835,0.009
130,1146.800,103.768,1.623,24.369,50.078,177.219,241.717,287.953,508.507,885.456,0.010
140,975.900,124.778,1.560,23.871,72.232,218.077,281.207,331.290,514.917,896.101,0.008
150,833.000,144.095,1.653,24.836,108.446,233.689,318.310,353.672,566.231,1023.527,0.007
160,824.600,144.300,1.454,24.006,117.295,236.814,282.521,331.403,555.831,1058.500,0.007
170,840.600,142.563,1.455,25.328,74.187,237.423,282.833,327.723,556.873,1271.769,0.007
180,861.900,138.721,1.550,26.873,113.072,234.020,276.075,302.703,498.564,872.971,0.007
190,905.000,133.880,1.517,24.637,53.800,233.362,265.876,298.151,525.971,1047.342,0.007
200,909.800,132.958,1.567,23.446,49.767,234.407,269.734,296.637,535.466,1411.786,0.008
210,951.400,125.684,1.390,23.896,56.992,220.444,275.153,318.259,527.824,856.003,0.008
220,999.600,120.217,1.601,22.719,46.840,222.027,257.451,289.543,509.779,830.567,0.008
230,999.900,118.261,1.546,23.542,52.025,211.404,258.565,297.217,512.126,880.375,0.008
240,934.500,128.154,1.435,25.225,80.867,219.963,277.061,308.740,515.545,1013.731,0.008
250,962.100,124.746,1.575,25.841,80.683,213.871,278.537,320.251,503.571,812.965,0.008
260,877.000,137.699,1.648,23.651,102.888,236.278,277.320,320.658,537.390,1046.937,0.007
270,876.700,135.879,1.608,25.826,106.211,231.635,270.354,304.785,516.269,799.811,0.007
280,920.700,130.894,1.557,24.015,81.177,229.037,276.012,328.148,505.280,1110.446,0.008
290,917.800,130.700,1.652,25.152,63.768,227.840,272.938,316.429,537.697,968.020,0.008
300,932.100,128.232,1.384,22.296,46.954,231.173,267.217,298.431,529.481,822.736,0.008
310,916.800,132.489,1.562,23.149,49.318,231.014,278.244,334.498,549.729,1081.147,0.008
320,1006.000,119.039,1.542,24.183,50.629,215.953,253.899,290.035,501.115,855.725,0.008
330,954.900,124.545,1.591,23.233,58.130,222.716,259.945,288.617,532.840,1058.175,0.008
340,971.800,123.550,1.417,24.259,68.220,217.159,282.147,322.615,542.203,769.498,0.008
350,943.800,127.642,1.411,24.148,82.155,220.080,269.797,311.315,519.549,1056.753,0.008
360,886.700,134.956,1.534,23.074,63.848,229.944,276.589,334.144,568.944,858.344,0.007
370,907.800,131.922,1.529,27.466,103.303,227.158,268.062,295.120,511.997,860.584,0.008
380,900.100,133.218,1.419,26.051,96.416,229.415,269.406,299.320,510.836,858.336,0.008
390,951.000,126.165,1.569,24.351,50.071,226.818,263.747,296.750,519.265,823.573,0.008
400,932.900,131.338,1.576,23.427,54.606,231.097,267.527,310.968,539.207,869.504,0.008
410,948.000,126.403,1.578,23.062,52.068,226.161,274.522,308.389,532.949,826.402,0.008
420,920.300,130.306,1.543,22.622,51.261,227.064,272.912,322.713,561.280,1051.175,0.008
430,961.000,122.309,1.534,24.231,64.607,213.553,263.187,301.851,507.170,834.208,0.008
440,986.700,122.825,1.610,26.429,64.746,206.724,278.145,321.742,534.431,1112.146,0.008
450,969.500,125.056,1.460,24.402,81.571,206.959,292.837,343.176,528.068,833.320,0.008
460,941.500,127.012,1.408,23.441,51.441,224.751,261.983,302.850,560.903,1043.202,0.008
470,904.500,130.600,1.557,26.115,92.969,228.530,272.430,318.835,505.433,923.184,0.008
480,933.500,128.698,1.602,24.087,51.886,228.634,266.555,294.449,526.255,816.658,0.008
490,936.500,128.809,1.582,22.736,60.986,227.073,267.085,310.366,551.174,1042.153,0.008
500,930.500,128.604,1.609,22.496,53.971,226.588,269.062,321.047,566.351,853.563,0.008
510,925.900,135.157,1.586,24.182,71.758,228.346,269.043,356.984,555.451,1059.058,0.007
520,944.800,121.710,1.647,22.680,46.472,222.773,268.480,301.348,520.012,842.235,0.008
530,952.100,125.762,1.700,24.083,58.079,222.188,264.890,308.576,504.486,817.012,0.008
540,946.000,126.670,1.550,25.962,96.959,215.099,268.262,304.373,469.464,799.971,0.008
550,967.800,124.684,1.559,24.175,82.307,211.442,274.831,335.332,527.677,1074.744,0.008
560,955.000,125.310,1.673,24.893,54.140,220.824,265.822,306.057,525.757,849.800,0.008
570,913.400,131.810,1.621,25.299,94.697,221.743,293.968,338.451,512.786,1030.163,0.008
580,950.000,125.943,1.546,23.366,51.305,225.372,265.186,306.981,538.761,773.565,0.008
590,953.100,127.801,1.604,24.588,53.720,223.012,269.895,319.196,581.570,1037.408,0.008
600,907.100,130.810,1.479,24.462,55.905,228.251,277.716,307.340,544.084,874.394,0.008
610,961.800,124.904,1.578,22.808,53.575,227.081,264.037,298.351,513.137,1022.539,0.008
620,944.500,126.488,1.431,23.221,50.455,226.673,263.631,292.262,520.193,1059.919,0.008
630,949.100,127.063,1.535,23.598,54.014,226.128,272.151,300.097,532.394,1246.477,0.008
640,983.600,122.501,1.594,24.284,64.035,216.963,262.843,302.539,504.274,879.946,0.008
650,1001.300,120.024,1.475,26.306,74.188,208.715,255.690,290.261,493.898,774.016,0.008
660,929.600,128.000,1.548,23.365,60.563,224.210,270.910,318.444,530.216,993.420,0.008
670,943.800,126.915,1.555,25.177,71.749,228.526,270.834,298.182,489.669,898.823,0.008
680,968.400,123.468,1.552,24.389,56.833,220.631,260.230,296.918,519.931,816.477,0.008
690,920.200,130.822,1.429,25.637,59.948,228.331,265.726,307.716,514.737,843.452,0.008
700,975.500,122.944,1.506,23.436,50.810,221.229,262.029,302.444,531.848,1022.789,0.008
710,933.400,127.960,1.614,23.927,53.381,229.692,260.609,282.256,522.091,1038.979,0.008
720,926.500,130.152,1.604,22.915,54.942,227.816,265.824,296.384,540.022,1105.688,0.008
730,954.300,124.857,1.462,24.934,60.791,223.794,256.195,282.603,509.718,1290.867,0.008
740,946.700,128.191,1.591,28.140,91.224,219.055,266.781,299.142,478.061,833.557,0.008
750,954.300,126.221,1.649,24.797,59.295,221.594,276.084,311.796,510.684,797.433,0.008
760,960.700,124.876,1.594,22.326,49.088,227.448,261.515,295.562,524.313,817.220,0.008
770,942.000,127.482,1.583,24.997,71.830,227.507,272.870,312.002,504.830,1022.956,0.008
780,900.800,131.251,1.550,23.767,75.118,229.532,273.343,315.242,518.625,978.920,0.008
790,941.400,127.838,1.545,23.357,55.534,225.646,267.384,307.952,519.401,869.553,0.008
800,930.700,128.641,1.675,22.939,49.459,226.055,270.809,311.398,552.234,903.802,0.008
810,960.700,126.180,1.564,23.245,50.158,226.315,265.061,296.903,528.495,853.123,0.008
820,931.900,127.869,1.575,22.486,51.542,228.228,268.712,317.641,566.434,1123.216,0.008
830,911.200,131.636,1.614,25.669,57.795,227.196,276.670,326.769,555.414,1088.578,0.008
840,923.200,129.559,1.482,25.990,65.944,223.241,275.435,306.491,538.503,1016.544,0.008
850,982.000,122.396,1.539,26.383,87.361,208.801,276.272,324.376,456.749,807.712,0.008
860,954.400,125.773,1.581,23.837,57.671,222.913,271.689,304.735,520.892,866.633,0.008
870,955.200,126.370,1.489,24.201,57.944,218.481,275.678,319.571,542.501,1109.873,0.008
880,973.800,123.607,1.560,24.213,59.521,224.575,261.999,290.620,477.931,841.595,0.008
890,902.700,132.790,1.630,25.300,54.566,231.185,265.724,312.818,540.778,1097.648,0.008
900,906.600,130.962,1.457,22.668,56.762,227.842,264.343,304.993,539.019,1118.027,0.008
910,951.000,127.114,1.619,23.855,53.829,223.362,266.521,308.850,535.616,1016.860,0.008
920,942.800,126.544,1.564,24.992,54.088,224.268,266.764,317.848,541.307,1065.780,0.008
930,943.500,128.146,1.643,24.974,82.050,222.035,268.650,308.384,531.075,1063.746,0.008
940,938.400,127.365,1.425,24.165,55.879,224.894,276.823,328.032,528.661,1068.490,0.008
950,892.500,134.204,1.580,26.984,108.411,226.890,277.124,320.684,499.955,832.664,0.007
960,971.300,123.977,1.541,23.769,57.286,211.598,279.504,342.536,547.548,855.331,0.008
970,962.800,124.735,1.548,24.945,55.187,221.415,262.735,305.070,531.828,869.826,0.008
980,974.400,123.744,1.612,25.230,68.733,219.839,264.475,310.814,474.268,779.724,0.008
990,959.000,125.221,1.578,23.771,67.584,222.421,263.762,298.831,510.679,797.866,0.008
1000,972.200,123.569,1.640,23.276,48.074,224.928,263.179,301.322,513.695,818.969,0.008
1010,945.200,126.227,1.623,23.121,48.317,224.570,260.795,291.784,540.381,1066.529,0.008
1020,941.300,126.953,1.549,24.138,51.152,227.094,266.013,292.789,523.886,1101.007,0.008
1030,951.100,125.751,1.520,24.015,50.759,227.291,265.872,295.031,510.241,853.091,0.008
1040,945.500,127.784,1.636,25.710,69.044,217.954,270.071,312.016,520.668,905.416,0.008
1050,997.700,120.785,1.566,27.902,73.740,207.157,257.638,299.875,461.439,808.123,0.008
1060,947.100,125.750,1.684,24.751,75.082,217.364,268.537,304.713,508.422,773.821,0.008
1070,965.000,124.228,1.559,24.413,47.974,224.505,261.036,295.443,547.015,1075.097,0.008
1080,926.300,129.898,1.649,26.331,73.138,223.437,286.145,324.619,510.057,866.390,0.008
1090,970.100,123.334,1.546,25.407,61.104,216.719,263.923,310.950,505.496,873.739,0.008
1100,946.300,126.711,1.601,25.838,57.177,221.760,260.480,296.733,534.532,979.739,0.008
1110,961.300,126.993,1.495,25.355,50.440,225.806,258.347,291.420,508.075,830.305,0.008
1120,965.900,124.015,1.585,24.169,53.656,221.306,265.193,305.028,528.817,1076.001,0.008
1130,919.000,129.910,1.559,24.614,54.283,229.557,265.516,300.144,520.927,794.096,0.008
1140,964.200,124.119,1.587,25.108,54.788,219.005,259.715,294.275,532.772,845.429,0.008
1150,961.400,123.925,1.557,26.545,79.030,213.333,269.163,291.628,463.207,817.528,0.008
1160,956.000,125.537,1.591,26.994,78.038,210.727,286.579,333.769,527.195,834.014,0.008
1170,906.500,133.822,1.581,25.544,101.509,230.406,263.211,292.796,518.049,825.325,0.007
