Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1068.400,72.026,28.832,57.490,67.975,78.268,86.113,91.622,174.473,985.849,0.014
10,1177.400,66.967,26.799,56.373,66.302,75.957,82.765,86.718,108.077,216.577,0.015
20,1184.400,66.344,27.489,56.157,65.848,75.570,81.827,85.739,95.122,286.561,0.015
30,1152.800,68.430,27.261,56.273,66.294,76.599,84.803,94.354,134.251,269.051,0.015
40,1154.900,68.758,27.565,56.196,66.558,76.931,85.850,99.805,136.480,214.475,0.015
50,1175.500,67.276,27.801,55.456,65.653,76.142,84.097,91.644,121.849,302.552,0.015
60,1167.000,67.906,27.501,55.947,66.126,76.265,85.033,95.873,127.619,261.263,0.015
70,1174.200,67.555,27.396,55.685,65.934,76.067,84.227,92.977,123.784,234.223,0.015
80,1172.400,67.598,27.506,55.634,66.256,76.361,84.002,92.059,123.357,250.432,0.015
90,1177.200,67.711,26.785,56.059,66.129,76.267,84.548,93.173,123.258,213.954,0.015
100,1144.300,68.969,26.977,56.841,67.233,77.380,85.594,95.295,129.602,344.379,0.014
110,1169.800,67.783,26.427,56.180,66.417,76.499,84.236,90.968,122.076,229.990,0.015
120,1163.100,67.786,27.184,55.863,66.097,76.278,84.751,93.272,126.005,244.269,0.015
130,1171.400,67.551,29.018,55.852,65.889,76.122,83.872,91.112,124.659,248.025,0.015
140,1176.400,67.419,27.553,56.107,66.235,76.141,83.730,90.092,119.819,238.153,0.015
150,1174.000,67.476,26.690,55.924,66.093,76.293,83.738,90.707,120.695,254.863,0.015
160,1176.500,68.028,29.001,56.477,66.639,77.012,84.639,91.003,120.656,233.708,0.015
170,1177.400,67.717,28.118,55.958,66.222,76.383,83.914,90.760,124.503,319.606,0.015
