Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,105.100,129.321,103.437,120.584,127.849,135.135,139.835,146.243,204.514,398.485,0.008
10,109.300,127.357,104.441,120.170,126.879,133.937,138.896,142.341,166.255,187.127,0.008
20,102.500,129.536,104.792,120.850,127.192,135.285,142.877,164.594,187.793,216.272,0.008
30,107.300,128.228,102.618,119.454,126.608,134.418,141.230,152.652,188.635,208.794,0.008
40,104.400,127.922,104.319,119.848,127.155,134.605,139.866,149.574,172.845,200.037,0.008
50,100.100,128.416,103.996,119.699,127.909,134.743,141.606,153.718,172.666,218.435,0.008
60,104.700,128.041,103.903,119.087,127.260,134.643,141.185,152.477,177.871,194.699,0.008
70,106.500,127.742,103.872,119.832,127.365,134.516,140.068,149.365,172.907,202.338,0.008
80,108.300,128.762,104.114,119.480,127.616,134.899,140.977,158.804,183.498,207.713,0.008
90,103.200,128.507,103.937,120.411,127.163,134.044,141.854,154.109,179.820,201.991,0.008
100,102.900,129.348,105.038,120.920,128.329,135.887,142.349,153.428,174.623,201.706,0.008
110,113.900,128.258,104.517,120.436,127.861,134.207,140.445,148.271,172.799,202.715,0.008
120,107.100,128.864,104.183,120.257,127.372,135.307,141.313,150.837,181.130,214.656,0.008
130,106.800,128.097,104.461,120.148,127.437,134.309,140.346,149.040,172.055,190.611,0.008
140,111.600,128.139,104.057,119.411,127.078,134.833,140.338,151.951,176.710,334.648,0.008
150,110.900,128.239,104.468,120.665,127.471,134.588,140.508,147.966,174.897,216.130,0.008
160,103.800,129.760,104.207,121.920,128.669,135.669,142.349,149.885,179.045,217.604,0.008
170,106.000,130.479,104.870,121.122,128.404,135.946,144.064,157.923,205.341,254.753,0.008
180,110.000,130.566,104.700,120.887,128.400,136.018,143.321,159.247,212.478,255.566,0.008
190,111.000,129.178,104.566,120.084,127.241,135.431,142.948,157.643,180.585,211.848,0.008
200,102.300,130.007,104.793,121.274,128.540,135.873,143.096,156.649,182.736,217.250,0.008
210,103.300,130.910,103.406,121.782,129.106,136.839,144.362,161.991,187.058,218.145,0.008
220,107.700,131.707,105.692,121.898,129.310,137.387,145.579,164.387,197.232,225.830,0.008
230,105.500,130.212,105.665,120.292,128.189,135.865,144.922,162.750,196.487,238.059,0.008
240,101.000,129.080,105.202,119.607,126.426,134.896,145.232,163.830,184.133,212.978,0.008
250,104.700,130.136,104.852,120.036,127.437,135.667,145.572,165.621,197.026,217.700,0.008
260,102.000,131.948,104.997,120.673,128.722,135.954,149.744,177.252,208.775,233.377,0.008
270,102.800,132.057,104.791,120.355,127.718,136.132,154.323,175.371,213.228,296.378,0.008
280,108.900,130.339,105.895,121.234,128.505,135.944,147.018,164.653,187.948,221.439,0.008
290,97.900,135.412,104.791,122.232,129.190,137.187,158.533,193.245,257.802,339.102,0.007
300,81.600,151.739,105.551,124.541,132.336,142.520,217.898,293.914,383.500,460.968,0.007
310,105.100,128.507,105.068,119.853,127.628,134.599,141.653,152.821,178.678,209.882,0.008
320,106.100,129.107,103.282,120.322,127.806,134.663,142.383,156.984,184.014,200.589,0.008
330,101.800,129.037,105.224,121.052,128.095,134.877,141.934,153.992,171.844,206.925,0.008
340,103.300,128.130,105.279,119.709,127.232,134.370,140.788,152.896,183.885,202.802,0.008
350,103.500,127.943,105.060,120.450,127.507,134.931,139.303,148.482,171.260,190.947,0.008
360,115.000,128.353,103.446,119.838,127.943,135.079,140.813,150.562,173.256,206.279,0.008
370,106.800,129.161,104.018,121.444,127.213,134.928,141.742,158.872,182.202,192.904,0.008
380,98.900,130.171,105.014,120.782,128.183,135.763,145.370,162.667,191.106,219.834,0.008
390,102.100,130.898,104.746,121.016,128.382,136.739,148.593,167.356,191.793,221.469,0.008
400,103.200,131.957,105.574,122.572,129.232,136.427,144.769,164.556,220.165,242.464,0.008
410,102.600,130.693,105.643,121.444,128.785,135.660,145.073,167.491,187.251,203.898,0.008
420,109.100,129.486,105.527,120.166,127.355,135.238,142.254,161.378,193.527,216.598,0.008
430,102.300,129.168,104.914,120.573,128.354,135.762,142.115,155.512,175.391,208.491,0.008
440,101.100,130.129,104.827,120.737,128.583,136.258,145.071,162.101,185.001,214.640,0.008
450,108.400,129.614,104.658,120.472,127.646,135.209,144.096,162.332,189.846,213.095,0.008
460,105.200,130.847,104.201,120.337,128.619,136.448,150.475,168.100,189.541,207.896,0.008
470,111.200,128.946,104.921,120.227,127.489,135.494,141.607,154.157,176.504,191.483,0.008
480,105.100,129.481,105.249,120.089,127.577,134.919,143.040,161.661,185.368,202.173,0.008
490,107.400,128.947,105.131,119.508,127.412,135.283,143.792,159.019,181.467,196.472,0.008
500,108.400,128.932,104.436,119.722,127.835,135.576,143.439,155.531,185.377,200.977,0.008
510,106.500,128.062,104.876,119.237,127.196,134.386,141.396,155.326,176.117,193.506,0.008
520,103.200,128.018,103.727,119.784,127.202,134.634,140.388,149.780,175.414,198.804,0.008
530,107.200,129.580,104.949,119.876,127.869,135.425,144.310,163.333,188.145,199.509,0.008
540,104.500,129.236,103.472,120.310,127.458,135.150,142.572,160.479,183.715,197.207,0.008
550,110.100,128.538,104.441,120.269,127.126,135.026,141.771,154.639,174.971,202.159,0.008
560,112.500,129.122,104.373,119.788,127.560,135.194,142.010,160.678,187.582,215.998,0.008
570,106.300,129.139,103.734,119.098,127.305,135.045,144.856,163.208,181.617,192.661,0.008
580,104.300,129.482,104.707,120.380,128.243,135.602,142.628,154.715,184.190,212.729,0.008
590,98.800,135.019,105.565,121.530,128.889,137.827,169.652,184.482,225.873,277.921,0.007
600,94.000,142.536,106.273,125.638,134.803,152.217,180.954,195.196,231.167,281.869,0.007
610,106.200,129.316,104.770,121.102,127.467,135.510,143.782,156.289,176.844,190.860,0.008
620,108.200,128.663,104.838,120.026,127.372,134.664,140.941,156.942,179.661,209.634,0.008
630,104.600,129.663,103.553,121.102,128.105,135.490,143.196,160.564,182.169,203.525,0.008
640,105.300,129.857,105.186,120.992,127.964,135.923,143.739,160.432,182.177,199.871,0.008
650,104.500,129.232,103.931,120.059,127.941,135.474,143.209,158.410,176.915,192.173,0.008
660,107.600,128.941,104.701,120.387,127.324,135.582,143.243,157.577,175.049,215.959,0.008
670,104.700,128.095,103.926,119.300,127.113,134.887,141.827,152.114,177.527,195.482,0.008
680,104.200,129.094,105.129,119.892,127.126,134.485,142.312,163.064,184.547,200.734,0.008
690,103.000,130.018,105.328,120.374,128.449,135.772,143.975,163.743,181.421,209.418,0.008
700,105.000,130.227,105.204,120.457,129.044,135.305,143.235,163.099,197.929,225.049,0.008
710,111.300,129.216,103.206,119.886,128.019,135.627,141.677,155.986,187.299,211.979,0.008
720,105.800,129.851,105.529,121.337,128.507,136.081,143.161,156.888,178.163,209.904,0.008
730,106.100,130.438,104.954,121.151,128.187,135.695,142.477,162.480,188.801,352.994,0.008
740,105.700,130.595,104.690,120.848,129.123,136.653,146.807,161.286,181.614,198.817,0.008
750,105.100,128.597,104.608,119.535,127.539,134.761,141.038,152.528,182.931,229.500,0.008
760,100.800,131.104,105.246,120.920,128.627,136.178,145.746,171.992,197.693,212.452,0.008
770,105.900,129.588,104.731,120.332,128.072,135.604,142.603,160.280,182.792,208.676,0.008
780,110.500,128.671,104.102,119.544,127.447,135.099,142.246,160.174,176.975,200.644,0.008
790,106.000,130.283,104.188,120.831,128.685,135.507,145.157,161.209,191.857,221.120,0.008
800,107.900,128.504,104.682,120.038,127.939,135.082,141.565,153.747,172.223,188.061,0.008
810,114.200,128.527,103.870,120.399,127.822,134.470,141.410,153.872,176.404,198.426,0.008
820,111.500,128.401,103.039,120.344,128.039,134.839,141.251,150.821,170.443,192.741,0.008
830,104.200,128.604,104.033,120.627,128.191,134.367,140.227,152.345,179.092,204.435,0.008
840,102.300,128.563,103.854,119.594,126.627,134.678,142.204,161.155,187.399,208.652,0.008
850,102.500,129.364,104.121,119.620,127.845,135.141,143.685,160.212,186.211,198.347,0.008
860,107.700,128.625,104.815,119.778,127.162,134.813,140.395,154.379,191.175,208.195,0.008
870,110.600,127.490,103.147,118.623,126.027,133.828,140.309,154.030,180.168,207.085,0.008
880,103.400,129.947,103.576,120.523,128.493,135.577,142.511,164.540,189.224,206.411,0.008
890,92.700,136.545,105.526,122.391,130.121,141.025,171.209,187.741,214.552,242.512,0.007
900,85.600,140.601,106.292,125.482,133.385,148.244,177.827,191.447,214.640,246.403,0.007
910,107.400,129.574,105.031,119.884,127.858,135.629,143.193,160.790,182.929,198.036,0.008
920,108.000,129.014,103.492,120.115,127.994,134.808,141.950,156.036,179.445,194.618,0.008
930,107.800,128.560,103.882,119.920,127.177,134.531,141.487,157.878,183.988,206.150,0.008
940,107.300,128.859,104.617,119.640,127.634,134.834,143.110,156.956,181.325,206.353,0.008
950,101.700,129.185,105.858,119.701,127.167,135.000,145.919,160.705,178.646,196.413,0.008
960,109.100,127.937,103.305,120.211,127.231,134.354,140.014,150.425,174.245,190.312,0.008
970,106.500,127.865,104.092,119.281,127.183,134.001,139.739,152.760,180.838,196.405,0.008
980,104.700,129.711,103.018,120.429,128.124,135.075,143.042,162.846,185.287,264.291,0.008
990,106.600,129.087,104.526,119.420,127.301,135.418,142.985,161.873,183.349,202.911,0.008
1000,104.900,129.139,104.691,119.752,127.317,135.073,142.026,158.701,196.615,210.252,0.008
1010,108.400,128.888,103.633,119.697,126.758,134.819,141.637,162.788,184.715,209.199,0.008
1020,107.500,128.366,105.167,119.427,126.740,134.371,141.311,154.593,186.587,209.839,0.008
1030,105.700,128.183,104.413,119.875,127.340,134.576,139.796,149.616,175.843,193.278,0.008
1040,108.900,128.965,105.165,120.304,127.788,135.006,142.513,154.607,183.297,223.410,0.008
1050,107.500,128.166,104.384,119.802,126.475,134.558,141.352,155.217,181.083,196.239,0.008
