Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,108.000,7.141,5.408,6.419,6.825,7.223,7.537,7.819,17.325,59.015,0.140
10,100.800,6.934,5.517,6.494,6.869,7.262,7.598,7.841,8.649,24.224,0.144
20,103.200,6.775,5.433,6.327,6.740,7.148,7.418,7.612,8.448,22.520,0.148
30,107.500,6.783,5.390,6.334,6.715,7.093,7.357,7.573,8.291,64.118,0.147
40,107.800,6.832,5.408,6.324,6.714,7.119,7.399,7.585,9.145,38.978,0.146
50,102.300,6.706,5.425,6.307,6.695,7.074,7.341,7.520,8.094,18.568,0.149
60,111.500,6.772,5.457,6.331,6.717,7.071,7.359,7.564,8.252,60.733,0.148
70,106.500,6.673,5.359,6.273,6.717,7.059,7.329,7.528,8.089,9.391,0.150
80,113.300,6.709,5.393,6.286,6.726,7.103,7.388,7.572,8.131,15.208,0.149
90,109.000,6.707,5.431,6.280,6.733,7.116,7.374,7.537,8.048,17.990,0.149
100,101.700,6.755,5.410,6.368,6.771,7.166,7.430,7.601,8.147,10.691,0.148
110,108.200,6.752,5.394,6.340,6.766,7.137,7.425,7.561,8.282,18.244,0.148
120,110.700,6.776,5.456,6.337,6.754,7.164,7.429,7.638,8.515,18.879,0.148
130,112.800,6.829,5.532,6.372,6.772,7.165,7.493,7.729,9.225,21.559,0.146
140,114.200,6.729,5.444,6.324,6.744,7.138,7.427,7.624,8.265,11.762,0.149
150,116.000,6.794,5.414,6.372,6.747,7.155,7.461,7.633,8.950,22.187,0.147
160,105.300,6.801,5.471,6.392,6.820,7.187,7.502,7.738,8.162,9.823,0.147
170,105.700,6.786,5.394,6.400,6.803,7.188,7.465,7.634,8.231,10.313,0.147
180,105.100,6.874,5.438,6.353,6.772,7.145,7.470,7.701,8.977,119.505,0.145
190,104.400,6.715,5.439,6.312,6.737,7.111,7.396,7.585,7.964,10.573,0.149
200,109.200,6.729,5.416,6.338,6.739,7.167,7.391,7.567,8.042,9.684,0.149
210,107.900,6.731,5.406,6.319,6.755,7.127,7.426,7.605,8.201,10.349,0.149
220,106.500,6.764,5.417,6.367,6.745,7.125,7.427,7.644,8.454,20.834,0.148
230,103.200,6.745,5.340,6.325,6.762,7.169,7.452,7.585,8.117,10.639,0.148
240,104.800,6.721,5.398,6.313,6.750,7.138,7.399,7.553,7.941,8.619,0.149
250,106.100,6.690,5.446,6.264,6.717,7.122,7.377,7.559,8.059,8.661,0.149
260,104.300,6.715,5.408,6.311,6.713,7.096,7.403,7.568,8.269,10.765,0.149
270,108.600,6.674,5.433,6.279,6.699,7.073,7.347,7.553,8.133,10.870,0.150
280,101.900,6.720,5.397,6.320,6.738,7.127,7.383,7.607,8.176,10.189,0.149
290,98.800,6.738,5.451,6.368,6.750,7.129,7.415,7.605,8.270,9.712,0.148
300,82.800,6.885,5.451,6.434,6.891,7.280,7.627,7.884,8.857,10.636,0.145
310,107.500,6.694,5.394,6.291,6.690,7.079,7.398,7.586,8.366,10.524,0.149
320,116.600,6.714,5.426,6.331,6.724,7.100,7.386,7.535,8.215,13.533,0.149
330,106.000,6.759,5.451,6.281,6.709,7.122,7.411,7.665,8.544,34.059,0.148
340,108.500,6.723,5.494,6.303,6.755,7.115,7.355,7.537,8.119,16.209,0.149
350,109.500,6.751,5.376,6.343,6.730,7.131,7.428,7.599,8.243,20.713,0.148
360,110.600,6.671,5.403,6.283,6.696,7.079,7.357,7.527,7.942,9.759,0.150
370,112.500,6.720,5.425,6.307,6.738,7.130,7.402,7.574,8.046,11.468,0.149
380,113.000,6.752,5.402,6.327,6.772,7.164,7.454,7.638,8.249,13.861,0.148
390,104.800,6.721,5.447,6.304,6.715,7.102,7.395,7.577,8.226,11.188,0.149
400,98.100,7.043,5.472,6.361,6.794,7.164,7.463,7.666,8.568,98.550,0.142
410,109.000,6.759,5.442,6.379,6.749,7.156,7.423,7.585,8.345,12.710,0.148
420,107.300,6.721,5.420,6.313,6.725,7.113,7.390,7.592,8.275,10.594,0.149
430,108.500,6.783,5.386,6.328,6.736,7.131,7.472,7.684,9.528,20.310,0.147
440,108.400,6.770,5.444,6.340,6.768,7.164,7.433,7.616,8.404,20.616,0.148
450,107.800,6.715,5.458,6.306,6.742,7.115,7.390,7.579,8.335,10.167,0.149
460,107.400,6.763,5.466,6.297,6.701,7.074,7.386,7.611,8.328,37.101,0.148
470,104.300,6.706,5.498,6.355,6.719,7.068,7.351,7.503,8.113,10.129,0.149
480,108.400,6.735,5.426,6.310,6.734,7.107,7.445,7.603,8.242,18.277,0.148
490,103.600,6.741,5.416,6.305,6.741,7.146,7.454,7.602,8.283,14.506,0.148
500,105.800,6.656,5.444,6.270,6.674,7.040,7.350,7.534,8.000,8.368,0.150
510,106.700,6.732,5.427,6.305,6.726,7.117,7.403,7.620,8.141,25.673,0.149
520,111.400,6.700,5.457,6.265,6.731,7.115,7.374,7.576,8.290,12.288,0.149
530,111.600,6.747,5.409,6.315,6.698,7.068,7.331,7.524,8.133,40.136,0.148
540,105.200,6.695,5.471,6.341,6.731,7.091,7.348,7.521,7.884,9.303,0.149
550,106.900,6.744,5.472,6.289,6.700,7.080,7.392,7.530,8.495,45.123,0.148
560,103.000,6.761,5.434,6.271,6.717,7.104,7.392,7.624,8.340,30.454,0.148
570,104.400,6.725,5.398,6.328,6.682,7.087,7.402,7.578,8.311,33.814,0.149
580,105.200,6.722,5.429,6.288,6.742,7.162,7.446,7.655,8.170,10.607,0.149
590,97.000,6.753,5.458,6.360,6.749,7.137,7.467,7.650,8.413,11.124,0.148
600,86.800,6.962,5.441,6.487,6.879,7.275,7.709,8.089,9.093,39.353,0.144
610,106.500,6.747,5.415,6.333,6.759,7.124,7.403,7.562,8.244,22.904,0.148
620,105.600,6.702,5.320,6.329,6.679,7.071,7.369,7.539,8.258,13.146,0.149
630,106.600,6.672,5.441,6.286,6.656,7.064,7.363,7.532,8.067,10.317,0.150
640,106.500,6.772,5.425,6.338,6.718,7.144,7.460,7.677,8.428,19.325,0.148
650,102.000,6.687,5.446,6.275,6.692,7.061,7.363,7.540,8.152,15.097,0.150
660,107.200,6.723,5.416,6.322,6.747,7.133,7.401,7.604,8.059,9.942,0.149
