Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1077.700,21.352,15.387,19.685,20.905,22.248,23.934,25.465,35.579,50.090,0.047
10,1169.700,21.273,15.317,19.696,20.739,22.083,23.564,24.748,31.685,98.623,0.047
20,1168.600,21.833,15.490,19.528,20.605,21.885,23.259,24.504,72.528,226.748,0.046
30,1171.800,21.362,15.060,19.304,20.403,21.589,22.990,24.128,60.809,96.615,0.047
40,1171.700,21.813,15.512,19.576,20.727,22.137,23.656,25.095,59.781,89.089,0.046
50,1162.800,22.095,15.253,19.443,20.605,21.901,23.542,26.663,69.734,110.316,0.045
60,1147.200,21.643,15.275,19.451,20.598,21.868,23.509,24.981,64.251,91.338,0.046
70,1166.600,21.570,15.614,19.413,20.556,21.760,23.305,24.785,63.337,90.344,0.046
80,1147.900,21.972,15.393,19.498,20.675,21.989,23.576,25.544,69.793,94.872,0.046
90,1165.400,22.058,14.452,19.704,21.023,22.436,23.784,25.364,67.758,89.643,0.045
100,1136.200,22.379,15.477,19.908,21.129,22.541,24.321,26.281,71.456,90.828,0.045
110,1168.700,21.858,15.237,19.663,20.734,22.041,23.465,24.654,65.768,88.566,0.046
120,1151.300,21.845,15.563,19.583,20.723,21.987,23.441,24.879,66.650,77.128,0.046
130,1163.500,21.703,15.911,19.552,20.675,21.896,23.351,24.738,62.902,81.211,0.046
140,1171.500,21.798,15.554,19.652,20.886,22.065,23.468,24.651,62.418,79.241,0.046
150,1140.800,22.098,15.647,19.618,20.811,22.060,23.531,25.158,63.306,129.049,0.045
160,1110.300,22.436,15.256,19.954,21.121,22.419,24.079,25.571,69.004,113.382,0.045
170,1129.300,22.377,15.150,19.679,20.725,22.102,23.681,25.515,68.650,138.818,0.045
180,1151.000,22.038,15.627,19.686,20.751,22.184,23.908,26.746,62.975,93.436,0.045
190,1112.100,22.504,14.981,19.582,20.805,22.184,24.305,31.507,67.404,100.824,0.044
200,1136.900,23.079,15.871,19.827,21.253,22.827,25.332,30.955,70.231,108.752,0.043
210,1110.000,23.519,15.660,20.111,21.535,23.252,26.380,37.111,77.044,112.492,0.043
220,1100.100,23.209,14.936,20.045,21.419,23.164,25.709,30.267,71.591,119.973,0.043
230,1113.700,23.399,15.455,19.930,21.199,22.777,25.473,35.245,78.785,124.386,0.043
240,1134.400,22.467,15.170,19.567,20.800,22.188,24.036,32.743,68.123,112.437,0.045
250,1152.700,22.318,14.834,19.526,20.678,22.018,23.775,27.028,74.955,109.130,0.045
260,1130.200,23.099,15.107,19.625,20.765,22.253,24.171,34.098,93.769,120.322,0.043
270,1131.600,23.257,15.234,19.656,20.939,22.426,24.166,32.365,93.735,219.821,0.043
280,1139.000,23.043,15.710,19.989,21.394,22.953,25.463,30.364,73.082,118.034,0.043
290,1056.600,26.413,15.701,20.065,21.463,23.375,32.639,64.990,121.456,196.738,0.038
300,892.100,33.290,15.135,20.588,22.175,24.310,56.213,109.229,221.707,309.550,0.030
310,1156.400,21.920,15.511,19.538,20.584,21.819,23.441,25.014,72.098,98.428,0.046
320,1152.300,21.731,15.500,19.559,20.735,21.945,23.462,25.340,62.483,89.358,0.046
330,1174.900,21.998,15.494,19.710,20.929,22.288,23.868,25.771,64.891,77.116,0.045
340,1163.800,21.999,15.728,19.649,20.880,22.148,23.741,25.695,65.559,95.751,0.045
350,1158.400,21.742,14.800,19.594,20.621,21.915,23.482,24.829,65.013,78.957,0.046
360,1131.400,21.968,15.293,19.544,20.696,22.012,23.726,27.051,64.261,93.130,0.046
370,1147.400,22.065,14.882,19.631,20.764,22.035,23.852,27.498,66.319,95.081,0.045
380,1160.700,22.341,14.416,19.587,20.763,22.156,24.316,31.696,67.419,104.338,0.045
390,1127.700,23.285,14.700,19.754,21.019,22.533,24.831,38.524,76.026,112.646,0.043
400,1129.100,22.931,15.068,20.086,21.450,23.025,25.536,30.347,66.015,228.218,0.044
410,1157.400,22.214,16.030,19.691,20.845,22.140,23.787,26.298,69.296,105.373,0.045
420,1156.100,22.202,15.635,19.600,20.681,22.097,23.804,26.401,68.692,105.998,0.045
430,1142.200,22.144,15.634,19.581,20.726,21.997,23.821,26.498,68.025,100.533,0.045
440,1147.500,22.104,15.579,19.641,20.840,22.120,23.688,25.725,69.900,96.365,0.045
450,1141.000,22.311,15.608,19.479,20.531,22.027,23.804,28.306,72.270,107.103,0.045
460,1138.600,22.527,14.830,19.690,20.904,22.261,24.166,32.644,66.259,92.470,0.044
470,1157.100,21.961,15.285,19.575,20.775,22.018,23.617,26.344,64.070,90.344,0.046
480,1131.300,22.305,15.082,19.688,20.872,22.165,23.912,25.920,74.243,101.564,0.045
490,1169.000,22.102,15.642,19.635,20.731,22.036,23.787,25.842,67.381,104.667,0.045
500,1158.900,22.172,15.767,19.640,20.705,22.078,23.714,26.910,69.007,101.759,0.045
510,1155.700,21.720,14.953,19.561,20.656,21.868,23.413,25.103,65.719,84.145,0.046
520,1167.600,22.230,15.338,19.609,20.770,22.132,23.827,29.259,68.587,90.788,0.045
530,1158.600,21.782,14.464,19.509,20.640,21.875,23.400,25.578,60.772,89.844,0.046
540,1154.500,21.942,14.683,19.557,20.661,21.960,23.568,26.039,66.045,97.476,0.046
550,1167.500,21.826,15.302,19.504,20.642,21.955,23.587,26.589,64.615,95.086,0.046
560,1135.500,21.988,15.356,19.503,20.599,21.804,23.452,25.510,73.032,100.533,0.045
570,1168.400,21.858,15.291,19.416,20.420,21.764,23.229,25.599,69.021,99.744,0.046
580,1118.500,22.546,15.500,19.721,20.922,22.447,24.271,28.420,73.420,99.782,0.044
590,1064.800,26.154,15.545,19.785,21.028,22.938,36.566,70.912,92.053,160.052,0.038
600,965.700,30.322,15.357,20.223,21.791,24.915,67.496,79.952,95.876,157.984,0.033
610,1157.100,21.867,15.603,19.707,20.734,21.950,23.665,25.797,64.518,100.178,0.046
620,1158.000,21.849,15.437,19.608,20.659,21.885,23.370,25.004,68.861,98.330,0.046
630,1155.300,21.985,15.537,19.561,20.667,21.879,23.385,25.413,70.911,101.405,0.045
640,1149.000,22.259,14.783,19.712,21.001,22.331,24.112,27.462,66.784,94.637,0.045
650,1166.900,22.106,15.531,19.541,20.681,21.973,23.547,25.990,68.660,95.855,0.045
660,1154.600,21.755,14.451,19.499,20.537,21.803,23.435,25.879,63.558,92.121,0.046
670,1155.000,21.853,15.263,19.500,20.615,21.882,23.647,25.708,66.494,87.461,0.046
680,1160.100,22.051,15.482,19.566,20.603,21.936,23.642,28.037,68.583,102.063,0.045
690,1141.500,22.109,15.168,19.658,20.900,22.209,23.814,25.853,67.621,95.555,0.045
700,1141.000,22.459,15.769,19.731,21.004,22.403,23.998,26.430,74.997,116.060,0.045
710,1155.600,22.005,15.737,19.633,20.737,21.855,23.469,25.582,69.540,104.638,0.045
720,1123.600,22.153,15.419,19.605,20.669,21.905,23.547,25.796,72.397,105.994,0.045
730,1131.500,22.297,15.351,19.634,20.745,22.132,23.902,27.983,68.655,230.051,0.045
740,1151.300,21.954,15.335,19.604,20.786,21.929,23.391,25.219,68.809,97.291,0.046
750,1154.700,22.104,15.518,19.595,20.781,22.110,23.680,26.905,64.938,103.612,0.045
760,1154.800,22.259,15.315,19.658,20.742,22.068,23.811,26.641,76.408,105.006,0.045
770,1155.500,21.822,14.359,19.453,20.538,21.812,23.346,25.346,65.971,97.141,0.046
780,1156.000,21.851,14.936,19.618,20.720,21.964,23.566,25.601,63.538,93.299,0.046
790,1132.900,22.097,15.342,19.492,20.629,22.003,23.646,27.444,70.452,103.560,0.045
800,1143.100,21.904,15.430,19.540,20.594,21.728,23.492,27.155,64.832,108.361,0.046
810,1158.500,21.738,15.571,19.377,20.444,21.764,23.280,25.488,65.072,97.074,0.046
820,1133.000,22.012,14.989,19.515,20.705,22.117,23.937,27.255,65.134,78.868,0.045
830,1144.000,22.043,15.121,19.574,20.673,21.973,23.619,26.388,69.379,99.766,0.045
840,1155.500,21.851,14.927,19.475,20.533,21.756,23.267,25.027,65.707,102.796,0.046
850,1182.300,21.766,15.637,19.392,20.454,21.734,23.320,25.941,66.627,92.329,0.046
860,1154.900,22.196,15.492,19.454,20.674,22.116,23.589,26.084,72.554,118.537,0.045
870,1157.400,21.844,15.415,19.401,20.483,21.690,23.258,25.631,68.646,104.238,0.046
880,1119.100,22.353,14.780,19.739,20.886,22.397,24.207,26.996,73.735,105.875,0.045
890,1050.700,26.491,15.801,19.849,21.210,23.157,41.006,70.269,97.425,166.675,0.038
900,992.100,29.611,15.693,20.189,21.760,24.328,64.425,80.761,97.792,131.410,0.034
910,1152.300,21.919,15.428,19.617,20.828,22.120,23.616,25.684,65.302,83.718,0.046
920,1147.800,21.914,15.585,19.585,20.650,22.001,23.706,26.780,64.727,110.531,0.046
930,1184.100,21.915,15.683,19.524,20.704,21.962,23.447,25.051,68.631,97.773,0.046
940,1142.900,22.100,15.490,19.623,20.827,22.129,23.889,27.360,64.945,101.280,0.045
950,1157.700,21.722,15.564,19.553,20.578,21.853,23.553,26.141,62.899,87.028,0.046
960,1164.700,21.798,15.660,19.508,20.614,21.870,23.280,25.286,66.368,100.755,0.046
970,1158.800,21.954,15.443,19.509,20.625,22.025,23.593,27.181,68.095,83.202,0.046
980,1140.600,22.156,15.528,19.545,20.689,21.857,23.590,26.876,69.987,152.336,0.045
990,1165.400,21.884,15.076,19.591,20.710,21.854,23.558,26.057,65.082,87.751,0.046
1000,1135.900,22.289,15.105,19.747,21.028,22.399,24.425,27.758,67.650,229.129,0.045
1010,1174.000,21.639,15.680,19.405,20.439,21.606,23.247,25.252,65.695,102.241,0.046
1020,1157.400,21.984,15.341,19.456,20.643,22.039,23.738,26.203,65.796,104.831,0.045
1030,1163.700,21.821,15.393,19.486,20.524,21.669,23.483,26.071,65.188,104.884,0.046
1040,1149.400,22.101,15.167,19.539,20.549,21.875,23.670,25.866,74.380,102.655,0.045
1050,1169.600,21.876,15.194,19.332,20.389,21.638,23.284,25.732,68.130,97.700,0.046
1060,1124.000,22.442,15.199,19.538,20.610,22.034,23.892,29.191,75.478,133.754,0.045
1070,1158.700,21.853,15.567,19.411,20.477,21.820,23.545,27.032,65.000,103.667,0.046
1080,1156.000,21.794,14.706,19.438,20.461,21.731,23.374,25.999,64.410,119.329,0.046
1090,1148.300,21.984,15.245,19.531,20.649,22.029,23.879,27.494,63.882,104.530,0.045
1100,1138.300,22.461,15.375,19.788,21.096,22.594,24.809,27.910,69.042,112.965,0.045
1110,1135.700,22.745,14.937,19.793,21.118,22.646,24.875,30.114,72.320,97.857,0.044
1120,1098.900,23.469,15.796,19.935,21.276,22.977,25.490,30.727,78.340,144.831,0.043
1130,1157.800,21.996,14.931,19.562,20.678,22.040,23.794,26.495,67.500,89.166,0.045
1140,1146.700,22.057,15.439,19.607,20.953,22.315,23.851,25.801,66.157,105.364,0.045
1150,1152.300,21.840,15.374,19.429,20.591,21.919,23.799,27.435,61.335,84.550,0.046
1160,1160.500,22.290,15.426,19.579,20.761,22.329,24.576,29.267,66.218,94.401,0.045
1170,1090.500,23.537,15.633,19.899,21.307,23.104,26.416,33.440,74.022,189.838,0.042
1180,1032.500,27.077,15.054,20.228,21.795,23.922,38.909,72.028,92.370,193.999,0.037
1190,959.600,29.741,15.608,20.408,22.193,26.814,55.645,78.661,97.899,147.782,0.034
1200,1164.000,21.982,15.504,19.552,20.763,22.131,23.781,25.881,66.522,89.543,0.045
1210,1109.200,22.189,15.729,19.901,21.105,22.507,24.231,25.878,66.512,86.498,0.045
1220,1144.800,22.302,15.497,19.555,20.664,21.969,23.712,26.950,68.006,132.666,0.045
1230,1094.000,24.129,15.333,20.050,21.534,23.403,28.413,39.324,71.911,199.722,0.041
1240,1142.500,22.342,15.420,19.797,21.043,22.506,24.225,26.975,67.373,107.764,0.045
1250,1156.800,21.860,15.274,19.514,20.628,22.003,23.725,26.762,62.426,93.913,0.046
1260,1156.900,21.753,15.462,19.467,20.448,21.802,23.351,25.438,62.588,85.970,0.046
1270,1161.700,21.903,14.802,19.462,20.544,21.902,23.602,26.657,66.264,95.129,0.046
1280,1165.800,22.073,15.346,19.682,20.956,22.254,23.879,26.178,65.294,91.516,0.045
1290,1119.800,22.674,15.323,19.653,20.888,22.395,25.329,32.834,68.833,101.103,0.044
1300,1160.200,22.594,15.774,19.866,21.166,22.719,24.927,29.063,68.727,86.045,0.044
1310,1160.400,22.048,14.775,19.569,20.709,22.099,23.790,27.553,66.009,84.085,0.045
1320,1150.600,21.834,15.595,19.446,20.523,21.826,23.496,26.175,66.672,90.725,0.046
1330,1143.000,21.892,14.890,19.555,20.682,21.979,23.735,25.898,63.141,87.508,0.046
1340,1145.400,21.817,14.979,19.494,20.530,21.804,23.537,25.650,63.898,87.437,0.046
1350,1159.900,21.999,15.022,19.455,20.645,21.947,23.726,28.561,65.476,98.086,0.045
1360,1148.500,22.607,15.577,19.746,21.037,22.591,24.416,26.927,74.019,100.811,0.044
1370,1140.200,21.869,14.272,19.417,20.550,21.895,23.447,26.722,65.477,94.372,0.046
1380,1155.600,21.866,15.416,19.458,20.534,21.780,23.346,25.902,66.287,95.091,0.046
1390,1146.100,22.166,14.965,19.634,20.647,21.889,23.642,25.564,77.350,102.964,0.045
1400,1166.100,21.836,15.543,19.466,20.595,21.900,23.340,26.498,64.029,99.123,0.046
1410,1165.400,21.896,15.210,19.427,20.493,21.741,23.403,26.409,68.312,114.957,0.046
1420,1145.700,22.243,15.126,19.561,20.802,22.174,23.933,26.787,69.089,106.355,0.045
1430,1172.500,21.750,15.014,19.537,20.677,22.026,23.536,25.683,64.299,82.043,0.046
1440,1154.400,21.691,14.853,19.423,20.508,21.815,23.402,25.877,63.203,90.199,0.046
1450,1149.800,21.703,15.508,19.409,20.526,21.822,23.357,25.672,64.780,93.537,0.046
1460,1163.500,21.831,15.411,19.461,20.573,21.895,23.539,26.752,65.414,100.517,0.046
1470,1170.800,21.596,14.327,19.344,20.424,21.765,23.380,25.522,65.693,90.972,0.046
1480,1107.700,23.995,15.234,19.642,20.861,22.554,27.306,51.609,80.893,113.442,0.042
1490,1052.000,26.731,14.864,19.783,21.058,23.274,49.916,71.086,88.790,104.232,0.037
1500,1069.100,25.172,15.320,19.851,21.183,22.777,27.908,67.036,85.097,108.502,0.040
1510,1133.300,22.232,14.994,19.595,20.722,22.096,23.870,26.843,73.265,107.144,0.045
1520,1158.000,21.738,15.244,19.463,20.559,21.824,23.411,25.468,63.700,98.425,0.046
1530,1156.700,21.948,15.598,19.527,20.572,21.854,23.481,25.505,72.707,103.985,0.046
1540,1136.900,22.259,14.828,19.544,20.702,22.027,23.675,26.087,76.444,118.561,0.045
1550,1128.500,22.104,14.758,19.463,20.735,21.964,23.481,25.169,73.379,107.369,0.045
1560,1158.700,21.960,15.069,19.438,20.561,21.850,23.471,26.253,65.231,112.835,0.046
1570,1166.300,21.857,15.323,19.415,20.546,21.860,23.522,26.155,67.247,106.689,0.046
1580,1140.200,22.017,14.809,19.456,20.624,21.912,23.559,29.851,65.341,110.102,0.045
1590,1152.600,22.065,15.169,19.574,20.696,22.017,23.873,26.431,64.641,117.690,0.045
1600,1140.800,22.429,15.472,19.693,20.944,22.256,23.989,26.760,70.537,107.055,0.045
1610,1144.500,21.956,15.308,19.550,20.732,21.983,23.916,27.350,64.207,97.387,0.046
1620,1156.700,21.766,14.993,19.409,20.433,21.755,23.206,24.928,66.314,90.737,0.046
1630,1164.800,21.964,15.578,19.483,20.561,21.869,23.634,28.663,65.611,102.094,0.046
1640,1176.500,21.907,14.440,19.596,20.594,21.895,23.741,27.589,63.425,94.961,0.046
1650,1162.200,21.824,15.522,19.478,20.555,21.802,23.434,26.426,63.747,88.976,0.046
1660,1131.000,22.975,15.679,19.931,21.275,22.895,24.970,28.547,77.476,112.699,0.044
1670,1164.100,22.189,14.493,19.528,20.749,22.163,23.979,26.588,68.608,105.012,0.045
1680,1128.000,22.430,15.159,19.754,20.940,22.476,24.484,29.064,64.164,111.533,0.045
1690,1154.400,21.866,15.302,19.479,20.545,21.947,23.669,26.883,66.354,102.345,0.046
1700,1128.300,22.595,15.324,19.565,20.797,22.147,23.761,28.497,75.628,106.626,0.044
1710,1139.000,22.549,15.383,19.472,20.651,21.974,23.971,33.306,76.730,123.986,0.044
1720,1150.100,22.410,15.023,19.561,20.808,22.189,24.061,29.482,72.987,118.040,0.045
1730,1158.600,21.986,15.061,19.535,20.720,22.062,23.692,26.621,66.572,97.645,0.045
1740,1173.600,21.999,14.774,19.613,20.743,22.091,23.843,26.397,67.532,102.124,0.045
1750,1173.200,22.103,14.626,19.535,20.764,21.986,23.558,25.968,66.257,101.014,0.045
1760,1160.500,22.310,15.668,19.642,20.865,22.229,23.990,27.244,70.252,104.783,0.045
1770,1141.600,22.018,15.284,19.545,20.649,21.961,23.582,26.958,66.734,106.885,0.045
1780,1058.300,26.113,14.357,19.932,21.198,23.160,34.561,69.429,89.710,139.331,0.038
1790,1030.500,27.455,14.837,20.044,21.501,23.717,56.274,70.960,94.837,112.696,0.036
1800,94.900,32.018,16.516,20.463,21.979,31.452,75.506,83.037,87.424,87.592,0.031
