Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,98.600,134.222,113.772,123.645,129.749,136.546,144.261,158.187,263.099,388.544,0.007
10,111.100,129.299,113.205,123.080,129.079,135.041,138.817,141.301,151.040,171.667,0.008
20,113.700,128.833,112.573,122.430,128.375,134.421,138.966,142.106,149.209,158.492,0.008
30,101.200,135.074,113.388,122.716,129.716,136.903,163.349,188.454,212.757,232.637,0.007
40,103.600,134.812,113.085,123.003,129.782,136.829,155.280,174.528,230.547,325.038,0.007
50,106.400,129.886,113.721,122.170,128.193,134.535,140.193,147.580,173.086,202.153,0.008
60,107.500,130.256,112.667,122.578,129.127,135.102,141.230,148.956,169.910,184.570,0.008
70,108.400,131.933,113.127,123.146,128.842,135.517,144.094,162.814,191.358,246.529,0.008
80,108.000,132.685,113.757,124.170,130.254,136.441,144.426,163.052,187.023,201.507,0.008
90,106.100,131.323,113.685,123.387,129.384,135.749,142.391,153.376,178.532,203.217,0.008
100,104.500,130.795,113.679,122.858,128.875,134.997,141.682,152.339,183.747,192.978,0.008
110,109.000,130.141,112.732,122.101,128.721,134.887,140.060,150.492,175.941,189.939,0.008
120,114.300,130.635,112.314,122.897,128.447,134.705,142.895,154.896,178.533,195.946,0.008
130,108.700,130.818,113.134,122.536,129.214,135.961,142.438,155.875,174.777,196.782,0.008
140,104.800,131.767,114.076,123.745,129.810,136.615,142.910,154.236,181.141,206.452,0.008
150,104.300,130.713,113.002,122.951,129.384,135.140,141.576,150.738,175.700,186.723,0.008
160,106.400,132.996,113.721,123.624,129.132,135.940,146.920,170.853,198.791,240.395,0.008
170,104.900,131.976,112.377,123.306,129.358,135.951,145.633,162.854,180.292,192.670,0.008
180,109.000,131.442,113.296,122.176,128.875,135.720,146.100,161.771,181.504,198.838,0.008
190,106.400,131.623,113.068,122.696,129.274,135.194,144.268,161.784,186.443,209.084,0.008
200,100.800,135.095,112.667,124.230,130.110,137.597,152.036,173.393,253.114,336.303,0.007
210,105.300,132.964,113.327,123.405,129.116,135.806,154.510,169.321,189.154,205.635,0.008
220,108.100,132.160,112.970,122.547,128.626,135.574,150.010,168.362,192.772,211.702,0.008
230,99.300,131.010,112.102,122.033,128.396,135.116,143.556,159.862,191.368,229.347,0.008
240,103.800,131.665,112.683,122.521,128.683,135.006,145.242,164.304,186.899,213.997,0.008
250,104.200,133.125,112.148,122.506,129.570,136.671,152.749,171.701,193.945,218.236,0.008
260,102.900,132.778,112.393,122.799,129.656,136.985,147.217,166.806,192.005,221.614,0.008
270,105.600,132.477,112.337,122.610,128.831,135.374,148.319,173.853,191.362,209.409,0.008
280,101.500,132.169,112.246,121.817,128.032,135.414,150.814,174.409,196.444,208.238,0.008
290,103.800,131.578,113.201,122.030,128.489,135.209,142.374,168.232,193.583,220.227,0.008
300,93.100,132.522,113.119,122.300,128.543,135.220,145.026,167.273,199.661,363.540,0.008
310,103.900,132.150,113.578,121.967,128.335,135.228,146.701,171.584,193.517,214.201,0.008
320,108.300,131.430,113.556,122.694,129.505,136.053,143.606,158.724,178.453,193.411,0.008
330,106.500,129.769,113.026,122.049,127.939,134.277,139.927,152.054,169.953,189.899,0.008
340,106.800,131.896,112.547,122.543,128.946,135.458,145.228,163.044,191.588,237.663,0.008
350,105.300,130.960,113.553,122.992,128.684,135.192,142.573,153.975,181.767,202.119,0.008
360,103.400,131.958,112.878,122.782,129.120,136.438,146.834,159.405,178.380,210.730,0.008
370,106.100,133.538,113.566,123.094,129.269,136.491,146.413,164.572,253.137,344.274,0.007
380,99.100,134.150,112.957,124.113,130.953,137.926,149.178,168.670,203.472,232.463,0.007
390,99.500,132.162,112.890,122.659,129.432,136.477,147.164,165.891,183.405,223.265,0.008
400,106.100,132.728,112.903,122.440,129.352,135.753,151.440,169.790,194.823,210.431,0.008
410,103.600,131.442,112.292,122.698,128.371,135.567,143.228,161.275,191.736,211.603,0.008
420,101.600,134.753,113.552,122.801,129.520,136.767,151.986,175.753,237.992,325.699,0.007
430,104.900,131.495,113.576,123.171,129.049,135.130,144.181,161.014,179.654,198.716,0.008
440,95.800,137.256,113.903,125.410,131.943,139.545,168.568,186.488,207.360,229.629,0.007
450,87.600,143.648,113.625,125.320,132.059,140.830,189.037,219.205,297.047,330.897,0.007
460,96.000,137.757,112.239,125.894,132.270,140.386,165.694,188.527,215.603,241.745,0.007
470,105.800,131.127,112.598,122.140,128.363,135.126,143.091,163.738,183.613,212.943,0.008
480,107.200,130.488,112.966,122.188,128.369,135.217,140.568,155.660,180.918,210.760,0.008
490,106.000,131.071,112.622,122.270,128.220,135.211,142.794,160.874,183.286,232.301,0.008
500,104.100,132.142,114.024,123.185,129.329,135.701,144.582,163.774,189.863,203.125,0.008
510,104.800,130.824,113.302,122.555,128.802,135.270,143.172,159.792,175.726,191.471,0.008
520,107.700,130.336,112.323,121.677,128.212,134.673,140.932,156.048,180.042,203.828,0.008
530,104.900,130.575,112.686,121.811,128.110,134.212,142.097,158.731,187.410,204.609,0.008
540,109.900,130.961,113.369,122.205,128.429,135.401,144.504,157.065,179.539,207.256,0.008
550,105.000,130.805,113.069,123.270,128.703,134.685,141.927,154.917,180.179,208.232,0.008
560,103.900,132.591,112.955,123.558,129.215,135.782,145.383,168.332,198.372,217.424,0.008
570,101.700,131.786,113.074,122.230,128.825,135.987,144.900,165.239,189.800,210.921,0.008
580,105.900,131.497,112.021,122.107,128.604,135.629,145.314,161.740,186.150,216.910,0.008
590,104.600,131.818,112.097,122.835,128.595,135.486,144.716,167.159,188.347,204.529,0.008
600,104.700,130.387,112.817,122.109,128.430,135.031,142.967,156.012,176.635,192.514,0.008
610,99.000,133.283,112.553,122.990,129.079,136.352,148.199,176.057,205.920,216.151,0.008
620,102.600,132.580,112.831,123.248,128.964,135.558,142.166,166.973,204.917,293.890,0.008
630,104.700,132.291,113.483,122.887,129.019,135.613,147.997,169.744,190.504,208.099,0.008
640,103.600,130.796,113.517,121.849,128.323,135.161,142.843,159.791,181.255,195.184,0.008
650,107.600,131.901,112.806,122.643,128.960,136.219,148.219,165.180,181.088,199.390,0.008
660,108.400,130.351,112.611,122.124,128.184,134.574,140.573,157.813,177.616,188.942,0.008
670,104.900,130.510,113.121,121.975,128.503,134.899,140.901,155.761,182.062,192.750,0.008
680,104.900,131.839,113.037,123.373,129.343,135.805,144.168,161.347,184.210,196.450,0.008
690,103.200,130.505,112.541,122.320,127.989,134.773,142.403,159.405,183.222,194.734,0.008
700,106.800,130.496,113.130,122.365,128.900,134.737,141.802,155.864,174.994,187.466,0.008
710,107.000,130.371,112.810,122.660,128.472,134.679,140.612,151.232,182.488,211.067,0.008
720,109.000,131.427,113.046,122.078,128.353,134.612,142.442,166.719,199.347,207.190,0.008
730,103.700,131.169,113.245,122.973,128.498,134.633,141.680,161.992,185.923,209.387,0.008
740,101.100,135.577,113.804,123.749,130.805,137.891,159.828,180.031,218.994,248.847,0.007
750,93.400,139.248,113.693,123.960,131.736,140.866,177.290,193.692,220.621,245.537,0.007
760,100.000,138.285,113.253,126.435,132.493,139.801,166.161,196.585,222.869,241.554,0.007
770,105.200,131.712,113.118,122.579,128.700,134.798,141.326,167.713,197.987,221.801,0.008
780,108.000,131.388,112.721,122.776,128.527,135.276,143.472,163.430,186.803,204.046,0.008
790,103.100,131.885,112.021,122.746,128.750,135.405,145.127,166.566,186.495,218.400,0.008
800,108.200,131.553,112.987,123.154,129.466,135.973,143.300,157.258,180.597,216.895,0.008
810,104.700,134.791,113.000,123.076,129.108,136.201,147.212,165.986,304.460,355.221,0.007
820,109.700,133.059,112.375,123.249,128.703,135.686,144.468,163.900,250.949,342.525,0.008
830,104.400,131.124,113.266,122.450,128.586,135.219,141.657,157.778,185.756,203.094,0.008
840,103.000,131.504,112.749,122.915,128.999,135.392,142.378,159.582,185.613,241.056,0.008
850,107.700,130.154,112.351,121.988,127.985,134.136,139.253,162.220,184.526,202.061,0.008
860,107.000,131.840,113.708,123.024,129.369,135.513,146.764,162.831,180.029,194.151,0.008
870,103.300,130.361,112.069,122.172,128.474,135.100,140.612,156.093,176.534,188.964,0.008
880,106.600,130.374,112.903,121.876,128.116,134.363,139.731,155.680,193.256,222.906,0.008
890,106.500,131.671,113.026,122.915,129.008,134.883,146.726,162.880,185.308,200.904,0.008
900,112.300,131.889,111.829,122.333,128.151,134.919,145.653,167.364,195.699,261.424,0.008
910,101.100,130.541,111.423,121.835,128.032,134.565,141.313,162.262,184.506,201.984,0.008
920,104.700,130.869,113.136,122.505,129.058,134.804,140.296,159.243,178.581,216.743,0.008
930,105.300,131.873,112.929,122.705,129.133,134.918,142.445,165.478,191.616,215.526,0.008
940,107.200,131.269,113.305,122.545,128.829,134.977,142.630,163.089,183.561,219.318,0.008
950,105.900,131.120,111.808,122.555,128.694,134.584,142.718,161.617,185.125,202.560,0.008
960,106.400,130.890,113.707,121.792,128.441,134.811,144.416,162.450,181.699,192.774,0.008
970,104.800,131.193,113.080,123.127,128.895,135.540,143.009,157.982,180.984,215.223,0.008
980,106.200,132.688,113.641,124.246,129.919,135.864,144.383,165.066,196.648,238.897,0.008
990,108.400,131.989,112.338,123.541,129.640,136.109,145.850,163.422,181.600,217.776,0.008
1000,109.100,130.855,113.232,122.836,128.750,135.153,142.212,154.854,179.297,208.837,0.008
1010,107.000,131.315,113.172,122.630,129.325,135.080,143.176,156.789,186.548,232.745,0.008
1020,107.700,131.504,113.401,122.529,128.790,135.436,146.079,163.815,183.593,196.033,0.008
1030,105.500,130.903,112.684,122.680,129.428,135.457,141.757,152.175,177.067,191.606,0.008
1040,94.400,139.602,112.828,124.808,131.505,139.524,169.647,190.464,272.481,384.789,0.007
1050,92.400,141.962,111.275,125.451,132.752,142.858,182.107,200.522,253.333,319.178,0.007
1060,102.500,132.874,114.535,125.246,131.141,137.012,144.999,158.935,180.550,201.057,0.008
1070,106.700,130.809,112.384,122.237,127.968,134.585,144.433,159.728,183.500,212.736,0.008
1080,103.200,130.763,113.036,122.563,129.025,135.339,143.321,153.755,173.991,196.428,0.008
1090,107.200,132.604,113.932,123.375,129.802,136.515,148.822,165.531,187.915,202.516,0.008
1100,101.300,133.719,113.305,124.030,129.969,136.834,149.597,169.200,204.818,239.042,0.007
1110,105.400,131.552,112.906,122.676,128.884,135.783,144.472,160.582,187.563,202.057,0.008
1120,106.400,132.076,112.978,122.267,128.815,135.517,146.640,169.113,188.692,210.202,0.008
1130,107.000,131.190,112.315,123.122,129.011,135.225,142.465,158.757,182.273,206.224,0.008
1140,107.900,131.279,111.824,121.978,129.042,135.233,143.787,158.598,193.130,218.262,0.008
1150,101.600,130.310,112.199,121.454,127.832,134.835,141.283,158.824,177.888,203.216,0.008
1160,101.900,131.209,112.525,123.197,128.850,135.315,142.730,158.314,180.173,196.581,0.008
1170,107.300,133.272,112.382,122.915,128.738,135.133,143.773,163.039,268.761,343.763,0.008
1180,105.100,133.332,112.790,122.479,128.855,135.158,143.900,170.500,274.821,374.815,0.008
1190,105.300,130.989,113.168,123.045,128.643,134.712,141.824,161.395,179.759,208.505,0.008
1200,107.500,131.257,112.418,122.241,128.623,134.972,145.533,164.558,184.423,203.396,0.008
1210,108.100,130.911,113.322,122.798,128.618,134.640,141.301,161.223,182.830,214.904,0.008
1220,102.900,132.048,112.478,123.216,129.800,135.966,144.598,161.535,190.459,218.651,0.008
1230,106.000,131.426,113.237,122.677,129.336,135.386,144.690,159.142,181.333,256.765,0.008
1240,103.600,130.394,112.640,122.386,128.567,134.444,140.698,156.804,177.675,190.918,0.008
1250,107.400,129.745,111.084,122.648,127.937,134.843,139.559,148.633,171.265,192.416,0.008
1260,108.600,132.358,111.672,122.532,128.662,135.470,148.439,170.996,193.569,216.456,0.008
1270,102.300,131.251,112.438,122.478,128.284,134.383,142.231,164.285,186.302,208.174,0.008
1280,104.800,135.969,113.913,124.625,131.651,137.634,152.306,177.468,266.772,339.404,0.007
1290,106.400,131.810,113.153,123.327,129.678,136.229,143.235,157.085,181.182,217.472,0.008
1300,107.100,130.777,113.881,122.106,128.683,135.249,142.802,156.081,175.379,200.018,0.008
1310,103.800,132.896,113.106,122.663,128.659,135.023,144.472,163.106,256.351,338.295,0.008
1320,110.300,130.523,112.398,121.831,127.912,135.031,141.727,154.945,183.355,200.475,0.008
1330,111.500,131.541,113.754,123.151,129.078,135.877,146.049,158.028,180.731,200.760,0.008
1340,92.400,142.190,113.648,125.520,132.873,142.441,184.710,205.487,260.171,278.013,0.007
1350,99.800,138.119,113.601,125.029,132.382,140.029,171.776,188.809,216.165,238.476,0.007
1360,102.000,133.546,113.729,125.734,131.713,138.633,145.875,158.197,177.142,192.848,0.007
1370,107.900,131.611,113.016,124.198,130.007,136.303,142.093,151.382,177.858,198.347,0.008
1380,105.600,131.247,112.731,122.733,128.668,135.320,143.253,160.355,183.892,199.829,0.008
1390,106.100,131.622,113.409,123.396,129.320,135.851,142.737,158.099,183.649,216.358,0.008
1400,105.400,133.265,113.297,123.769,131.117,137.988,149.071,163.356,185.475,217.314,0.008
1410,105.100,132.529,112.778,123.785,129.820,136.705,146.696,162.834,181.519,201.944,0.008
1420,103.300,131.963,112.204,123.145,128.900,135.618,143.976,164.153,185.877,224.789,0.008
1430,102.000,131.097,112.805,122.356,128.142,135.010,141.264,160.859,194.221,219.811,0.008
1440,103.600,131.334,112.526,122.993,128.904,135.719,141.735,160.033,183.301,212.580,0.008
1450,100.300,131.123,112.472,122.900,128.639,135.391,142.396,160.322,179.827,201.410,0.008
1460,98.300,133.500,112.797,123.992,130.665,137.066,150.405,168.894,192.543,218.030,0.007
1470,113.300,131.420,113.041,123.014,129.361,136.050,141.577,159.494,184.191,200.460,0.008
1480,109.300,131.113,112.926,122.864,128.636,135.235,142.539,155.960,185.919,221.278,0.008
