Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,99.400,7.349,6.009,6.607,6.979,7.324,7.724,8.110,19.962,66.245,0.136
10,107.200,7.024,5.979,6.591,6.921,7.302,7.582,7.780,8.746,27.684,0.142
20,110.600,6.951,5.920,6.521,6.870,7.244,7.500,7.788,8.485,18.367,0.144
30,104.300,6.943,5.907,6.533,6.846,7.153,7.465,7.696,9.785,22.898,0.144
40,105.800,6.958,5.961,6.565,6.907,7.218,7.496,7.665,8.386,23.728,0.144
50,108.200,6.862,5.914,6.459,6.791,7.122,7.395,7.567,8.685,21.276,0.146
60,106.500,6.864,5.888,6.493,6.833,7.161,7.386,7.526,8.072,17.602,0.146
70,106.300,6.876,5.951,6.517,6.821,7.203,7.436,7.566,8.263,21.744,0.145
80,109.300,6.900,5.915,6.539,6.872,7.195,7.458,7.633,8.373,11.041,0.145
90,100.100,6.874,5.938,6.499,6.844,7.144,7.411,7.570,8.051,16.716,0.145
100,110.000,6.853,5.932,6.486,6.819,7.162,7.400,7.569,7.959,20.298,0.146
110,106.000,6.844,5.945,6.485,6.825,7.131,7.389,7.595,8.150,14.500,0.146
120,108.200,6.834,5.884,6.465,6.820,7.148,7.407,7.628,8.080,8.998,0.146
130,106.300,6.866,5.878,6.486,6.820,7.151,7.468,7.665,8.313,13.133,0.146
140,106.300,6.917,5.856,6.573,6.914,7.231,7.489,7.677,8.175,9.675,0.145
150,106.200,6.894,5.886,6.506,6.852,7.185,7.486,7.685,8.375,15.868,0.145
160,107.700,7.043,5.942,6.527,6.864,7.186,7.445,7.597,8.554,92.355,0.142
170,106.300,6.909,5.902,6.542,6.866,7.166,7.399,7.547,8.970,30.196,0.145
180,108.700,6.864,5.870,6.475,6.813,7.167,7.454,7.652,8.479,12.283,0.146
