Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,97.800,7.215,5.523,6.336,6.705,7.175,7.742,8.507,22.505,49.635,0.139
10,106.300,6.612,5.419,6.192,6.492,6.842,7.240,7.585,8.614,25.720,0.151
20,109.800,6.435,5.427,6.069,6.372,6.672,7.016,7.274,7.997,15.961,0.155
30,100.200,6.462,5.434,6.048,6.356,6.676,7.107,7.401,8.425,21.884,0.155
40,104.400,6.363,5.321,5.984,6.252,6.533,6.826,7.047,8.172,24.903,0.157
50,108.700,6.339,5.406,5.941,6.217,6.516,6.796,7.035,7.842,60.736,0.158
60,103.500,6.313,5.222,5.932,6.212,6.512,6.749,6.941,7.702,30.939,0.158
70,106.000,6.300,5.404,5.954,6.237,6.501,6.727,7.054,8.047,17.599,0.159
80,103.500,6.284,5.364,5.933,6.207,6.490,6.751,6.944,7.506,28.269,0.159
90,105.600,6.231,5.371,5.919,6.145,6.432,6.637,6.832,7.445,22.663,0.160
100,114.700,6.272,5.423,5.942,6.210,6.460,6.707,6.967,7.485,29.175,0.159
110,98.600,6.193,5.299,5.877,6.154,6.424,6.673,6.865,7.427,15.246,0.161
120,112.500,6.203,5.356,5.912,6.191,6.453,6.687,6.875,7.394,8.759,0.161
130,102.900,6.249,5.362,5.925,6.209,6.485,6.740,6.935,7.397,20.661,0.160
140,106.600,6.266,5.350,5.934,6.208,6.479,6.753,6.952,7.792,19.913,0.160
150,109.600,6.371,5.375,5.968,6.250,6.521,6.792,7.009,7.958,49.751,0.157
160,104.100,6.307,5.321,5.976,6.268,6.557,6.805,6.971,7.734,22.014,0.159
170,100.000,6.295,5.335,5.951,6.217,6.484,6.744,6.974,7.707,44.473,0.159
180,111.000,6.200,5.367,5.897,6.156,6.436,6.683,6.914,7.583,9.009,0.161
190,108.800,6.225,5.340,5.909,6.148,6.422,6.651,6.838,7.600,43.077,0.161
200,102.500,6.248,5.338,5.958,6.214,6.457,6.719,6.924,7.556,10.353,0.160
210,101.900,6.289,5.448,5.967,6.219,6.488,6.812,7.027,7.531,26.468,0.159
220,100.400,6.258,5.315,5.938,6.200,6.482,6.785,7.057,7.706,12.113,0.160
230,103.700,6.220,5.335,5.875,6.147,6.412,6.657,6.861,7.664,48.191,0.161
240,100.500,6.251,5.386,5.919,6.186,6.442,6.663,6.875,7.557,23.728,0.160
250,103.900,6.295,5.356,5.911,6.190,6.471,6.738,6.930,7.667,39.072,0.159
260,103.300,6.293,5.389,5.921,6.207,6.490,6.803,7.045,7.754,20.055,0.159
270,106.600,6.218,5.457,5.911,6.164,6.435,6.655,6.898,7.584,22.731,0.161
280,105.500,6.190,5.406,5.899,6.159,6.430,6.685,6.848,7.281,11.593,0.162
290,105.000,6.195,5.328,5.873,6.132,6.409,6.661,6.890,7.595,26.381,0.161
300,106.300,6.220,5.384,5.893,6.164,6.420,6.638,6.812,7.440,47.475,0.161
310,106.000,6.226,5.345,5.883,6.152,6.410,6.634,6.813,7.268,37.767,0.161
320,109.400,6.258,5.387,5.930,6.216,6.457,6.714,6.929,7.983,23.872,0.160
330,105.700,6.210,5.225,5.895,6.163,6.433,6.628,6.838,7.444,21.278,0.161
340,102.900,6.207,5.339,5.912,6.187,6.444,6.670,6.854,7.391,9.811,0.161
350,110.600,6.238,5.335,5.951,6.208,6.452,6.669,6.844,7.449,16.710,0.160
360,113.300,6.236,5.298,5.954,6.193,6.457,6.703,6.904,7.435,9.995,0.160
370,100.200,6.211,5.253,5.887,6.174,6.423,6.679,6.874,7.499,17.447,0.161
380,103.000,6.312,5.319,5.979,6.254,6.522,6.762,6.998,7.910,28.270,0.158
390,104.200,6.182,5.351,5.886,6.160,6.407,6.643,6.790,7.358,10.298,0.162
400,103.100,6.215,5.320,5.854,6.150,6.406,6.622,6.845,7.659,42.571,0.161
410,101.900,6.203,5.360,5.909,6.154,6.395,6.592,6.812,7.678,27.100,0.161
420,100.200,6.264,5.345,5.872,6.151,6.417,6.651,6.916,7.824,54.231,0.160
430,110.800,6.251,5.357,5.902,6.160,6.414,6.634,6.810,7.542,38.370,0.160
440,99.400,6.308,5.362,5.961,6.235,6.500,6.737,7.105,7.913,36.520,0.159
450,84.700,6.296,5.327,5.963,6.219,6.479,6.725,6.909,7.527,49.024,0.159
460,93.400,6.369,5.359,6.023,6.291,6.623,6.987,7.218,7.839,26.399,0.157
470,110.800,6.192,5.366,5.897,6.172,6.434,6.643,6.885,7.558,8.630,0.162
480,103.000,6.193,5.421,5.899,6.167,6.428,6.653,6.895,7.380,9.759,0.161
490,112.500,6.154,5.378,5.856,6.106,6.393,6.617,6.857,7.471,9.627,0.162
500,105.100,6.215,5.296,5.932,6.200,6.438,6.683,6.879,7.436,8.767,0.161
510,104.700,6.242,5.387,5.924,6.160,6.410,6.634,6.790,7.366,43.316,0.160
520,106.600,6.167,5.365,5.887,6.144,6.379,6.612,6.767,7.245,19.822,0.162
530,107.000,6.160,5.358,5.888,6.147,6.387,6.615,6.799,7.152,9.461,0.162
540,103.300,6.291,5.407,5.879,6.157,6.434,6.688,6.876,7.549,61.812,0.159
550,109.200,6.190,5.419,5.903,6.168,6.436,6.663,6.822,7.252,9.873,0.162
560,100.700,6.222,5.416,5.921,6.185,6.449,6.658,6.847,7.517,20.338,0.161
570,102.800,6.187,5.322,5.868,6.160,6.422,6.667,6.888,7.683,9.642,0.162
580,106.500,6.178,5.301,5.856,6.144,6.412,6.665,6.915,7.438,12.685,0.162
590,107.200,6.196,5.278,5.888,6.171,6.408,6.682,6.914,7.505,10.495,0.161
600,109.300,6.209,5.392,5.903,6.148,6.407,6.672,6.888,7.500,21.322,0.161
610,103.200,6.224,5.251,5.903,6.179,6.449,6.692,6.911,7.409,18.355,0.161
620,102.100,6.187,5.405,5.910,6.164,6.411,6.618,6.823,7.350,9.347,0.162
630,107.900,6.173,5.409,5.866,6.154,6.407,6.629,6.846,7.343,9.099,0.162
640,109.700,6.197,5.364,5.900,6.132,6.378,6.621,6.821,7.304,37.458,0.161
650,109.200,6.179,5.362,5.892,6.141,6.396,6.599,6.797,7.410,19.553,0.162
660,111.900,6.249,5.367,5.890,6.147,6.414,6.679,6.894,7.481,43.886,0.160
670,109.900,6.191,5.319,5.892,6.152,6.437,6.701,6.957,7.340,7.979,0.162
680,101.400,6.191,5.376,5.889,6.176,6.424,6.661,6.798,7.290,13.226,0.162
690,107.300,6.178,5.382,5.869,6.149,6.407,6.636,6.808,7.260,25.548,0.162
700,109.300,6.181,5.350,5.868,6.166,6.429,6.664,6.859,7.362,8.344,0.162
710,103.900,6.211,5.406,5.874,6.138,6.420,6.655,6.878,7.281,46.350,0.161
720,109.600,6.185,5.328,5.890,6.159,6.415,6.644,6.837,7.397,16.553,0.162
730,106.700,6.216,5.339,5.896,6.150,6.398,6.639,6.834,7.532,27.659,0.161
740,98.800,6.272,5.362,5.952,6.240,6.511,6.771,7.089,7.593,10.899,0.159
750,92.500,6.270,5.275,5.953,6.253,6.512,6.778,6.974,7.445,17.209,0.159
760,97.400,6.279,5.276,5.940,6.259,6.518,6.826,7.071,7.657,10.239,0.159
770,106.000,6.188,5.386,5.852,6.127,6.376,6.597,6.806,7.368,31.150,0.162
780,105.500,6.197,5.307,5.894,6.145,6.400,6.640,6.849,7.354,27.056,0.161
790,104.500,6.174,5.349,5.900,6.151,6.388,6.629,6.831,7.379,9.548,0.162
800,101.000,6.198,5.363,5.913,6.182,6.419,6.668,6.856,7.406,8.595,0.161
810,103.200,6.349,5.366,5.862,6.138,6.378,6.598,6.785,7.368,212.044,0.158
820,107.300,6.215,5.329,5.883,6.167,6.433,6.695,6.893,7.416,27.383,0.161
830,100.800,6.170,5.361,5.903,6.152,6.409,6.612,6.855,7.170,8.963,0.162
840,106.500,6.206,5.309,5.890,6.158,6.395,6.626,6.817,7.457,35.225,0.161
850,100.200,6.148,5.364,5.845,6.117,6.377,6.617,6.768,7.344,20.662,0.163
860,99.000,6.290,5.273,5.902,6.177,6.416,6.613,6.766,7.499,117.680,0.159
870,108.000,6.145,5.136,5.879,6.116,6.377,6.597,6.748,7.247,9.088,0.163
880,102.500,6.147,5.264,5.879,6.144,6.371,6.595,6.720,7.096,9.772,0.163
890,104.800,6.236,5.309,5.899,6.166,6.440,6.693,6.891,7.383,31.246,0.160
900,105.900,6.212,5.362,5.875,6.130,6.388,6.616,6.785,7.196,34.037,0.161
910,107.600,6.214,5.377,5.898,6.121,6.366,6.591,6.794,7.451,51.619,0.161
920,100.400,6.156,5.259,5.873,6.140,6.393,6.584,6.776,7.254,10.125,0.162
930,105.500,6.193,5.320,5.892,6.144,6.375,6.627,6.850,7.374,26.734,0.161
940,109.600,6.177,5.374,5.882,6.157,6.414,6.623,6.782,7.390,11.927,0.162
950,103.000,6.219,5.341,5.852,6.128,6.370,6.578,6.772,7.444,65.971,0.161
960,104.200,6.229,5.387,5.901,6.159,6.405,6.658,6.809,7.311,62.873,0.161
970,101.600,6.182,5.282,5.881,6.166,6.429,6.673,6.860,7.403,9.890,0.162
980,107.700,6.273,5.397,5.951,6.224,6.480,6.720,6.968,7.530,37.104,0.159
990,101.800,6.252,5.383,5.946,6.201,6.465,6.732,6.972,7.542,11.936,0.160
1000,108.300,6.214,5.395,5.921,6.179,6.458,6.660,6.828,7.661,9.957,0.161
1010,104.300,6.225,5.378,5.896,6.145,6.400,6.625,6.854,8.026,24.575,0.161
1020,104.600,6.199,5.269,5.894,6.142,6.431,6.695,6.929,7.711,9.236,0.161
1030,107.300,6.223,5.350,5.906,6.185,6.436,6.666,6.884,7.435,27.192,0.161
1040,97.600,6.258,5.343,5.904,6.216,6.493,6.787,7.019,7.674,19.909,0.160
1050,93.300,6.246,5.291,5.949,6.229,6.480,6.694,6.910,7.489,10.314,0.160
1060,106.400,6.274,5.351,5.959,6.231,6.512,6.783,6.950,8.040,11.680,0.159
1070,102.300,6.153,5.327,5.874,6.142,6.387,6.584,6.716,7.288,13.542,0.163
1080,111.700,6.155,5.393,5.854,6.120,6.404,6.630,6.839,7.464,9.116,0.162
1090,103.200,6.228,5.345,5.884,6.154,6.428,6.658,6.937,7.671,33.350,0.161
1100,106.600,6.215,5.306,5.904,6.179,6.445,6.697,6.883,7.496,11.903,0.161
1110,107.800,6.246,5.342,5.894,6.179,6.438,6.672,6.876,7.833,30.536,0.160
1120,101.700,6.232,5.359,5.897,6.155,6.393,6.666,6.929,7.668,52.661,0.160
1130,100.800,6.193,5.378,5.901,6.144,6.375,6.583,6.793,7.522,31.336,0.161
1140,111.100,6.184,5.224,5.879,6.144,6.401,6.643,6.865,7.395,16.194,0.162
1150,112.800,6.159,5.357,5.859,6.117,6.383,6.609,6.825,7.401,16.108,0.162
1160,106.200,6.223,5.329,5.923,6.161,6.446,6.672,6.897,7.957,11.301,0.161
1170,98.600,6.248,5.307,5.887,6.145,6.409,6.690,6.879,7.476,47.573,0.160
1180,101.800,6.282,5.404,5.919,6.182,6.410,6.668,6.881,7.431,63.763,0.159
1190,103.700,6.187,5.213,5.921,6.165,6.405,6.630,6.826,7.390,9.213,0.162
1200,106.500,6.187,5.222,5.880,6.146,6.369,6.605,6.777,7.491,30.761,0.162
1210,110.700,6.230,5.336,5.847,6.119,6.397,6.666,6.899,7.327,35.503,0.161
1220,104.300,6.206,5.296,5.918,6.189,6.427,6.620,6.835,7.363,13.892,0.161
1230,109.000,6.280,5.319,5.889,6.158,6.420,6.677,6.871,7.857,58.120,0.159
1240,108.100,6.175,5.264,5.876,6.141,6.382,6.624,6.858,7.519,16.428,0.162
1250,107.500,6.224,5.307,5.891,6.134,6.389,6.591,6.768,7.438,44.059,0.161
1260,105.500,6.201,5.365,5.870,6.150,6.420,6.669,6.886,8.274,15.579,0.161
1270,103.000,6.148,5.275,5.839,6.124,6.368,6.604,6.797,7.463,9.209,0.163
1280,102.800,6.248,5.384,5.917,6.207,6.457,6.691,6.946,7.515,26.532,0.160
1290,106.500,6.212,5.344,5.923,6.175,6.437,6.653,6.826,7.645,10.373,0.161
1300,111.000,6.209,5.401,5.901,6.158,6.406,6.628,6.842,7.526,29.310,0.161
1310,105.900,6.226,5.297,5.911,6.193,6.445,6.686,6.961,7.847,11.407,0.161
1320,104.200,6.227,5.316,5.917,6.176,6.421,6.669,6.897,7.633,33.236,0.161
1330,105.800,6.278,5.387,5.909,6.161,6.435,6.677,6.971,8.641,51.658,0.159
1340,92.000,6.296,5.230,5.983,6.255,6.537,6.817,7.053,7.650,15.363,0.159
1350,99.900,6.251,5.390,5.937,6.214,6.455,6.708,6.964,7.979,10.850,0.160
1360,101.500,6.333,5.326,5.993,6.269,6.545,6.830,7.049,8.185,15.132,0.158
1370,110.400,6.254,5.374,5.956,6.220,6.489,6.794,6.957,7.608,9.410,0.160
1380,106.700,6.222,5.379,5.904,6.143,6.429,6.676,6.909,7.955,14.489,0.161
1390,107.400,6.244,5.403,5.924,6.218,6.474,6.719,6.936,7.578,20.186,0.160
1400,102.900,6.321,5.307,5.970,6.226,6.498,6.754,6.963,8.508,40.574,0.158
1410,104.100,6.245,5.396,5.893,6.175,6.453,6.741,7.016,8.058,20.287,0.160
1420,109.400,6.188,5.310,5.909,6.170,6.439,6.635,6.792,7.257,8.302,0.162
1430,103.300,6.231,5.400,5.907,6.168,6.410,6.619,6.819,7.318,55.950,0.160
1440,111.000,6.273,5.360,5.914,6.175,6.421,6.687,6.869,7.452,39.486,0.159
1450,107.000,6.247,5.341,5.925,6.164,6.424,6.646,6.869,7.384,28.180,0.160
1460,107.100,6.242,5.298,5.889,6.172,6.446,6.707,6.945,7.828,19.434,0.160
1470,104.900,6.208,5.352,5.925,6.171,6.409,6.660,6.849,7.562,16.667,0.161
1480,103.100,6.205,5.288,5.871,6.125,6.395,6.603,6.839,7.529,41.964,0.161
1490,102.100,6.224,5.439,5.919,6.179,6.439,6.660,6.825,7.275,25.948,0.161
1500,109.900,6.243,5.320,5.914,6.191,6.442,6.655,6.845,7.338,40.590,0.160
