Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,769,769.000,5756,21048,45178,108627,101325,281275,506278,899917,1039812
1,1986,1986.000,5694,22559,46950,56795,74007,100785,183311,240499,305445
2,2587,2587.000,5598,21234,45925,46003,66995,80049,88750,139209,163598
3,2686,2686.000,5874,21199,31067,45209,67213,80602,89646,136976,183733
4,2693,2693.000,5523,20763,27261,44403,66199,79817,90191,137411,203382
5,2687,2687.000,5679,20699,32417,44571,67170,78906,87576,133453,146940
6,2659,2659.000,5705,20570,25980,45134,66279,81885,114747,140206,209230
7,2722,2722.000,5557,20503,42688,44390,66031,79042,87630,133676,180648
8,2667,2667.000,5539,20297,25459,44414,66156,78651,89275,135246,178437
9,2747,2747.000,5529,20411,34861,43864,65980,77987,84879,132668,173089
10,2701,2701.000,5660,20304,25790,44494,66061,80096,89099,136538,191864
11,2770,2770.000,5522,20234,23964,43287,65084,78402,85811,133070,173129
12,2737,2737.000,5419,20888,27499,44161,64643,78093,86759,135664,408677
13,2591,2591.000,5681,20990,42900,46036,68228,81883,98908,139367,202802
14,2561,2561.000,5722,21369,46516,46723,68201,81448,117818,138382,187195
15,2697,2697.000,5756,20559,25044,44205,66157,79226,88835,132356,175889
16,2684,2684.000,5687,20439,35790,44894,66308,80008,89493,136901,192523
17,2740,2740.000,5572,20442,23897,43752,65060,79094,87378,136627,195010
18,2719,2719.000,5584,20453,25607,44085,65631,78785,90597,136490,211038
19,2717,2717.000,5577,20537,25247,44237,65763,79031,88273,136152,186853
20,2746,2746.000,5427,20495,24809,43793,64775,79170,87796,135266,207371
21,2648,2648.000,5499,20950,44097,45376,66761,79309,88957,135965,189093
22,2653,2653.000,5500,20793,26805,45081,66607,79420,100312,135896,204976
23,2695,2695.000,5534,20631,26734,44553,66366,79741,89139,137650,176717
24,2643,2643.000,5483,20955,43144,45301,66860,80324,90029,137723,207121
25,2732,2732.000,5620,20824,25078,44033,65778,79167,90085,136801,208295
26,2778,2778.000,5520,20500,24316,43334,64467,78982,87951,135985,198795
27,2737,2737.000,5558,20464,24445,43602,65038,78392,86729,134598,172569
28,2675,2675.000,5548,20316,41389,44866,66798,79471,89480,135493,189604
29,2720,2720.000,5468,20357,29902,44121,66172,78748,86144,133337,146946
30,2690,2690.000,5479,20403,42227,44434,65366,78831,86412,134644,192996
31,2597,2597.000,5502,20445,27396,46488,65963,82388,127528,163777,228224
32,2552,2552.000,5501,20910,43863,46783,67675,82923,120955,146047,239239
33,2564,2564.000,5552,20499,38215,46996,67897,83856,122575,157403,232852
34,2522,2522.000,5434,20486,46524,47272,68635,84513,116960,145186,224090
35,2576,2576.000,5546,20006,36510,46666,67197,83878,122231,151202,232637
36,2577,2577.000,5506,20516,26693,46579,68212,82522,122943,152861,205421
37,2522,2522.000,5571,20534,44112,47588,67116,85038,126461,164434,225077
38,2590,2590.000,5576,20587,25211,46483,67913,84078,120760,146219,211667
39,2510,2510.000,5529,20906,43898,47594,68760,83805,120799,145758,215364
40,2052,2052.000,5599,20414,47474,58825,72496,125428,227172,282388,368902
41,2603,2603.000,5600,20220,36371,46022,67852,82339,116124,137104,188570
42,2633,2633.000,5628,20284,29296,45429,67873,81213,110896,135535,180595
43,2629,2629.000,5321,20477,43021,45784,67155,81094,108649,137744,227592
44,2696,2696.000,5489,20313,24606,44357,65338,80687,99372,138455,180941
45,2560,2560.000,5452,20244,45388,46867,68332,83408,118912,142565,198057
46,2670,2670.000,5451,20487,33654,44977,66867,80800,103009,139385,176138
47,2663,2663.000,5474,20486,26126,45198,67136,80738,115769,135943,200210
48,2614,2614.000,5510,20246,43066,45809,67067,81115,115335,139230,227904
49,2626,2626.000,5604,20672,26487,45534,67312,81152,115571,138652,209697
50,2601,2601.000,5544,20313,44132,46377,67404,82922,120060,137613,189966
51,2669,2669.000,5610,20619,24751,44696,67325,80555,100398,135369,175256
52,2621,2621.000,5406,20257,41815,45880,67697,81766,120367,137624,189993
53,2730,2730.000,5483,20133,25157,43856,65078,79725,92082,134942,202153
54,2704,2704.000,5422,20418,41113,44335,65918,79794,95235,132321,177976
55,2725,2725.000,5461,20097,25343,44207,65878,79749,97322,136298,173982
56,2622,2622.000,5496,20083,44152,45621,67018,81552,105176,134718,230553
57,2740,2740.000,5492,20304,23882,43687,65774,80146,112169,136038,190579
58,2669,2669.000,5459,20545,40897,45370,67452,81620,110292,135765,184698
59,2656,2656.000,5519,20471,38630,45007,67106,80246,107208,135183,185151
60,2695,2695.000,5490,20494,24535,44340,64745,81283,109169,135166,217920
61,2609,2609.000,5449,20696,43182,46061,67819,81315,106254,139565,183139
62,2646,2646.000,5472,20486,43553,45324,66031,81055,111560,136879,173529
63,2583,2583.000,5395,20863,43033,46449,68044,83202,117090,137883,198326
64,2659,2659.000,5440,20431,40250,44934,65701,80629,107874,135583,187047
65,2646,2646.000,5378,20268,43143,45402,65845,80773,116402,137013,224763
66,2714,2714.000,5397,20296,25188,44498,67038,80907,104382,136245,269540
67,2645,2645.000,5492,20145,42128,45271,66855,81091,106068,135323,189788
68,2570,2570.000,5222,20248,45773,46809,68402,82280,117682,136962,223701
69,2562,2562.000,5531,20997,43259,46739,68794,85381,118694,138825,255428
70,2571,2571.000,5457,20887,45962,46569,67867,81923,113552,140329,194016
71,2651,2651.000,5415,20451,25777,44990,66011,80322,106994,141995,189037
72,2700,2700.000,5559,20520,27234,44689,66378,79606,106587,135901,192488
73,2582,2582.000,5549,20568,46797,46616,68115,82721,110871,137742,192557
74,2671,2671.000,5474,20431,26869,44766,67375,80892,111615,135650,170540
75,2619,2619.000,5571,20843,46246,45834,66106,80620,110703,136540,203108
76,2675,2675.000,5577,20387,25831,44911,66262,80036,114594,135718,187559
77,2618,2618.000,5440,20259,25849,45797,67220,82236,121232,138861,264509
78,2456,2456.000,5484,20388,41541,48680,66161,82707,137029,190984,246529
79,2629,2629.000,5404,20771,44433,45982,67069,81809,116177,136969,188514
80,2581,2581.000,5532,20657,44972,46388,67884,83213,115498,138996,195206
81,2546,2546.000,5541,21648,42979,46870,68003,83280,116966,141373,187058
82,2589,2589.000,5572,20935,30648,46410,68599,82859,117030,141146,207948
83,2652,2652.000,5653,20735,25928,45229,66923,81793,114848,139102,188588
84,2544,2544.000,5412,21428,43286,47219,69302,84940,120493,139992,201507
85,2573,2573.000,5521,21154,45327,46634,68340,83038,117504,135192,182834
86,2701,2701.000,5514,20738,25727,44629,66029,80960,103912,136127,181644
87,2539,2539.000,5364,21318,44040,47028,68463,82987,119650,141146,198169
88,2612,2612.000,5540,21159,40457,45660,66824,80880,110412,137558,213242
89,2602,2602.000,5551,21261,43505,46565,67627,82610,117518,138912,202300
90,2553,2553.000,5492,21298,43740,46859,68374,83373,118205,137923,210772
91,2602,2602.000,5407,21325,43820,46225,66616,81593,116277,141585,203217
