Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1941.000,18.239,5.881,15.343,17.751,20.089,23.150,26.218,35.871,140.254,0.055
10,2320.000,17.225,8.767,14.818,17.039,19.073,21.278,22.635,28.345,57.708,0.058
20,2370.100,16.617,8.494,14.516,16.513,18.512,20.362,21.604,24.360,39.810,0.060
30,2004.500,19.931,9.246,14.935,17.301,19.603,22.024,26.404,119.449,211.771,0.050
40,2164.600,18.644,8.085,14.630,16.833,18.993,22.113,30.719,65.261,143.002,0.054
50,2202.400,18.198,8.968,14.442,16.638,18.629,21.162,25.904,71.652,129.206,0.055
60,2165.100,18.717,8.141,14.623,16.711,18.981,21.823,26.739,78.334,159.256,0.053
70,2184.400,18.640,6.524,14.676,16.761,18.967,21.498,26.588,80.477,137.672,0.054
80,2236.400,18.464,8.725,14.743,16.976,19.311,21.529,25.010,69.492,117.221,0.054
90,2182.800,18.443,7.689,14.465,16.670,18.803,21.461,26.903,69.323,172.752,0.054
100,2218.300,18.336,8.489,14.484,16.609,18.636,21.189,27.544,67.906,124.537,0.055
110,2233.900,18.267,8.493,14.577,16.648,18.682,21.310,26.823,66.992,135.952,0.055
120,2138.800,19.164,6.263,14.530,16.806,19.147,22.308,28.450,93.901,162.520,0.052
130,1912.200,21.068,8.538,15.600,18.169,21.424,25.937,35.851,101.316,183.079,0.047
140,1855.300,22.350,8.706,15.294,17.681,20.381,35.880,59.427,94.341,168.488,0.045
150,1774.200,23.479,5.314,15.192,17.950,21.115,41.091,63.441,96.594,194.638,0.043
160,2187.400,18.397,9.006,14.501,16.633,18.754,21.634,27.219,69.499,141.828,0.054
170,2162.400,18.315,8.662,14.304,16.527,18.765,21.146,25.653,74.205,137.718,0.055
180,2217.600,18.371,5.877,14.433,16.749,18.773,21.573,28.982,69.622,113.699,0.054
190,2224.100,18.401,7.988,14.454,16.505,18.761,21.410,26.964,72.003,138.147,0.054
200,2226.500,18.103,7.328,14.365,16.319,18.391,20.827,27.081,65.804,130.205,0.055
210,2186.100,18.266,8.272,14.351,16.414,18.499,20.976,24.120,96.118,141.709,0.055
220,2158.100,18.457,8.387,14.371,16.688,18.785,21.164,28.464,69.428,153.849,0.054
230,2118.400,19.127,7.976,14.829,17.107,19.335,21.979,27.217,95.052,139.077,0.052
