Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2164.400,31.406,6.576,25.023,28.550,32.686,37.573,41.806,58.141,930.795,0.032
10,2407.700,28.556,7.989,24.706,27.980,31.671,35.494,38.259,46.327,99.434,0.035
20,2441.100,28.105,7.939,24.373,27.659,31.263,34.708,37.154,43.952,84.233,0.036
30,2124.700,32.284,7.300,24.396,27.772,31.900,37.834,59.411,157.181,233.309,0.031
40,2207.300,30.669,8.429,24.326,27.712,31.680,36.860,48.203,108.830,179.112,0.033
50,2305.900,29.860,8.044,24.067,27.325,31.320,36.493,45.489,90.797,164.904,0.033
60,2253.400,30.044,7.258,23.926,27.467,31.300,36.783,53.539,91.911,162.250,0.033
70,2320.500,29.563,7.985,23.843,27.170,31.085,36.194,46.319,86.181,160.043,0.034
80,2298.000,29.425,7.666,23.811,27.182,31.047,36.286,46.560,83.142,169.216,0.034
90,2308.300,29.540,7.144,23.990,27.344,31.131,36.235,47.968,80.111,155.078,0.034
100,2303.100,29.739,7.633,24.108,27.328,31.330,36.756,48.401,87.462,156.535,0.034
110,2222.400,30.384,8.816,24.332,27.477,31.410,36.655,48.372,104.191,198.475,0.033
120,2158.900,31.412,8.234,24.250,27.691,31.565,37.921,60.059,122.625,245.080,0.032
130,2251.900,30.066,9.236,23.832,27.144,31.021,36.224,49.120,114.846,171.518,0.033
140,2296.600,29.643,8.102,23.808,27.129,31.042,36.168,47.799,86.906,159.645,0.034
150,2257.200,30.130,6.580,23.840,27.212,31.015,36.038,53.374,106.955,163.795,0.033
160,2196.100,30.704,8.540,24.282,27.656,31.568,37.595,48.579,115.577,187.634,0.033
170,2057.100,33.542,8.967,25.697,29.980,36.193,46.894,62.948,91.703,171.815,0.030
180,2096.700,32.626,9.219,25.136,29.242,34.369,44.237,62.429,99.110,139.005,0.031
190,1920.600,35.021,8.576,25.048,28.880,34.470,59.457,80.297,112.863,272.223,0.029
