Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4778.700,24.068,1.095,16.330,21.842,29.431,36.359,43.670,57.670,930.795,0.042
10,5351.500,22.407,1.123,16.189,21.184,28.445,34.289,40.312,53.257,99.434,0.045
20,5423.200,22.115,1.054,16.052,20.979,28.135,33.820,39.630,52.850,84.233,0.045
30,4697.300,25.526,1.076,16.162,21.434,29.021,38.531,52.394,128.156,234.489,0.039
40,4921.500,24.384,1.084,16.119,21.557,28.797,37.242,49.732,103.510,179.112,0.041
50,5085.200,23.591,1.061,15.793,21.159,28.452,36.303,47.484,83.822,184.910,0.042
60,5038.600,23.779,1.031,15.929,21.151,28.447,37.300,49.723,84.201,162.250,0.042
70,5147.700,23.305,1.077,15.781,20.903,28.163,35.972,46.562,81.010,160.043,0.043
80,5129.600,23.379,1.053,15.858,20.999,28.277,36.260,46.994,79.472,169.216,0.043
90,5117.600,23.443,1.023,15.906,21.089,28.481,36.601,47.844,76.176,155.078,0.043
100,5111.600,23.462,1.088,16.037,21.159,28.349,36.413,47.329,79.968,156.535,0.043
110,4948.300,24.247,1.032,16.434,21.618,28.642,36.917,48.206,89.238,198.475,0.041
120,4806.400,24.944,1.044,16.247,21.714,28.816,38.722,51.406,109.732,245.080,0.040
130,5041.100,23.791,1.080,15.766,20.965,28.240,36.497,48.602,93.625,179.417,0.042
140,5101.100,23.506,1.103,15.782,21.014,28.251,36.742,48.548,80.554,159.645,0.043
150,5050.800,23.753,1.041,15.863,20.988,28.206,36.252,49.111,93.549,184.446,0.042
160,4924.300,24.351,1.097,15.996,21.476,28.740,37.716,48.836,108.651,188.707,0.041
170,4546.300,26.388,1.102,16.604,23.088,31.877,45.010,59.157,88.768,171.815,0.038
180,4624.000,25.949,1.041,16.661,22.959,31.067,43.569,56.657,94.746,151.015,0.039
190,4262.500,28.126,1.076,16.502,23.046,31.688,51.598,73.799,107.943,272.223,0.036
200,4142.100,28.956,1.105,16.777,23.382,32.098,53.942,80.725,115.348,219.622,0.035
210,4990.700,24.030,1.078,16.067,21.321,28.779,37.090,48.784,88.664,190.848,0.042
