Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1180,1180.000,1171,11373,21365,60470,36038,85861,333349,779779,930795
1,4685,4685.000,1199,17478,24493,25405,32416,40254,47101,59711,95163
2,5013,5013.000,1237,16139,22031,24022,31164,39533,45424,57466,92530
3,5285,5285.000,1095,16527,21627,22694,28810,34363,39908,51706,86775
4,5438,5438.000,1161,15981,20959,22082,27898,33708,39440,53024,76710
5,5207,5207.000,1238,16095,21541,22888,29006,35569,44118,54815,90946
6,5192,5192.000,1133,16272,21945,23129,29489,35872,43739,56857,83390
7,5249,5249.000,1262,16638,21511,22945,28726,35100,42129,55241,91558
8,5202,5202.000,1129,16257,21555,23004,29014,36040,42340,55009,93170
9,5336,5336.000,1168,16108,21571,22472,28473,34006,40453,53882,78846
10,5393,5393.000,1162,16091,20970,22235,28042,34196,40679,54814,81830
11,5364,5364.000,1159,16138,21052,22374,28484,34287,39800,51433,80034
12,5369,5369.000,1140,16115,21033,22351,28521,34303,40307,53747,89541
13,5470,5470.000,1160,16042,20740,21944,27720,33273,39086,52586,86484
14,5316,5316.000,1140,16200,21122,22533,28637,34479,41095,53216,83123
15,5283,5283.000,1151,16634,21794,22649,29077,34808,40250,51960,82328
16,5275,5275.000,1179,16600,21611,22783,28743,34890,40601,53816,99434
17,5344,5344.000,1123,16012,20834,22392,28173,34501,41264,53846,77840
18,5465,5465.000,1174,15958,20879,21974,27996,33413,37864,52700,78177
19,5236,5236.000,1163,16697,21746,22869,28808,34869,40831,53788,85808
20,5462,5462.000,1148,16194,21036,22064,28073,33548,38843,51971,77704
21,5323,5323.000,1167,16716,21296,22514,28649,33735,39666,52637,70880
22,5473,5473.000,1110,15995,20414,21841,27613,33362,40104,51481,84233
23,5453,5453.000,1178,15792,21042,21983,27834,33556,39809,53346,78945
24,5351,5351.000,1177,16140,21384,22404,28561,34200,40092,53320,70494
25,5338,5338.000,1143,16072,21042,22491,28384,34388,41590,56716,80808
26,5502,5502.000,1054,15842,20292,21772,27677,33383,39039,51936,71897
27,5463,5463.000,1172,15819,21010,21904,28270,33800,38656,51673,81481
28,5327,5327.000,1122,16155,21634,22586,28527,34819,40822,53855,75929
29,5540,5540.000,1082,15881,20407,21630,27681,32858,37312,50405,82802
30,4413,4413.000,1147,15936,21151,27269,28990,37026,51363,212606,234489
31,4616,4616.000,1155,15945,21729,25873,29410,39008,55153,122410,196427
32,4852,4852.000,1132,15898,21361,24759,28524,36027,55128,113599,195937
33,4539,4539.000,1197,17215,22230,26492,30058,39224,51248,154525,205331
34,4507,4507.000,1114,16124,22054,26542,29453,41940,52252,156006,221878
35,4783,4783.000,1076,16767,21833,25149,28746,39998,55168,93036,172864
36,4818,4818.000,1146,15636,21382,24757,29761,41142,53747,99096,134237
37,4773,4773.000,1224,15993,20718,25168,28500,38774,51256,137277,184097
38,4884,4884.000,1158,16082,21172,24482,28895,38292,53824,93383,174263
39,4788,4788.000,1151,15972,21173,25060,28591,35258,47941,150197,204344
40,4969,4969.000,1084,15467,20606,24309,28441,39089,54988,106070,162974
41,4948,4948.000,1149,16360,21617,24243,28913,36536,49025,84114,139626
42,4844,4844.000,1134,15936,21020,24562,28153,34641,46342,139996,179112
43,4865,4865.000,1127,15349,20920,24680,28390,35898,47076,134169,171501
44,4917,4917.000,1094,15833,21382,24443,28732,38578,56182,86857,150630
45,5040,5040.000,1132,16455,21973,23776,28916,36936,48653,74134,122829
46,5008,5008.000,1182,16274,21841,24009,29283,37359,48741,80406,120183
47,4895,4895.000,1171,16509,22341,24435,28933,37631,50595,90529,145752
48,4842,4842.000,1114,16223,22006,24868,29333,38973,52453,102434,153863
49,4887,4887.000,1162,16675,21836,24549,29375,38035,46327,104127,147089
50,4667,4667.000,1137,16074,22058,25594,29221,36071,46391,148484,173786
51,4813,4813.000,1125,16183,21567,24802,28487,36843,55714,91338,184910
52,5004,5004.000,1099,15906,21595,24033,29774,39010,48785,90471,115874
53,5266,5266.000,1172,15552,20846,22765,28408,36398,46535,68151,126539
54,5301,5301.000,1064,15515,20367,22730,27777,36240,45878,77802,119583
55,5130,5130.000,1110,15585,20775,23382,28532,37564,48914,77289,109182
56,5171,5171.000,1213,15879,21182,23038,28546,35499,44696,67179,121740
57,5227,5227.000,1122,15648,20988,23093,28369,36026,49703,72612,117087
58,5036,5036.000,1182,16132,20890,23685,27999,34746,46670,116344,154672
59,5237,5237.000,1061,15680,21284,23128,28085,34931,47299,77295,130637
60,4867,4867.000,1161,16912,22400,24568,29348,41722,51929,78451,153423
61,4861,4861.000,1154,16654,21777,24579,29293,39349,52061,87978,125144
62,5097,5097.000,1115,15596,20806,23488,27999,36026,53557,76685,130404
63,5036,5036.000,1100,15606,20543,23820,28207,37230,52403,102463,126345
64,5150,5150.000,1141,15740,21037,23291,28570,38001,49956,74355,127748
65,5050,5050.000,1120,15659,20478,23817,27965,37337,46670,116053,162250
66,5051,5051.000,1031,16017,21219,23722,28829,38300,49797,72079,142640
67,5124,5124.000,1105,15738,21028,23425,28027,34270,43966,111396,140221
68,5063,5063.000,1098,16204,21375,23680,28637,37261,50609,73249,144041
69,5087,5087.000,1150,15861,20998,23469,28128,36474,47634,78918,92447
70,4981,4981.000,1166,15818,20905,24149,28252,36594,46350,125659,155066
71,5247,5247.000,1149,15622,20619,22826,28065,36856,45862,69072,109205
72,5265,5265.000,1156,15380,20609,22818,27926,35400,47103,72307,113845
73,5128,5128.000,1125,15893,20999,23321,28330,36963,47391,76036,123577
74,5044,5044.000,1194,15779,20699,23726,27606,34056,44727,122514,160043
75,5131,5131.000,1196,15989,21545,23477,28849,36466,46754,80018,131461
76,5130,5130.000,1077,15920,21212,23380,28199,36036,46139,85546,121310
77,5139,5139.000,1119,15772,20825,23219,28470,37580,47399,74431,118585
78,5203,5203.000,1153,16097,21080,23102,27896,35024,45081,76614,109438
79,5209,5209.000,1119,15492,20527,23087,28078,35821,46097,84080,113231
80,5245,5245.000,1136,15699,20402,22848,27438,35479,46754,79409,134109
81,5175,5175.000,1156,15948,21060,23176,28742,37155,47571,71001,101419
82,5167,5167.000,1159,15375,20905,23136,28610,36438,48560,71049,122799
83,5109,5109.000,1159,15898,20619,23465,27737,36147,49548,78415,133671
84,5170,5170.000,1196,15258,20664,23336,27771,34201,45194,109899,137943
85,5314,5314.000,1053,15761,20992,22470,27947,34522,43701,66770,111718
86,5262,5262.000,1184,16004,20918,22970,27943,34782,44228,81048,107417
87,5027,5027.000,1148,16166,21869,23799,28822,38576,45623,76453,121158
88,5072,5072.000,1150,16154,21227,23634,28568,37378,49495,75955,112812
89,4755,4755.000,1163,16223,21804,25156,29125,39301,51691,116461,169216
90,4899,4899.000,1137,16497,21902,24482,28469,35601,45470,118092,155078
91,4978,4978.000,1132,15900,21071,23975,28671,36591,56606,74323,139033
92,5146,5146.000,1124,15910,20771,23489,28570,36584,48149,77714,138583
93,5187,5187.000,1023,15967,20688,23036,28270,35693,44441,81453,124397
94,5229,5229.000,1127,15732,20791,23025,28260,35624,46973,71407,89677
95,5172,5172.000,1086,15838,21198,23130,28899,36948,45970,69680,94043
96,5202,5202.000,1047,15711,20643,23012,27551,35723,49607,78921,143721
97,5183,5183.000,1125,15580,21212,23275,29057,40328,47372,64653,116486
98,5145,5145.000,1103,16003,21284,23187,28526,36960,48329,63073,91128
