Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1926.600,18.122,5.754,15.380,17.690,19.965,22.549,25.021,35.443,139.030,0.055
10,2270.700,16.962,8.481,14.763,16.790,18.816,20.903,22.226,25.032,47.889,0.059
20,2352.700,16.660,8.825,14.464,16.600,18.603,20.388,21.619,24.484,37.741,0.060
30,1995.000,19.907,6.666,14.816,16.963,19.153,21.858,25.477,115.882,212.792,0.050
40,2117.900,18.962,8.749,14.903,17.057,19.318,22.422,34.072,65.088,124.836,0.053
50,2204.200,18.652,8.618,14.923,17.190,19.298,22.017,28.191,64.035,104.376,0.054
60,2173.200,18.566,8.436,14.763,16.865,19.009,22.080,30.539,61.825,124.053,0.054
70,2180.300,18.630,8.163,14.723,16.977,19.007,21.764,32.116,60.136,124.796,0.054
80,2200.100,18.335,7.330,14.787,16.834,19.020,21.436,25.421,63.892,121.158,0.055
90,2178.600,18.606,8.294,14.842,16.849,19.075,21.535,25.981,65.391,267.263,0.054
100,2203.600,18.360,6.468,14.619,16.729,18.955,21.666,28.564,61.464,114.243,0.054
110,2160.800,18.704,8.339,14.631,16.822,18.899,21.511,24.720,76.991,155.911,0.053
120,2108.100,19.023,8.073,14.715,16.750,18.914,21.477,26.492,96.720,159.913,0.053
130,2193.100,18.461,8.226,14.534,16.593,18.649,21.144,26.988,74.172,124.267,0.054
140,2186.000,18.452,7.492,14.485,16.725,18.791,21.331,30.251,65.154,149.680,0.054
150,2167.600,18.540,7.791,14.672,16.859,18.902,21.698,28.997,69.565,136.071,0.054
160,2172.400,18.442,8.594,14.607,16.768,18.965,21.439,27.391,66.905,133.274,0.054
170,2158.700,18.521,6.443,14.599,16.763,18.946,21.685,30.191,65.571,138.276,0.054
180,2116.900,18.949,8.853,15.136,17.314,19.751,22.439,29.780,64.069,119.027,0.053
190,2156.800,18.557,6.380,14.842,16.967,19.120,21.824,26.682,68.045,117.258,0.054
200,2130.100,18.770,8.910,14.856,17.116,19.203,22.143,28.631,63.894,218.338,0.053
210,2116.500,19.010,8.891,14.683,16.866,19.059,21.464,25.516,100.859,160.963,0.053
220,2141.800,19.022,8.777,14.869,17.111,19.250,21.963,27.665,77.025,138.015,0.053
230,2031.500,19.833,6.686,15.292,17.807,20.543,24.448,34.965,66.126,150.326,0.050
240,2066.000,19.707,8.915,15.377,17.649,20.218,24.411,37.909,68.199,225.391,0.051
250,1956.500,21.053,8.193,15.299,17.745,20.431,30.537,49.040,78.280,132.009,0.047
260,1630.800,25.447,8.001,15.827,18.601,23.928,53.732,70.307,91.724,133.638,0.039
270,2077.100,19.033,8.588,15.237,17.521,19.972,22.956,30.020,57.380,125.505,0.053
280,2089.300,19.275,7.152,15.003,17.307,19.556,22.724,30.172,75.013,142.422,0.052
290,2025.400,19.626,9.370,15.365,17.764,20.365,24.037,28.894,74.858,135.401,0.051
300,2119.300,18.999,5.983,15.193,17.250,19.689,22.958,29.847,65.944,117.910,0.053
310,2080.400,19.204,9.136,15.177,17.247,19.607,22.262,25.414,75.318,136.126,0.052
320,2146.600,18.954,8.870,14.771,16.849,19.207,22.032,30.069,69.692,147.778,0.053
330,2189.300,18.567,8.295,14.684,16.820,18.962,21.685,28.896,65.438,121.958,0.054
340,2197.700,18.426,8.693,14.796,16.869,19.024,21.777,29.427,65.688,140.342,0.054
350,2151.000,18.963,8.898,14.809,16.945,19.220,21.713,26.517,79.366,135.950,0.053
360,2140.800,18.994,7.819,14.903,17.022,19.190,22.111,34.131,70.098,145.745,0.053
370,2130.300,19.249,8.205,15.209,17.348,19.625,22.472,32.105,69.373,275.691,0.052
380,2147.900,18.837,8.487,14.772,16.939,19.214,22.012,33.864,68.157,125.373,0.053
390,2161.700,18.615,6.376,14.807,16.946,18.970,21.495,29.012,67.184,113.638,0.054
400,2192.400,18.415,8.986,14.766,16.797,18.783,21.360,25.823,67.456,152.711,0.054
410,2109.100,19.158,9.197,14.866,16.956,19.345,22.597,29.765,76.649,142.004,0.052
420,2164.500,18.520,9.294,14.721,16.867,18.849,21.169,26.729,73.668,146.377,0.054
430,2178.700,18.429,8.079,14.460,16.686,18.795,21.076,24.878,79.270,145.292,0.054
440,2155.000,18.414,8.559,14.548,16.828,18.965,22.042,31.837,61.002,126.620,0.054
450,2169.100,18.747,8.484,14.667,16.723,18.936,21.664,33.485,73.637,156.063,0.053
460,2160.300,18.699,8.943,14.575,16.781,18.993,21.659,29.972,66.862,146.366,0.053
470,2189.000,18.624,8.104,14.526,16.715,18.865,21.815,36.182,69.977,118.716,0.054
480,2168.800,18.370,7.915,14.483,16.595,18.677,21.491,31.804,63.048,124.552,0.054
490,2164.800,18.514,8.586,14.607,16.794,18.835,21.546,29.758,67.037,165.028,0.054
500,2153.600,19.044,8.668,14.776,16.868,19.136,21.993,30.932,77.863,132.851,0.053
510,2130.000,19.004,8.451,14.801,16.927,19.048,21.630,25.785,82.627,189.051,0.053
520,2172.900,18.834,8.926,14.627,16.846,19.106,21.553,27.685,78.404,143.668,0.053
530,2041.800,19.722,8.176,15.371,17.576,19.988,23.513,30.615,83.303,142.139,0.051
540,2040.800,19.657,8.357,15.311,17.542,20.197,24.100,34.936,70.454,156.008,0.051
550,1708.500,24.773,6.920,15.705,18.249,22.483,52.309,69.002,100.277,143.813,0.040
560,1792.700,23.522,8.550,15.842,18.365,21.612,45.932,62.334,85.829,155.961,0.043
570,2096.300,19.194,8.213,15.071,17.290,19.568,22.233,26.282,80.126,132.081,0.052
580,2163.200,18.642,8.403,14.844,17.078,19.313,21.836,29.839,62.969,107.329,0.054
590,2030.800,19.919,9.274,15.315,17.796,20.348,23.676,31.765,79.561,147.439,0.050
600,2042.300,19.908,9.158,15.428,17.614,20.435,25.537,35.797,69.208,120.583,0.050
610,1630.000,26.109,8.226,15.771,18.378,23.799,59.138,73.481,96.779,128.760,0.038
620,2027.900,19.579,8.985,14.990,17.345,19.803,22.363,26.314,102.909,149.385,0.051
630,2114.500,18.784,8.906,14.780,17.024,19.391,22.193,27.907,68.274,137.141,0.053
640,2181.800,18.545,8.272,14.577,16.812,18.930,21.254,25.647,69.838,134.791,0.054
650,2182.000,18.624,8.751,14.699,16.817,19.220,22.316,34.332,58.849,112.015,0.054
660,2185.500,18.481,7.797,14.600,16.687,18.913,21.486,29.473,62.745,144.729,0.054
670,2170.700,18.673,8.532,14.652,16.811,18.870,21.582,28.896,73.097,121.941,0.054
680,2195.300,18.343,7.922,14.533,16.610,18.786,21.337,28.506,60.935,130.691,0.055
690,2187.500,18.414,8.670,14.632,16.791,18.878,21.641,28.281,67.873,126.581,0.054
700,2161.900,18.709,8.486,14.644,16.707,18.850,21.359,25.472,84.135,129.855,0.053
710,2133.000,18.867,8.222,14.620,16.787,19.010,21.825,28.985,73.624,159.558,0.053
720,2167.600,18.809,8.439,14.560,16.733,19.071,22.160,34.292,69.815,123.414,0.053
730,2161.700,18.596,7.921,14.574,16.701,18.781,21.691,31.237,71.639,125.639,0.054
740,2129.800,18.985,8.738,14.728,16.902,19.219,21.786,27.871,75.362,140.367,0.053
750,2117.400,19.190,7.992,14.825,17.181,19.568,22.424,28.531,82.565,139.856,0.052
