Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4497.000,25.274,1.189,16.709,22.306,30.136,37.483,45.174,62.387,1252.703,0.040
10,5341.500,22.453,1.087,15.978,21.131,28.688,35.126,41.044,53.689,87.399,0.045
20,5483.400,21.869,1.158,15.734,20.598,27.842,33.499,39.383,52.596,88.912,0.046
30,4631.200,25.890,1.073,16.105,21.451,29.139,37.295,49.542,168.890,266.895,0.039
40,4929.400,24.328,1.071,16.137,21.710,29.461,39.122,50.568,80.745,173.340,0.041
50,5042.100,23.784,1.118,16.169,21.381,28.983,37.183,49.151,76.625,151.422,0.042
60,5049.000,23.747,1.103,15.984,21.406,29.019,37.918,49.777,74.810,160.261,0.042
70,5056.900,23.714,1.072,15.998,21.314,28.958,37.158,47.895,79.359,231.060,0.042
80,5113.300,23.448,1.025,15.938,21.088,28.660,36.506,47.983,76.066,153.046,0.043
90,5055.800,23.722,1.058,16.004,21.179,28.534,36.790,48.010,83.097,267.263,0.042
100,5119.600,23.433,1.084,15.810,21.053,28.466,37.372,48.547,73.676,244.310,0.043
110,5033.100,23.817,1.076,15.866,21.031,28.424,35.905,47.835,114.218,186.419,0.042
120,4950.400,24.245,1.054,15.842,21.193,28.610,36.627,49.210,119.218,197.119,0.041
130,5083.200,23.590,1.076,15.697,20.781,28.316,36.824,49.576,85.114,174.308,0.042
140,5049.600,23.750,1.046,15.820,20.992,28.703,37.365,48.707,82.118,180.000,0.042
150,5025.300,23.858,1.057,15.962,21.146,28.647,36.950,47.416,96.435,172.755,0.042
160,5060.700,23.701,1.090,15.857,21.132,28.524,36.955,49.194,81.745,191.661,0.042
170,5010.400,23.939,1.064,15.841,21.193,28.840,38.159,50.745,81.601,249.133,0.042
180,4941.400,24.272,1.084,16.385,21.795,29.183,37.962,49.798,81.615,164.996,0.041
190,5026.700,23.853,1.081,16.038,21.430,28.723,36.393,48.160,92.648,158.070,0.042
200,4980.000,24.088,1.123,16.256,21.584,29.128,38.305,50.679,77.819,218.338,0.042
210,4925.100,24.351,1.053,15.937,21.181,28.719,36.403,48.162,127.789,195.329,0.041
220,4953.900,24.218,1.044,16.169,21.362,28.866,37.538,50.657,91.695,171.151,0.041
230,4724.100,25.385,1.064,16.727,22.699,30.690,41.338,53.258,81.871,175.427,0.039
240,4772.400,25.136,1.041,16.630,22.616,30.711,41.866,52.888,76.490,225.391,0.040
250,4516.700,26.565,1.055,16.729,23.107,31.497,46.917,59.705,92.662,202.449,0.038
260,3801.100,31.545,1.094,17.436,25.313,36.555,65.937,85.079,110.182,195.312,0.032
270,4846.100,24.750,1.047,16.557,22.249,30.357,39.686,50.808,78.980,183.723,0.040
280,4859.600,24.688,1.091,16.351,21.902,29.825,39.712,51.763,84.671,181.800,0.041
290,4736.500,25.312,1.026,16.769,22.774,30.632,40.014,51.332,89.650,174.526,0.040
300,4925.500,24.358,1.046,16.281,21.941,29.726,39.109,50.677,76.563,154.407,0.041
310,4817.500,24.914,1.102,16.392,21.851,29.566,38.023,50.193,120.952,177.432,0.040
320,4953.000,24.224,1.123,15.962,21.502,28.970,38.028,49.708,88.973,182.039,0.041
330,5083.500,23.581,1.049,15.946,21.160,28.597,37.089,49.549,76.978,147.105,0.042
340,5071.900,23.646,1.017,15.946,21.239,28.812,36.788,47.375,78.721,167.361,0.042
350,4989.600,24.052,1.104,15.979,21.244,28.802,37.002,49.203,95.917,172.326,0.042
360,4972.300,24.119,1.099,16.230,21.485,28.921,38.281,50.278,84.734,161.216,0.041
370,4941.500,24.281,1.111,16.390,21.744,29.206,38.565,50.615,84.250,275.691,0.041
380,5006.600,23.947,1.029,16.052,21.448,29.010,37.866,49.587,79.438,154.496,0.042
390,5035.100,23.834,1.091,16.014,21.172,28.798,37.380,49.265,82.091,152.806,0.042
400,5059.800,23.694,0.978,15.959,21.031,28.368,36.085,47.537,90.801,198.832,0.042
410,4913.400,24.422,1.048,16.089,21.590,29.111,37.697,52.091,88.198,177.296,0.041
420,5031.100,23.843,1.048,16.004,21.047,28.634,36.349,48.857,87.120,179.496,0.042
430,5057.400,23.722,1.074,15.711,20.858,28.388,36.470,48.471,96.355,173.098,0.042
440,5081.000,23.614,1.056,15.876,21.364,28.757,37.439,48.517,75.278,152.740,0.042
450,5027.900,23.849,1.063,15.842,21.140,28.842,37.550,49.540,85.407,176.101,0.042
460,5015.000,23.914,1.040,15.839,21.142,28.601,37.313,49.820,83.534,184.439,0.042
470,5082.600,23.604,1.033,15.821,21.077,28.449,37.866,50.542,78.024,254.366,0.042
480,5087.400,23.588,1.105,15.734,21.019,28.493,37.903,50.218,76.884,172.429,0.042
490,5053.100,23.738,1.066,15.838,21.102,28.539,36.800,49.211,87.597,171.851,0.042
500,4982.100,24.067,1.067,15.874,21.284,28.705,37.956,50.740,89.676,289.785,0.042
510,4961.800,24.172,1.032,15.990,21.209,28.468,36.422,49.246,109.501,215.607,0.041
520,5033.600,23.841,1.040,15.822,21.038,28.524,36.872,48.842,91.659,210.962,0.042
530,4743.900,25.279,1.091,16.622,22.238,30.107,39.128,51.367,105.761,226.711,0.040
540,4767.900,25.173,1.090,16.644,22.619,30.595,41.707,53.471,80.054,156.008,0.040
550,3999.200,30.099,1.059,17.102,24.347,34.547,60.712,79.510,110.694,202.060,0.033
560,4192.800,28.504,0.986,17.226,23.906,32.803,54.776,69.366,100.269,180.061,0.035
570,4853.900,24.711,1.118,16.335,21.843,29.690,38.522,50.540,99.922,176.533,0.040
580,5003.800,23.961,1.095,16.157,21.463,29.142,38.380,50.673,76.948,180.563,0.042
590,4729.000,25.374,0.994,16.784,22.569,30.354,40.587,51.532,100.164,188.939,0.039
600,4731.000,25.464,1.041,16.663,22.778,30.876,42.179,53.826,85.046,159.206,0.039
610,3790.700,31.514,1.108,17.226,24.811,36.300,67.259,85.296,115.230,194.588,0.032
620,4748.100,25.262,1.126,16.323,22.045,29.924,38.633,50.646,118.605,179.329,0.040
630,4967.200,24.146,1.034,16.137,21.663,29.305,37.797,49.402,84.096,158.562,0.041
640,5051.100,23.753,1.117,15.887,20.943,28.534,36.761,48.642,92.735,178.021,0.042
