Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2859.900,2.227,1.176,1.517,1.856,2.574,3.565,4.315,6.254,24.187,0.449
10,2070.200,2.453,1.185,1.626,2.130,2.947,4.003,4.665,6.232,16.903,0.408
20,2096.800,2.398,1.181,1.609,2.080,2.855,3.871,4.597,6.161,14.606,0.417
30,2199.400,2.305,1.167,1.561,1.993,2.719,3.648,4.384,5.994,16.308,0.434
40,2358.100,2.232,1.185,1.538,1.934,2.604,3.509,4.188,5.819,14.395,0.448
50,2608.500,2.166,1.187,1.510,1.871,2.516,3.372,3.997,5.546,16.946,0.462
60,2798.000,2.119,1.176,1.487,1.821,2.426,3.274,3.911,5.620,17.206,0.472
70,3029.200,2.102,1.184,1.484,1.794,2.408,3.255,3.890,5.559,18.894,0.476
80,3210.900,2.061,1.181,1.462,1.749,2.338,3.172,3.822,5.514,18.580,0.485
90,3285.000,2.043,1.184,1.448,1.719,2.291,3.145,3.821,5.732,22.645,0.489
100,3461.600,2.009,1.185,1.452,1.700,2.240,3.068,3.715,5.331,19.510,0.498
110,3496.200,2.001,1.188,1.439,1.683,2.229,3.060,3.708,5.436,19.453,0.500
120,3584.900,1.998,1.184,1.430,1.667,2.218,3.083,3.748,5.510,19.377,0.500
130,3675.100,1.971,1.195,1.439,1.664,2.181,2.964,3.592,5.254,29.231,0.507
140,3702.400,1.970,1.190,1.433,1.655,2.170,2.987,3.621,5.330,22.621,0.508
150,3711.600,1.959,1.193,1.420,1.631,2.170,3.001,3.633,5.378,18.709,0.510
160,3833.900,1.922,1.187,1.433,1.637,2.104,2.860,3.464,4.924,19.399,0.520
170,3803.800,1.942,1.184,1.421,1.625,2.126,2.943,3.581,5.419,20.213,0.515
180,3769.000,1.932,1.178,1.412,1.611,2.098,2.943,3.619,5.331,18.865,0.518
190,3896.100,1.903,1.196,1.433,1.635,2.088,2.797,3.383,4.808,20.425,0.526
200,3897.800,1.911,1.191,1.419,1.616,2.073,2.843,3.479,5.119,17.986,0.523
210,3867.700,1.930,1.182,1.414,1.614,2.109,2.891,3.559,5.346,19.101,0.518
220,3839.000,1.925,1.182,1.419,1.616,2.095,2.901,3.512,5.184,18.378,0.520
230,3912.400,1.898,1.193,1.421,1.611,2.077,2.826,3.431,4.973,18.805,0.527
240,3913.600,1.913,1.192,1.403,1.596,2.074,2.880,3.565,5.368,19.502,0.523
250,3884.800,1.901,1.187,1.419,1.608,2.075,2.831,3.437,5.084,17.874,0.526
260,3919.600,1.904,1.182,1.416,1.604,2.070,2.832,3.451,5.117,19.932,0.525
270,3833.100,1.929,1.184,1.409,1.599,2.094,2.935,3.617,5.512,20.129,0.518
280,3948.100,1.903,1.191,1.421,1.612,2.076,2.825,3.414,5.044,20.656,0.525
290,3943.500,1.897,1.190,1.417,1.608,2.061,2.806,3.415,5.033,19.563,0.527
300,3875.200,1.907,1.190,1.409,1.599,2.073,2.853,3.501,5.230,19.710,0.524
310,3806.800,1.921,1.191,1.410,1.605,2.089,2.864,3.538,5.422,18.865,0.521
320,3844.200,1.920,1.185,1.408,1.598,2.087,2.901,3.571,5.366,20.019,0.521
330,3882.400,1.918,1.190,1.411,1.598,2.072,2.870,3.550,5.436,27.550,0.521
340,3927.900,1.910,1.180,1.413,1.599,2.068,2.866,3.504,5.270,25.045,0.524
350,3928.300,1.898,1.197,1.423,1.612,2.071,2.812,3.381,4.948,18.245,0.527
360,3906.800,1.904,1.202,1.417,1.608,2.074,2.840,3.451,5.101,19.314,0.525
370,3869.200,1.909,1.192,1.409,1.600,2.069,2.856,3.496,5.334,20.794,0.524
380,3938.200,1.901,1.186,1.414,1.601,2.076,2.850,3.467,5.040,17.218,0.526
390,3904.000,1.904,1.186,1.413,1.603,2.066,2.832,3.468,5.194,17.536,0.525
400,3846.100,1.909,1.191,1.416,1.605,2.079,2.865,3.490,5.190,17.092,0.524
410,3893.000,1.904,1.191,1.414,1.600,2.068,2.852,3.496,5.122,17.991,0.525
420,3939.300,1.889,1.191,1.415,1.604,2.048,2.791,3.403,5.031,18.466,0.529
430,3992.500,1.891,1.196,1.426,1.610,2.046,2.775,3.369,5.017,18.628,0.529
440,3936.600,1.901,1.186,1.424,1.611,2.062,2.812,3.417,5.025,18.427,0.526
450,3896.900,1.914,1.170,1.408,1.594,2.058,2.878,3.564,5.486,21.703,0.523
460,3901.900,1.906,1.190,1.417,1.605,2.070,2.849,3.486,5.153,20.680,0.525
470,3983.200,1.883,1.193,1.417,1.603,2.041,2.782,3.364,4.950,17.474,0.531
480,3937.700,1.881,1.184,1.413,1.600,2.044,2.784,3.366,4.856,15.969,0.532
490,4001.100,1.881,1.194,1.422,1.609,2.051,2.756,3.301,4.835,19.191,0.532
500,3889.700,1.910,1.192,1.404,1.592,2.078,2.926,3.623,5.317,11.986,0.523
510,3846.100,1.922,1.192,1.405,1.590,2.063,2.902,3.600,5.652,43.956,0.520
520,3925.300,1.903,1.184,1.414,1.601,2.075,2.853,3.490,5.137,17.469,0.525
530,3971.300,1.888,1.178,1.415,1.601,2.052,2.789,3.399,5.010,22.445,0.530
540,3945.500,1.896,1.193,1.420,1.608,2.059,2.809,3.392,5.054,16.475,0.527
550,3969.400,1.885,1.177,1.419,1.602,2.040,2.766,3.347,5.083,15.944,0.530
560,3815.600,1.945,1.190,1.399,1.582,2.070,2.956,3.738,6.146,29.338,0.514
570,3864.000,1.920,1.185,1.407,1.589,2.077,2.935,3.651,5.547,17.555,0.521
580,4000.200,1.884,1.200,1.421,1.605,2.040,2.760,3.390,4.968,15.283,0.531
590,3962.200,1.890,1.196,1.417,1.602,2.043,2.799,3.416,5.045,15.052,0.529
600,3961.400,1.892,1.193,1.413,1.592,2.043,2.813,3.457,5.270,21.968,0.529
610,4023.500,1.869,1.203,1.426,1.608,2.034,2.717,3.251,4.659,15.455,0.535
620,3999.600,1.876,1.198,1.425,1.607,2.050,2.753,3.306,4.683,20.447,0.533
630,3936.000,1.904,1.191,1.409,1.590,2.054,2.836,3.495,5.351,19.760,0.525
640,3993.100,1.880,1.189,1.416,1.595,2.032,2.769,3.371,5.055,16.049,0.532
650,4016.600,1.878,1.187,1.423,1.606,2.040,2.741,3.281,4.885,16.851,0.533
660,3921.900,1.898,1.168,1.408,1.591,2.058,2.827,3.494,5.248,18.222,0.527
670,3993.600,1.883,1.195,1.410,1.592,2.036,2.782,3.404,5.087,14.018,0.531
680,3987.900,1.877,1.194,1.420,1.602,2.034,2.766,3.347,4.828,13.816,0.533
690,3975.100,1.888,1.179,1.409,1.588,2.046,2.828,3.444,5.111,17.176,0.530
700,4042.600,1.864,1.191,1.426,1.603,2.022,2.709,3.250,4.639,13.477,0.536
710,4012.800,1.874,1.195,1.416,1.595,2.024,2.756,3.330,4.915,22.999,0.534
720,3973.700,1.888,1.183,1.408,1.588,2.045,2.823,3.457,5.143,19.041,0.530
730,4016.100,1.868,1.193,1.417,1.597,2.036,2.739,3.297,4.792,16.088,0.535
740,4067.000,1.865,1.191,1.427,1.601,2.024,2.717,3.277,4.771,11.979,0.536
750,3926.900,1.896,1.183,1.411,1.592,2.048,2.825,3.452,5.249,21.854,0.528
760,3992.200,1.889,1.200,1.417,1.601,2.052,2.789,3.390,5.011,14.545,0.529
770,4000.600,1.876,1.194,1.415,1.597,2.038,2.751,3.332,4.892,16.639,0.533
780,3996.600,1.883,1.194,1.416,1.601,2.049,2.780,3.358,4.997,15.093,0.531
790,3954.900,1.888,1.189,1.416,1.600,2.053,2.801,3.402,5.007,12.662,0.530
800,3988.900,1.880,1.195,1.424,1.610,2.061,2.757,3.306,4.851,11.773,0.532
810,3969.400,1.876,1.181,1.412,1.596,2.036,2.748,3.352,5.095,19.416,0.533
820,4048.600,1.865,1.190,1.428,1.608,2.027,2.703,3.223,4.627,13.189,0.536
830,4022.100,1.868,1.186,1.418,1.599,2.032,2.719,3.271,4.858,12.993,0.535
840,3948.000,1.899,1.197,1.410,1.590,2.058,2.845,3.503,5.298,13.466,0.527
850,4045.100,1.878,1.197,1.421,1.601,2.049,2.751,3.346,5.012,11.324,0.532
860,4017.300,1.873,1.190,1.421,1.603,2.036,2.746,3.310,4.800,11.008,0.534
870,3976.500,1.888,1.192,1.411,1.591,2.038,2.814,3.442,5.183,16.881,0.530
880,3987.000,1.881,1.187,1.417,1.599,2.039,2.783,3.369,5.033,18.937,0.532
890,3998.300,1.879,1.194,1.420,1.604,2.045,2.770,3.346,4.853,16.152,0.532
900,4007.200,1.874,1.194,1.420,1.603,2.035,2.739,3.342,4.883,12.268,0.534
910,4010.900,1.873,1.195,1.421,1.601,2.037,2.737,3.303,5.008,15.108,0.534
920,3868.300,1.910,1.196,1.404,1.589,2.057,2.866,3.536,5.702,31.587,0.524
930,3944.100,1.890,1.202,1.414,1.601,2.055,2.791,3.407,5.257,13.873,0.529
940,3975.300,1.893,1.196,1.414,1.598,2.058,2.826,3.457,5.242,17.217,0.528
950,3931.700,1.890,1.184,1.416,1.602,2.066,2.799,3.395,5.220,17.840,0.529
960,4035.500,1.880,1.190,1.415,1.597,2.046,2.793,3.381,5.032,11.079,0.532
970,4001.900,1.863,1.199,1.414,1.596,2.034,2.749,3.305,4.827,13.862,0.537
980,4010.400,1.882,1.191,1.408,1.592,2.045,2.814,3.435,5.163,13.007,0.531
990,3857.900,1.925,1.192,1.410,1.598,2.078,2.950,3.649,5.515,14.408,0.520
1000,3922.200,1.914,1.186,1.411,1.595,2.071,2.920,3.594,5.409,14.468,0.523
1010,3927.500,1.918,1.194,1.402,1.584,2.072,2.938,3.689,5.479,13.484,0.522
1020,3858.300,1.927,1.201,1.405,1.588,2.100,2.947,3.664,5.618,26.900,0.519
1030,3943.600,1.907,1.191,1.402,1.582,2.057,2.925,3.656,5.428,13.043,0.524
1040,3876.600,1.923,1.189,1.405,1.588,2.092,2.978,3.755,5.372,21.596,0.520
1050,3848.200,1.933,1.184,1.398,1.583,2.089,3.005,3.793,5.627,50.686,0.517
1060,3922.400,1.910,1.196,1.402,1.581,2.060,2.968,3.696,5.333,11.439,0.524
1070,3870.800,1.922,1.193,1.400,1.580,2.087,3.016,3.706,5.487,14.200,0.520
1080,3884.300,1.914,1.183,1.398,1.577,2.073,2.996,3.688,5.450,17.970,0.523
1090,3908.400,1.919,1.193,1.399,1.583,2.089,3.005,3.718,5.254,15.601,0.521
1100,3874.900,1.921,1.185,1.407,1.588,2.096,2.973,3.672,5.365,19.196,0.521
1110,3860.600,1.930,1.190,1.397,1.579,2.087,2.994,3.779,5.661,16.022,0.518
1120,3945.200,1.906,1.198,1.419,1.604,2.066,2.859,3.497,5.311,14.724,0.525
1130,4001.300,1.889,1.199,1.419,1.602,2.045,2.809,3.409,5.072,16.547,0.529
1140,3951.300,1.893,1.183,1.415,1.594,2.045,2.807,3.425,5.151,17.306,0.528
1150,3990.400,1.896,1.180,1.419,1.603,2.044,2.818,3.408,5.068,33.766,0.527
1160,3912.500,1.922,1.190,1.411,1.595,2.069,2.902,3.577,5.552,21.647,0.520
1170,3940.400,1.890,1.200,1.417,1.599,2.044,2.810,3.411,5.008,18.261,0.529
1180,3946.700,1.885,1.189,1.416,1.595,2.038,2.762,3.373,5.021,18.473,0.530
1190,3974.400,1.885,1.204,1.418,1.600,2.040,2.776,3.359,4.943,18.337,0.530
1200,3998.100,1.884,1.195,1.420,1.600,2.038,2.781,3.375,4.977,15.814,0.531
1210,4018.400,1.884,1.189,1.427,1.611,2.050,2.758,3.323,4.812,13.137,0.531
1220,4011.800,1.884,1.202,1.428,1.609,2.041,2.736,3.331,4.851,19.696,0.531
1230,3954.000,1.906,1.195,1.414,1.598,2.053,2.825,3.462,5.333,16.405,0.525
1240,3994.600,1.883,1.195,1.421,1.604,2.037,2.766,3.345,4.957,22.675,0.531
1250,4003.700,1.886,1.195,1.412,1.594,2.037,2.797,3.418,5.092,14.002,0.530
1260,3968.500,1.893,1.196,1.409,1.594,2.054,2.823,3.477,5.118,16.298,0.528
1270,4039.800,1.878,1.199,1.425,1.608,2.046,2.738,3.297,4.800,14.886,0.532
1280,4028.700,1.879,1.194,1.427,1.611,2.052,2.749,3.292,4.845,13.705,0.532
1290,3927.800,1.903,1.194,1.415,1.599,2.051,2.818,3.464,5.329,22.010,0.526
1300,4028.400,1.879,1.203,1.426,1.611,2.051,2.744,3.301,4.782,16.755,0.532
1310,3972.400,1.885,1.192,1.417,1.599,2.050,2.771,3.390,5.013,13.956,0.531
1320,4025.200,1.868,1.199,1.423,1.606,2.028,2.725,3.279,4.718,13.473,0.535
1330,4028.400,1.888,1.193,1.421,1.606,2.058,2.787,3.365,5.049,14.632,0.530
