Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,416.700,9.869,4.886,8.050,9.339,10.973,13.039,14.842,19.703,44.288,0.101
10,303.900,10.481,5.463,8.724,10.169,11.810,13.685,15.053,18.169,26.509,0.095
20,290.800,10.346,5.073,8.532,9.878,11.596,13.410,14.925,20.171,34.521,0.097
30,307.400,10.072,4.740,8.372,9.666,11.321,13.012,14.392,19.194,30.123,0.099
40,338.500,9.977,4.897,8.246,9.533,11.078,12.968,14.718,20.503,29.060,0.100
50,369.300,9.809,4.817,8.087,9.356,10.864,12.557,13.987,20.202,43.244,0.102
60,396.600,9.831,4.775,8.019,9.223,10.689,12.369,13.984,22.042,61.674,0.102
70,439.500,9.724,4.521,8.132,9.300,10.772,12.493,13.908,19.778,27.464,0.103
80,456.500,9.674,4.957,8.087,9.271,10.660,12.305,13.712,20.108,37.594,0.103
90,468.200,9.804,4.987,8.115,9.336,10.854,12.563,14.361,21.180,28.093,0.102
100,500.500,10.046,5.097,8.182,9.458,10.964,12.934,14.949,23.186,40.737,0.100
110,498.900,9.505,4.888,7.843,8.994,10.356,11.860,13.140,20.449,77.182,0.105
120,505.600,9.095,4.874,7.651,8.748,10.051,11.458,12.551,17.049,39.110,0.110
130,528.200,9.119,5.019,7.689,8.770,10.067,11.587,12.760,17.456,32.435,0.110
140,527.200,9.436,4.654,7.715,8.794,10.126,11.618,12.922,18.963,103.825,0.106
150,533.700,9.511,4.547,7.838,8.982,10.428,12.058,13.403,21.474,55.903,0.105
160,546.800,9.258,4.969,7.805,8.949,10.209,11.594,12.625,18.099,34.431,0.108
170,534.600,9.180,4.701,7.581,8.716,10.058,11.557,13.001,21.728,32.659,0.109
180,553.000,9.474,4.742,7.718,8.903,10.275,12.066,13.734,22.836,44.220,0.106
190,552.700,9.789,5.114,8.120,9.340,10.716,12.355,13.998,21.964,29.026,0.102
200,558.600,10.292,4.965,8.067,9.320,10.762,12.507,14.443,33.063,96.291,0.097
210,563.600,9.633,4.922,8.040,9.245,10.677,12.279,13.589,18.624,30.445,0.104
220,537.700,9.520,4.838,7.915,9.093,10.483,12.127,13.692,21.080,28.756,0.105
230,556.500,9.560,4.819,7.858,9.014,10.405,12.297,14.108,22.135,35.414,0.105
240,559.900,9.230,4.866,7.654,8.807,10.219,11.795,13.135,19.632,31.196,0.108
250,558.100,10.117,5.075,8.068,9.267,10.846,12.908,15.797,29.338,55.475,0.099
260,541.300,9.740,4.898,8.005,9.200,10.617,12.272,13.798,22.783,59.645,0.103
270,537.000,9.233,4.751,7.651,8.791,10.122,11.726,13.267,20.708,36.970,0.108
280,567.200,9.363,4.685,7.824,8.957,10.319,11.866,13.147,19.112,41.607,0.107
290,562.200,9.408,5.033,7.875,9.008,10.301,11.827,13.334,20.841,28.072,0.106
300,565.200,9.556,4.914,7.781,8.954,10.348,12.024,13.887,24.351,43.296,0.105
310,546.100,9.318,4.930,7.760,8.893,10.280,11.808,13.195,19.305,42.247,0.107
320,551.500,9.260,5.007,7.801,8.876,10.188,11.674,12.938,19.180,31.274,0.108
330,559.800,9.248,4.813,7.855,8.938,10.231,11.653,12.713,17.217,29.404,0.108
340,552.200,9.516,4.600,7.796,8.872,10.205,11.788,13.457,22.905,71.694,0.105
350,544.300,9.346,4.719,7.725,8.826,10.177,11.683,13.184,23.107,41.618,0.107
360,571.500,9.370,4.752,7.850,8.953,10.353,11.880,13.117,19.028,31.411,0.107
370,553.100,9.865,5.045,8.090,9.235,10.733,12.487,14.423,24.046,40.234,0.101
380,563.500,9.264,4.887,7.778,8.885,10.202,11.678,12.662,19.586,39.607,0.108
390,567.400,9.064,4.960,7.623,8.695,9.954,11.348,12.649,18.541,31.383,0.110
400,545.100,9.171,5.016,7.717,8.796,10.079,11.527,12.783,18.623,38.279,0.109
410,569.700,8.943,4.843,7.524,8.572,9.817,11.191,12.519,19.197,27.384,0.112
420,562.700,8.787,4.749,7.517,8.539,9.703,10.979,11.887,15.478,23.668,0.114
430,568.300,8.999,4.715,7.625,8.650,9.917,11.293,12.257,18.835,27.167,0.111
440,575.900,8.826,4.729,7.484,8.553,9.751,11.031,11.898,15.851,34.319,0.113
450,557.100,9.475,4.995,7.726,8.874,10.217,12.013,14.031,23.960,43.532,0.106
460,555.300,9.357,4.834,7.878,8.985,10.313,11.821,13.102,18.195,42.661,0.107
470,561.800,9.596,5.127,8.040,9.225,10.599,12.053,13.328,19.812,26.585,0.104
480,567.200,9.369,4.838,7.841,8.982,10.349,11.842,13.084,19.079,28.534,0.107
