Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,451.000,1.939,0.936,1.277,1.597,2.273,3.174,3.801,5.901,16.144,0.516
10,360.400,2.029,0.952,1.298,1.664,2.353,3.293,4.018,6.614,21.334,0.493
20,357.100,1.789,0.936,1.178,1.435,1.927,2.664,3.421,7.674,25.742,0.559
30,384.200,1.691,0.944,1.145,1.352,1.743,2.423,3.197,8.153,17.660,0.591
40,399.900,1.649,0.948,1.148,1.343,1.731,2.392,3.060,6.480,30.391,0.606
50,453.400,1.762,0.947,1.176,1.411,1.889,2.677,3.477,6.847,19.918,0.567
60,477.300,1.803,0.944,1.180,1.414,1.966,2.871,3.704,6.526,21.635,0.555
70,495.400,1.833,0.946,1.189,1.433,2.023,3.052,3.865,6.099,20.429,0.546
80,524.100,1.830,0.941,1.190,1.438,2.021,3.048,3.806,6.344,20.701,0.546
90,513.900,1.831,0.948,1.169,1.392,2.018,3.088,3.992,6.435,24.665,0.546
100,534.700,1.832,0.941,1.178,1.412,1.988,3.020,3.975,6.716,23.463,0.546
110,556.600,1.804,0.943,1.185,1.420,2.028,2.982,3.747,5.826,20.285,0.554
120,562.400,1.756,0.948,1.178,1.383,1.930,2.886,3.651,5.695,21.803,0.570
130,548.700,1.798,0.947,1.177,1.392,2.001,2.948,3.769,6.121,30.896,0.556
140,550.500,1.773,0.948,1.177,1.398,1.964,2.963,3.716,5.477,19.854,0.564
150,562.400,1.762,0.945,1.162,1.384,1.952,2.920,3.645,5.648,20.494,0.567
160,559.600,1.760,0.949,1.176,1.389,1.935,2.902,3.652,5.929,23.318,0.568
170,569.500,1.741,0.948,1.169,1.383,1.942,2.772,3.559,5.483,21.350,0.574
180,578.400,1.743,0.946,1.177,1.384,1.960,2.860,3.593,5.408,20.420,0.574
190,572.600,1.718,0.947,1.162,1.355,1.885,2.821,3.600,5.425,19.119,0.582
200,562.100,1.727,0.953,1.165,1.363,1.921,2.833,3.549,5.316,19.413,0.579
210,552.800,1.757,0.948,1.167,1.366,1.951,2.888,3.585,5.738,22.322,0.569
220,563.700,1.722,0.948,1.165,1.367,1.929,2.842,3.553,5.330,13.141,0.581
230,574.100,1.696,0.951,1.162,1.359,1.870,2.741,3.377,5.237,20.409,0.590
240,569.400,1.705,0.938,1.163,1.355,1.899,2.754,3.422,5.217,19.323,0.587
250,573.500,1.718,0.938,1.159,1.357,1.905,2.779,3.497,5.468,21.689,0.582
260,586.500,1.700,0.939,1.159,1.353,1.867,2.773,3.422,5.285,20.338,0.588
270,577.800,1.738,0.950,1.165,1.360,1.919,2.888,3.607,5.478,25.993,0.576
280,565.500,1.731,0.947,1.161,1.364,1.929,2.872,3.525,5.398,20.125,0.578
290,584.400,1.695,0.950,1.158,1.350,1.872,2.742,3.522,5.249,20.273,0.590
300,579.500,1.690,0.953,1.160,1.356,1.879,2.802,3.480,4.997,19.061,0.592
310,563.900,1.750,0.943,1.156,1.356,1.906,2.901,3.649,6.018,28.488,0.572
320,572.400,1.699,0.946,1.168,1.363,1.885,2.793,3.449,5.147,19.201,0.589
330,598.800,1.692,0.939,1.156,1.353,1.882,2.744,3.405,5.330,18.860,0.591
340,587.300,1.703,0.945,1.163,1.362,1.895,2.784,3.437,5.175,19.060,0.587
350,576.400,1.700,0.940,1.167,1.364,1.887,2.756,3.443,5.112,20.382,0.588
360,578.600,1.695,0.946,1.162,1.351,1.883,2.826,3.451,5.097,12.191,0.590
370,571.700,1.730,0.944,1.162,1.360,1.945,2.894,3.573,5.245,19.260,0.578
380,568.400,1.715,0.946,1.166,1.364,1.892,2.834,3.557,5.258,21.012,0.583
390,599.700,1.711,0.939,1.155,1.347,1.883,2.798,3.517,5.385,19.608,0.584
400,582.000,1.698,0.946,1.171,1.358,1.878,2.759,3.456,5.219,19.345,0.589
410,581.000,1.709,0.949,1.157,1.352,1.869,2.773,3.422,5.265,24.822,0.585
420,573.300,1.687,0.948,1.158,1.346,1.881,2.746,3.388,5.197,18.676,0.593
430,580.400,1.703,0.953,1.157,1.358,1.871,2.816,3.512,5.175,28.092,0.587
440,590.600,1.700,0.947,1.169,1.364,1.896,2.772,3.392,5.066,20.314,0.588
450,578.400,1.712,0.942,1.152,1.348,1.876,2.809,3.541,5.099,24.107,0.584
460,571.100,1.683,0.945,1.169,1.354,1.837,2.715,3.412,5.121,19.606,0.594
470,579.200,1.661,0.952,1.153,1.339,1.831,2.676,3.296,4.923,20.186,0.602
480,584.800,1.711,0.950,1.165,1.357,1.911,2.758,3.439,5.078,20.666,0.585
490,569.200,1.703,0.944,1.164,1.365,1.891,2.798,3.511,5.000,17.333,0.587
500,580.400,1.677,0.952,1.165,1.351,1.829,2.705,3.353,4.941,18.458,0.596
510,567.000,1.707,0.948,1.155,1.347,1.873,2.743,3.479,5.712,21.700,0.586
520,574.900,1.690,0.957,1.158,1.341,1.887,2.772,3.418,5.003,17.646,0.592
530,603.400,1.681,0.949,1.155,1.347,1.843,2.725,3.461,5.042,17.818,0.595
540,592.900,1.707,0.944,1.159,1.358,1.892,2.793,3.435,5.187,23.513,0.586
550,581.300,1.698,0.953,1.151,1.345,1.890,2.845,3.527,5.109,16.720,0.589
560,597.800,1.720,0.944,1.167,1.362,1.912,2.812,3.497,5.096,18.456,0.581
570,577.600,1.691,0.936,1.149,1.347,1.882,2.759,3.428,5.324,19.714,0.591
580,584.900,1.704,0.950,1.160,1.361,1.901,2.777,3.505,5.052,19.508,0.587
590,570.600,1.694,0.949,1.162,1.352,1.878,2.753,3.474,5.278,15.897,0.590
600,600.100,1.658,0.950,1.154,1.340,1.822,2.649,3.302,4.830,17.314,0.603
610,591.600,1.695,0.939,1.162,1.358,1.873,2.774,3.472,4.881,15.684,0.590
620,588.100,1.652,0.944,1.156,1.336,1.805,2.651,3.292,4.781,17.001,0.605
630,590.500,1.704,0.940,1.159,1.350,1.897,2.781,3.444,5.260,16.580,0.587
640,586.700,1.694,0.939,1.154,1.340,1.863,2.816,3.507,5.125,16.730,0.590
650,595.200,1.658,0.947,1.153,1.340,1.799,2.692,3.392,4.848,15.325,0.603
660,595.100,1.675,0.944,1.153,1.336,1.837,2.665,3.373,5.101,18.144,0.597
670,597.500,1.686,0.931,1.151,1.338,1.847,2.746,3.460,5.421,16.395,0.593
680,602.700,1.673,0.950,1.162,1.347,1.838,2.711,3.381,4.986,16.038,0.598
690,590.000,1.701,0.952,1.149,1.346,1.874,2.763,3.527,5.315,15.812,0.588
700,581.200,1.690,0.941,1.158,1.358,1.860,2.735,3.439,5.064,15.375,0.592
710,589.700,1.687,0.950,1.165,1.360,1.866,2.695,3.354,4.892,16.516,0.593
720,591.000,1.669,0.951,1.162,1.350,1.846,2.700,3.409,4.964,9.042,0.599
730,592.500,1.691,0.948,1.169,1.370,1.871,2.711,3.407,5.078,18.179,0.591
740,581.800,1.694,0.947,1.164,1.341,1.854,2.729,3.371,5.288,17.540,0.590
750,583.200,1.691,0.951,1.157,1.348,1.858,2.800,3.479,5.022,16.454,0.591
760,587.300,1.676,0.944,1.161,1.347,1.857,2.715,3.452,4.976,15.164,0.597
770,587.100,1.650,0.948,1.149,1.332,1.806,2.626,3.296,4.949,15.651,0.606
780,578.000,1.683,0.953,1.168,1.359,1.845,2.694,3.389,5.072,19.284,0.594
790,588.500,1.705,0.949,1.172,1.368,1.900,2.778,3.403,4.882,25.249,0.586
800,586.000,1.679,0.947,1.158,1.351,1.870,2.752,3.469,4.927,16.985,0.596
810,568.300,1.682,0.945,1.151,1.329,1.823,2.695,3.429,5.523,15.613,0.595
820,586.400,1.669,0.943,1.157,1.345,1.832,2.718,3.398,4.860,16.432,0.599
830,592.800,1.664,0.945,1.154,1.335,1.841,2.707,3.358,5.028,15.338,0.601
840,595.200,1.698,0.949,1.161,1.346,1.838,2.758,3.544,5.288,17.122,0.589
850,586.500,1.667,0.944,1.163,1.350,1.846,2.708,3.293,4.914,16.034,0.600
860,595.400,1.673,0.948,1.161,1.347,1.834,2.697,3.312,4.896,15.679,0.598
870,581.500,1.690,0.944,1.152,1.340,1.871,2.733,3.434,5.265,16.994,0.592
880,577.500,1.698,0.951,1.167,1.360,1.876,2.788,3.518,5.080,16.209,0.589
890,588.600,1.698,0.946,1.173,1.364,1.890,2.772,3.439,5.006,15.749,0.589
900,588.900,1.691,0.943,1.159,1.362,1.867,2.720,3.426,5.462,17.617,0.591
910,558.000,1.759,0.940,1.150,1.353,1.940,2.944,3.663,5.755,23.281,0.569
920,586.800,1.700,0.954,1.162,1.360,1.918,2.792,3.433,5.055,16.369,0.588
930,590.300,1.676,0.949,1.170,1.354,1.847,2.651,3.295,5.099,20.918,0.597
940,588.300,1.676,0.949,1.154,1.344,1.821,2.733,3.395,5.080,19.320,0.597
950,594.800,1.668,0.942,1.162,1.356,1.847,2.671,3.226,4.952,20.776,0.599
960,587.500,1.711,0.955,1.157,1.360,1.902,2.820,3.531,5.318,17.321,0.584
970,591.400,1.687,0.942,1.169,1.363,1.901,2.736,3.366,4.900,17.442,0.593
980,584.900,1.687,0.950,1.163,1.349,1.849,2.753,3.384,5.026,18.850,0.593
990,581.000,1.693,0.943,1.150,1.338,1.898,2.777,3.479,5.247,18.799,0.591
1000,580.400,1.722,0.951,1.160,1.357,1.888,2.843,3.567,5.435,19.539,0.581
1010,588.300,1.699,0.946,1.165,1.362,1.901,2.739,3.354,5.010,21.308,0.588
1020,592.200,1.690,0.944,1.161,1.346,1.859,2.782,3.460,5.330,16.678,0.592
1030,584.500,1.656,0.949,1.155,1.343,1.833,2.665,3.332,4.877,17.947,0.604
