Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,453.000,4.665,1.657,2.595,3.553,5.459,8.172,10.648,18.289,61.387,0.214
10,352.200,4.605,1.643,2.619,3.560,5.101,7.562,10.373,20.635,181.476,0.217
20,356.700,4.585,1.658,2.370,3.107,4.577,8.247,12.944,24.842,326.178,0.218
30,362.300,4.378,1.667,2.246,2.868,4.130,7.857,12.880,26.790,125.553,0.228
40,412.800,4.537,1.636,2.273,2.933,4.451,8.602,13.526,26.592,55.972,0.220
50,450.400,4.765,1.655,2.366,3.159,5.077,8.903,13.522,25.877,91.931,0.210
60,483.900,4.838,1.619,2.365,3.255,5.337,9.194,13.076,23.943,102.063,0.207
70,508.800,4.802,1.647,2.377,3.280,5.441,8.834,11.968,21.489,357.247,0.208
80,524.800,4.525,1.651,2.371,3.293,5.214,8.326,11.169,20.271,51.880,0.221
90,521.700,4.799,1.651,2.341,3.303,5.419,8.782,12.485,22.584,90.854,0.208
100,540.600,4.592,1.633,2.326,3.199,5.262,8.316,11.357,20.611,224.469,0.218
110,543.500,4.501,1.666,2.305,3.152,5.222,8.470,11.294,20.612,58.335,0.222
120,542.100,4.464,1.651,2.336,3.167,5.135,8.227,10.754,19.590,66.359,0.224
130,564.400,4.380,1.628,2.292,3.138,5.025,7.917,10.494,20.411,68.937,0.228
140,552.600,4.323,1.655,2.287,3.100,4.998,7.944,10.695,18.226,57.451,0.231
150,567.300,4.429,1.618,2.285,3.128,5.140,8.123,11.030,18.985,66.302,0.226
160,562.500,4.305,1.628,2.277,3.126,4.967,7.839,10.317,19.522,66.056,0.232
170,567.100,4.310,1.653,2.270,3.050,4.910,7.586,10.186,21.019,130.520,0.232
180,562.400,4.246,1.640,2.287,3.105,4.880,7.668,10.044,18.777,62.362,0.236
190,577.500,4.202,1.658,2.257,3.014,4.887,7.518,10.041,17.812,87.594,0.238
200,580.300,4.183,1.621,2.257,3.040,4.837,7.487,9.867,18.024,99.423,0.239
210,570.400,4.220,1.623,2.240,3.021,4.835,7.699,10.277,19.224,55.018,0.237
220,563.800,4.144,1.621,2.257,3.074,4.863,7.559,9.755,17.470,73.121,0.241
230,581.400,4.038,1.647,2.235,2.974,4.639,7.002,9.340,16.575,71.677,0.248
240,583.300,4.100,1.591,2.226,2.987,4.689,7.226,9.740,18.136,89.961,0.244
250,583.500,4.058,1.638,2.229,2.990,4.697,7.227,9.539,16.573,58.122,0.246
260,582.600,4.014,1.669,2.219,2.919,4.608,7.048,9.475,17.481,79.890,0.249
270,583.000,4.082,1.613,2.198,2.919,4.676,7.265,9.644,16.975,108.209,0.245
280,571.200,4.072,1.652,2.237,2.979,4.675,7.261,9.554,18.457,42.100,0.246
290,586.200,4.045,1.635,2.202,2.929,4.657,7.186,9.719,16.769,57.529,0.247
300,575.600,4.006,1.628,2.225,2.981,4.720,7.142,9.283,16.596,49.700,0.250
310,563.900,4.128,1.620,2.218,2.957,4.735,7.223,9.803,18.790,106.856,0.242
