Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,39959.800,2.781,1.005,1.536,2.129,3.403,5.009,6.323,9.909,42.004,0.360
10,32307.900,3.549,1.023,1.710,2.479,4.054,6.900,9.820,16.823,52.831,0.282
20,32315.700,3.572,1.021,1.528,2.105,3.662,8.042,11.745,19.526,72.143,0.280
30,33593.700,3.445,1.006,1.413,1.886,3.469,8.156,11.603,19.376,61.648,0.290
40,36712.400,3.126,1.012,1.371,1.785,3.061,6.995,10.377,18.056,61.850,0.320
50,40490.100,2.792,1.014,1.374,1.793,2.920,5.400,8.245,15.006,46.158,0.358
60,42975.200,2.608,1.016,1.356,1.768,2.901,4.788,6.795,12.878,57.008,0.383
70,45190.200,2.460,1.012,1.350,1.733,2.816,4.452,5.986,10.819,48.427,0.406
80,46944.600,2.359,1.011,1.342,1.707,2.740,4.216,5.479,9.343,50.840,0.424
90,46805.900,2.358,0.995,1.324,1.668,2.719,4.273,5.577,9.610,58.839,0.424
100,48088.500,2.294,1.001,1.316,1.642,2.657,4.164,5.374,8.788,45.196,0.436
110,49132.300,2.240,1.008,1.316,1.630,2.621,4.011,5.113,8.191,33.930,0.446
120,49422.300,2.223,1.013,1.308,1.616,2.603,3.992,5.085,7.979,61.280,0.450
130,49611.100,2.215,1.002,1.316,1.628,2.586,3.937,4.994,7.887,59.909,0.451
140,50098.300,2.193,1.007,1.306,1.609,2.572,3.926,4.966,7.606,46.674,0.456
150,50168.500,2.192,1.006,1.296,1.595,2.573,3.944,4.983,7.699,45.370,0.456
160,50732.800,2.163,1.012,1.297,1.593,2.536,3.848,4.846,7.479,60.877,0.462
170,50998.900,2.144,1.002,1.294,1.583,2.525,3.819,4.778,7.215,42.015,0.466
180,50975.100,2.146,1.003,1.296,1.584,2.516,3.820,4.794,7.277,46.491,0.466
190,51393.600,2.129,1.001,1.286,1.561,2.483,3.800,4.807,7.387,48.413,0.470
200,51543.100,2.124,1.010,1.289,1.568,2.498,3.796,4.742,7.059,50.316,0.471
210,50720.700,2.160,0.996,1.289,1.572,2.511,3.862,4.912,7.647,44.075,0.463
220,51351.300,2.135,1.005,1.288,1.568,2.503,3.818,4.799,7.205,56.165,0.468
230,52296.700,2.088,1.000,1.284,1.551,2.415,3.667,4.656,7.251,40.562,0.479
240,51701.600,2.121,1.010,1.286,1.564,2.466,3.752,4.738,7.307,56.103,0.472
250,52210.800,2.100,1.004,1.282,1.549,2.435,3.724,4.713,7.217,38.426,0.476
260,52790.900,2.079,1.014,1.279,1.540,2.396,3.659,4.651,7.129,50.578,0.481
270,51658.900,2.125,1.011,1.283,1.557,2.475,3.799,4.809,7.370,64.437,0.471
280,51728.600,2.120,0.998,1.286,1.564,2.473,3.776,4.758,7.224,33.504,0.472
290,52470.300,2.089,0.998,1.275,1.531,2.394,3.710,4.756,7.330,56.325,0.479
300,52157.300,2.103,1.007,1.288,1.561,2.454,3.722,4.683,7.017,40.779,0.475
310,51093.600,2.153,0.998,1.279,1.553,2.478,3.866,4.974,7.904,57.647,0.465
320,52171.300,2.104,1.009,1.285,1.553,2.457,3.762,4.731,7.063,35.641,0.475
330,52065.400,2.107,1.010,1.280,1.549,2.439,3.729,4.743,7.385,56.185,0.475
340,52162.600,2.103,1.008,1.287,1.563,2.464,3.719,4.659,6.980,40.460,0.475
350,52200.300,2.103,1.007,1.286,1.556,2.437,3.731,4.706,7.095,42.981,0.476
360,52334.800,2.096,1.004,1.287,1.557,2.433,3.706,4.664,7.036,51.138,0.477
370,51751.500,2.116,0.987,1.278,1.550,2.482,3.799,4.785,7.182,48.663,0.473
380,52357.900,2.093,1.004,1.286,1.553,2.437,3.710,4.664,6.990,41.922,0.478
390,51384.500,2.133,1.006,1.279,1.556,2.468,3.813,4.854,7.582,38.586,0.469
400,52272.000,2.098,0.984,1.286,1.556,2.437,3.699,4.677,7.122,45.919,0.477
