Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44409.500,2.804,0.936,1.522,2.111,3.390,5.104,6.624,10.441,61.387,0.357
10,35873.100,3.484,0.952,1.671,2.419,3.974,6.890,9.643,16.495,181.476,0.287
20,35929.100,3.477,0.936,1.499,2.056,3.550,7.799,11.316,19.137,326.178,0.288
30,37324.600,3.348,0.944,1.389,1.844,3.330,7.867,11.202,19.032,125.553,0.299
40,40808.000,3.062,0.948,1.353,1.757,2.984,6.876,10.032,17.709,61.850,0.327
50,45030.800,2.774,0.947,1.360,1.775,2.890,5.490,8.215,14.793,91.931,0.360
60,47743.300,2.617,0.944,1.347,1.758,2.890,4.900,7.051,12.779,102.063,0.382
70,50210.700,2.489,0.946,1.342,1.728,2.818,4.569,6.333,10.916,357.247,0.402
80,52200.400,2.393,0.941,1.335,1.704,2.749,4.320,5.809,9.776,51.880,0.418
90,51970.800,2.404,0.948,1.317,1.668,2.737,4.403,5.938,10.132,96.321,0.416
100,53401.700,2.340,0.941,1.310,1.643,2.676,4.286,5.713,9.457,224.469,0.427
110,54616.000,2.288,0.943,1.310,1.631,2.639,4.123,5.435,8.982,58.335,0.437
120,54934.500,2.274,0.948,1.302,1.618,2.626,4.110,5.410,8.923,66.359,0.440
130,55129.600,2.266,0.947,1.310,1.630,2.609,4.048,5.310,8.830,68.937,0.441
140,55654.000,2.245,0.948,1.301,1.612,2.596,4.040,5.271,8.605,57.451,0.445
150,55733.800,2.242,0.945,1.291,1.598,2.596,4.053,5.281,8.621,66.302,0.446
160,56339.400,2.218,0.949,1.292,1.597,2.561,3.966,5.166,8.513,66.056,0.451
170,56687.600,2.204,0.948,1.290,1.588,2.551,3.930,5.082,8.458,130.520,0.454
180,56657.800,2.205,0.946,1.291,1.587,2.541,3.933,5.104,8.456,62.362,0.454
190,57118.700,2.188,0.947,1.282,1.565,2.509,3.917,5.111,8.443,87.594,0.457
200,57308.200,2.180,0.953,1.284,1.572,2.523,3.903,5.022,8.172,99.423,0.459
210,56319.700,2.218,0.948,1.284,1.575,2.538,3.978,5.229,8.770,55.018,0.451
