Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3117.400,1.950,0.784,1.190,1.580,2.356,3.356,4.115,5.970,32.486,0.513
10,2381.400,1.741,0.766,1.109,1.457,2.086,2.925,3.539,4.985,14.880,0.574
20,2372.500,1.457,0.768,1.005,1.253,1.675,2.291,2.762,3.886,16.336,0.686
30,2447.600,1.309,0.774,0.959,1.143,1.468,1.943,2.346,3.315,11.897,0.764
40,2705.400,1.315,0.771,0.965,1.145,1.468,1.986,2.364,3.306,14.495,0.761
50,2940.000,1.420,0.763,1.000,1.202,1.609,2.203,2.682,3.845,16.136,0.704
60,3186.300,1.559,0.776,1.041,1.280,1.791,2.556,3.143,4.470,19.275,0.641
70,3425.400,1.673,0.778,1.075,1.335,1.945,2.838,3.482,5.149,20.622,0.598
80,3551.800,1.705,0.769,1.062,1.321,1.967,2.940,3.677,5.632,23.787,0.587
90,3680.600,1.728,0.783,1.066,1.331,1.995,2.993,3.768,5.769,24.918,0.579
100,3760.000,1.710,0.781,1.065,1.320,1.958,2.953,3.716,5.869,26.745,0.585
110,3799.000,1.728,0.777,1.056,1.306,1.967,3.011,3.854,6.172,25.381,0.579
120,3721.300,1.758,0.778,1.047,1.305,2.000,3.091,4.016,6.461,27.585,0.569
130,3803.600,1.742,0.779,1.056,1.302,1.975,3.056,3.885,6.305,24.974,0.574
140,3804.400,1.754,0.770,1.053,1.305,1.993,3.133,3.971,6.417,44.009,0.570
150,3814.900,1.737,0.782,1.044,1.282,1.953,3.110,3.998,6.530,23.414,0.576
160,3848.500,1.745,0.782,1.037,1.278,1.998,3.125,4.008,6.460,38.532,0.573
170,3917.000,1.719,0.763,1.035,1.274,1.961,3.046,3.881,6.264,29.902,0.582
180,3859.400,1.746,0.778,1.048,1.297,2.002,3.116,3.944,6.293,28.962,0.573
190,3938.700,1.739,0.776,1.061,1.312,2.003,3.050,3.852,6.170,42.934,0.575
200,3971.600,1.728,0.781,1.025,1.245,1.916,3.111,4.113,6.754,23.461,0.579
210,3906.100,1.728,0.784,1.036,1.274,1.985,3.075,3.919,6.279,36.381,0.579
220,3984.300,1.721,0.782,1.039,1.270,1.940,3.054,3.943,6.286,29.340,0.581
230,4016.500,1.713,0.785,1.035,1.268,1.954,3.040,3.881,6.211,23.095,0.584
240,3988.100,1.733,0.780,1.030,1.258,1.952,3.108,4.002,6.548,57.687,0.577
250,4059.000,1.714,0.789,1.036,1.266,1.946,3.047,3.874,6.132,27.251,0.583
260,3987.900,1.722,0.767,1.041,1.281,1.949,3.072,3.904,6.150,29.946,0.581
270,4017.100,1.689,0.782,1.002,1.205,1.856,3.103,4.024,6.523,30.418,0.592
