Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,444.900,4.621,1.471,2.495,3.573,5.409,7.981,10.495,19.991,66.326,0.216
10,327.900,4.446,1.376,2.290,3.140,4.678,7.565,11.226,24.318,100.075,0.225
20,328.400,4.426,1.424,2.069,2.691,3.997,7.741,14.162,31.303,184.732,0.226
30,347.700,4.389,1.389,1.933,2.420,3.578,8.046,13.761,30.769,303.717,0.228
40,372.200,4.734,1.384,1.937,2.474,3.876,9.235,14.730,35.514,704.894,0.211
50,422.500,4.884,1.375,2.076,2.827,4.616,9.909,15.408,32.118,355.658,0.205
60,449.600,5.240,1.413,2.139,3.078,5.358,10.433,16.627,32.561,345.833,0.191
70,496.100,4.981,1.426,2.247,3.338,5.685,9.635,13.631,26.897,72.864,0.201
80,511.000,5.080,1.398,2.215,3.354,5.842,10.173,14.480,26.928,70.058,0.197
90,514.600,4.966,1.444,2.211,3.261,5.666,9.682,13.831,24.926,212.218,0.201
100,530.400,4.786,1.396,2.185,3.194,5.600,9.246,13.041,23.341,143.125,0.209
110,552.000,4.775,1.424,2.151,3.189,5.555,9.336,12.683,23.339,100.325,0.209
120,530.800,5.052,1.422,2.152,3.305,5.830,9.880,13.718,28.181,88.740,0.198
130,549.800,5.022,1.414,2.153,3.215,5.762,9.954,14.156,26.202,125.739,0.199
140,550.300,4.917,1.401,2.129,3.137,5.667,9.612,13.417,25.333,173.624,0.203
150,542.100,5.029,1.439,2.115,3.204,5.796,10.027,13.934,26.174,111.820,0.199
160,543.600,4.863,1.441,2.080,3.117,5.662,9.557,13.410,27.311,76.078,0.206
170,562.200,4.716,1.422,2.050,3.036,5.481,9.340,12.752,25.978,102.025,0.212
180,554.400,4.782,1.398,2.115,3.108,5.415,9.483,13.204,25.885,92.807,0.209
190,551.700,4.710,1.395,2.102,3.102,5.377,9.156,12.871,24.988,83.764,0.212
200,571.900,4.666,1.426,2.043,2.976,5.470,9.331,13.093,23.746,89.029,0.214
210,562.600,4.586,1.409,2.056,2.985,5.332,8.944,12.151,22.858,114.083,0.218
220,572.300,4.580,1.386,2.068,2.988,5.296,8.943,12.693,23.851,53.514,0.218
230,565.800,4.524,1.398,2.049,2.950,5.191,8.670,12.019,24.418,116.265,0.221
240,565.400,4.599,1.411,2.044,2.921,5.305,8.966,12.271,22.962,154.698,0.217
250,573.600,4.514,1.423,2.060,2.952,5.203,8.870,12.157,24.064,59.358,0.222
260,562.500,4.408,1.392,2.047,2.928,5.052,8.516,11.841,21.979,85.873,0.227
270,568.100,4.473,1.370,1.961,2.822,5.261,8.829,12.167,22.853,74.706,0.224
280,563.400,4.448,1.421,2.049,2.955,5.182,8.641,11.566,22.523,84.493,0.225
290,569.200,4.407,1.398,2.005,2.861,5.181,8.762,11.972,21.950,62.291,0.227
300,568.900,4.317,1.390,1.998,2.852,4.969,8.310,11.467,20.563,99.660,0.232
310,570.600,4.548,1.410,2.025,2.944,5.211,8.501,12.271,25.390,104.311,0.220
