Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,39621.200,2.813,0.867,1.441,2.107,3.448,5.181,6.683,11.362,74.679,0.356
10,30762.200,3.759,0.850,1.528,2.296,4.015,8.140,12.306,21.296,93.065,0.266
20,30341.100,3.849,0.831,1.345,1.909,3.719,9.860,14.140,23.583,84.460,0.260
30,31497.400,3.713,0.827,1.225,1.680,3.806,9.710,13.708,22.710,65.918,0.269
40,34257.100,3.393,0.826,1.179,1.581,3.172,8.701,12.716,21.745,59.707,0.295
50,37877.800,3.029,0.841,1.187,1.588,2.829,6.982,10.978,19.970,61.245,0.330
60,40932.800,2.762,0.836,1.206,1.641,2.856,5.417,8.739,17.256,56.679,0.362
70,44284.600,2.519,0.853,1.233,1.686,2.879,4.680,6.582,12.980,53.725,0.397
80,45514.000,2.440,0.830,1.211,1.635,2.847,4.629,6.246,11.723,51.532,0.410
90,47453.700,2.334,0.847,1.206,1.605,2.755,4.371,5.762,10.319,49.230,0.428
100,48582.500,2.273,0.839,1.195,1.568,2.667,4.254,5.650,9.864,53.437,0.440
110,48995.900,2.243,0.840,1.182,1.537,2.639,4.233,5.563,9.508,58.843,0.446
120,47957.700,2.298,0.817,1.171,1.538,2.698,4.331,5.733,10.514,72.254,0.435
130,48823.400,2.252,0.838,1.173,1.516,2.650,4.267,5.593,9.819,63.621,0.444
140,48962.900,2.246,0.831,1.168,1.512,2.634,4.301,5.627,9.566,92.069,0.445
150,49409.500,2.217,0.843,1.158,1.484,2.595,4.269,5.592,9.379,90.026,0.451
160,49664.000,2.206,0.844,1.146,1.467,2.610,4.244,5.534,9.340,77.418,0.453
170,50514.200,2.175,0.836,1.147,1.468,2.573,4.145,5.405,8.994,83.879,0.460
180,49919.000,2.199,0.826,1.160,1.497,2.602,4.177,5.454,8.968,128.961,0.455
190,50716.500,2.163,0.834,1.170,1.513,2.593,4.047,5.203,8.366,81.565,0.462
200,51159.700,2.143,0.837,1.128,1.413,2.469,4.194,5.533,9.171,83.187,0.467
210,50904.600,2.157,0.840,1.143,1.460,2.581,4.142,5.312,8.587,83.278,0.464
220,51281.500,2.137,0.837,1.140,1.439,2.502,4.119,5.360,8.624,80.577,0.468
230,51367.600,2.137,0.833,1.139,1.445,2.541,4.117,5.293,8.443,65.442,0.468
240,51186.300,2.139,0.835,1.131,1.427,2.513,4.088,5.363,8.910,68.943,0.467
250,51515.600,2.129,0.838,1.137,1.440,2.519,4.080,5.248,8.464,98.029,0.470
260,51376.900,2.138,0.828,1.142,1.452,2.524,4.086,5.273,8.516,81.899,0.468
270,51569.800,2.125,0.834,1.103,1.362,2.467,4.225,5.545,9.078,57.787,0.471
280,51426.600,2.128,0.842,1.143,1.452,2.520,4.049,5.234,8.427,73.283,0.470
290,51369.500,2.133,0.839,1.124,1.417,2.496,4.120,5.375,8.856,70.837,0.469
300,51393.000,2.134,0.839,1.129,1.432,2.507,4.066,5.323,8.983,70.339,0.468
310,51537.500,2.128,0.838,1.128,1.417,2.495,4.086,5.359,8.809,93.263,0.470
320,50859.900,2.161,0.825,1.139,1.452,2.539,4.155,5.406,8.811,113.702,0.463
330,51730.300,2.125,0.839,1.138,1.442,2.520,4.067,5.264,8.501,52.812,0.471
340,52063.700,2.103,0.834,1.141,1.439,2.481,3.980,5.153,8.368,76.444,0.475
350,51460.200,2.135,0.827,1.138,1.449,2.547,4.104,5.272,8.367,75.987,0.468
360,51222.900,2.147,0.823,1.139,1.451,2.546,4.120,5.345,8.644,72.049,0.466
370,51672.400,2.111,0.833,1.131,1.430,2.493,4.015,5.215,8.486,65.459,0.474
380,51500.500,2.130,0.822,1.130,1.431,2.506,4.092,5.328,8.634,72.162,0.469
390,51327.500,2.139,0.827,1.141,1.456,2.569,4.101,5.235,8.272,81.220,0.468
400,51528.500,2.136,0.835,1.141,1.454,2.546,4.096,5.266,8.320,61.867,0.468
410,51905.700,2.117,0.841,1.146,1.460,2.526,4.015,5.137,8.076,91.468,0.472
420,51069.600,2.152,0.826,1.121,1.408,2.500,4.203,5.543,9.227,70.351,0.465
430,51449.200,2.135,0.824,1.123,1.416,2.499,4.170,5.450,8.778,79.204,0.468
440,51355.100,2.136,0.829,1.136,1.450,2.533,4.100,5.288,8.429,55.816,0.468
450,52028.700,2.109,0.833,1.127,1.421,2.520,4.075,5.222,8.292,65.339,0.474
460,51761.700,2.121,0.825,1.132,1.423,2.485,4.091,5.329,8.563,88.464,0.471
470,52073.900,2.103,0.828,1.128,1.414,2.456,4.040,5.336,8.598,77.703,0.476
480,51243.000,2.142,0.835,1.136,1.443,2.502,4.115,5.357,8.675,80.054,0.467
490,51943.300,2.117,0.802,1.133,1.434,2.477,4.048,5.272,8.481,117.442,0.472
500,52222.200,2.102,0.836,1.124,1.420,2.505,4.063,5.231,8.200,64.920,0.476
510,52477.500,2.092,0.829,1.133,1.432,2.503,4.002,5.129,8.008,75.377,0.478
520,51920.900,2.113,0.836,1.124,1.418,2.491,4.116,5.293,8.359,95.388,0.473
530,51777.000,2.124,0.833,1.116,1.405,2.497,4.151,5.424,8.668,94.709,0.471
540,52445.400,2.092,0.837,1.127,1.424,2.498,4.003,5.156,8.135,64.800,0.478
550,52918.600,2.068,0.831,1.128,1.418,2.460,3.947,5.062,7.861,81.539,0.484
560,52772.000,2.078,0.824,1.120,1.402,2.444,3.992,5.197,8.297,82.021,0.481
570,52538.700,2.089,0.838,1.118,1.397,2.446,4.008,5.248,8.530,109.259,0.479
580,52772.700,2.079,0.829,1.119,1.400,2.450,4.000,5.165,8.285,108.666,0.481
590,52677.400,2.083,0.835,1.133,1.434,2.468,3.941,5.074,8.107,92.544,0.480
600,52268.700,2.100,0.833,1.124,1.416,2.439,4.053,5.265,8.415,104.275,0.476
610,52512.600,2.086,0.835,1.116,1.396,2.490,4.043,5.182,8.103,76.950,0.479
620,52693.300,2.074,0.831,1.118,1.407,2.458,3.968,5.130,8.167,86.788,0.482
630,52714.800,2.075,0.839,1.125,1.413,2.440,3.987,5.178,8.030,115.156,0.482
640,52800.200,2.076,0.832,1.116,1.396,2.449,3.998,5.157,8.173,89.042,0.482
650,52967.500,2.068,0.833,1.115,1.381,2.382,3.971,5.245,8.580,102.436,0.484
660,52703.300,2.080,0.834,1.125,1.416,2.471,3.987,5.130,8.048,52.811,0.481
670,52572.400,2.083,0.827,1.130,1.425,2.476,3.977,5.128,8.073,95.955,0.480
680,53087.900,2.060,0.825,1.116,1.383,2.387,3.965,5.190,8.365,103.178,0.485
690,52681.300,2.076,0.817,1.123,1.412,2.448,3.978,5.126,8.144,65.025,0.482
700,53188.300,2.061,0.836,1.113,1.381,2.399,3.999,5.195,8.341,70.574,0.485
710,53102.300,2.065,0.836,1.115,1.395,2.428,3.954,5.142,8.333,93.817,0.484
720,52414.300,2.095,0.824,1.112,1.386,2.417,4.049,5.333,8.736,176.279,0.477
730,52648.200,2.081,0.820,1.125,1.418,2.466,3.997,5.158,8.090,93.666,0.481
740,52504.700,2.092,0.833,1.125,1.415,2.460,4.017,5.213,8.311,122.517,0.478
750,52285.200,2.096,0.815,1.109,1.384,2.431,4.098,5.376,8.641,105.715,0.477
760,52550.900,2.083,0.829,1.127,1.419,2.441,3.981,5.155,8.308,84.921,0.480
770,52344.500,2.096,0.837,1.108,1.380,2.433,4.096,5.373,8.754,82.043,0.477
780,52455.000,2.091,0.839,1.117,1.390,2.398,4.061,5.357,8.677,86.147,0.478
790,52806.200,2.078,0.811,1.124,1.407,2.440,3.959,5.180,8.363,91.101,0.481
800,52483.200,2.086,0.839,1.123,1.415,2.455,4.017,5.220,8.246,97.206,0.479
810,52563.200,2.085,0.837,1.136,1.441,2.472,3.946,5.095,7.971,100.192,0.480
820,52687.100,2.077,0.833,1.134,1.424,2.451,3.969,5.108,8.023,57.016,0.481
830,52793.400,2.075,0.827,1.112,1.397,2.466,3.958,5.124,8.363,85.798,0.482
840,52239.600,2.101,0.830,1.117,1.396,2.447,4.049,5.307,8.603,150.485,0.476
850,52637.300,2.081,0.837,1.127,1.414,2.447,4.024,5.178,8.021,86.878,0.481
860,52276.800,2.097,0.836,1.110,1.388,2.462,4.086,5.303,8.468,125.797,0.477
870,52806.700,2.073,0.836,1.125,1.412,2.422,3.962,5.158,8.166,138.146,0.482
880,52731.600,2.077,0.829,1.121,1.401,2.466,3.986,5.155,8.178,127.525,0.481
890,52935.300,2.069,0.836,1.121,1.405,2.448,3.977,5.129,8.068,99.116,0.483
900,52426.000,2.091,0.831,1.113,1.388,2.478,4.039,5.267,8.504,71.584,0.478
