Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,451.100,6.886,1.062,3.364,4.841,6.916,12.189,21.725,41.431,75.411,0.145
10,439.100,6.617,1.063,3.204,4.763,6.890,12.128,19.035,41.033,76.567,0.151
20,458.800,6.680,1.120,3.414,4.787,6.739,11.431,19.188,39.894,121.732,0.150
30,459.300,6.658,1.013,3.348,4.772,6.740,12.073,19.238,40.240,81.512,0.150
40,449.700,6.752,0.939,3.351,4.743,6.796,11.893,19.632,41.908,197.076,0.148
50,455.900,6.540,1.099,3.519,4.799,6.711,11.010,17.989,39.204,96.338,0.153
60,452.400,6.616,1.201,3.476,4.736,6.559,11.683,19.820,39.259,65.161,0.151
70,461.400,6.711,1.094,3.460,4.808,6.638,11.521,19.390,42.693,181.521,0.149
80,451.600,6.640,1.076,3.442,4.788,6.666,11.531,19.514,39.857,67.471,0.151
90,438.000,6.673,1.079,3.541,4.829,6.849,11.552,19.220,40.995,73.721,0.150
100,456.000,6.784,1.093,3.497,4.844,6.736,12.281,20.857,41.205,75.270,0.147
110,463.900,6.642,1.049,3.450,4.782,6.671,11.752,19.461,39.477,133.953,0.151
120,444.100,6.641,0.960,3.454,4.814,6.749,11.874,19.920,38.985,82.555,0.151
130,463.800,6.471,1.036,3.317,4.753,6.609,10.970,18.269,39.245,184.442,0.155
140,452.300,6.769,1.134,3.457,4.869,6.810,12.050,20.049,39.746,167.312,0.148
150,456.800,6.586,1.086,3.491,4.837,6.783,11.139,18.121,42.087,94.405,0.152
160,462.300,6.634,1.010,3.351,4.847,6.827,11.934,18.014,39.436,216.556,0.151
170,455.100,6.876,1.051,3.379,4.796,6.810,12.552,22.416,41.219,163.578,0.145
180,455.600,6.705,0.980,3.397,4.806,6.625,11.515,21.137,41.365,155.344,0.149
190,443.600,6.584,0.989,3.404,4.804,6.884,11.128,18.237,40.330,83.201,0.152
200,456.000,6.587,1.122,3.424,4.703,6.691,11.326,18.517,40.650,231.389,0.152
210,462.500,6.321,0.998,3.284,4.685,6.552,11.025,17.195,38.387,76.742,0.158
220,457.300,6.640,1.041,3.234,4.701,6.720,11.733,19.857,42.805,69.640,0.151
230,448.200,6.749,1.112,3.402,4.812,6.795,11.977,19.357,40.509,253.574,0.148
240,446.100,6.661,1.010,3.369,4.770,6.807,11.550,19.863,38.843,124.960,0.150
250,449.700,6.667,1.022,3.362,4.688,6.694,11.520,20.541,40.005,94.830,0.150
260,451.600,6.666,1.073,3.361,4.761,6.726,11.855,19.121,39.774,185.109,0.150
270,444.700,6.829,1.019,3.455,4.790,6.848,11.612,21.414,43.077,87.838,0.146
280,458.900,6.672,1.025,3.369,4.753,6.693,11.612,19.237,39.930,218.081,0.150
290,454.400,6.665,1.065,3.450,4.833,6.794,11.518,18.829,40.578,78.095,0.150
300,456.300,6.719,0.955,3.445,4.732,6.712,11.987,18.980,41.325,183.827,0.149
310,441.800,6.499,0.996,3.230,4.754,6.831,11.650,17.449,40.836,85.848,0.154
320,453.500,6.535,0.976,3.457,4.788,6.672,11.360,18.163,38.701,81.563,0.153
330,469.200,6.614,1.001,3.397,4.751,6.589,11.124,18.247,40.620,287.993,0.151
340,465.600,6.372,0.906,3.223,4.663,6.571,11.473,18.202,38.302,79.633,0.157
350,457.400,6.695,1.059,3.432,4.808,6.875,11.680,18.868,40.968,172.812,0.149
360,445.400,6.695,0.921,3.452,4.841,6.856,11.920,19.289,40.020,78.166,0.149
370,458.200,6.573,1.053,3.361,4.773,6.733,11.711,18.952,40.496,72.596,0.152
380,457.000,6.557,0.989,3.338,4.729,6.725,11.475,18.416,38.107,226.952,0.152
390,453.300,6.800,0.997,3.419,4.807,6.764,11.465,19.892,41.112,210.797,0.147
400,454.500,6.668,0.996,3.400,4.789,6.770,11.418,20.070,39.680,169.114,0.150
410,461.800,6.588,1.004,3.430,4.775,6.772,11.277,17.920,41.547,89.013,0.152
