Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44677.200,2.789,0.475,1.735,2.425,3.183,4.125,5.072,12.694,158.463,0.358
10,43998.600,2.839,0.463,1.710,2.409,3.216,4.260,5.394,13.718,90.607,0.352
20,45793.800,2.729,0.449,1.753,2.396,3.102,3.981,4.839,12.402,213.229,0.366
30,45615.400,2.739,0.447,1.751,2.404,3.114,4.003,4.871,12.571,81.512,0.365
40,45673.700,2.736,0.462,1.753,2.401,3.106,3.993,4.860,12.457,206.625,0.366
50,45723.000,2.733,0.471,1.786,2.424,3.104,3.944,4.770,12.145,209.861,0.366
60,45476.400,2.748,0.483,1.795,2.433,3.095,3.937,4.785,12.522,175.935,0.364
70,45058.500,2.773,0.459,1.773,2.443,3.139,4.003,4.897,12.619,181.521,0.361
80,45611.800,2.739,0.491,1.764,2.417,3.101,3.954,4.800,12.343,211.766,0.365
90,45503.400,2.746,0.494,1.803,2.424,3.099,3.953,4.794,12.392,73.721,0.364
100,45510.900,2.746,0.494,1.763,2.420,3.107,3.966,4.852,12.508,75.270,0.364
110,45676.400,2.736,0.486,1.795,2.425,3.088,3.910,4.739,12.355,133.953,0.366
120,45422.700,2.748,0.472,1.743,2.405,3.119,4.010,4.889,12.761,100.684,0.364
130,45407.300,2.752,0.492,1.709,2.398,3.152,4.059,4.957,12.737,209.653,0.363
140,45547.000,2.743,0.485,1.757,2.423,3.126,3.983,4.810,12.351,167.312,0.365
150,45292.800,2.759,0.468,1.765,2.426,3.134,4.006,4.866,12.461,211.437,0.362
160,45326.600,2.756,0.495,1.739,2.410,3.144,4.049,4.953,12.508,225.357,0.363
170,45643.900,2.738,0.476,1.749,2.399,3.102,3.967,4.843,12.599,211.071,0.365
180,45546.200,2.743,0.480,1.767,2.406,3.105,3.979,4.853,12.666,207.015,0.365
190,45561.300,2.742,0.463,1.728,2.396,3.120,4.044,4.955,12.484,205.914,0.365
