Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,43898,43898.000,513,1612,2347,2787,3270,4467,5716,12113,58229
1,43536,43536.000,522,1814,2477,2864,3192,4079,4972,14938,60051
2,44491,44491.000,493,1799,2472,2804,3194,4074,4976,12469,54980
3,45008,45008.000,542,1753,2423,2772,3157,4074,4960,12822,50198
4,44759,44759.000,490,1770,2483,2792,3221,4087,4925,12465,51846
5,44979,44979.000,475,1668,2382,2775,3180,4135,5015,12557,81362
6,45202,45202.000,566,1850,2452,2761,3125,3990,4812,11927,54277
7,45571,45571.000,573,1818,2417,2743,3085,3944,4857,12455,64739
8,45190,45190.000,516,1613,2366,2763,3174,4182,5119,13550,72117
9,44138,44138.000,562,1656,2412,2832,3255,4252,5296,13046,158463
10,40917,40917.000,463,1581,2346,3049,3465,4996,7085,16036,90607
11,40725,40725.000,539,1647,2454,3069,3551,4912,6703,15137,74028
12,41573,41573.000,550,1649,2432,3007,3374,4662,6257,15994,63915
13,44244,44244.000,509,1715,2401,2830,3157,4172,5170,14287,80905
14,44626,44626.000,557,1691,2439,2789,3297,4232,5098,11597,76567
15,45178,45178.000,507,1707,2408,2765,3161,4105,4998,12402,64265
16,45535,45535.000,510,1781,2401,2742,3090,4002,4899,12288,59396
17,45646,45646.000,549,1748,2404,2738,3088,3976,4875,12865,56748
18,45849,45849.000,499,1785,2410,2728,3097,3920,4750,12504,69802
19,45693,45693.000,543,1771,2408,2729,3109,3962,4821,12622,48135
20,45603,45603.000,511,1736,2421,2741,3156,4041,4902,11421,115716
21,45597,45597.000,568,1755,2394,2741,3107,4024,4890,12269,50859
22,46055,46055.000,493,1772,2387,2710,3079,3943,4762,12279,50186
23,46228,46228.000,512,1738,2377,2701,3075,3974,4827,12195,57985
24,45822,45822.000,550,1738,2375,2727,3086,3963,4807,13262,211513
25,45897,45897.000,529,1723,2401,2721,3131,4029,4860,11940,65753
26,45093,45093.000,478,1769,2410,2772,3124,4038,5016,13030,213229
27,46059,46059.000,509,1742,2376,2711,3070,3973,4869,12583,47607
28,45700,45700.000,449,1739,2390,2734,3075,3932,4825,13679,121732
29,45884,45884.000,546,1819,2435,2725,3109,3893,4669,11406,89141
30,45781,45781.000,474,1717,2389,2726,3126,4066,4877,12211,58372
31,45188,45188.000,504,1769,2405,2766,3118,4014,5037,13118,58302
32,45746,45746.000,447,1775,2408,2734,3106,4015,4914,11796,74268
33,45402,45402.000,547,1744,2422,2748,3144,4034,4884,12570,49468
34,45855,45855.000,546,1725,2394,2727,3107,3951,4811,12798,59354
