Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,40901.100,2.642,0.510,1.651,2.361,3.250,4.139,4.867,7.619,61.840,0.379
10,41011.800,2.653,0.545,1.669,2.388,3.257,4.100,4.779,7.608,65.220,0.377
20,41287.400,2.631,0.528,1.672,2.384,3.232,4.051,4.710,7.243,52.581,0.380
30,40903.700,2.657,0.548,1.677,2.404,3.261,4.082,4.742,7.480,52.749,0.376
40,40613.100,2.680,0.536,1.679,2.416,3.290,4.123,4.799,7.668,84.888,0.373
50,40873.200,2.663,0.490,1.698,2.411,3.247,4.062,4.709,7.384,55.490,0.376
60,40552.800,2.681,0.560,1.695,2.401,3.301,4.175,4.829,7.459,218.833,0.373
70,40798.100,2.667,0.531,1.698,2.399,3.247,4.080,4.760,7.628,57.399,0.375
80,40666.500,2.680,0.554,1.696,2.407,3.266,4.116,4.783,7.510,56.996,0.373
90,40700.200,2.679,0.536,1.723,2.434,3.261,4.072,4.708,7.361,75.186,0.373
100,40571.200,2.688,0.489,1.705,2.430,3.279,4.093,4.752,7.577,76.800,0.372
110,40399.300,2.697,0.561,1.695,2.395,3.282,4.166,4.899,8.171,54.887,0.371
120,40648.700,2.676,0.544,1.702,2.410,3.283,4.118,4.788,7.483,63.938,0.374
130,40281.500,2.697,0.538,1.679,2.418,3.308,4.166,4.846,7.714,80.735,0.371
140,40734.900,2.663,0.543,1.695,2.400,3.254,4.097,4.752,7.425,55.173,0.375
150,40851.600,2.670,0.514,1.709,2.415,3.232,4.049,4.711,7.656,54.419,0.375
160,40957.300,2.664,0.533,1.673,2.401,3.271,4.114,4.792,7.510,61.246,0.375
170,40725.100,2.676,0.540,1.723,2.411,3.250,4.071,4.736,7.688,63.933,0.374
180,40705.000,2.672,0.526,1.727,2.411,3.243,4.046,4.706,7.558,65.715,0.374
190,41103.600,2.656,0.541,1.665,2.395,3.258,4.092,4.754,7.506,52.875,0.377
200,40939.400,2.661,0.541,1.697,2.410,3.251,4.075,4.724,7.391,53.590,0.376
210,40707.000,2.674,0.538,1.705,2.411,3.229,4.059,4.730,7.824,61.244,0.374
220,40728.400,2.671,0.515,1.715,2.410,3.234,4.057,4.720,7.555,68.046,0.374
230,40980.900,2.658,0.546,1.703,2.396,3.233,4.080,4.745,7.432,210.153,0.376
240,40739.200,2.671,0.540,1.692,2.400,3.261,4.098,4.771,7.554,55.882,0.374
250,40599.400,2.685,0.557,1.712,2.435,3.266,4.076,4.730,7.441,58.424,0.372
260,40806.200,2.668,0.529,1.718,2.421,3.249,4.061,4.713,7.406,57.776,0.375
270,40763.000,2.676,0.531,1.706,2.412,3.248,4.062,4.724,7.598,54.877,0.374
280,40701.000,2.679,0.535,1.704,2.411,3.254,4.080,4.747,7.710,87.941,0.373
290,40324.000,2.699,0.534,1.621,2.367,3.332,4.289,5.064,8.505,71.723,0.370
300,40839.700,2.667,0.532,1.663,2.399,3.260,4.133,4.816,7.642,64.356,0.375
310,40628.700,2.680,0.540,1.707,2.408,3.264,4.102,4.769,7.667,61.486,0.373
320,40697.400,2.682,0.548,1.688,2.402,3.267,4.134,4.819,7.805,61.422,0.373
