Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,459.500,14.648,5.920,10.168,12.408,16.152,22.499,29.312,47.905,83.330,0.068
10,456.900,13.707,6.155,10.153,12.162,15.339,20.271,25.030,35.754,54.925,0.073
20,456.100,14.137,5.801,10.140,12.313,15.791,21.573,26.947,40.233,63.683,0.071
30,462.700,14.004,6.376,10.382,12.482,15.515,20.828,25.896,35.843,68.295,0.071
40,458.000,13.672,6.315,10.163,12.138,15.164,20.406,24.932,34.140,63.465,0.073
50,455.900,13.759,6.007,10.121,12.086,15.215,20.848,26.252,37.566,64.712,0.073
60,457.100,13.953,6.096,10.256,12.236,15.302,21.022,26.243,37.776,66.996,0.072
70,457.400,13.827,6.018,10.115,12.082,15.066,20.281,26.216,40.856,77.036,0.072
80,459.000,13.548,6.233,9.899,11.806,14.855,20.915,26.089,36.636,60.638,0.074
90,445.100,13.846,5.729,10.005,12.040,15.143,21.213,26.667,40.618,56.383,0.072
100,455.300,13.378,6.000,9.965,11.880,14.669,19.808,24.847,34.881,67.342,0.075
110,444.700,13.696,5.940,10.058,12.134,15.138,20.385,25.339,37.866,70.055,0.073
120,457.300,13.755,6.393,10.076,12.136,15.071,20.424,26.288,37.418,72.087,0.073
130,451.700,14.193,6.132,10.285,12.300,15.559,21.685,26.932,42.645,63.294,0.070
140,469.500,13.882,6.248,10.121,12.212,15.231,20.340,25.323,40.003,90.056,0.072
150,442.700,13.730,6.188,10.128,12.062,15.139,20.815,25.201,37.029,221.223,0.073
160,452.600,13.422,6.324,10.093,11.999,14.769,19.573,23.996,35.732,56.782,0.075
170,447.500,13.667,6.186,10.043,12.092,15.173,20.561,25.722,36.296,59.729,0.073
180,452.200,13.564,6.090,10.017,11.972,14.828,20.354,25.946,37.775,55.358,0.074
190,443.500,13.509,5.968,10.059,12.053,14.828,19.907,25.713,35.273,58.240,0.074
200,461.300,13.456,6.222,9.874,11.822,14.807,20.536,25.089,37.858,73.085,0.074
210,447.600,13.879,5.717,10.088,12.080,15.095,21.891,27.128,39.696,63.822,0.072
220,442.800,14.039,6.032,9.945,11.968,15.083,21.317,27.758,46.334,91.936,0.071
230,462.200,13.369,6.210,9.957,11.944,14.588,19.929,24.200,34.956,63.354,0.075
240,451.000,13.891,6.103,10.159,12.215,15.370,21.253,26.659,36.295,66.316,0.072
250,450.300,13.542,6.337,9.971,11.916,14.713,20.717,25.590,36.536,62.135,0.074
260,452.900,13.772,6.069,10.116,12.038,14.940,21.035,25.871,38.788,72.481,0.073
270,447.800,13.499,5.902,10.017,11.976,14.714,20.168,25.530,35.776,58.649,0.074
280,455.400,13.622,6.073,10.010,12.029,15.463,20.853,24.382,34.257,59.858,0.073
290,439.500,14.207,5.773,9.978,12.080,15.366,21.988,27.960,42.792,106.065,0.070
300,462.800,13.394,5.952,9.937,11.870,14.693,19.728,25.022,37.129,58.211,0.075
310,446.300,13.743,6.297,10.027,12.061,15.076,21.028,26.007,37.487,64.326,0.073
320,450.200,13.450,6.239,9.979,11.911,14.753,19.913,25.025,36.086,58.640,0.074
330,460.700,14.357,6.534,10.584,12.718,15.673,21.892,27.118,38.393,68.265,0.070
340,462.700,13.690,6.184,10.111,12.198,15.150,20.292,25.272,35.615,59.343,0.073
350,447.500,13.268,6.278,10.024,11.878,14.458,19.609,24.223,34.175,53.468,0.075
360,452.100,13.272,6.248,10.053,12.007,14.620,19.341,23.827,32.829,70.766,0.075
370,457.300,13.690,6.265,9.958,11.846,14.587,20.625,26.534,41.482,82.388,0.073
380,446.900,13.533,6.156,9.926,11.739,14.576,20.761,27.097,39.151,59.048,0.074
390,457.900,13.999,6.131,10.196,12.165,15.141,21.699,27.600,39.886,70.272,0.071
400,453.600,13.268,6.330,9.948,11.819,14.420,19.429,24.062,36.766,52.850,0.075
410,449.200,13.618,6.109,10.070,11.969,15.021,20.656,25.654,34.729,62.039,0.073
420,442.800,13.390,6.239,10.011,12.006,14.612,19.604,24.579,36.869,65.905,0.075
430,456.500,13.360,6.109,10.016,11.953,14.630,19.295,23.994,34.879,106.073,0.075
440,442.600,14.066,6.448,10.141,12.158,15.234,20.826,26.137,44.127,108.748,0.071
450,462.000,13.506,6.021,10.043,12.047,14.786,20.249,25.530,35.660,74.846,0.074
460,444.000,13.506,5.884,10.060,12.010,14.845,20.279,24.853,34.842,63.858,0.074
470,443.700,13.615,5.992,9.983,11.893,15.059,20.462,26.269,38.023,67.922,0.073
480,460.300,14.059,6.412,10.200,12.321,15.290,21.800,27.455,38.043,64.444,0.071
490,455.600,13.544,6.459,10.252,12.174,14.723,19.496,24.629,35.466,62.830,0.074
500,446.200,13.286,6.054,9.973,11.712,14.476,19.223,24.836,36.220,55.754,0.075
510,445.000,13.704,6.171,10.089,12.072,15.263,20.159,24.942,39.644,79.563,0.073
520,469.900,13.956,6.091,10.204,12.292,15.430,21.602,26.575,37.256,65.800,0.072
530,448.700,13.980,6.322,10.334,12.489,15.343,20.895,26.226,36.330,60.418,0.072
540,459.300,13.696,5.962,10.081,12.135,15.144,20.597,25.956,35.456,61.688,0.073
550,446.500,14.054,6.079,10.363,12.491,15.641,21.157,25.800,37.703,57.965,0.071
