Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,468.500,1.852,0.615,1.207,1.689,2.176,2.779,3.273,5.215,40.652,0.540
10,455.700,1.809,0.598,1.205,1.694,2.187,2.747,3.223,4.650,31.306,0.553
20,458.200,1.813,0.612,1.217,1.680,2.204,2.757,3.176,4.502,28.170,0.552
30,464.500,1.808,0.586,1.192,1.674,2.200,2.758,3.198,4.476,36.761,0.553
40,475.100,1.803,0.587,1.198,1.675,2.193,2.750,3.161,4.586,28.617,0.555
50,464.500,1.813,0.610,1.199,1.660,2.208,2.761,3.208,4.404,32.882,0.552
60,459.600,1.832,0.575,1.218,1.696,2.210,2.765,3.187,4.836,20.836,0.546
70,466.600,1.816,0.619,1.215,1.678,2.183,2.742,3.177,4.581,24.376,0.551
80,462.300,1.779,0.617,1.202,1.675,2.163,2.660,3.058,4.063,28.331,0.562
90,465.900,1.881,0.619,1.249,1.721,2.235,2.803,3.232,4.959,36.600,0.532
100,453.100,1.838,0.589,1.224,1.694,2.215,2.769,3.171,4.458,40.029,0.544
110,444.100,1.817,0.565,1.171,1.665,2.184,2.785,3.267,4.820,33.414,0.550
120,459.000,1.870,0.633,1.234,1.686,2.197,2.783,3.217,5.347,33.450,0.535
130,456.900,1.857,0.581,1.245,1.711,2.228,2.782,3.238,4.902,39.483,0.539
140,465.300,1.843,0.616,1.200,1.689,2.212,2.777,3.203,5.218,32.727,0.543
150,476.600,1.851,0.592,1.213,1.695,2.206,2.764,3.190,4.632,34.892,0.540
160,463.100,1.851,0.575,1.237,1.695,2.201,2.776,3.197,4.861,27.984,0.540
170,462.000,1.854,0.598,1.206,1.678,2.197,2.761,3.192,4.980,41.391,0.539
180,460.400,1.840,0.618,1.238,1.700,2.189,2.757,3.159,4.692,36.021,0.544
190,465.800,1.841,0.557,1.199,1.697,2.237,2.814,3.276,4.784,30.488,0.543
200,453.300,1.830,0.622,1.184,1.665,2.212,2.780,3.262,4.747,38.901,0.547
210,457.700,1.805,0.590,1.184,1.665,2.177,2.753,3.170,4.776,36.235,0.554
220,454.900,1.825,0.558,1.200,1.665,2.199,2.790,3.254,4.689,40.291,0.548
230,459.000,1.833,0.603,1.191,1.672,2.196,2.830,3.301,5.362,24.063,0.546
240,463.000,1.808,0.564,1.195,1.655,2.193,2.801,3.222,4.804,26.224,0.553
250,460.400,1.859,0.602,1.208,1.693,2.215,2.798,3.259,5.267,32.545,0.538
260,443.700,1.849,0.592,1.190,1.664,2.221,2.860,3.276,5.143,29.633,0.541
270,453.400,1.856,0.579,1.218,1.697,2.209,2.765,3.239,4.683,36.429,0.539
280,463.800,1.813,0.598,1.184,1.666,2.188,2.769,3.206,4.449,34.911,0.552
290,457.800,1.848,0.634,1.224,1.695,2.193,2.772,3.192,4.908,56.161,0.541
300,454.100,1.840,0.582,1.208,1.682,2.208,2.809,3.223,4.793,39.228,0.544
310,453.300,1.801,0.567,1.191,1.670,2.200,2.764,3.210,4.731,24.591,0.555
320,459.000,1.834,0.611,1.181,1.660,2.185,2.804,3.247,4.880,40.088,0.545
330,465.200,1.826,0.594,1.215,1.681,2.191,2.740,3.155,4.447,36.265,0.548
340,463.300,1.827,0.576,1.194,1.668,2.209,2.801,3.272,4.949,25.627,0.547
350,466.900,1.869,0.609,1.230,1.682,2.237,2.849,3.342,5.024,35.442,0.535
360,450.500,1.833,0.597,1.180,1.681,2.216,2.771,3.235,5.263,37.777,0.546
370,461.000,1.824,0.588,1.231,1.689,2.185,2.759,3.195,4.834,25.458,0.548
380,454.700,1.820,0.586,1.211,1.665,2.227,2.820,3.218,4.571,34.942,0.549
390,459.400,1.862,0.610,1.201,1.686,2.238,2.805,3.281,4.900,35.382,0.537
400,458.800,1.878,0.596,1.225,1.695,2.231,2.838,3.369,5.286,36.399,0.532
410,468.800,1.827,0.612,1.216,1.690,2.219,2.823,3.290,4.679,13.611,0.547
420,465.400,1.824,0.617,1.221,1.674,2.213,2.764,3.191,4.603,25.035,0.548
430,470.700,1.841,0.602,1.233,1.689,2.176,2.751,3.190,5.146,29.525,0.543
440,456.000,1.831,0.583,1.219,1.690,2.231,2.841,3.235,4.890,24.874,0.546
450,461.700,1.839,0.607,1.198,1.694,2.210,2.784,3.203,4.497,34.498,0.544
460,473.300,1.811,0.589,1.182,1.661,2.183,2.734,3.142,4.780,34.969,0.552
