Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,32903.700,3.334,2.577,3.054,3.262,3.511,3.713,3.841,4.225,90.598,0.300
10,33782.700,3.247,2.563,2.995,3.180,3.414,3.620,3.708,3.948,68.147,0.308
20,34154.500,3.217,2.545,2.979,3.164,3.397,3.605,3.692,3.958,31.832,0.311
30,34443.300,3.187,2.559,2.969,3.148,3.371,3.583,3.661,3.898,21.763,0.314
40,34219.700,3.208,2.556,2.975,3.159,3.381,3.590,3.675,3.937,31.134,0.312
50,34430.100,3.191,2.556,2.972,3.153,3.375,3.587,3.666,3.896,26.426,0.313
60,34425.400,3.188,2.565,2.966,3.146,3.372,3.582,3.658,3.880,27.790,0.314
70,34513.500,3.177,2.552,2.962,3.144,3.361,3.577,3.650,3.860,25.689,0.315
80,34353.000,3.195,2.557,2.967,3.150,3.381,3.586,3.665,3.892,27.831,0.313
90,34478.400,3.182,2.552,2.959,3.142,3.362,3.576,3.649,3.864,26.454,0.314
100,34466.300,3.185,2.560,2.969,3.145,3.375,3.578,3.655,3.883,28.056,0.314
110,34486.600,3.183,2.553,2.957,3.140,3.361,3.578,3.656,3.877,26.965,0.314
120,34504.200,3.180,2.550,2.957,3.136,3.357,3.576,3.652,3.869,28.062,0.314
130,34614.400,3.175,2.540,2.960,3.138,3.358,3.578,3.650,3.865,26.499,0.315
140,34507.200,3.183,2.548,2.959,3.140,3.365,3.582,3.661,3.883,26.088,0.314
150,34450.400,3.170,2.556,2.959,3.134,3.348,3.570,3.642,3.860,26.986,0.316
160,34059.500,3.221,2.568,2.986,3.168,3.399,3.609,3.695,3.976,26.747,0.310
170,34223.300,3.208,2.564,2.976,3.159,3.385,3.604,3.688,3.922,32.401,0.312
180,34289.900,3.202,2.547,2.974,3.158,3.382,3.599,3.682,3.937,213.881,0.312
190,34233.900,3.202,2.547,2.976,3.155,3.381,3.590,3.672,3.898,29.543,0.312
200,34087.700,3.217,2.546,2.983,3.167,3.404,3.606,3.695,3.946,212.865,0.311
210,34077.000,3.213,2.568,2.989,3.170,3.400,3.605,3.688,3.942,215.121,0.311
220,34100.500,3.217,2.563,2.989,3.171,3.404,3.611,3.696,3.930,26.733,0.311
230,34097.100,3.213,2.567,2.990,3.172,3.412,3.614,3.699,3.937,26.059,0.311
240,34040.300,3.219,2.563,2.989,3.174,3.408,3.609,3.694,3.935,209.418,0.311
250,33945.000,3.228,2.554,2.994,3.178,3.411,3.619,3.705,3.955,29.381,0.310
260,34065.500,3.218,2.535,2.989,3.174,3.412,3.614,3.709,3.955,25.807,0.311
270,34124.200,3.219,2.554,2.986,3.172,3.400,3.609,3.703,3.955,27.616,0.311
