Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,36557.400,3.416,2.501,3.048,3.260,3.520,3.744,3.943,8.621,90.598,0.293
10,37546.200,3.325,2.493,2.990,3.180,3.428,3.642,3.774,8.229,73.202,0.301
20,37945.100,3.293,2.479,2.975,3.164,3.413,3.627,3.760,8.132,35.981,0.304
30,38278.000,3.264,2.482,2.965,3.148,3.388,3.604,3.722,8.048,29.352,0.306
40,38014.600,3.287,2.488,2.971,3.159,3.395,3.611,3.740,8.169,36.343,0.304
50,38217.900,3.269,2.485,2.968,3.153,3.392,3.607,3.726,8.085,31.202,0.306
60,38266.200,3.265,2.481,2.962,3.145,3.390,3.600,3.715,8.062,32.578,0.306
70,38364.000,3.257,2.485,2.958,3.144,3.377,3.597,3.703,8.069,29.268,0.307
80,38188.700,3.272,2.470,2.963,3.150,3.396,3.605,3.726,8.034,32.566,0.306
90,38327.800,3.260,2.483,2.955,3.142,3.377,3.595,3.700,7.999,31.494,0.307
100,38301.000,3.262,2.480,2.965,3.144,3.391,3.598,3.715,7.785,30.505,0.307
110,38310.800,3.262,2.479,2.953,3.140,3.379,3.598,3.714,8.084,33.010,0.307
120,38378.400,3.256,2.479,2.953,3.136,3.373,3.596,3.706,7.977,31.969,0.307
130,38458.600,3.249,2.482,2.956,3.138,3.375,3.597,3.704,7.599,32.367,0.308
140,38329.700,3.260,2.482,2.954,3.140,3.382,3.603,3.720,7.985,32.895,0.307
150,38240.600,3.268,2.483,2.954,3.134,3.364,3.588,3.692,7.628,119.210,0.306
160,37829.000,3.303,2.481,2.982,3.168,3.414,3.630,3.765,8.367,49.196,0.303
170,38013.400,3.287,2.485,2.973,3.160,3.402,3.626,3.751,8.149,39.934,0.304
180,38106.100,3.279,2.473,2.971,3.159,3.400,3.621,3.749,7.897,213.881,0.305
190,38079.200,3.281,2.495,2.972,3.155,3.397,3.612,3.734,8.197,33.147,0.305
200,37891.000,3.298,2.485,2.980,3.167,3.418,3.629,3.764,8.207,212.865,0.303
210,37867.600,3.300,2.497,2.985,3.170,3.417,3.627,3.755,8.442,215.121,0.303
220,37881.000,3.299,2.490,2.985,3.171,3.419,3.632,3.759,8.342,31.694,0.303
230,37930.600,3.294,2.491,2.986,3.172,3.427,3.634,3.763,8.117,30.499,0.304
240,37822.400,3.304,2.494,2.985,3.174,3.422,3.631,3.759,8.529,209.418,0.303
250,37742.600,3.311,2.498,2.990,3.178,3.426,3.641,3.771,8.449,35.098,0.302
260,37861.500,3.300,2.491,2.985,3.174,3.425,3.637,3.782,8.383,30.334,0.303
270,37882.700,3.299,2.490,2.983,3.171,3.415,3.633,3.772,8.192,33.633,0.303
280,37889.300,3.298,2.483,2.983,3.172,3.417,3.632,3.764,8.389,31.811,0.303
290,37874.100,3.299,2.484,2.980,3.173,3.413,3.632,3.764,8.358,33.891,0.303
300,37833.000,3.303,2.491,2.981,3.170,3.411,3.632,3.766,8.588,37.038,0.303
310,37881.000,3.299,2.483,2.988,3.177,3.417,3.639,3.779,8.273,31.000,0.303
320,37567.600,3.326,2.471,2.998,3.194,3.441,3.651,3.796,8.451,110.202,0.301
330,37714.700,3.313,2.491,2.991,3.189,3.435,3.653,3.797,8.142,101.625,0.302
340,37615.400,3.322,2.493,2.995,3.193,3.435,3.654,3.799,8.382,35.401,0.301
350,37579.800,3.325,2.488,2.993,3.188,3.435,3.656,3.800,8.486,51.019,0.301
360,37808.800,3.305,2.491,2.986,3.179,3.423,3.640,3.779,8.347,41.044,0.303
370,37650.300,3.319,2.492,2.994,3.187,3.432,3.649,3.797,8.145,43.220,0.301
380,37668.600,3.317,2.484,2.993,3.189,3.443,3.653,3.812,8.248,50.810,0.301
390,37658.200,3.318,2.492,2.991,3.185,3.430,3.648,3.800,8.558,37.821,0.301
400,37589.800,3.324,2.492,2.992,3.188,3.436,3.653,3.801,8.531,40.563,0.301
410,37925.700,3.295,2.480,2.983,3.173,3.423,3.633,3.764,8.281,32.413,0.304
420,37723.800,3.312,2.473,2.990,3.183,3.432,3.640,3.784,8.221,36.260,0.302
430,37891.200,3.298,2.488,2.986,3.176,3.422,3.628,3.764,8.188,40.276,0.303
440,37781.200,3.307,2.489,2.985,3.176,3.428,3.635,3.773,8.381,36.098,0.302
450,37761.800,3.309,2.491,2.982,3.170,3.411,3.630,3.766,8.790,40.175,0.302
460,36363.300,3.436,2.492,3.009,3.215,3.480,3.716,4.034,10.468,68.324,0.291
470,37765.700,3.309,2.491,2.991,3.178,3.430,3.637,3.775,8.292,35.855,0.302
480,37832.200,3.303,2.486,2.989,3.179,3.430,3.637,3.773,8.163,36.684,0.303
490,37639.600,3.320,2.490,2.999,3.191,3.435,3.642,3.779,8.392,34.851,0.301
500,37632.000,3.320,2.494,3.000,3.191,3.438,3.647,3.791,8.268,35.369,0.301
510,37795.800,3.306,2.489,2.993,3.181,3.426,3.632,3.762,8.317,34.767,0.302
520,37793.300,3.306,2.489,2.992,3.178,3.421,3.628,3.754,8.451,28.557,0.302
530,37879.400,3.299,2.485,2.987,3.175,3.425,3.627,3.753,8.365,31.019,0.303
540,37711.800,3.313,2.490,2.992,3.184,3.427,3.645,3.793,8.393,41.167,0.302
550,37809.600,3.305,2.488,2.985,3.174,3.416,3.633,3.772,8.485,32.498,0.303
560,37683.800,3.316,2.476,2.997,3.186,3.434,3.645,3.788,8.378,209.072,0.302
570,37768.400,3.309,2.490,2.990,3.177,3.421,3.630,3.762,8.548,36.834,0.302
580,37845.000,3.302,2.484,2.987,3.173,3.421,3.633,3.770,8.364,36.533,0.303
590,37727.300,3.312,2.495,2.994,3.179,3.429,3.641,3.780,8.406,34.933,0.302
600,37674.700,3.317,2.485,2.996,3.181,3.429,3.641,3.790,8.569,31.591,0.301
610,37920.700,3.295,2.482,2.984,3.173,3.414,3.627,3.760,8.289,210.938,0.303
620,37696.100,3.315,2.487,2.990,3.184,3.434,3.642,3.782,8.431,30.693,0.302
630,37688.200,3.315,2.492,2.983,3.174,3.421,3.632,3.763,8.623,45.806,0.302
640,37973.900,3.291,2.490,2.979,3.172,3.415,3.623,3.739,8.153,33.200,0.304
650,37750.700,3.310,2.491,2.994,3.181,3.434,3.640,3.773,8.305,33.922,0.302
660,37890.900,3.298,2.484,2.985,3.173,3.422,3.633,3.756,8.305,39.748,0.303
670,37650.200,3.319,2.493,2.996,3.187,3.431,3.647,3.796,8.495,229.372,0.301
