Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,35968,35968.000,2518,3089,3321,3468,3612,3880,4152,8824,16959
1,36593,36593.000,2521,3072,3284,3413,3553,3801,4025,8052,18239
2,37103,37103.000,2520,3027,3241,3365,3495,3713,3889,8747,18379
3,36555,36555.000,2501,3070,3288,3414,3546,3772,3994,8055,20606
4,36847,36847.000,2519,3062,3275,3389,3528,3733,3889,8236,18968
5,36936,36936.000,2520,3058,3276,3381,3520,3729,3892,7044,17389
6,33943,33943.000,2521,3042,3253,3683,3503,3720,3888,9438,90598
7,36863,36863.000,2517,3021,3225,3384,3488,3712,3915,9295,19584
8,37253,37253.000,2515,3031,3234,3353,3494,3716,3873,7966,19529
9,37513,37513.000,2513,3014,3209,3327,3470,3681,3839,8016,15925
10,37550,37550.000,2520,3013,3214,3326,3468,3686,3835,7962,14900
11,37566,37566.000,2515,3012,3213,3324,3458,3681,3816,8038,15268
12,35465,35465.000,2507,2991,3183,3521,3434,3649,3790,9266,73202
13,38137,38137.000,2495,2983,3170,3275,3415,3626,3749,7474,14989
14,38074,38074.000,2493,2980,3171,3281,3417,3628,3761,7872,14179
15,38047,38047.000,2507,2986,3175,3282,3419,3633,3751,7898,14328
16,37162,37162.000,2505,2994,3174,3418,3425,3643,3788,9524,44437
17,37370,37370.000,2501,2990,3171,3284,3417,3630,3757,7882,15211
18,37901,37901.000,2503,2984,3169,3280,3414,3622,3744,7973,18473
19,38190,38190.000,2509,2977,3162,3271,3405,3624,3740,7824,12818
20,38149,38149.000,2483,2974,3161,3274,3423,3635,3761,7882,14434
21,37873,37873.000,2500,2975,3171,3298,3427,3649,3802,8698,13883
22,37944,37944.000,2510,2992,3189,3291,3433,3660,3813,6751,14112
23,36977,36977.000,2504,2989,3173,3380,3434,3647,3796,9304,34278
24,38235,38235.000,2485,2972,3159,3266,3409,3617,3743,6259,14731
25,38259,38259.000,2507,2973,3164,3265,3411,3619,3742,6364,14733
26,38240,38240.000,2508,2975,3169,3266,3407,3615,3724,6192,14028
27,38144,38144.000,2487,2976,3165,3275,3410,3628,3761,7781,13397
28,38330,38330.000,2479,2964,3148,3260,3383,3610,3744,7733,15866
29,37300,37300.000,2504,2964,3149,3349,3378,3602,3710,9204,35981
30,38234,38234.000,2505,2973,3162,3268,3396,3614,3726,6780,16379
31,38347,38347.000,2494,2969,3149,3258,3384,3607,3719,7594,14047
32,38423,38423.000,2499,2962,3142,3252,3372,3596,3707,7996,14496
33,38383,38383.000,2491,2962,3144,3253,3385,3594,3700,7905,29352
34,38394,38394.000,2493,2967,3148,3254,3387,3594,3703,7994,12953
35,38361,38361.000,2497,2975,3155,3258,3393,3603,3715,7358,14325
36,37686,37686.000,2495,2965,3150,3314,3388,3612,3744,8897,28405
37,38211,38211.000,2482,2959,3141,3269,3391,3602,3733,8675,24982
38,38463,38463.000,2498,2957,3141,3248,3393,3607,3735,6926,13421
39,38278,38278.000,2503,2966,3150,3263,3389,3608,3738,7901,15710
40,38345,38345.000,2492,2971,3150,3258,3386,3607,3734,7194,15325
41,38136,38136.000,2513,2973,3171,3276,3410,3615,3747,7546,15740
42,37245,37245.000,2494,2965,3159,3355,3395,3612,3757,9214,36343
43,38321,38321.000,2489,2962,3153,3260,3380,3601,3709,6379,21583
44,38364,38364.000,2494,2964,3155,3256,3382,3600,3709,7518,17448
45,38182,38182.000,2491,2979,3165,3272,3399,3617,3739,6913,13849
46,38194,38194.000,2488,2978,3161,3270,3401,3618,3758,7323,13976
47,38089,38089.000,2501,2977,3169,3282,3408,3623,3775,8019,15469
48,37160,37160.000,2492,2975,3161,3360,3408,3622,3759,9168,33367
49,38110,38110.000,2501,2968,3148,3279,3387,3600,3722,8772,18259
50,38303,38303.000,2485,2968,3152,3261,3390,3609,3720,7851,13790
51,37969,37969.000,2526,2978,3164,3291,3407,3620,3745,8633,14192
52,38371,38371.000,2492,2966,3145,3256,3385,3600,3726,7861,15954
53,38469,38469.000,2501,2962,3143,3248,3372,3596,3713,7670,13427
54,38538,38538.000,2493,2960,3143,3241,3381,3594,3705,5973,13138
