Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,29977,29977.000,2519,3498,3852,4167,4332,5217,6110,11261,24149
1,32968,32968.000,2543,3302,3590,3786,3920,4355,4890,10259,38770
2,33565,33565.000,2529,3268,3543,3720,3852,4237,4682,9698,27634
3,33868,33868.000,2526,3225,3489,3686,3781,4135,4618,10229,41773
4,35055,35055.000,2519,3173,3419,3562,3688,3973,4294,9301,22835
5,36523,36523.000,2534,3094,3324,3418,3558,3776,3954,7175,18330
6,33791,33791.000,2518,3064,3292,3694,3525,3744,3926,9661,108819
7,36164,36164.000,2514,3036,3263,3452,3501,3724,3925,10926,45182
8,37119,37119.000,2502,3047,3261,3364,3490,3695,3858,7872,16769
9,36916,36916.000,2510,3044,3265,3382,3495,3713,3883,8415,41060
10,37527,37527.000,2495,3023,3243,3329,3463,3676,3806,7854,16834
11,37472,37472.000,2518,3027,3246,3333,3468,3671,3803,8063,14602
12,36474,36474.000,2504,2985,3197,3424,3423,3629,3754,8997,47786
13,38174,38174.000,2516,2981,3191,3272,3411,3613,3714,6775,16813
14,38215,38215.000,2500,2984,3191,3269,3417,3617,3720,5955,17323
15,38300,38300.000,2491,2970,3175,3262,3397,3606,3706,7606,12958
16,38121,38121.000,2505,2979,3193,3276,3420,3622,3727,7113,15237
17,37775,37775.000,2492,2992,3214,3306,3440,3646,3766,8208,17415
18,35704,35704.000,2488,2968,3183,3499,3420,3632,3773,9226,70675
19,38106,38106.000,2499,2967,3174,3279,3409,3614,3730,7766,18121
20,38314,38314.000,2496,2955,3166,3259,3390,3598,3703,8016,14607
21,38565,38565.000,2502,2943,3153,3239,3373,3590,3687,6498,15980
22,38439,38439.000,2488,2946,3153,3249,3371,3584,3675,8208,20370
23,38419,38419.000,2511,2951,3165,3252,3383,3599,3694,6354,15167
24,36848,36848.000,2492,2971,3191,3391,3422,3639,3782,9490,35811
25,38129,38129.000,2496,2962,3176,3276,3402,3620,3730,8251,20551
26,38514,38514.000,2506,2957,3161,3244,3374,3589,3677,6056,14802
27,38545,38545.000,2502,2950,3150,3241,3365,3578,3669,7265,17966
28,38332,38332.000,2489,2963,3162,3260,3392,3602,3725,7937,14039
29,38283,38283.000,2478,2960,3163,3262,3398,3606,3736,8071,16889
30,38442,38442.000,2498,2956,3156,3250,3377,3592,3687,7810,14756
31,37926,37926.000,2503,2963,3154,3293,3392,3609,3714,8971,23956
32,38442,38442.000,2472,2956,3154,3250,3380,3599,3708,7528,14392
33,38545,38545.000,2492,2949,3150,3241,3378,3588,3690,7790,13388
34,38593,38593.000,2492,2950,3157,3237,3365,3576,3665,6217,17164
35,37949,37949.000,2498,2958,3156,3292,3376,3598,3713,8575,23252
36,38580,38580.000,2508,2947,3148,3239,3364,3588,3678,7780,14463
37,37202,37202.000,2502,2947,3152,3358,3374,3595,3701,8842,44295
38,38604,38604.000,2508,2943,3146,3236,3368,3586,3681,7538,14264
39,38532,38532.000,2509,2949,3149,3242,3380,3591,3695,7241,14131
40,38488,38488.000,2496,2949,3151,3247,3388,3595,3707,7824,18506
41,38516,38516.000,2497,2952,3156,3243,3384,3593,3693,7022,13632
42,38442,38442.000,2469,2950,3153,3250,3370,3591,3705,7765,15866
43,37468,37468.000,2505,2943,3151,3334,3373,3595,3694,9040,33186
44,38604,38604.000,2496,2947,3151,3238,3369,3592,3684,6181,20111
45,38323,38323.000,2487,2955,3161,3259,3385,3601,3700,7778,14993
46,38398,38398.000,2487,2952,3157,3253,3389,3600,3699,7702,15280
47,38499,38499.000,2476,2949,3155,3245,3378,3593,3688,7634,13683
48,38276,38276.000,2493,2963,3180,3265,3402,3605,3697,7623,26774
49,38304,38304.000,2485,2957,3177,3261,3401,3607,3720,7331,16294
50,37618,37618.000,2498,2943,3153,3321,3390,3611,3741,9014,29204
51,38413,38413.000,2481,2956,3163,3253,3396,3608,3706,7249,14317
52,38345,38345.000,2494,2950,3162,3258,3389,3599,3696,8089,20283
53,38271,38271.000,2488,2949,3165,3265,3390,3601,3713,7739,17069
54,38264,38264.000,2495,2938,3154,3265,3380,3593,3692,8692,15986
55,38471,38471.000,2496,2942,3152,3247,3378,3591,3693,7926,14530
56,37834,37834.000,2487,2956,3168,3302,3388,3592,3696,8724,25050
57,38117,38117.000,2495,2972,3197,3277,3414,3607,3720,7506,15864
58,37987,37987.000,2511,2982,3214,3289,3430,3622,3729,5968,17805
59,38166,38166.000,2516,2964,3182,3274,3406,3620,3741,7824,15010
60,38249,38249.000,2500,2950,3165,3267,3386,3603,3710,8367,20774
61,38195,38195.000,2495,2957,3178,3270,3404,3606,3709,7612,24739
62,37405,37405.000,2497,2965,3187,3340,3412,3618,3739,9265,30162
63,38335,38335.000,2501,2951,3170,3258,3393,3598,3702,7956,19468
64,38485,38485.000,2498,2953,3163,3246,3382,3585,3675,7194,15253
65,38386,38386.000,2504,2953,3158,3256,3386,3597,3701,7968,18802
66,38556,38556.000,2491,2942,3149,3239,3375,3592,3698,7249,12849
