Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,347.100,5.610,4.425,5.071,5.353,5.671,6.304,7.214,9.494,94.145,0.178
10,362.200,5.503,4.378,5.025,5.300,5.590,6.206,7.184,9.302,61.484,0.182
20,359.600,5.485,4.373,4.978,5.264,5.553,6.046,6.982,9.257,69.750,0.182
30,361.700,5.454,4.390,5.012,5.290,5.582,6.105,6.956,8.999,34.188,0.183
40,365.000,5.433,4.408,4.971,5.236,5.526,6.081,6.946,9.196,23.724,0.184
50,361.200,5.436,4.393,4.976,5.265,5.534,6.138,6.987,9.009,30.234,0.184
60,353.900,5.401,4.411,4.971,5.242,5.509,6.043,6.789,9.057,21.617,0.185
70,369.000,5.428,4.377,4.960,5.237,5.516,6.111,6.951,9.036,25.835,0.184
80,357.200,5.456,4.394,4.978,5.264,5.544,6.111,6.812,9.220,30.391,0.183
90,356.700,5.461,4.415,5.030,5.298,5.580,6.123,6.930,9.012,29.838,0.183
100,358.200,5.471,4.391,4.996,5.265,5.550,6.096,7.023,9.256,31.896,0.183
110,362.600,5.431,4.393,4.960,5.252,5.539,6.132,7.094,9.084,30.846,0.184
120,351.100,5.458,4.407,4.985,5.257,5.556,6.058,6.980,9.059,30.490,0.183
130,364.600,5.416,4.392,4.975,5.235,5.530,6.075,6.859,9.077,25.587,0.185
140,362.700,5.428,4.391,4.987,5.248,5.514,6.029,6.896,9.030,30.734,0.184
150,356.500,5.454,4.390,4.999,5.272,5.549,6.109,6.801,9.108,28.604,0.183
160,373.500,5.449,4.398,4.963,5.233,5.518,6.029,6.864,9.227,27.581,0.184
170,359.900,5.428,4.395,4.982,5.246,5.531,6.103,6.940,9.043,27.402,0.184
180,357.800,5.458,4.415,4.995,5.251,5.524,6.065,6.867,9.148,33.947,0.183
190,365.000,5.397,4.391,4.962,5.240,5.511,6.042,6.720,8.969,29.498,0.185
200,373.600,5.450,4.372,4.979,5.260,5.553,6.130,6.861,9.147,30.705,0.183
210,329.500,5.815,4.411,5.036,5.340,5.699,7.015,9.673,13.340,29.844,0.172
220,367.500,5.471,4.401,4.989,5.277,5.558,6.101,7.082,9.239,29.410,0.183
230,370.900,5.437,4.372,4.977,5.259,5.542,6.109,6.958,9.078,28.840,0.184
240,371.300,5.395,4.382,4.958,5.251,5.535,6.061,6.613,8.849,32.842,0.185
250,356.700,5.441,4.402,4.975,5.248,5.536,6.067,6.939,9.209,30.777,0.184
260,361.900,5.416,4.390,4.965,5.244,5.540,6.091,6.922,8.987,28.820,0.185
270,366.300,5.497,4.393,5.020,5.317,5.608,6.227,6.924,9.110,29.577,0.182
280,365.800,5.426,4.370,4.980,5.261,5.545,6.037,6.794,9.228,17.398,0.184
290,357.900,5.491,4.387,4.986,5.257,5.558,6.160,6.988,9.295,32.287,0.182
300,361.500,5.432,4.351,4.987,5.259,5.545,6.076,6.824,9.087,29.168,0.184
310,359.400,5.459,4.398,4.985,5.261,5.531,6.131,6.906,9.084,30.988,0.183
320,365.200,5.414,4.377,4.976,5.248,5.522,6.075,6.841,9.035,28.501,0.185
