Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,352.000,10.785,7.122,9.414,10.308,11.478,12.749,13.932,17.800,98.996,0.093
10,356.600,10.011,7.274,9.043,9.752,10.684,11.592,12.186,13.373,66.452,0.100
20,357.800,9.933,6.903,8.940,9.615,10.579,11.540,12.154,13.775,73.877,0.101
30,362.500,10.070,7.397,9.077,9.841,10.794,11.689,12.345,14.040,37.594,0.099
40,355.100,9.926,7.143,8.948,9.678,10.631,11.588,12.329,14.924,25.045,0.101
50,374.100,9.912,7.099,8.941,9.681,10.625,11.581,12.186,13.534,36.032,0.101
60,356.400,9.758,7.045,8.866,9.545,10.500,11.366,11.958,13.137,29.571,0.102
70,359.900,9.953,7.148,8.998,9.709,10.677,11.647,12.320,13.667,28.568,0.100
80,359.300,10.585,7.253,9.484,10.312,11.374,12.505,13.266,15.483,33.521,0.094
90,352.600,10.149,6.956,9.111,9.881,10.894,11.964,12.645,14.386,33.348,0.099
100,369.100,10.038,7.099,8.997,9.752,10.775,11.756,12.405,14.359,34.989,0.100
110,361.100,9.846,7.234,8.927,9.628,10.559,11.448,12.018,13.132,36.704,0.102
120,355.800,9.948,7.152,8.974,9.711,10.667,11.533,12.280,13.888,32.368,0.101
130,366.400,9.764,7.017,8.877,9.562,10.468,11.368,11.940,13.117,28.903,0.102
140,367.800,9.776,7.051,8.826,9.565,10.512,11.342,11.945,13.252,34.067,0.102
150,370.100,10.075,6.909,8.972,9.717,10.712,11.710,12.538,16.404,35.428,0.099
160,359.400,9.966,7.327,8.946,9.684,10.642,11.622,12.341,15.294,32.160,0.100
170,362.300,9.899,7.274,8.909,9.652,10.623,11.607,12.210,13.314,33.269,0.101
180,357.400,9.875,6.736,8.929,9.630,10.565,11.481,12.093,13.385,35.430,0.101
190,358.300,9.830,7.449,8.897,9.589,10.571,11.562,12.135,13.265,33.813,0.102
200,360.100,9.996,6.689,8.928,9.629,10.603,11.694,12.376,17.758,33.598,0.100
210,345.100,10.969,7.257,9.337,10.298,11.601,13.607,15.949,20.381,54.322,0.091
220,357.700,10.037,7.497,8.972,9.732,10.693,11.673,12.533,15.042,40.100,0.100
230,361.400,9.854,7.086,8.931,9.592,10.522,11.471,12.201,13.529,30.940,0.101
240,370.400,9.853,7.330,8.903,9.638,10.537,11.471,12.192,13.866,21.772,0.101
250,368.400,9.824,6.950,8.863,9.565,10.522,11.508,12.157,13.481,32.783,0.102
260,358.500,9.817,7.149,8.890,9.577,10.525,11.488,12.111,13.702,29.466,0.102
270,353.900,10.407,7.063,9.229,10.085,11.120,12.233,13.250,16.153,35.095,0.096
280,356.300,10.364,7.330,9.235,10.102,11.210,12.361,13.141,15.259,31.060,0.096
290,360.000,9.920,7.073,8.974,9.717,10.628,11.492,12.088,13.391,37.436,0.101
300,366.400,9.991,6.901,9.029,9.730,10.722,11.631,12.279,13.994,33.346,0.100
310,366.500,9.901,6.720,8.927,9.646,10.590,11.589,12.191,13.558,33.831,0.101
320,368.300,9.950,6.975,8.982,9.711,10.675,11.658,12.260,13.635,32.101,0.101
330,352.600,9.996,6.687,8.965,9.699,10.695,11.737,12.532,14.168,31.956,0.100
340,376.700,9.986,7.369,8.926,9.656,10.616,11.625,12.370,18.076,32.981,0.100
350,360.400,9.811,6.885,8.883,9.558,10.497,11.389,11.966,13.277,32.118,0.102
360,366.800,9.877,6.995,8.923,9.640,10.621,11.550,12.162,13.188,32.900,0.101
370,366.400,9.802,6.993,8.887,9.578,10.490,11.445,12.034,13.136,33.854,0.102
380,366.200,9.850,6.905,8.905,9.596,10.517,11.416,12.070,13.359,35.173,0.102
390,362.200,9.983,7.117,9.001,9.746,10.708,11.705,12.410,13.962,29.823,0.100
400,349.700,9.858,7.161,8.902,9.628,10.512,11.501,12.034,13.762,36.028,0.101
410,362.700,9.890,7.057,8.929,9.678,10.606,11.526,12.241,13.463,32.935,0.101
420,364.600,9.792,7.225,8.898,9.558,10.452,11.402,12.010,13.236,34.443,0.102
430,361.700,9.751,7.069,8.876,9.528,10.423,11.330,11.878,13.088,33.246,0.103
440,370.600,9.857,7.079,8.863,9.562,10.462,11.411,12.046,14.142,32.998,0.101
450,364.800,9.940,7.136,8.952,9.696,10.634,11.655,12.329,14.316,31.823,0.101
460,356.100,9.808,6.673,8.859,9.534,10.491,11.450,12.127,13.422,33.192,0.102
470,360.300,9.844,7.154,8.920,9.649,10.515,11.428,12.086,13.890,32.360,0.102
480,368.400,9.944,7.197,8.957,9.704,10.681,11.592,12.206,13.457,31.407,0.101
490,362.100,9.847,6.878,8.913,9.605,10.542,11.455,12.057,13.406,34.311,0.102
