Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34824.600,3.586,2.770,3.268,3.437,3.594,3.778,4.001,9.228,98.996,0.279
10,35796.300,3.490,2.777,3.224,3.396,3.537,3.673,3.800,8.392,66.452,0.287
20,35932.700,3.477,2.749,3.195,3.376,3.516,3.645,3.772,8.463,73.877,0.288
30,35884.400,3.482,2.763,3.215,3.394,3.543,3.688,3.820,8.509,37.594,0.287
40,36233.900,3.448,2.751,3.188,3.376,3.516,3.642,3.762,8.320,25.045,0.290
50,36168.600,3.455,2.754,3.192,3.372,3.510,3.636,3.749,8.575,36.032,0.289
60,36343.900,3.438,2.754,3.186,3.366,3.502,3.628,3.742,8.145,29.571,0.291
70,36276.700,3.445,2.758,3.176,3.365,3.501,3.628,3.748,8.428,28.568,0.290
80,35986.800,3.471,2.758,3.204,3.378,3.519,3.642,3.766,8.842,33.521,0.288
90,35971.000,3.474,2.760,3.217,3.394,3.538,3.677,3.802,8.296,33.348,0.288
100,36014.500,3.470,2.750,3.202,3.378,3.516,3.646,3.771,8.580,34.989,0.288
110,36236.000,3.449,2.766,3.189,3.373,3.513,3.639,3.757,8.296,36.704,0.290
120,36119.900,3.459,2.765,3.200,3.375,3.514,3.641,3.761,8.411,32.368,0.289
130,36221.500,3.450,2.763,3.202,3.373,3.513,3.641,3.757,8.293,28.903,0.290
140,36139.400,3.458,2.757,3.204,3.373,3.507,3.631,3.747,8.424,34.067,0.289
150,36002.100,3.471,2.758,3.216,3.387,3.529,3.664,3.793,8.454,35.428,0.288
160,36181.700,3.454,2.752,3.194,3.368,3.498,3.620,3.737,8.557,32.160,0.290
170,36237.400,3.448,2.747,3.201,3.374,3.503,3.624,3.744,8.327,33.269,0.290
180,36128.600,3.459,2.744,3.198,3.378,3.515,3.640,3.754,8.366,35.430,0.289
190,36332.200,3.439,2.758,3.184,3.366,3.505,3.625,3.737,8.182,33.813,0.291
200,36134.100,3.458,2.750,3.191,3.372,3.513,3.639,3.761,8.430,33.598,0.289
210,33774.200,3.700,2.757,3.231,3.413,3.575,3.783,5.326,10.663,215.208,0.270
220,36020.100,3.469,2.756,3.203,3.380,3.522,3.659,3.782,8.444,40.100,0.288
230,36045.300,3.467,2.740,3.199,3.379,3.521,3.656,3.781,8.589,30.940,0.288
