Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,36001,36001.000,461,1940,2904,3465,4063,5945,7854,14541,56070
1,42039,42039.000,433,1725,2565,2968,3490,4931,6396,12236,49037
2,45813,45813.000,411,1576,2345,2723,3239,4552,5780,11291,43649
3,51640,51640.000,409,1429,2104,2415,2834,3884,4862,10695,42132
4,49881,49881.000,378,1304,1908,2498,2592,3579,4538,11618,125772
5,58259,58259.000,384,1186,1748,2137,2434,3446,4580,11880,67725
6,61510,61510.000,392,1115,1671,2026,2329,3270,4208,11092,32912
7,65418,65418.000,368,1098,1618,1903,2211,3070,3879,9211,21335
8,66994,66994.000,379,1075,1581,1855,2154,2936,3647,9113,32874
9,68145,68145.000,393,1059,1556,1818,2125,2871,3576,8763,23020
10,67721,67721.000,386,1041,1538,1829,2056,2812,3525,9959,41837
11,68057,68057.000,377,1101,1589,1831,2075,2819,3540,9654,38462
12,70744,70744.000,370,1007,1512,1763,2009,2757,3487,9619,31054
13,69198,69198.000,370,991,1493,1789,1988,2757,3493,10124,44330
14,72804,72804.000,367,1042,1493,1707,1964,2612,3250,8299,28191
15,73069,73069.000,379,1023,1488,1706,1961,2660,3306,8362,23272
16,72260,72260.000,373,982,1469,1726,1968,2655,3286,9441,38042
17,73298,73298.000,374,1031,1494,1701,1960,2640,3263,7839,39368
18,74254,74254.000,370,1022,1486,1679,1935,2598,3203,7625,36323
19,72438,72438.000,360,978,1449,1720,1922,2596,3261,9327,60206
20,74497,74497.000,368,1012,1469,1670,1936,2599,3225,7512,21675
21,75022,75022.000,378,973,1457,1664,1916,2550,3168,8629,26935
22,72792,72792.000,364,962,1443,1713,1921,2611,3259,9436,41456
23,74631,74631.000,369,981,1453,1672,1914,2598,3240,8830,26586
24,75257,75257.000,368,962,1437,1659,1895,2552,3201,9037,25469
25,73417,73417.000,368,1005,1454,1700,1905,2568,3203,9191,37970
26,74953,74953.000,382,1037,1475,1662,1893,2513,3084,7866,23817
27,75222,75222.000,372,990,1463,1658,1901,2553,3173,8773,23632
28,73634,73634.000,363,957,1424,1694,1911,2593,3300,9703,45026
29,75701,75701.000,372,977,1438,1645,1892,2563,3214,7818,21569
30,75913,75913.000,349,997,1453,1644,1886,2537,3156,7624,25014
31,74625,74625.000,374,1004,1460,1672,1894,2552,3162,8975,27038
32,75196,75196.000,363,1000,1459,1659,1904,2572,3159,8257,31518
33,75790,75790.000,370,985,1449,1647,1906,2541,3146,8516,20424
34,74856,74856.000,365,969,1431,1666,1888,2563,3199,9004,31649
35,74991,74991.000,372,1005,1469,1665,1902,2558,3156,8264,23878
36,74554,74554.000,363,1014,1482,1673,1921,2576,3183,8166,25084
37,72751,72751.000,361,992,1466,1716,1941,2645,3320,9510,38936
