Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3941.200,1.432,0.373,0.823,1.222,1.749,2.435,3.013,4.704,158.312,0.698
10,4781.500,1.302,0.365,0.736,1.073,1.503,2.016,2.447,3.804,378.243,0.768
20,5025.000,1.203,0.363,0.709,1.062,1.470,1.941,2.363,3.614,68.453,0.831
30,5207.100,1.169,0.359,0.700,1.047,1.442,1.885,2.279,3.510,31.089,0.856
40,5257.700,1.166,0.351,0.705,1.043,1.430,1.853,2.257,3.481,37.084,0.858
50,5189.500,1.171,0.352,0.713,1.056,1.445,1.878,2.260,3.500,36.716,0.854
60,5186.500,1.169,0.343,0.702,1.056,1.440,1.867,2.252,3.432,41.724,0.856
70,5261.800,1.160,0.348,0.699,1.049,1.425,1.855,2.238,3.441,33.306,0.862
80,5117.800,1.179,0.356,0.697,1.048,1.436,1.868,2.263,3.706,209.487,0.848
90,5157.500,1.185,0.353,0.712,1.062,1.453,1.894,2.296,3.565,39.574,0.844
100,5255.600,1.159,0.359,0.698,1.046,1.428,1.850,2.236,3.426,40.679,0.863
110,5273.400,1.150,0.340,0.692,1.033,1.420,1.846,2.224,3.427,39.225,0.869
120,5250.500,1.164,0.358,0.696,1.046,1.427,1.846,2.242,3.481,41.871,0.859
130,5224.800,1.156,0.346,0.696,1.041,1.422,1.849,2.248,3.445,38.844,0.865
140,5212.300,1.166,0.352,0.704,1.047,1.441,1.884,2.284,3.519,39.222,0.858
150,5181.500,1.169,0.357,0.693,1.049,1.433,1.866,2.256,3.556,42.797,0.856
160,5282.100,1.162,0.351,0.702,1.041,1.419,1.845,2.236,3.504,44.422,0.860
170,5281.600,1.163,0.357,0.697,1.046,1.419,1.841,2.245,3.543,40.046,0.860
180,5217.100,1.171,0.353,0.700,1.048,1.434,1.864,2.266,3.598,44.319,0.854
190,5236.500,1.164,0.354,0.696,1.044,1.428,1.854,2.245,3.432,43.290,0.859
200,5202.000,1.163,0.359,0.691,1.036,1.426,1.854,2.245,3.500,41.289,0.860
210,5266.700,1.160,0.348,0.700,1.044,1.423,1.855,2.256,3.473,40.165,0.862
220,5293.100,1.154,0.347,0.690,1.031,1.414,1.847,2.244,3.469,40.400,0.866
230,5281.200,1.163,0.355,0.694,1.037,1.421,1.863,2.268,3.526,45.253,0.860
240,5246.200,1.167,0.360,0.694,1.045,1.428,1.862,2.251,3.473,205.062,0.857
250,5236.700,1.156,0.356,0.685,1.033,1.415,1.841,2.240,3.485,45.217,0.865
260,5247.800,1.161,0.349,0.700,1.042,1.427,1.856,2.264,3.475,54.168,0.862
270,5295.100,1.166,0.355,0.707,1.045,1.427,1.844,2.235,3.413,48.978,0.857
280,5248.600,1.154,0.351,0.692,1.035,1.419,1.843,2.230,3.398,41.889,0.867
290,5278.100,1.159,0.358,0.696,1.036,1.414,1.839,2.239,3.494,40.391,0.862
300,5236.500,1.163,0.357,0.691,1.038,1.423,1.859,2.262,3.577,39.850,0.860
310,5231.300,1.158,0.347,0.697,1.041,1.423,1.860,2.242,3.462,38.429,0.864
320,5233.400,1.158,0.356,0.696,1.036,1.423,1.847,2.224,3.499,46.836,0.864
330,5262.500,1.156,0.356,0.691,1.037,1.420,1.849,2.240,3.436,39.778,0.865
340,5297.800,1.151,0.351,0.694,1.043,1.414,1.833,2.202,3.340,39.754,0.869
350,5270.700,1.155,0.340,0.694,1.036,1.413,1.837,2.233,3.427,44.064,0.866
360,5249.900,1.160,0.352,0.696,1.045,1.420,1.847,2.244,3.548,39.654,0.862
370,5262.100,1.164,0.340,0.697,1.046,1.423,1.846,2.248,3.427,42.056,0.859
380,5085.200,1.183,0.351,0.707,1.048,1.438,1.869,2.304,3.913,39.059,0.845
390,5191.300,1.181,0.346,0.705,1.047,1.433,1.869,2.282,3.648,45.742,0.846
400,5258.400,1.157,0.355,0.691,1.038,1.425,1.856,2.245,3.464,44.473,0.864
410,5289.800,1.157,0.349,0.693,1.038,1.426,1.852,2.234,3.409,41.911,0.864
420,5254.000,1.161,0.358,0.689,1.038,1.420,1.863,2.265,3.497,43.452,0.861
430,5215.400,1.159,0.359,0.688,1.035,1.422,1.850,2.247,3.451,43.133,0.863
440,5255.900,1.156,0.359,0.693,1.042,1.421,1.843,2.235,3.430,39.304,0.865
450,5267.300,1.161,0.352,0.685,1.035,1.424,1.866,2.273,3.516,41.277,0.861
460,5236.400,1.158,0.350,0.696,1.047,1.422,1.854,2.239,3.497,41.283,0.863
470,5288.600,1.153,0.359,0.698,1.045,1.420,1.835,2.218,3.429,39.451,0.867
480,5298.100,1.159,0.358,0.683,1.030,1.420,1.857,2.266,3.585,39.555,0.863
490,5271.000,1.155,0.344,0.686,1.037,1.419,1.846,2.247,3.598,40.580,0.866
500,5291.300,1.154,0.354,0.694,1.039,1.420,1.841,2.235,3.492,39.442,0.866
510,5276.600,1.153,0.352,0.689,1.036,1.415,1.844,2.230,3.516,39.200,0.867
520,5274.100,1.158,0.353,0.690,1.041,1.426,1.854,2.251,3.440,41.624,0.864
530,5265.200,1.160,0.355,0.694,1.031,1.418,1.852,2.250,3.507,50.038,0.862
540,5305.700,1.154,0.345,0.695,1.044,1.416,1.838,2.229,3.448,51.736,0.867
550,5255.200,1.154,0.344,0.688,1.034,1.420,1.851,2.239,3.467,48.855,0.867
560,5233.100,1.163,0.360,0.685,1.030,1.428,1.877,2.296,3.549,48.273,0.860
570,5295.800,1.146,0.356,0.688,1.027,1.414,1.834,2.211,3.403,45.080,0.873
580,5226.700,1.159,0.344,0.686,1.032,1.419,1.859,2.249,3.476,50.092,0.863
590,5244.100,1.154,0.361,0.688,1.036,1.419,1.848,2.232,3.370,47.342,0.867
600,5243.900,1.162,0.356,0.694,1.039,1.423,1.845,2.226,3.553,42.870,0.861
610,5257.500,1.158,0.356,0.693,1.041,1.421,1.836,2.229,3.445,43.665,0.863
620,5159.000,1.169,0.358,0.700,1.047,1.428,1.861,2.262,3.555,42.655,0.855
630,5212.400,1.165,0.351,0.698,1.045,1.427,1.855,2.244,3.498,43.138,0.859
640,5262.200,1.154,0.358,0.688,1.040,1.427,1.857,2.232,3.337,54.517,0.867
650,5261.000,1.169,0.356,0.689,1.040,1.426,1.852,2.250,3.529,83.400,0.856
660,5303.800,1.153,0.352,0.694,1.037,1.415,1.840,2.233,3.372,58.178,0.867
670,5325.100,1.154,0.359,0.689,1.031,1.413,1.854,2.264,3.535,45.831,0.866
680,5077.600,1.196,0.349,0.698,1.051,1.442,1.893,2.328,3.944,44.278,0.836
690,5118.500,1.181,0.361,0.686,1.030,1.426,1.881,2.319,3.787,45.860,0.846
700,5290.600,1.150,0.358,0.688,1.033,1.416,1.838,2.231,3.435,50.951,0.869
710,5254.500,1.159,0.357,0.692,1.045,1.426,1.846,2.227,3.464,43.320,0.863
720,5270.300,1.159,0.352,0.689,1.037,1.422,1.854,2.235,3.415,51.933,0.863
730,5260.500,1.163,0.354,0.694,1.041,1.430,1.859,2.237,3.378,46.926,0.860
740,5254.100,1.151,0.356,0.689,1.030,1.417,1.861,2.260,3.449,46.159,0.869
750,5243.500,1.162,0.360,0.687,1.037,1.424,1.854,2.260,3.516,47.493,0.861
760,5266.100,1.161,0.346,0.684,1.035,1.420,1.858,2.249,3.516,47.424,0.861
770,5321.900,1.145,0.355,0.687,1.033,1.414,1.835,2.219,3.451,47.525,0.874
780,5280.900,1.158,0.361,0.687,1.032,1.414,1.836,2.237,3.535,46.777,0.864
790,5283.400,1.159,0.359,0.697,1.039,1.424,1.849,2.230,3.454,43.713,0.863
800,5239.500,1.163,0.346,0.691,1.041,1.420,1.842,2.231,3.470,53.603,0.860
810,5331.400,1.156,0.344,0.694,1.036,1.417,1.848,2.225,3.460,44.789,0.865
820,5278.200,1.157,0.353,0.690,1.034,1.410,1.836,2.221,3.388,50.392,0.864
