Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,563.300,1.400,0.366,0.794,1.191,1.714,2.438,2.952,4.643,11.968,0.714
10,671.900,1.218,0.372,0.683,1.023,1.431,1.889,2.289,3.692,373.466,0.821
20,728.700,1.151,0.359,0.665,0.996,1.423,1.888,2.276,3.613,22.623,0.869
30,746.100,1.130,0.355,0.662,1.002,1.407,1.862,2.258,3.446,12.538,0.885
40,736.600,1.117,0.354,0.663,0.993,1.376,1.803,2.173,3.408,33.466,0.895
50,723.300,1.123,0.364,0.681,1.003,1.405,1.798,2.105,3.242,36.854,0.890
60,748.400,1.138,0.364,0.667,0.997,1.381,1.799,2.170,3.360,40.723,0.879
70,754.800,1.111,0.349,0.653,0.981,1.372,1.801,2.188,3.411,31.066,0.900
80,737.700,1.126,0.349,0.665,1.013,1.394,1.806,2.164,3.270,24.844,0.888
90,746.100,1.143,0.354,0.663,0.998,1.392,1.842,2.212,3.703,36.305,0.875
100,754.600,1.106,0.351,0.657,0.986,1.376,1.819,2.180,3.360,11.572,0.904
110,750.000,1.100,0.353,0.646,0.976,1.355,1.756,2.097,3.124,38.056,0.909
120,738.500,1.124,0.356,0.663,0.994,1.370,1.789,2.213,3.494,39.899,0.889
130,746.500,1.108,0.355,0.657,0.981,1.374,1.782,2.163,3.319,40.176,0.903
140,740.500,1.122,0.358,0.666,0.995,1.383,1.805,2.145,3.422,38.511,0.891
150,738.800,1.142,0.366,0.655,0.988,1.379,1.801,2.181,3.473,42.613,0.876
160,740.700,1.107,0.357,0.678,1.000,1.366,1.754,2.106,3.344,11.209,0.903
170,751.900,1.121,0.353,0.655,0.992,1.373,1.771,2.154,3.263,39.959,0.892
180,743.000,1.117,0.345,0.659,0.987,1.372,1.798,2.176,3.454,42.689,0.895
190,742.300,1.111,0.355,0.665,0.990,1.375,1.781,2.162,3.103,42.058,0.900
200,738.300,1.116,0.352,0.657,0.972,1.368,1.789,2.166,3.494,37.863,0.896
210,761.600,1.102,0.344,0.655,0.994,1.382,1.764,2.104,3.215,37.561,0.907
220,755.100,1.111,0.358,0.661,0.982,1.380,1.816,2.202,3.313,12.241,0.900
230,745.300,1.106,0.363,0.663,0.985,1.367,1.762,2.120,3.475,20.421,0.904
240,772.000,1.120,0.354,0.659,0.992,1.368,1.771,2.164,3.513,48.715,0.893
250,752.800,1.096,0.351,0.650,0.980,1.353,1.753,2.129,3.348,9.621,0.912
260,741.300,1.105,0.345,0.663,0.977,1.359,1.725,2.095,3.298,53.721,0.905
270,756.800,1.110,0.356,0.667,0.999,1.370,1.765,2.110,3.247,47.057,0.901
280,757.200,1.097,0.353,0.648,0.983,1.363,1.745,2.073,3.227,39.458,0.912
290,761.000,1.102,0.343,0.655,0.977,1.359,1.783,2.111,3.262,39.103,0.907
300,754.600,1.123,0.346,0.648,0.984,1.364,1.790,2.166,3.467,38.853,0.890
310,751.700,1.107,0.347,0.666,0.980,1.360,1.778,2.162,3.358,38.979,0.904
320,739.200,1.094,0.354,0.654,0.974,1.357,1.770,2.100,3.417,8.909,0.914
330,748.600,1.114,0.349,0.653,0.982,1.367,1.775,2.201,3.661,39.170,0.898
340,759.300,1.104,0.346,0.653,0.982,1.365,1.756,2.115,3.261,38.652,0.906
350,759.100,1.123,0.361,0.661,0.997,1.383,1.800,2.170,3.476,38.798,0.890
360,736.600,1.115,0.362,0.661,0.994,1.370,1.787,2.165,3.260,38.184,0.897
370,747.000,1.107,0.364,0.663,0.996,1.368,1.768,2.141,3.198,40.344,0.904
380,739.400,1.132,0.360,0.659,0.984,1.378,1.792,2.207,3.828,14.665,0.883
390,736.700,1.144,0.359,0.657,1.004,1.399,1.815,2.209,3.470,40.667,0.874
400,747.000,1.123,0.364,0.655,0.994,1.375,1.795,2.161,3.536,44.221,0.890
410,748.300,1.111,0.365,0.663,0.989,1.378,1.799,2.167,3.401,14.672,0.900
420,759.900,1.103,0.341,0.660,0.984,1.364,1.791,2.183,3.404,7.927,0.906
430,741.900,1.109,0.360,0.640,0.980,1.366,1.780,2.149,3.386,41.524,0.902
440,769.100,1.098,0.356,0.647,0.988,1.363,1.764,2.142,3.401,12.456,0.910
450,744.200,1.103,0.356,0.644,0.975,1.357,1.770,2.177,3.506,41.528,0.906
460,761.700,1.104,0.356,0.657,0.981,1.355,1.772,2.141,3.259,40.416,0.906
470,739.200,1.094,0.356,0.659,0.982,1.354,1.740,2.090,3.442,17.988,0.914
480,751.100,1.118,0.351,0.648,0.981,1.376,1.817,2.186,3.601,38.382,0.895
490,735.200,1.100,0.356,0.644,0.980,1.368,1.771,2.165,3.420,13.291,0.909
500,753.800,1.103,0.356,0.653,0.984,1.362,1.774,2.151,3.324,37.469,0.907
510,753.500,1.107,0.346,0.654,0.996,1.372,1.787,2.131,3.240,36.888,0.903
520,769.700,1.104,0.356,0.649,0.977,1.359,1.789,2.160,3.292,39.736,0.905
530,743.500,1.107,0.359,0.650,0.976,1.370,1.791,2.181,3.201,46.726,0.903
540,760.600,1.120,0.347,0.668,1.002,1.380,1.792,2.149,3.233,48.330,0.892
550,740.300,1.111,0.356,0.648,0.971,1.348,1.744,2.109,3.324,45.573,0.900
560,743.500,1.118,0.366,0.651,0.988,1.373,1.799,2.179,3.296,47.891,0.894
570,755.900,1.105,0.343,0.645,0.977,1.361,1.767,2.200,3.275,45.738,0.905
580,739.500,1.091,0.357,0.650,0.971,1.349,1.739,2.099,3.176,48.222,0.916
590,732.400,1.085,0.358,0.650,0.969,1.339,1.740,2.083,3.221,44.912,0.922
600,730.800,1.118,0.340,0.656,0.981,1.366,1.779,2.165,3.559,41.188,0.895
610,732.200,1.096,0.360,0.646,0.966,1.347,1.733,2.099,3.190,41.930,0.912
