Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,560.600,3.686,0.781,2.077,2.855,4.137,6.242,8.445,15.168,158.362,0.271
10,679.500,2.919,0.773,1.796,2.422,3.390,4.797,6.152,10.201,103.719,0.343
20,721.200,2.917,0.762,1.735,2.337,3.292,4.881,6.563,11.382,77.092,0.343
30,733.000,2.834,0.739,1.716,2.299,3.306,4.816,6.184,10.028,53.777,0.353
40,752.100,2.764,0.715,1.706,2.279,3.191,4.527,6.013,10.339,44.520,0.362
50,738.700,2.789,0.773,1.725,2.329,3.256,4.695,6.130,10.010,38.297,0.359
60,738.300,2.839,0.712,1.741,2.317,3.260,4.686,6.242,10.702,45.285,0.352
70,740.300,2.795,0.732,1.697,2.277,3.236,4.697,6.099,10.363,35.631,0.358
80,734.400,2.882,0.722,1.711,2.318,3.306,4.830,6.327,11.925,76.560,0.347
90,731.200,2.836,0.739,1.741,2.321,3.280,4.678,6.164,10.594,43.085,0.353
100,739.700,2.791,0.754,1.707,2.285,3.217,4.657,6.043,10.730,44.990,0.358
110,760.500,2.786,0.736,1.690,2.270,3.194,4.509,5.966,10.736,44.742,0.359
120,730.800,2.741,0.737,1.690,2.264,3.181,4.558,5.918,9.618,49.007,0.365
130,754.300,2.754,0.752,1.688,2.265,3.213,4.489,5.802,10.159,47.891,0.363
140,754.700,2.790,0.725,1.685,2.268,3.228,4.717,6.293,10.514,42.862,0.358
150,749.200,2.769,0.742,1.689,2.279,3.220,4.598,5.949,10.282,42.568,0.361
160,769.600,2.745,0.734,1.683,2.267,3.176,4.527,5.768,10.445,46.394,0.364
170,759.300,2.737,0.715,1.678,2.262,3.205,4.504,5.879,9.586,42.780,0.365
180,751.800,2.752,0.756,1.702,2.271,3.206,4.438,5.888,10.080,133.284,0.363
190,759.100,2.722,0.714,1.697,2.226,3.181,4.497,5.914,9.914,44.515,0.367
200,743.000,2.773,0.741,1.703,2.264,3.214,4.626,5.924,10.325,42.591,0.361
210,750.600,2.765,0.745,1.702,2.267,3.226,4.596,5.929,10.100,42.575,0.362
220,744.900,2.792,0.726,1.692,2.260,3.215,4.648,6.076,10.961,45.955,0.358
230,758.800,2.801,0.730,1.710,2.285,3.235,4.684,6.042,10.530,46.190,0.357
240,755.200,2.711,0.725,1.679,2.222,3.157,4.565,5.934,9.414,48.717,0.369
250,748.000,2.804,0.719,1.682,2.265,3.215,4.702,6.198,10.548,54.017,0.357
260,755.000,2.762,0.713,1.703,2.272,3.202,4.584,6.014,9.930,65.834,0.362
270,742.700,2.785,0.737,1.713,2.253,3.151,4.561,6.116,10.047,59.720,0.359
280,752.400,2.752,0.674,1.693,2.257,3.213,4.558,5.900,10.027,58.510,0.363
290,754.600,2.759,0.742,1.691,2.244,3.159,4.551,6.017,10.128,41.693,0.362
300,759.000,2.767,0.722,1.679,2.252,3.205,4.645,5.883,10.246,112.053,0.361
310,758.700,2.804,0.749,1.663,2.246,3.218,4.761,6.219,11.373,59.409,0.357
320,755.700,2.774,0.735,1.697,2.261,3.218,4.623,6.069,10.763,47.384,0.361
330,760.000,2.826,0.740,1.665,2.251,3.217,4.751,6.268,11.777,50.797,0.354
340,764.900,2.735,0.753,1.709,2.274,3.233,4.492,5.845,9.420,42.840,0.366
350,749.000,2.782,0.749,1.694,2.270,3.257,4.639,6.020,10.411,41.080,0.359
360,778.400,2.768,0.696,1.692,2.265,3.209,4.498,5.855,9.846,39.692,0.361
370,761.000,2.790,0.696,1.699,2.254,3.205,4.596,6.016,10.510,48.927,0.358
380,719.300,2.805,0.722,1.657,2.232,3.268,4.730,6.164,11.274,43.976,0.356
390,748.900,2.859,0.736,1.676,2.264,3.285,4.851,6.376,11.644,44.773,0.350
400,753.700,2.739,0.744,1.675,2.246,3.174,4.538,5.900,9.993,48.187,0.365
410,766.700,2.814,0.742,1.684,2.281,3.261,4.796,6.294,10.148,65.405,0.355
420,750.400,2.787,0.729,1.695,2.264,3.262,4.675,6.128,10.725,44.319,0.359
430,752.300,2.811,0.728,1.689,2.244,3.230,4.668,6.139,10.818,57.055,0.356
440,749.500,2.762,0.746,1.685,2.264,3.163,4.514,5.980,10.512,208.983,0.362
450,753.300,2.788,0.713,1.681,2.248,3.198,4.724,6.231,10.552,49.151,0.359
460,755.600,2.778,0.722,1.678,2.274,3.237,4.625,6.019,10.193,42.475,0.360
470,750.000,2.727,0.721,1.690,2.262,3.188,4.515,5.876,9.736,41.204,0.367
480,750.000,2.793,0.724,1.659,2.237,3.201,4.726,6.314,10.628,41.984,0.358
490,747.000,2.807,0.732,1.663,2.239,3.201,4.782,6.359,11.037,42.479,0.356
500,745.600,2.805,0.741,1.687,2.257,3.256,4.739,6.191,10.310,43.375,0.356
510,759.100,2.757,0.720,1.681,2.246,3.160,4.509,6.016,10.916,41.555,0.363
520,740.800,2.748,0.739,1.664,2.238,3.164,4.572,6.005,10.929,41.352,0.364
530,749.100,2.749,0.674,1.676,2.242,3.169,4.553,6.059,10.384,59.229,0.364
540,754.700,2.767,0.722,1.675,2.260,3.224,4.612,6.040,10.286,50.180,0.361
550,749.400,2.769,0.746,1.675,2.254,3.215,4.632,6.077,10.602,52.894,0.361
560,753.100,2.781,0.726,1.643,2.234,3.191,4.631,6.258,10.774,52.639,0.360
570,750.000,2.720,0.749,1.666,2.239,3.174,4.577,5.975,9.798,46.307,0.368
580,748.600,2.800,0.718,1.672,2.236,3.194,4.686,5.971,10.606,54.408,0.357
590,754.300,2.742,0.749,1.676,2.256,3.185,4.560,5.859,9.738,48.549,0.365
600,775.200,2.753,0.707,1.677,2.261,3.175,4.540,5.952,10.092,76.497,0.363
610,746.300,2.757,0.718,1.671,2.250,3.181,4.591,5.870,10.426,91.665,0.363
620,756.700,2.777,0.732,1.701,2.296,3.215,4.604,5.989,10.420,43.090,0.360
630,735.300,2.776,0.740,1.695,2.270,3.181,4.535,6.037,10.344,53.433,0.360
640,763.100,2.733,0.754,1.662,2.220,3.185,4.636,6.012,10.246,41.058,0.366
650,756.200,2.769,0.706,1.685,2.261,3.189,4.597,5.983,10.454,80.801,0.361
660,754.400,2.721,0.759,1.676,2.247,3.138,4.455,5.708,9.356,62.058,0.368
670,756.800,2.783,0.725,1.660,2.223,3.234,4.742,6.217,11.017,33.668,0.359
680,717.600,2.845,0.701,1.679,2.293,3.313,4.844,6.188,10.805,47.496,0.352
690,748.800,2.809,0.707,1.659,2.246,3.236,4.733,6.257,11.274,73.671,0.356
700,767.200,2.772,0.726,1.684,2.227,3.217,4.715,6.366,10.142,49.475,0.361
710,755.900,2.767,0.735,1.704,2.255,3.189,4.628,5.970,9.835,46.687,0.361
720,752.200,2.767,0.744,1.688,2.261,3.181,4.615,5.955,10.288,82.540,0.361
730,738.900,2.804,0.702,1.688,2.290,3.226,4.594,6.075,10.496,54.060,0.357
740,748.800,2.766,0.750,1.685,2.271,3.229,4.727,6.087,9.930,46.713,0.362
750,739.900,2.797,0.748,1.654,2.257,3.203,4.601,6.123,11.037,57.339,0.358
760,759.800,2.773,0.677,1.676,2.251,3.172,4.542,5.924,10.216,53.080,0.361
770,742.600,2.721,0.738,1.681,2.233,3.148,4.444,5.932,9.937,58.295,0.367
780,756.800,2.769,0.742,1.675,2.236,3.221,4.602,6.055,10.329,44.983,0.361
790,733.200,2.760,0.730,1.677,2.224,3.178,4.602,5.985,10.410,65.036,0.362
800,745.100,2.764,0.735,1.669,2.257,3.176,4.528,5.980,10.451,53.519,0.362
810,761.700,2.744,0.753,1.675,2.266,3.203,4.605,5.938,9.321,59.472,0.364
820,748.100,2.752,0.730,1.674,2.248,3.223,4.585,5.965,10.019,85.998,0.363
830,735.300,2.718,0.743,1.682,2.215,3.156,4.545,5.888,9.860,54.086,0.368
840,739.900,2.761,0.749,1.694,2.249,3.193,4.498,5.798,9.845,64.148,0.362
850,744.900,2.747,0.736,1.670,2.241,3.164,4.536,5.972,10.363,51.725,0.364
860,746.000,2.777,0.728,1.670,2.247,3.184,4.550,5.882,10.867,62.379,0.360
870,738.000,2.768,0.748,1.693,2.275,3.234,4.593,5.988,10.024,51.922,0.361
880,760.600,2.755,0.748,1.669,2.222,3.204,4.650,6.086,10.317,47.589,0.363
890,748.600,2.687,0.745,1.670,2.223,3.145,4.468,5.875,9.426,35.072,0.372
900,750.600,2.769,0.725,1.678,2.229,3.165,4.562,6.122,11.059,42.155,0.361
910,762.900,2.786,0.758,1.654,2.219,3.190,4.660,6.279,10.888,61.428,0.359
920,757.100,2.776,0.724,1.672,2.233,3.192,4.638,6.066,10.407,40.574,0.360
930,744.200,2.786,0.731,1.678,2.226,3.198,4.601,6.042,11.050,41.524,0.359
940,746.000,2.772,0.711,1.660,2.233,3.196,4.688,6.090,10.595,38.245,0.361
950,736.300,2.810,0.756,1.674,2.259,3.241,4.788,6.227,10.754,46.486,0.356
960,747.300,2.826,0.741,1.677,2.266,3.282,4.714,6.215,10.944,50.687,0.354
970,744.500,2.772,0.736,1.690,2.274,3.219,4.657,6.096,10.310,53.778,0.361
980,722.600,2.815,0.738,1.663,2.239,3.250,4.746,6.236,11.447,50.303,0.355
990,727.700,2.786,0.728,1.668,2.252,3.213,4.647,5.988,10.428,43.572,0.359
1000,733.700,2.757,0.754,1.654,2.231,3.171,4.630,6.067,10.503,68.458,0.363
1010,747.800,2.805,0.737,1.669,2.258,3.202,4.635,6.073,11.319,46.686,0.356
1020,752.000,2.767,0.733,1.668,2.263,3.209,4.587,5.934,10.572,41.780,0.361
