Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,50225.100,2.174,0.424,1.317,1.853,2.564,3.578,4.511,7.239,207.735,0.460
10,61144.000,1.764,0.453,1.102,1.553,2.009,2.647,3.183,4.847,378.160,0.567
20,64826.400,1.659,0.410,1.094,1.531,1.955,2.580,3.114,4.776,71.592,0.603
30,66549.100,1.613,0.433,1.084,1.511,1.913,2.511,3.020,4.581,33.251,0.620
40,67262.900,1.596,0.423,1.085,1.496,1.885,2.463,2.955,4.419,44.463,0.626
50,66542.900,1.620,0.440,1.104,1.519,1.917,2.506,3.006,4.491,39.263,0.617
60,66637.500,1.617,0.423,1.114,1.519,1.906,2.487,2.975,4.451,45.119,0.619
70,67237.200,1.599,0.396,1.094,1.499,1.880,2.460,2.959,4.483,34.811,0.626
80,66049.500,1.627,0.418,1.072,1.508,1.919,2.527,3.065,4.807,209.551,0.615
90,66216.200,1.626,0.441,1.108,1.521,1.917,2.502,2.998,4.531,52.648,0.615
100,67148.200,1.602,0.416,1.083,1.500,1.894,2.473,2.976,4.470,42.796,0.624
110,67469.000,1.592,0.432,1.077,1.493,1.885,2.472,2.985,4.480,41.941,0.628
120,67471.500,1.593,0.435,1.098,1.499,1.870,2.443,2.930,4.383,44.435,0.628
130,67386.900,1.594,0.426,1.084,1.494,1.876,2.453,2.949,4.431,204.696,0.627
140,66693.400,1.609,0.427,1.090,1.508,1.907,2.497,3.003,4.545,43.104,0.622
150,66921.300,1.606,0.423,1.084,1.502,1.892,2.482,2.975,4.508,49.153,0.623
160,67433.000,1.595,0.426,1.092,1.493,1.872,2.442,2.933,4.426,53.772,0.627
170,67958.000,1.582,0.422,1.087,1.488,1.861,2.424,2.912,4.349,43.679,0.632
180,67404.100,1.595,0.429,1.084,1.498,1.886,2.464,2.967,4.488,60.347,0.627
190,67254.100,1.598,0.438,1.082,1.496,1.878,2.458,2.955,4.507,47.946,0.626
200,67297.700,1.597,0.430,1.077,1.495,1.881,2.463,2.965,4.482,44.162,0.626
210,67610.700,1.591,0.431,1.086,1.496,1.880,2.461,2.952,4.431,51.110,0.629
220,67713.500,1.585,0.423,1.068,1.480,1.867,2.449,2.951,4.471,49.817,0.631
230,67468.700,1.590,0.399,1.072,1.489,1.871,2.451,2.944,4.462,53.050,0.629
240,67760.000,1.580,0.433,1.074,1.485,1.864,2.439,2.934,4.408,52.640,0.633
250,67457.100,1.593,0.424,1.065,1.484,1.871,2.465,2.976,4.579,47.033,0.628
260,67437.900,1.594,0.430,1.082,1.492,1.872,2.446,2.945,4.412,57.201,0.627
270,67736.400,1.590,0.427,1.086,1.488,1.867,2.438,2.927,4.412,53.201,0.629
280,67781.100,1.582,0.425,1.078,1.487,1.873,2.451,2.939,4.380,43.303,0.632
290,67749.600,1.586,0.423,1.068,1.482,1.867,2.452,2.955,4.495,43.013,0.631
300,67447.800,1.589,0.432,1.073,1.487,1.873,2.451,2.948,4.485,46.573,0.629
310,67633.800,1.585,0.434,1.065,1.486,1.875,2.458,2.968,4.512,45.239,0.631
320,67461.700,1.592,0.429,1.073,1.488,1.873,2.458,2.953,4.500,50.010,0.628
330,67441.300,1.594,0.415,1.076,1.488,1.872,2.460,2.959,4.517,204.250,0.627
340,68019.900,1.579,0.425,1.088,1.490,1.866,2.431,2.913,4.360,40.561,0.633
350,67871.900,1.585,0.429,1.076,1.483,1.862,2.439,2.932,4.438,43.030,0.631
360,67645.800,1.587,0.438,1.078,1.487,1.868,2.447,2.940,4.438,42.684,0.630
370,67676.800,1.591,0.438,1.083,1.490,1.867,2.444,2.937,4.453,210.430,0.629
380,66036.200,1.624,0.424,1.069,1.496,1.898,2.526,3.087,4.942,66.172,0.616
390,66136.900,1.621,0.421,1.075,1.500,1.897,2.513,3.045,4.817,65.009,0.617
400,67563.600,1.587,0.422,1.072,1.484,1.866,2.442,2.942,4.477,45.498,0.630
410,67806.900,1.579,0.413,1.069,1.486,1.869,2.445,2.941,4.400,45.944,0.633
420,67302.300,1.595,0.449,1.075,1.488,1.874,2.467,2.983,4.546,45.772,0.627
430,67285.500,1.592,0.433,1.062,1.482,1.872,2.472,2.997,4.535,205.333,0.628
440,67664.100,1.582,0.405,1.075,1.490,1.872,2.449,2.940,4.403,42.736,0.632
450,67283.200,1.592,0.425,1.063,1.482,1.875,2.468,2.985,4.591,44.524,0.628
460,67406.800,1.595,0.417,1.085,1.492,1.873,2.458,2.961,4.488,49.870,0.627
470,67925.900,1.584,0.441,1.090,1.491,1.870,2.443,2.931,4.406,40.797,0.631
480,67527.000,1.589,0.430,1.053,1.476,1.870,2.470,2.998,4.632,211.809,0.629
490,67477.500,1.588,0.426,1.061,1.480,1.865,2.457,2.977,4.603,42.766,0.630
500,67810.100,1.584,0.411,1.083,1.490,1.871,2.443,2.941,4.432,42.476,0.631
510,67476.400,1.593,0.421,1.077,1.488,1.874,2.461,2.961,4.493,43.267,0.628
520,67545.400,1.590,0.426,1.070,1.482,1.870,2.459,2.973,4.548,42.941,0.629
530,67500.400,1.590,0.419,1.065,1.483,1.871,2.458,2.973,4.479,57.729,0.629
540,67825.300,1.583,0.435,1.084,1.487,1.867,2.444,2.933,4.411,51.746,0.632
550,67472.600,1.593,0.404,1.063,1.482,1.867,2.460,2.980,4.563,53.845,0.628
560,67460.400,1.587,0.420,1.048,1.467,1.867,2.472,3.008,4.649,64.159,0.630
