Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,555.000,12.754,5.539,10.205,11.934,14.017,16.548,18.921,30.109,169.880,0.078
10,666.800,11.759,5.004,9.488,10.950,12.736,14.683,16.177,20.960,380.140,0.085
20,716.300,11.552,5.165,9.706,11.173,12.926,14.814,16.189,20.274,75.492,0.087
30,740.200,11.538,4.988,9.651,11.152,13.004,15.045,16.658,20.969,33.974,0.087
40,753.300,11.203,5.011,9.376,10.818,12.525,14.365,15.795,19.854,44.533,0.089
50,728.500,11.147,4.605,9.426,10.817,12.511,14.199,15.508,19.800,42.172,0.090
60,734.400,11.084,4.863,9.304,10.750,12.437,14.113,15.236,19.956,49.943,0.090
70,748.500,11.200,4.577,9.393,10.900,12.617,14.386,15.587,18.437,48.380,0.089
80,721.200,11.716,5.154,9.655,11.158,13.049,15.130,16.913,24.386,48.297,0.085
90,738.300,11.091,5.338,9.332,10.746,12.405,14.125,15.288,19.533,50.429,0.090
100,745.600,11.108,5.021,9.309,10.773,12.417,14.074,15.256,18.935,53.286,0.090
110,747.400,11.283,4.948,9.469,10.946,12.733,14.413,15.798,19.685,49.668,0.089
120,752.400,11.219,5.034,9.404,10.817,12.577,14.384,15.636,19.625,54.209,0.089
130,752.000,11.321,5.261,9.502,10.930,12.682,14.411,15.576,18.859,49.182,0.088
140,742.600,11.475,5.161,9.597,11.155,12.928,14.721,16.194,19.953,51.208,0.087
150,733.400,11.493,5.048,9.608,11.196,12.960,14.721,16.062,18.724,49.830,0.087
160,731.700,11.258,4.959,9.397,10.784,12.515,14.247,15.640,21.401,59.829,0.089
170,755.300,10.943,5.009,9.214,10.623,12.273,13.876,15.018,18.689,50.383,0.091
180,752.500,11.080,5.268,9.394,10.792,12.510,14.140,15.292,18.050,48.827,0.090
190,751.200,11.175,5.206,9.346,10.806,12.534,14.238,15.634,20.421,54.073,0.089
200,747.200,11.361,5.404,9.467,10.926,12.698,14.609,16.159,20.241,47.610,0.088
210,746.800,11.066,5.252,9.399,10.796,12.423,14.057,15.147,18.526,49.986,0.090
220,758.100,11.223,5.120,9.425,10.821,12.569,14.313,15.436,19.818,58.368,0.089
230,762.700,11.168,4.744,9.453,10.852,12.511,14.115,15.119,17.854,221.601,0.090
240,780.800,11.233,5.183,9.421,10.910,12.591,14.411,15.727,20.036,58.662,0.089
250,738.600,11.443,5.400,9.525,11.014,12.787,14.613,16.255,21.011,59.639,0.087
260,744.600,11.263,4.810,9.467,10.868,12.627,14.323,15.506,19.550,57.174,0.089
270,752.100,11.142,4.983,9.390,10.809,12.479,14.177,15.332,19.266,60.989,0.090
280,749.100,11.204,4.978,9.502,10.921,12.599,14.171,15.240,17.908,54.243,0.089
290,750.300,11.157,4.984,9.445,10.796,12.438,14.153,15.321,18.500,53.573,0.090
300,758.800,11.355,5.243,9.547,10.989,12.703,14.393,15.737,19.579,49.569,0.088
310,745.900,11.578,5.259,9.589,11.097,12.919,14.805,16.467,23.416,48.247,0.086
320,749.300,11.317,4.997,9.496,10.935,12.617,14.422,15.913,21.184,51.990,0.088
330,737.300,11.244,5.156,9.548,10.984,12.652,14.194,15.203,17.906,53.005,0.089
340,750.600,11.239,5.290,9.424,10.894,12.628,14.399,15.872,19.997,49.884,0.089
350,744.100,11.123,4.707,9.361,10.847,12.449,14.050,15.296,18.860,52.539,0.090
360,746.500,11.343,5.178,9.499,10.979,12.769,14.460,15.841,20.079,50.391,0.088
370,735.700,11.077,5.359,9.279,10.669,12.443,14.182,15.487,19.356,49.454,0.090
380,729.600,11.950,5.391,9.719,11.367,13.327,15.519,17.674,26.017,50.056,0.084
390,743.200,11.469,4.899,9.536,11.045,12.863,14.844,16.376,20.469,53.829,0.087
400,755.400,11.439,4.998,9.526,10.962,12.720,14.666,16.365,22.021,52.959,0.087
410,756.900,11.491,5.143,9.598,11.032,12.902,14.933,16.524,21.080,50.242,0.087
420,735.300,11.609,5.174,9.675,11.121,13.007,14.915,16.308,20.762,51.989,0.086
430,753.000,11.618,4.755,9.692,11.154,12.980,14.718,16.073,20.761,55.736,0.086
440,760.200,11.592,4.993,9.713,11.190,13.088,14.923,16.348,19.472,48.569,0.086
450,758.600,11.501,5.234,9.626,11.104,12.841,14.886,16.433,20.672,51.998,0.087
460,743.500,11.209,5.275,9.430,10.840,12.497,14.162,15.435,20.058,52.736,0.089
470,752.100,11.099,5.261,9.341,10.719,12.424,14.127,15.566,19.308,49.816,0.090
480,751.500,11.277,4.768,9.498,10.976,12.692,14.367,15.473,18.578,48.822,0.089
490,764.800,11.346,5.130,9.485,10.916,12.761,14.696,16.182,19.584,50.485,0.088
500,738.600,11.491,4.903,9.477,11.018,12.921,14.963,16.592,21.542,48.887,0.087
510,745.800,11.200,4.744,9.449,10.882,12.585,14.306,15.607,19.292,50.600,0.089
520,752.000,11.255,4.835,9.477,10.895,12.614,14.303,15.624,19.494,55.665,0.089
530,759.300,11.224,5.016,9.407,10.893,12.536,14.305,15.503,18.985,60.936,0.089
540,749.400,11.220,5.291,9.431,10.870,12.586,14.290,15.644,19.672,55.536,0.089
550,753.900,11.215,4.850,9.412,10.859,12.627,14.273,15.514,18.550,60.820,0.089
560,749.700,11.711,5.387,9.616,11.207,13.133,15.219,16.930,22.043,61.421,0.085
570,762.600,11.196,5.078,9.470,10.932,12.619,14.253,15.400,18.650,57.564,0.089
580,763.400,11.291,5.099,9.425,10.867,12.608,14.448,15.861,20.120,63.902,0.089
590,746.400,11.416,5.108,9.593,11.048,12.794,14.446,15.696,19.521,58.278,0.088
600,745.700,11.400,5.076,9.462,10.985,12.689,14.614,16.279,21.004,55.188,0.088
610,745.700,11.336,4.638,9.453,10.941,12.755,14.723,16.405,20.366,51.727,0.088
620,733.800,11.361,5.012,9.460,10.933,12.788,14.608,15.980,20.199,54.503,0.088
630,738.100,11.291,5.017,9.392,10.844,12.620,14.464,15.848,20.093,77.753,0.089
640,757.600,11.349,4.968,9.504,10.961,12.712,14.439,15.730,21.179,63.112,0.088
650,755.800,11.426,5.275,9.467,10.972,12.709,14.626,16.055,19.845,90.096,0.088
660,748.200,11.128,4.784,9.378,10.837,12.507,14.187,15.270,18.083,67.245,0.090
670,747.200,11.323,5.373,9.576,11.013,12.710,14.345,15.541,20.181,55.685,0.088
680,735.200,11.835,5.260,9.672,11.240,13.203,15.260,17.195,24.018,61.629,0.084
690,754.200,11.924,5.208,9.601,11.134,13.001,15.179,17.113,38.697,57.934,0.084
700,754.000,11.180,5.342,9.496,10.914,12.633,14.203,15.315,17.940,55.720,0.089
710,765.000,11.356,5.034,9.514,10.898,12.656,14.536,15.997,20.011,54.023,0.088
720,754.400,11.477,4.648,9.607,11.110,12.783,14.548,15.702,19.602,67.444,0.087
730,745.700,11.578,4.743,9.713,11.182,12.893,14.670,16.026,22.728,60.861,0.086
740,768.900,11.659,4.940,9.803,11.273,13.115,14.978,16.501,20.275,55.897,0.086
750,740.600,11.691,4.832,9.722,11.235,13.109,15.038,16.515,20.412,57.991,0.086
760,745.100,11.911,4.438,9.687,11.297,13.217,15.410,17.483,24.977,57.725,0.084
770,767.500,11.164,5.110,9.508,10.911,12.522,14.107,15.176,18.241,55.891,0.090
780,754.700,11.400,5.004,9.578,11.040,12.799,14.465,15.674,19.606,60.714,0.088
790,748.900,11.316,5.100,9.458,10.889,12.630,14.430,15.862,21.241,56.112,0.088
800,743.700,11.510,5.317,9.594,11.105,12.853,14.641,16.039,20.262,65.175,0.087
810,751.400,11.108,5.201,9.466,10.875,12.487,13.993,15.036,17.752,52.190,0.090
820,758.100,11.259,4.584,9.474,10.891,12.637,14.468,15.691,19.773,57.106,0.089
830,755.400,11.312,5.195,9.478,10.896,12.619,14.311,15.537,20.278,61.207,0.088
840,747.100,11.243,5.339,9.461,10.895,12.576,14.203,15.312,18.820,71.692,0.089
850,735.000,11.745,5.158,9.762,11.274,13.099,15.118,16.751,21.976,62.638,0.085
860,735.900,11.469,4.907,9.586,11.049,12.803,14.554,15.806,20.342,72.497,0.087
870,755.900,11.324,5.281,9.515,10.971,12.726,14.388,15.604,19.732,51.377,0.088
880,735.100,11.272,5.325,9.541,10.944,12.613,14.226,15.207,17.640,55.547,0.089
890,765.900,11.516,5.217,9.545,11.077,12.931,14.903,16.440,20.920,48.123,0.087
900,747.100,11.178,5.317,9.444,10.923,12.605,14.180,15.163,17.837,47.703,0.089
910,759.800,11.412,5.487,9.558,10.991,12.697,14.444,16.011,21.185,53.710,0.088
920,749.900,11.662,5.308,9.665,11.149,13.046,15.031,16.621,21.791,51.167,0.086
930,752.600,11.346,5.292,9.504,10.946,12.738,14.498,15.698,20.694,47.763,0.088
940,759.200,11.295,4.921,9.523,10.986,12.704,14.373,15.643,19.650,44.885,0.089
950,755.500,11.189,5.230,9.349,10.778,12.517,14.214,15.514,20.985,46.129,0.089
960,747.000,11.472,5.000,9.560,11.029,12.889,14.748,16.154,20.351,45.156,0.087
970,741.500,11.206,4.990,9.414,10.828,12.549,14.333,15.687,20.026,46.738,0.089
980,720.800,11.986,5.029,9.780,11.274,13.193,15.438,17.626,31.051,49.443,0.083
990,732.000,12.209,4.846,9.664,11.196,13.035,15.216,17.422,42.478,61.719,0.082
1000,758.800,11.335,5.025,9.606,11.053,12.743,14.361,15.360,18.284,44.607,0.088
1010,755.800,11.345,5.301,9.544,10.967,12.676,14.457,15.715,19.913,46.549,0.088
1020,753.800,11.440,5.140,9.660,11.115,12.838,14.560,15.793,19.296,44.213,0.087
1030,754.100,11.720,5.127,9.824,11.321,13.144,15.119,16.543,21.056,42.553,0.085
1040,769.200,11.820,5.138,9.877,11.426,13.214,15.016,16.327,21.866,48.467,0.085
1050,742.900,11.480,5.189,9.599,11.086,12.919,14.629,15.968,20.592,47.605,0.087
1060,756.800,11.348,4.911,9.481,10.945,12.724,14.483,15.860,20.205,45.825,0.088
1070,756.000,11.390,5.232,9.549,10.995,12.751,14.534,15.964,20.388,44.744,0.088
1080,746.800,11.278,5.042,9.504,10.950,12.641,14.311,15.570,19.251,51.157,0.089
1090,759.000,11.238,5.147,9.460,10.854,12.589,14.332,15.616,19.760,42.409,0.089
1100,768.700,11.421,4.875,9.645,11.065,12.803,14.463,15.562,18.812,50.894,0.088
1110,751.900,11.377,5.561,9.544,11.013,12.814,14.457,15.646,19.742,46.599,0.088
1120,749.200,11.215,5.042,9.459,10.909,12.564,14.212,15.269,19.664,44.626,0.089
1130,748.500,11.246,5.243,9.448,10.840,12.532,14.285,15.551,20.164,43.953,0.089
1140,743.200,11.173,4.853,9.398,10.800,12.591,14.370,15.599,19.610,42.587,0.090
1150,729.200,11.471,5.499,9.631,11.061,12.805,14.619,15.971,20.622,41.176,0.087
1160,755.300,11.618,5.120,9.807,11.251,13.028,14.661,15.911,19.840,56.146,0.086
1170,764.900,11.573,4.728,9.784,11.310,13.058,14.752,15.952,19.227,26.709,0.086
1180,770.700,11.296,4.980,9.536,10.947,12.721,14.373,15.550,19.882,34.128,0.089
1190,753.000,11.423,4.942,9.679,11.140,12.858,14.603,15.727,18.934,33.157,0.088
1200,751.700,11.461,4.963,9.650,11.115,12.870,14.584,16.042,20.562,42.124,0.087
1210,753.400,11.401,5.232,9.697,11.118,12.837,14.556,15.733,18.894,37.653,0.088
1220,753.800,11.406,5.105,9.621,11.089,12.850,14.490,15.647,18.591,45.529,0.088
1230,757.200,11.496,5.307,9.762,11.244,12.969,14.592,15.541,18.549,47.198,0.087
1240,751.400,11.545,5.102,9.666,11.129,13.020,14.857,16.316,20.638,51.204,0.087
1250,755.100,11.418,5.119,9.661,11.133,12.843,14.448,15.409,18.229,56.072,0.088
1260,739.300,11.642,5.322,9.678,11.224,13.056,14.772,16.327,21.054,53.418,0.086
1270,770.000,11.651,5.250,9.829,11.315,13.080,14.917,16.199,19.568,53.062,0.086
1280,712.800,12.780,5.086,9.899,11.564,13.730,16.716,20.872,40.996,72.117,0.078
1290,756.400,12.057,4.851,9.899,11.435,13.388,15.640,17.967,25.445,51.334,0.083
1300,747.000,11.805,5.458,9.900,11.448,13.207,15.096,16.230,20.372,55.108,0.085
1310,765.500,11.587,5.269,9.792,11.275,12.997,14.763,15.914,19.643,51.003,0.086
1320,753.300,11.607,5.210,9.768,11.232,13.059,14.814,16.210,19.854,50.030,0.086
1330,757.600,11.527,5.278,9.746,11.243,12.909,14.587,15.750,19.936,53.024,0.087
1340,755.200,11.545,5.436,9.746,11.193,12.994,14.689,15.995,19.049,51.604,0.087
1350,761.400,11.610,4.791,9.754,11.177,13.002,14.971,16.344,20.303,49.683,0.086
1360,753.000,11.526,5.043,9.609,11.055,12.900,14.847,16.447,22.002,52.686,0.087
1370,770.800,11.176,5.139,9.508,10.923,12.616,14.124,15.265,17.737,48.626,0.089
1380,747.800,11.684,5.211,9.701,11.194,13.002,15.018,16.945,21.920,53.954,0.086
1390,762.100,11.525,5.036,9.787,11.178,12.823,14.501,15.576,20.035,56.670,0.087
1400,751.400,11.436,4.721,9.714,11.139,12.826,14.360,15.481,18.265,51.069,0.087
1410,757.200,11.519,5.131,9.633,11.112,12.906,14.602,15.881,20.314,58.423,0.087
1420,745.600,11.380,5.195,9.571,11.024,12.757,14.401,15.630,20.157,65.632,0.088
1430,767.000,11.447,4.864,9.663,11.100,12.899,14.527,15.602,19.005,49.240,0.087
1440,757.200,11.383,5.098,9.665,11.085,12.791,14.429,15.413,18.003,50.487,0.088
1450,746.800,11.374,5.151,9.560,11.060,12.835,14.527,15.808,18.911,49.712,0.088
1460,756.300,11.753,5.079,9.814,11.323,13.213,15.067,16.528,22.080,48.958,0.085
1470,765.900,11.935,5.137,9.819,11.447,13.483,15.691,17.595,22.206,44.559,0.084
1480,739.000,11.536,5.523,9.686,11.175,13.001,14.784,16.098,20.208,49.320,0.087
1490,757.800,11.532,5.254,9.746,11.179,12.949,14.664,15.926,19.364,50.866,0.087
1500,749.300,11.302,5.363,9.568,11.010,12.707,14.444,15.581,18.533,45.449,0.088
1510,751.700,11.671,5.103,9.835,11.314,13.101,14.927,16.165,19.475,56.729,0.086
1520,756.000,11.790,4.770,9.725,11.337,13.209,15.240,16.835,21.603,54.406,0.085
1530,753.300,11.507,4.787,9.631,11.092,12.883,14.746,16.341,21.140,52.005,0.087
1540,763.500,11.449,5.179,9.637,11.172,12.956,14.669,15.956,19.264,28.251,0.087
1550,748.800,11.421,5.173,9.619,11.065,12.850,14.544,15.817,20.189,35.849,0.088
1560,752.400,11.318,5.170,9.589,11.016,12.764,14.475,15.604,19.159,30.280,0.088
1570,744.000,11.055,4.972,9.329,10.748,12.383,14.121,15.453,19.768,35.633,0.090
1580,718.900,11.737,4.817,9.573,11.099,12.978,15.209,17.273,29.477,45.524,0.085
1590,746.300,11.447,4.873,9.558,11.050,12.847,14.665,15.961,21.495,47.111,0.087
