Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,55845.200,2.234,0.366,1.266,1.821,2.553,3.649,4.788,10.376,207.735,0.448
10,67943.700,1.835,0.365,1.063,1.531,2.007,2.702,3.358,8.743,380.140,0.545
20,72017.600,1.733,0.359,1.053,1.508,1.953,2.636,3.289,8.729,77.092,0.577
30,73975.500,1.688,0.355,1.042,1.490,1.911,2.568,3.189,8.439,53.777,0.592
40,74762.600,1.670,0.351,1.044,1.475,1.883,2.517,3.117,8.436,44.533,0.599
50,73922.900,1.689,0.352,1.061,1.498,1.914,2.560,3.166,8.217,42.172,0.592
60,74045.100,1.687,0.343,1.068,1.498,1.903,2.539,3.137,8.229,49.943,0.593
70,74742.600,1.671,0.348,1.052,1.478,1.878,2.516,3.122,8.411,48.380,0.599
80,73360.600,1.702,0.349,1.032,1.486,1.916,2.583,3.240,8.852,209.551,0.588
90,73589.300,1.697,0.353,1.065,1.500,1.915,2.558,3.169,8.476,52.648,0.589
100,74643.700,1.673,0.351,1.040,1.478,1.891,2.526,3.134,8.282,53.286,0.598
110,75000.300,1.665,0.340,1.035,1.472,1.882,2.526,3.145,8.328,49.668,0.601
120,74943.700,1.666,0.356,1.055,1.479,1.868,2.498,3.090,8.280,54.209,0.600
130,74864.500,1.668,0.346,1.042,1.474,1.874,2.508,3.109,8.546,204.696,0.600
140,74143.500,1.684,0.352,1.048,1.487,1.905,2.551,3.166,8.318,51.208,0.594
150,74324.200,1.680,0.357,1.042,1.482,1.890,2.537,3.139,8.426,49.830,0.595
160,74957.100,1.666,0.351,1.050,1.473,1.869,2.495,3.093,8.208,59.829,0.600
170,75506.100,1.654,0.353,1.045,1.467,1.859,2.480,3.072,8.112,50.383,0.605
180,74868.500,1.668,0.345,1.043,1.478,1.884,2.521,3.133,8.305,133.284,0.600
190,74743.200,1.670,0.354,1.040,1.476,1.876,2.512,3.120,8.462,54.073,0.599
200,74728.200,1.671,0.352,1.034,1.475,1.880,2.517,3.132,8.482,47.610,0.598
210,75136.400,1.662,0.344,1.045,1.475,1.878,2.514,3.113,8.260,51.110,0.602
220,75264.700,1.659,0.347,1.028,1.460,1.866,2.505,3.115,8.451,58.368,0.603
230,75016.700,1.664,0.355,1.031,1.468,1.870,2.508,3.115,8.464,221.601,0.601
240,75314.200,1.658,0.354,1.035,1.466,1.864,2.496,3.098,8.493,205.062,0.603
250,74933.200,1.666,0.351,1.024,1.463,1.869,2.521,3.144,8.439,59.639,0.600
260,74926.600,1.667,0.345,1.040,1.472,1.870,2.502,3.102,8.306,65.834,0.600
270,75283.100,1.663,0.355,1.045,1.469,1.865,2.492,3.084,8.368,60.989,0.601
280,75288.400,1.654,0.351,1.037,1.466,1.870,2.503,3.092,8.214,58.510,0.605
290,75293.600,1.658,0.343,1.027,1.462,1.865,2.505,3.116,8.422,53.573,0.603
300,74956.700,1.666,0.346,1.032,1.467,1.872,2.508,3.119,8.649,112.053,0.600
310,75121.400,1.662,0.347,1.025,1.465,1.873,2.513,3.135,8.536,59.409,0.602
320,74939.300,1.666,0.354,1.031,1.468,1.871,2.512,3.115,8.406,51.990,0.600
330,74949.700,1.666,0.349,1.035,1.467,1.870,2.513,3.125,8.511,204.250,0.600
340,75592.500,1.652,0.346,1.046,1.470,1.864,2.485,3.069,8.053,49.884,0.605
350,75394.800,1.656,0.340,1.035,1.463,1.860,2.496,3.094,8.295,52.539,0.604
360,75157.200,1.661,0.352,1.038,1.468,1.867,2.504,3.105,8.239,50.391,0.602
370,75182.600,1.661,0.340,1.042,1.470,1.865,2.499,3.093,8.234,210.430,0.602
380,73309.700,1.703,0.351,1.030,1.475,1.895,2.583,3.271,9.184,66.172,0.587
390,73557.000,1.697,0.346,1.035,1.479,1.895,2.571,3.230,8.887,65.009,0.589
400,75078.100,1.663,0.355,1.031,1.465,1.865,2.498,3.114,8.488,52.959,0.601
410,75368.600,1.657,0.349,1.028,1.465,1.868,2.501,3.105,8.381,65.405,0.604
420,74801.900,1.669,0.341,1.034,1.468,1.872,2.523,3.154,8.410,51.989,0.599
430,74748.100,1.670,0.359,1.022,1.462,1.871,2.527,3.166,8.762,205.333,0.599
440,75198.800,1.661,0.356,1.034,1.470,1.870,2.503,3.104,8.530,208.983,0.602
450,74806.600,1.669,0.352,1.021,1.462,1.873,2.525,3.159,8.703,51.998,0.599
460,74904.000,1.667,0.350,1.043,1.471,1.871,2.514,3.127,8.388,52.736,0.600
470,75455.800,1.655,0.356,1.047,1.471,1.868,2.496,3.088,8.088,49.816,0.604
480,75077.700,1.663,0.351,1.014,1.455,1.868,2.527,3.175,8.548,211.809,0.601
490,74995.500,1.665,0.344,1.021,1.460,1.863,2.516,3.151,8.698,50.485,0.601
500,75339.400,1.658,0.354,1.040,1.470,1.868,2.496,3.104,8.104,48.887,0.603
510,75011.400,1.664,0.346,1.036,1.467,1.872,2.516,3.121,8.339,50.600,0.601
520,75082.000,1.663,0.353,1.029,1.462,1.868,2.513,3.140,8.458,55.665,0.601
530,75017.500,1.665,0.355,1.024,1.463,1.869,2.516,3.136,8.483,60.936,0.601
540,75395.700,1.656,0.345,1.043,1.467,1.865,2.499,3.096,8.105,55.536,0.604
550,74971.400,1.666,0.344,1.023,1.462,1.866,2.517,3.150,8.580,60.820,0.600
560,74939.800,1.666,0.360,1.010,1.448,1.866,2.532,3.189,8.555,64.159,0.600
570,75552.000,1.653,0.343,1.027,1.458,1.861,2.501,3.117,8.340,57.564,0.605
580,75268.200,1.659,0.344,1.018,1.455,1.863,2.508,3.135,8.486,63.902,0.603
590,75006.700,1.664,0.358,1.028,1.466,1.875,2.506,3.110,8.430,58.278,0.601
600,75098.300,1.667,0.340,1.030,1.467,1.873,2.513,3.134,8.422,76.497,0.600
610,74952.700,1.662,0.356,1.047,1.475,1.868,2.501,3.100,8.279,91.665,0.602
620,74756.100,1.670,0.357,1.040,1.471,1.875,2.518,3.132,8.278,62.032,0.599
630,74888.900,1.667,0.351,1.040,1.470,1.873,2.516,3.121,8.253,77.753,0.600
640,75296.400,1.658,0.348,1.032,1.468,1.867,2.505,3.112,8.342,63.112,0.603
650,74938.900,1.666,0.349,1.024,1.461,1.866,2.503,3.116,8.398,90.096,0.600
660,75313.500,1.658,0.352,1.033,1.460,1.860,2.488,3.088,8.262,67.245,0.603
670,75369.100,1.656,0.355,1.017,1.455,1.860,2.525,3.171,8.454,210.043,0.604
680,72668.600,1.718,0.349,1.031,1.479,1.902,2.598,3.277,9.537,61.629,0.582
690,73366.700,1.702,0.360,1.009,1.465,1.893,2.586,3.270,9.331,73.671,0.588
700,75419.500,1.656,0.356,1.031,1.466,1.866,2.502,3.111,8.322,55.720,0.604
710,75138.900,1.662,0.357,1.033,1.466,1.862,2.497,3.105,8.496,54.023,0.602
720,74990.700,1.665,0.352,1.025,1.462,1.869,2.516,3.134,8.505,82.540,0.601
730,74940.400,1.666,0.354,1.029,1.464,1.868,2.511,3.114,8.590,60.861,0.600
740,75173.100,1.661,0.345,1.025,1.457,1.864,2.519,3.151,8.639,204.699,0.602
750,74860.600,1.668,0.360,1.021,1.462,1.871,2.524,3.141,8.526,57.991,0.600
760,74978.100,1.665,0.346,1.027,1.462,1.862,2.504,3.113,8.530,57.725,0.600
770,75648.600,1.650,0.355,1.029,1.460,1.857,2.488,3.093,8.485,58.295,0.606
780,75239.300,1.659,0.352,1.022,1.460,1.860,2.498,3.109,8.547,60.714,0.603
790,74957.100,1.666,0.359,1.032,1.467,1.868,2.510,3.124,8.515,65.036,0.600
800,75090.600,1.662,0.345,1.034,1.464,1.863,2.495,3.099,8.407,65.175,0.602
810,75574.800,1.652,0.344,1.028,1.460,1.864,2.497,3.103,8.356,59.472,0.605
820,75261.800,1.657,0.350,1.025,1.458,1.860,2.494,3.109,8.535,85.998,0.603
830,75260.500,1.658,0.345,1.031,1.461,1.860,2.490,3.099,8.430,61.207,0.603
840,74965.800,1.665,0.352,1.032,1.461,1.858,2.498,3.107,8.417,71.692,0.601
850,74936.600,1.666,0.341,1.023,1.457,1.861,2.508,3.122,8.600,62.638,0.600
860,75220.900,1.660,0.343,1.037,1.463,1.862,2.493,3.092,8.331,72.497,0.603
870,75151.500,1.661,0.344,1.026,1.465,1.868,2.511,3.123,8.477,51.922,0.602
880,75212.800,1.660,0.353,1.021,1.458,1.871,2.524,3.144,8.293,55.547,0.602
890,75417.400,1.656,0.356,1.028,1.461,1.858,2.493,3.090,8.434,52.189,0.604
900,75342.700,1.657,0.357,1.028,1.460,1.864,2.509,3.119,8.398,50.920,0.603
910,75299.000,1.658,0.349,1.020,1.455,1.860,2.508,3.144,8.682,61.428,0.603
920,75057.100,1.664,0.349,1.020,1.457,1.866,2.521,3.147,8.537,52.187,0.601
930,75243.900,1.659,0.331,1.029,1.460,1.862,2.508,3.132,8.381,47.763,0.603
940,75257.700,1.659,0.346,1.019,1.458,1.864,2.514,3.140,8.518,44.885,0.603
950,75141.000,1.662,0.352,1.023,1.461,1.873,2.521,3.147,8.480,46.486,0.602
960,75180.900,1.661,0.353,1.013,1.454,1.870,2.532,3.171,8.504,53.390,0.602
970,75223.600,1.660,0.336,1.027,1.464,1.869,2.519,3.127,8.367,53.778,0.602
980,72627.200,1.719,0.356,1.019,1.472,1.913,2.623,3.327,9.512,205.861,0.582
990,73486.900,1.699,0.349,1.016,1.467,1.897,2.576,3.242,9.096,61.719,0.589
1000,75172.600,1.661,0.350,1.021,1.459,1.872,2.516,3.140,8.580,68.458,0.602
1010,75231.700,1.659,0.351,1.014,1.456,1.868,2.517,3.148,8.515,46.686,0.603
1020,75099.900,1.662,0.341,1.017,1.459,1.871,2.522,3.148,8.632,206.032,0.602
1030,74898.900,1.667,0.351,1.016,1.457,1.870,2.522,3.167,8.790,209.347,0.600
1040,75060.600,1.663,0.352,1.018,1.457,1.860,2.515,3.140,8.892,48.467,0.601
1050,74618.900,1.673,0.353,1.022,1.460,1.875,2.536,3.174,8.739,49.336,0.598
1060,74941.300,1.666,0.356,1.025,1.463,1.874,2.532,3.165,8.476,45.825,0.600
1070,75057.400,1.663,0.352,1.018,1.458,1.871,2.531,3.155,8.638,66.819,0.601
1080,75134.000,1.662,0.350,1.033,1.465,1.870,2.513,3.123,8.499,71.719,0.602
1090,75032.900,1.664,0.353,1.027,1.458,1.863,2.512,3.138,8.723,47.133,0.601
1100,75272.700,1.659,0.350,1.012,1.451,1.867,2.527,3.164,8.717,50.894,0.603
1110,75300.200,1.658,0.353,1.021,1.456,1.863,2.514,3.141,8.510,235.252,0.603
1120,75278.700,1.660,0.349,1.023,1.454,1.863,2.518,3.147,8.447,44.626,0.603
1130,75328.000,1.656,0.351,1.022,1.456,1.865,2.516,3.144,8.338,47.708,0.604
1140,75584.100,1.652,0.355,1.034,1.460,1.860,2.494,3.090,8.166,108.308,0.605
1150,75051.900,1.663,0.342,1.027,1.459,1.868,2.518,3.145,8.419,60.795,0.601
1160,74770.100,1.669,0.350,1.007,1.453,1.873,2.537,3.165,8.846,206.194,0.599
1170,75633.100,1.651,0.348,1.022,1.459,1.861,2.497,3.111,8.695,216.718,0.606
1180,75565.200,1.653,0.344,1.027,1.463,1.865,2.495,3.094,8.584,58.042,0.605
1190,75709.100,1.649,0.346,1.020,1.453,1.861,2.508,3.141,8.387,36.869,0.606
1200,75537.000,1.653,0.357,1.033,1.460,1.857,2.492,3.092,8.435,42.124,0.605
1210,75611.200,1.651,0.343,1.025,1.459,1.859,2.499,3.113,8.460,67.146,0.606
1220,75618.700,1.651,0.342,1.021,1.454,1.856,2.494,3.106,8.506,50.038,0.606
1230,75324.200,1.657,0.353,1.022,1.456,1.859,2.504,3.119,8.596,47.198,0.603
1240,75588.700,1.652,0.353,1.027,1.456,1.856,2.493,3.103,8.468,51.204,0.605
1250,75525.500,1.653,0.355,1.019,1.452,1.855,2.487,3.110,8.534,209.182,0.605
1260,75408.800,1.656,0.335,1.016,1.452,1.863,2.509,3.131,8.338,53.418,0.604
1270,75610.700,1.651,0.353,1.017,1.454,1.859,2.495,3.108,8.730,53.062,0.606
1280,72582.400,1.720,0.353,1.004,1.462,1.897,2.600,3.321,9.787,72.117,0.581
1290,74470.000,1.677,0.350,1.016,1.457,1.869,2.534,3.184,9.188,206.046,0.596
1300,75522.400,1.653,0.353,1.021,1.452,1.854,2.493,3.105,8.429,55.108,0.605
1310,75372.400,1.657,0.355,1.034,1.458,1.851,2.480,3.087,8.761,51.492,0.604
1320,75302.500,1.658,0.354,1.033,1.457,1.859,2.490,3.095,8.543,50.030,0.603
1330,75505.800,1.653,0.339,1.022,1.461,1.861,2.496,3.112,8.507,53.024,0.605
1340,75186.400,1.661,0.358,1.024,1.459,1.860,2.503,3.120,8.676,51.604,0.602
1350,75189.400,1.661,0.361,1.019,1.455,1.863,2.509,3.124,8.732,49.683,0.602
1360,75340.900,1.657,0.345,1.030,1.466,1.863,2.498,3.107,8.370,85.825,0.603
1370,75575.500,1.652,0.357,1.027,1.455,1.856,2.491,3.095,8.494,48.626,0.605
1380,75429.300,1.655,0.337,1.022,1.452,1.854,2.497,3.106,8.507,53.954,0.604
1390,75321.300,1.658,0.350,1.027,1.456,1.856,2.494,3.102,8.765,56.670,0.603
1400,75197.700,1.660,0.357,1.023,1.455,1.859,2.509,3.138,8.597,76.384,0.602
1410,75965.500,1.644,0.359,1.018,1.453,1.853,2.488,3.095,8.251,209.254,0.608
1420,75488.400,1.654,0.349,1.013,1.447,1.860,2.511,3.134,8.380,206.017,0.605
