Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,36423,36423.000,426,2013,2942,3428,4046,5964,7394,12774,88937
1,42869,42869.000,419,1676,2457,2913,3419,4917,6274,12123,62023
2,48506,48506.000,381,1488,2204,2570,2997,4194,5330,11290,72705
3,45108,45108.000,408,1349,1984,2765,2726,3867,5001,11942,169880
4,57190,57190.000,381,1288,1872,2180,2525,3526,4537,9958,52477
5,60635,60635.000,382,1207,1753,2057,2342,3261,4173,9815,207735
6,63877,63877.000,382,1232,1721,1953,2246,3035,3774,8492,29663
7,66501,66501.000,373,1157,1645,1876,2162,2918,3621,8923,35427
8,68132,68132.000,382,1115,1598,1832,2118,2878,3573,8731,35963
9,69211,69211.000,366,1066,1562,1802,2045,2783,3535,9450,26124
10,70743,70743.000,378,1120,1573,1764,2027,2688,3333,7946,24078
11,66462,66462.000,365,1116,1557,2436,1997,2674,3304,8608,380140
12,48677,48677.000,378,1024,1496,1798,2050,2844,3607,9323,29194
13,70235,70235.000,365,1012,1491,1776,2004,2807,3612,9536,30234
14,72222,72222.000,374,1075,1521,1727,1980,2643,3267,8376,24388
15,70951,70951.000,380,1034,1529,1755,2029,2733,3400,9009,40667
16,72870,72870.000,379,1057,1513,1710,1967,2623,3191,8196,23600
17,71301,71301.000,377,1092,1555,1748,2026,2680,3284,7857,20970
18,70868,70868.000,399,1065,1545,1758,2031,2715,3345,8334,28465
19,65108,65108.000,370,1031,1505,1916,1981,2685,3373,9434,109928
20,73499,73499.000,370,1069,1502,1699,1926,2600,3250,8073,25064
21,70423,70423.000,385,1082,1553,1772,2018,2736,3422,8163,30552
22,73000,73000.000,372,1072,1511,1710,1943,2599,3205,8477,21583
23,68253,68253.000,373,1038,1498,1827,1980,2741,3488,10550,42724
24,71761,71761.000,363,1078,1539,1740,1983,2670,3306,8530,32737
25,72563,72563.000,368,1040,1507,1719,1963,2642,3298,9007,71896
26,73548,73548.000,372,1050,1502,1697,1935,2605,3247,8417,21433
27,73318,73318.000,359,1051,1505,1702,1943,2620,3265,8163,22091
28,74386,74386.000,369,1034,1486,1677,1918,2579,3176,8298,65277
29,69425,69425.000,379,1024,1481,1797,1925,2586,3223,9977,77092
30,72773,72773.000,362,1011,1484,1716,1950,2668,3329,9086,26336
31,73048,73048.000,380,1050,1502,1708,1953,2616,3279,8471,29112
32,73992,73992.000,371,1035,1499,1687,1930,2597,3261,8059,31493
33,73742,73742.000,376,1047,1495,1692,1909,2568,3160,8769,52147
34,74764,74764.000,362,1059,1490,1669,1884,2525,3118,8101,22365
35,74870,74870.000,366,1078,1508,1667,1902,2515,3091,7436,21859
36,72586,72586.000,361,983,1452,1722,1919,2634,3319,9342,53777
37,74618,74618.000,370,1025,1479,1671,1889,2533,3136,8588,32717
38,74519,74519.000,359,1065,1495,1675,1892,2529,3115,8256,21342
39,74843,74843.000,355,1066,1487,1668,1883,2496,3112,8226,24232
40,75255,75255.000,357,1040,1479,1658,1882,2538,3130,7804,29405
41,75370,75370.000,358,1070,1486,1656,1873,2484,3045,7614,23180
42,72702,72702.000,356,1014,1470,1718,1909,2591,3262,9239,42071
43,75358,75358.000,365,1051,1479,1656,1885,2510,3080,8360,21555
44,75648,75648.000,371,1066,1473,1650,1864,2469,3017,7558,23000
45,74715,74715.000,361,1004,1461,1670,1890,2562,3208,8953,41930
46,75187,75187.000,351,1046,1478,1660,1891,2510,3122,8057,21764
47,75461,75461.000,368,1060,1481,1654,1881,2493,3056,7969,19693
48,72698,72698.000,360,1055,1471,1717,1871,2526,3151,9131,44533
49,75232,75232.000,353,1033,1475,1658,1886,2503,3106,8713,37475
50,76033,76033.000,374,1045,1458,1642,1838,2462,3049,8767,30526
51,73669,73669.000,374,1060,1502,1694,1917,2565,3186,8367,30585
52,73988,73988.000,375,1055,1499,1689,1922,2561,3204,8230,32109
53,75059,75059.000,364,1091,1500,1661,1874,2493,3055,7587,20379
54,72673,72673.000,362,1015,1460,1718,1891,2567,3208,9186,42172
55,74570,74570.000,352,997,1466,1674,1928,2609,3257,8370,25908
56,73903,73903.000,381,1102,1526,1688,1924,2562,3128,7281,18117
57,71671,71671.000,378,1131,1557,1742,1985,2631,3223,8103,24727
58,72982,72982.000,362,1085,1520,1711,1950,2612,3226,7970,25520
59,74681,74681.000,376,1048,1486,1671,1909,2541,3119,8152,22878
60,71304,71304.000,374,1091,1513,1751,1938,2598,3249,9185,39058
61,73530,73530.000,381,1081,1530,1698,1943,2582,3187,7822,22973
62,74104,74104.000,364,1072,1511,1684,1918,2553,3135,7905,20140
63,73973,73973.000,368,1089,1512,1689,1917,2552,3147,7816,24878
64,74432,74432.000,364,1051,1492,1677,1906,2554,3168,8175,23392
65,75157,75157.000,354,1076,1492,1661,1885,2501,3117,7711,22225
66,72254,72254.000,355,1064,1493,1729,1884,2520,3133,8913,49943
67,74862,74862.000,374,1065,1492,1668,1898,2535,3119,7947,21391
68,75772,75772.000,343,1045,1468,1647,1862,2474,3024,8027,27539
69,75063,75063.000,352,1053,1483,1663,1890,2518,3104,8322,24390
70,75022,75022.000,356,1056,1482,1664,1885,2513,3143,8215,25608
71,75135,75135.000,354,1053,1481,1661,1877,2526,3125,7928,24509
72,72719,72719.000,348,1043,1477,1717,1886,2531,3163,9834,48380
73,74389,74389.000,363,1002,1455,1678,1882,2591,3256,9211,30465
74,75390,75390.000,349,1046,1478,1656,1864,2478,3091,8571,22093
75,75154,75154.000,361,1076,1492,1662,1880,2511,3082,7803,32019
76,75597,75597.000,366,1070,1486,1651,1874,2481,3048,7671,19570
77,75464,75464.000,367,1070,1484,1654,1878,2488,3048,8045,27475
78,72891,72891.000,361,1069,1490,1713,1884,2510,3125,8814,42727
79,75665,75665.000,372,1030,1460,1649,1870,2532,3146,7932,33538
80,75397,75397.000,370,1046,1470,1655,1887,2506,3108,7955,24386
81,74649,74649.000,365,1049,1479,1673,1883,2535,3164,7993,29287
82,74716,74716.000,362,993,1477,1671,1919,2575,3228,8174,209390
83,73685,73685.000,373,1071,1494,1693,1911,2557,3186,8354,35294
84,69884,69884.000,349,1075,1520,1787,1934,2617,3305,10000,48297
85,71622,71622.000,356,964,1479,1743,1959,2721,3472,9811,76560
86,71452,71452.000,363,1022,1498,1747,1966,2690,3394,9691,209551
87,73223,73223.000,367,1007,1488,1705,1941,2620,3299,8991,95347
88,74276,74276.000,364,1043,1486,1681,1889,2514,3131,8396,76815
89,74702,74702.000,374,1036,1472,1670,1871,2512,3135,8810,58671
90,75293,75293.000,359,1047,1470,1658,1875,2515,3131,8179,28216
91,72821,72821.000,359,1041,1480,1715,1886,2532,3157,8823,52648
92,75521,75521.000,353,1054,1481,1652,1883,2499,3091,7688,19133
93,74703,74703.000,357,1085,1502,1672,1899,2511,3078,8245,23459
94,72170,72170.000,368,1088,1528,1729,1975,2641,3299,8360,26201
95,73539,73539.000,370,1074,1512,1697,1937,2578,3196,8363,24122
96,74335,74335.000,374,1112,1520,1680,1909,2522,3064,7398,20367
97,70152,70152.000,358,1041,1511,1778,1949,2641,3317,10079,46825
98,72940,72940.000,354,1081,1526,1712,1945,2593,3226,8444,31935
99,74419,74419.000,366,1036,1480,1677,1885,2538,3168,8886,24742
100,73442,73442.000,364,1047,1507,1700,1945,2612,3255,8349,21641
101,74615,74615.000,368,1046,1487,1674,1918,2534,3137,8459,32971
102,74194,74194.000,359,979,1463,1682,1918,2640,3327,8505,44990
103,72426,72426.000,366,1020,1471,1724,1896,2556,3201,8999,53286
104,75647,75647.000,365,1085,1498,1650,1874,2451,3008,7581,20920
105,75648,75648.000,363,1066,1481,1651,1873,2496,3078,7922,18498
106,75711,75711.000,368,1060,1478,1648,1872,2485,3048,7798,25606
107,75717,75717.000,351,1015,1465,1649,1885,2524,3099,8520,22950
108,75944,75944.000,367,1048,1475,1644,1871,2473,3052,7849,20502
109,73093,73093.000,365,1040,1460,1707,1863,2513,3128,9076,47598
110,75141,75141.000,353,1006,1470,1662,1899,2572,3206,8416,44742
111,75016,75016.000,365,1064,1473,1665,1881,2510,3102,8466,27061
112,74536,74536.000,370,1010,1469,1673,1909,2593,3235,8355,37655
113,74706,74706.000,365,1013,1467,1671,1877,2539,3220,9130,36617
114,74801,74801.000,360,1075,1482,1716,1869,2484,3098,9244,49668
115,73849,73849.000,372,993,1447,1643,1864,2546,3216,8360,26195
116,75624,75624.000,364,1065,1472,1651,1867,2494,3086,7654,27917
117,75636,75636.000,340,1059,1487,1651,1878,2480,3052,7365,40684
118,75681,75681.000,375,1030,1471,1650,1892,2506,3101,8105,25922
119,75013,75013.000,360,1030,1478,1664,1886,2537,3159,8216,35283
120,72899,72899.000,364,1050,1475,1712,1867,2517,3129,8911,49627
121,75610,75610.000,373,1064,1479,1652,1867,2470,3058,8145,34444
122,75179,75179.000,359,1060,1488,1660,1883,2516,3114,8036,31948
123,75723,75723.000,371,1082,1490,1648,1860,2471,3040,7589,21348
124,75743,75743.000,360,1077,1485,1650,1863,2488,3059,7503,21833
125,75267,75267.000,374,1027,1477,1658,1871,2512,3128,8603,31017
126,72212,72212.000,368,987,1444,1729,1871,2566,3248,10380,54209
127,75249,75249.000,358,1081,1488,1658,1869,2492,3076,7508,20656
128,75946,75946.000,356,1044,1473,1644,1864,2493,3080,8204,23914
129,75609,75609.000,362,1076,1485,1650,1864,2461,2997,7608,23969
130,75707,75707.000,354,1065,1469,1650,1863,2483,3064,8177,47891
131,75257,75257.000,346,1050,1478,1658,1869,2504,3091,8579,21824
132,73081,73081.000,374,1013,1456,1708,1882,2556,3206,9086,49182
133,75387,75387.000,358,1004,1463,1656,1884,2546,3196,8340,24550
134,75626,75626.000,357,1012,1454,1650,1865,2496,3105,9218,26680
135,75769,75769.000,356,1055,1471,1648,1855,2467,3058,8259,33175
136,76139,76139.000,370,1092,1484,1639,1856,2433,2962,7433,20415
137,75365,75365.000,351,1044,1487,1657,1877,2499,3096,8171,28829
138,72091,72091.000,365,1025,1472,1731,1887,2558,3204,9670,47677
139,74223,74223.000,362,1064,1501,1682,1903,2549,3147,7963,204696
140,74171,74171.000,371,1047,1487,1682,1905,2554,3150,8581,32795
141,75133,75133.000,359,1068,1488,1663,1885,2506,3107,7758,21411
142,74831,74831.000,363,1055,1496,1667,1893,2536,3142,7527,17985
143,72894,72894.000,367,1051,1512,1713,1952,2610,3280,8098,30882
144,71875,71875.000,373,1048,1477,1736,1897,2563,3211,9515,51208
145,73992,73992.000,363,1052,1493,1686,1924,2585,3199,8213,25301
146,73805,73805.000,359,1040,1493,1691,1933,2586,3185,8184,24128
147,74469,74469.000,371,1031,1481,1676,1908,2560,3201,8548,18842
148,74938,74938.000,358,1028,1468,1666,1876,2505,3103,8781,33631
149,75327,75327.000,352,1058,1480,1657,1877,2496,3095,7994,21732
150,72589,72589.000,363,1032,1466,1720,1883,2551,3163,9218,49153
151,74737,74737.000,357,1027,1477,1668,1893,2545,3157,8501,28938
152,74837,74837.000,363,1053,1487,1670,1880,2525,3137,8063,26985
153,75019,75019.000,369,1017,1465,1663,1869,2522,3127,8870,31187
154,74785,74785.000,366,1050,1489,1669,1890,2514,3117,8478,22744
155,74457,74457.000,362,1065,1493,1676,1900,2529,3107,8477,19273
156,71455,71455.000,372,1029,1488,1747,1914,2601,3239,9206,49830
157,74754,74754.000,374,1068,1496,1670,1895,2548,3169,7656,20480
158,75149,75149.000,367,1056,1484,1662,1892,2514,3099,7734,21071
159,75460,75460.000,366,1028,1478,1654,1885,2522,3105,8228,27397
160,76091,76091.000,358,1032,1462,1641,1868,2496,3085,8005,21159
161,75815,75815.000,362,1073,1480,1646,1864,2460,3016,7855,29235
162,70676,70676.000,351,1008,1472,1765,1918,2650,3396,9361,57465
163,76137,76137.000,376,1055,1469,1640,1850,2457,3038,7835,30491
164,75812,75812.000,368,1076,1483,1646,1870,2477,3040,7319,20306
165,75884,75884.000,357,1068,1478,1645,1866,2470,3029,7721,27260
166,75794,75794.000,370,1035,1465,1647,1860,2475,3094,8061,59829
167,75641,75641.000,360,1070,1477,1650,1858,2462,3038,8461,22458
168,72331,72331.000,362,1022,1460,1725,1875,2539,3188,8956,52025
169,75390,75390.000,379,1053,1478,1656,1869,2491,3079,7910,25494
170,76484,76484.000,353,1067,1471,1633,1836,2430,2997,7742,22356
171,75878,75878.000,366,1060,1489,1645,1864,2464,3013,7748,19773
172,76020,76020.000,371,1022,1472,1642,1875,2511,3094,7855,18292
173,76349,76349.000,358,1046,1459,1635,1848,2463,3076,7982,20868
174,72996,72996.000,357,1006,1448,1709,1888,2576,3230,8790,50383
175,76128,76128.000,368,1038,1463,1640,1852,2472,3062,8135,40235
176,76430,76430.000,370,1079,1471,1634,1843,2428,2992,7789,20548
177,76008,76008.000,365,1017,1454,1642,1858,2502,3084,8326,24439
178,75468,75468.000,361,1071,1482,1654,1884,2489,3065,7815,21618
179,73300,73300.000,360,1044,1465,1703,1852,2481,3103,9011,48872
180,75622,75622.000,358,1013,1457,1650,1884,2539,3172,8057,23146
181,75513,75513.000,345,1026,1466,1653,1864,2482,3096,8888,31161
182,75976,75976.000,372,1080,1493,1642,1852,2449,3015,7497,21712
183,75769,75769.000,357,1043,1466,1648,1865,2501,3137,8136,23814
184,75625,75625.000,367,1069,1482,1650,1864,2483,3070,7765,18135
185,70855,70855.000,373,1022,1477,1763,1924,2618,3295,9977,133284
186,74099,74099.000,374,1019,1478,1684,1912,2586,3223,8678,20868
187,74689,74689.000,363,1030,1491,1671,1909,2567,3163,7706,41909
188,75137,75137.000,374,1073,1492,1661,1885,2476,3065,7693,20743
189,75400,75400.000,353,1049,1471,1656,1881,2526,3110,7736,22274
190,75637,75637.000,367,1050,1481,1650,1869,2489,3071,8254,30733
